Date,Close,Volume,Open,High,Low
03/01/2024,$7.32,"412,387",$7.75,$7.79,$7.29
02/29/2024,$7.75,"595,071",$8.25,$8.28,$7.70
02/28/2024,$8.07,"698,479",$8.39,$8.41,$7.77
02/27/2024,$8.52,"962,128",$8.84,$9.16,$8.00
02/26/2024,$10.46,"319,021",$10.51,$10.62,$10.42
02/23/2024,$10.54,"236,846",$10.25,$10.55,$10.16
02/22/2024,$10.19,"179,980",$10.35,$10.41,$10.08
02/21/2024,$10.37,"144,059",$10.46,$10.55,$10.27
02/20/2024,$10.52,"155,364",$10.31,$10.61,$10.30
02/16/2024,$10.51,"150,643",$10.68,$10.735,$10.45
02/15/2024,$10.83,"164,342",$10.60,$10.88,$10.60
02/14/2024,$10.54,"175,840",$10.29,$10.61,$10.26
02/13/2024,$10.15,"304,156",$10.33,$10.37,$10.10
02/12/2024,$10.80,"205,777",$10.48,$10.90,$10.48
02/09/2024,$10.41,"295,030",$10.46,$10.49,$10.33
02/08/2024,$10.45,"334,676",$10.10,$10.46,$10.10
02/07/2024,$10.15,"165,714",$10.39,$10.39,$10.10
02/06/2024,$10.32,"186,921",$10.21,$10.62,$10.20
02/05/2024,$10.23,"223,510",$9.93,$10.32,$9.90
02/02/2024,$10.11,"229,540",$10.11,$10.18,$9.96
02/01/2024,$10.35,"187,255",$10.40,$10.47,$10.17
01/31/2024,$10.29,"335,737",$10.77,$10.89,$10.26
01/30/2024,$10.78,"165,099",$10.73,$10.81,$10.62
01/29/2024,$10.79,"182,779",$10.81,$10.86,$10.57
01/26/2024,$10.73,"195,457",$10.80,$10.925,$10.73
01/25/2024,$10.72,"164,282",$10.69,$10.79,$10.63
01/24/2024,$10.44,"190,036",$10.66,$10.71,$10.36
01/23/2024,$10.49,"219,488",$10.73,$10.84,$10.48
01/22/2024,$10.59,"267,846",$10.30,$10.63,$10.24
01/19/2024,$10.24,"142,645",$10.32,$10.32,$10.08
01/18/2024,$10.24,"211,784",$10.25,$10.32,$10.08
01/17/2024,$10.15,"180,824",$10.16,$10.30,$9.99
01/16/2024,$10.30,"236,158",$10.34,$10.40,$10.18
01/12/2024,$10.46,"162,493",$11.00,$11.09,$10.395
01/11/2024,$10.89,"231,084",$11.03,$11.13,$10.85
01/10/2024,$11.02,"202,854",$10.95,$11.10,$10.93
01/09/2024,$10.99,"237,223",$11.27,$11.36,$10.905
01/08/2024,$11.46,"245,741",$11.27,$11.59,$11.21
01/05/2024,$11.32,"391,697",$11.27,$11.61,$11.27
01/04/2024,$11.36,"274,001",$11.25,$11.438,$11.23
01/03/2024,$11.16,"439,922",$11.21,$11.485,$11.11
01/02/2024,$11.33,"457,418",$11.55,$11.74,$11.22
12/29/2023,$10.88,"315,281",$11.19,$11.29,$10.79
12/28/2023,$11.17,"229,181",$11.10,$11.22,$11.02
12/27/2023,$11.18,"230,398",$11.25,$11.38,$11.10
12/26/2023,$11.19,"208,507",$11.19,$11.32,$11.09
12/22/2023,$11.11,"311,286",$11.23,$11.475,$11.11
12/21/2023,$11.17,"331,102",$11.22,$11.43,$11.07
12/20/2023,$10.89,"301,843",$11.16,$11.38,$10.87
12/19/2023,$11.19,"315,014",$11.19,$11.28,$11.01
12/18/2023,$10.97,"302,411",$11.27,$11.315,$10.96
12/15/2023,$11.09,"744,910",$11.81,$11.85,$11.07
12/14/2023,$11.72,"567,350",$11.61,$11.90,$11.48
12/13/2023,$11.29,"581,007",$10.34,$11.31,$10.25
12/12/2023,$10.44,"319,286",$10.44,$10.515,$10.30
12/11/2023,$10.44,"326,160",$10.39,$10.54,$10.25
12/08/2023,$10.42,"481,445",$10.42,$10.59,$10.21
12/07/2023,$10.46,"630,994",$10.16,$10.51,$10.02
12/06/2023,$10.16,"455,549",$10.03,$10.28,$9.99
12/05/2023,$9.97,"775,282",$9.71,$10.185,$9.67
12/04/2023,$9.80,"426,957",$9.44,$9.83,$9.41
12/01/2023,$9.49,"713,217",$8.78,$9.49,$8.65
11/30/2023,$8.81,"1,425,309",$9.09,$9.125,$8.78
11/29/2023,$9.06,"278,703",$9.11,$9.33,$9.03
11/28/2023,$8.99,"280,400",$8.97,$9.07,$8.885
11/27/2023,$9.04,"281,510",$8.83,$9.075,$8.7987
11/24/2023,$8.89,"102,436",$8.80,$8.96,$8.77
11/22/2023,$8.79,"228,544",$8.95,$9.01,$8.75
11/21/2023,$8.85,"228,279",$8.90,$8.998,$8.80
11/20/2023,$9.04,"366,569",$8.85,$9.17,$8.79
11/17/2023,$8.88,"347,529",$8.68,$8.88,$8.64
11/16/2023,$8.58,"555,100",$8.76,$8.87,$8.38
11/15/2023,$8.80,"481,659",$8.40,$8.83,$8.40
11/14/2023,$8.45,"747,030",$7.78,$8.50,$7.78
11/13/2023,$7.26,"523,499",$7.03,$7.30,$7.00
11/10/2023,$7.03,"506,430",$6.88,$7.05,$6.72
11/09/2023,$6.87,"522,343",$7.13,$7.1505,$6.81
11/08/2023,$7.03,"558,568",$7.33,$7.39,$6.99
11/07/2023,$7.31,"540,148",$7.51,$7.56,$7.25
11/06/2023,$7.53,"309,820",$7.49,$7.59,$7.30
11/03/2023,$7.47,"239,596",$7.44,$7.63,$7.40
11/02/2023,$7.28,"332,196",$7.20,$7.43,$7.10
11/01/2023,$7.14,"355,616",$7.35,$7.3764,$7.13
10/31/2023,$7.41,"281,130",$7.37,$7.49,$7.27
10/30/2023,$7.40,"359,385",$7.30,$7.49,$7.26
10/27/2023,$7.22,"424,944",$7.33,$7.45,$7.19
10/26/2023,$7.31,"431,699",$7.25,$7.39,$7.16
10/25/2023,$7.28,"800,473",$7.03,$7.29,$7.01
10/24/2023,$7.01,"1,824,666",$7.28,$7.8184,$7.00
10/23/2023,$8.89,"540,776",$9.25,$9.35,$8.83
10/20/2023,$9.28,"404,426",$9.37,$9.37,$9.20
10/19/2023,$9.33,"416,742",$9.72,$9.725,$9.2299
10/18/2023,$9.76,"236,850",$9.84,$9.98,$9.62
10/17/2023,$10.00,"405,864",$9.88,$10.10,$9.88
10/16/2023,$9.89,"369,767",$9.44,$9.92,$9.42
10/13/2023,$9.37,"369,711",$9.63,$9.70,$9.35
10/12/2023,$9.55,"326,106",$9.98,$10.01,$9.36
10/11/2023,$9.99,"246,158",$10.01,$10.04,$9.79
10/10/2023,$9.98,"271,042",$9.93,$10.08,$9.845
10/09/2023,$9.87,"199,009",$9.68,$9.92,$9.59
10/06/2023,$9.79,"286,498",$9.74,$9.85,$9.59
10/05/2023,$9.82,"418,641",$9.68,$9.83,$9.61
10/04/2023,$9.82,"250,619",$9.88,$9.92,$9.72
10/03/2023,$9.83,"287,477",$10.00,$10.00,$9.72
10/02/2023,$9.97,"330,221",$10.49,$10.57,$9.935
09/29/2023,$10.47,"306,940",$10.72,$10.78,$10.44
09/28/2023,$10.64,"356,067",$10.26,$10.66,$10.25
09/27/2023,$10.39,"268,691",$10.30,$10.49,$10.21
09/26/2023,$10.29,"531,156",$10.43,$10.63,$10.24
09/25/2023,$10.46,"322,135",$10.34,$10.56,$10.245
09/22/2023,$10.45,"414,981",$10.72,$10.8425,$10.42
09/21/2023,$10.66,"737,756",$9.94,$10.67,$9.92
09/20/2023,$10.00,"615,491",$9.91,$10.17,$9.89
09/19/2023,$9.77,"430,781",$9.64,$9.795,$9.605
09/18/2023,$9.62,"1,058,989",$9.80,$9.82,$9.38
09/15/2023,$9.75,"9,135,767",$9.92,$10.37,$9.69
09/14/2023,$10.42,"692,089",$10.17,$10.49,$10.09
09/13/2023,$10.05,"615,052",$9.94,$10.24,$9.87
09/12/2023,$10.13,"612,651",$10.27,$10.36,$10.00
09/11/2023,$10.26,"570,532",$10.40,$10.5013,$10.195
09/08/2023,$10.41,"729,330",$10.31,$10.6396,$10.10
09/07/2023,$10.15,"1,089,099",$10.40,$10.61,$10.00
09/06/2023,$10.55,"880,010",$10.69,$10.87,$10.44
09/05/2023,$10.67,"1,738,782",$11.19,$11.24,$10.05
09/01/2023,$12.26,"189,755",$12.17,$12.44,$12.17
08/31/2023,$12.07,"280,698",$11.92,$12.16,$11.92
08/30/2023,$11.95,"230,639",$12.05,$12.33,$11.94
08/29/2023,$12.03,"227,532",$11.76,$12.075,$11.76
08/28/2023,$11.74,"222,280",$11.92,$12.23,$11.74
08/25/2023,$11.87,"122,830",$11.95,$12.08,$11.79
08/24/2023,$11.89,"204,054",$12.00,$12.15,$11.85
08/23/2023,$12.08,"126,055",$11.93,$12.106,$11.9001
08/22/2023,$11.99,"219,215",$12.55,$12.62,$11.97
08/21/2023,$12.50,"334,535",$12.52,$12.71,$12.28
08/18/2023,$12.46,"172,650",$12.25,$12.53,$12.25
08/17/2023,$12.42,"155,814",$12.68,$12.75,$12.38
08/16/2023,$12.61,"209,480",$12.62,$12.91,$12.61
08/15/2023,$12.61,"161,113",$12.40,$12.65,$12.30
08/14/2023,$12.55,"205,850",$12.88,$12.88,$12.47
08/11/2023,$13.01,"151,604",$13.26,$13.32,$12.95
08/10/2023,$13.21,"261,069",$13.66,$13.93,$13.10
08/09/2023,$13.59,"232,814",$13.72,$13.72,$13.27
08/08/2023,$13.79,"216,737",$13.55,$13.98,$13.383
08/07/2023,$13.69,"240,261",$13.63,$13.79,$13.39
08/04/2023,$13.60,"317,765",$13.23,$13.68,$13.09
08/03/2023,$13.15,"295,354",$14.12,$14.19,$13.04
08/02/2023,$14.23,"391,775",$14.12,$14.56,$13.82
08/01/2023,$14.38,"702,309",$14.29,$14.90,$13.22
07/31/2023,$15.82,"431,964",$15.50,$15.9325,$15.50
07/28/2023,$15.43,"202,828",$15.47,$15.65,$15.325
07/27/2023,$15.38,"202,071",$15.73,$15.805,$15.27
07/26/2023,$15.69,"213,631",$15.58,$16.16,$15.55
07/25/2023,$15.39,"159,840",$15.97,$15.97,$15.33
07/24/2023,$16.04,"205,100",$15.71,$16.15,$15.61
07/21/2023,$15.66,"213,171",$15.77,$15.77,$15.47
07/20/2023,$15.57,"218,598",$15.76,$15.76,$15.34
07/19/2023,$15.77,"174,878",$15.44,$15.86,$15.44
07/18/2023,$15.31,"182,869",$15.04,$15.46,$15.04
07/17/2023,$15.09,"226,893",$14.69,$15.17,$14.6425
07/14/2023,$14.79,"180,961",$14.85,$15.075,$14.55
07/13/2023,$15.00,"326,465",$14.48,$15.15,$14.27
07/12/2023,$14.55,"313,147",$14.55,$14.83,$14.37
07/11/2023,$14.32,"309,421",$13.99,$14.41,$13.89
07/10/2023,$13.78,"611,135",$14.53,$14.73,$13.07
07/07/2023,$15.28,"518,771",$14.60,$15.53,$14.60
07/06/2023,$14.46,"683,776",$13.94,$14.62,$13.86
07/05/2023,$14.23,"365,270",$14.35,$14.54,$13.56
07/03/2023,$14.56,"123,752",$14.02,$14.57,$14.02
06/30/2023,$14.14,"211,062",$14.50,$14.50,$13.985
06/29/2023,$14.33,"192,344",$14.12,$14.44,$14.03
06/28/2023,$14.06,"178,072",$13.83,$14.10,$13.69
06/27/2023,$13.86,"232,265",$12.88,$13.88,$12.7999
06/26/2023,$12.78,"147,211",$12.55,$12.83,$12.55
06/23/2023,$12.61,"330,803",$12.78,$12.94,$12.57
06/22/2023,$13.02,"144,793",$13.30,$13.34,$12.93
06/21/2023,$13.30,"154,422",$13.34,$13.53,$13.19
06/20/2023,$13.37,"300,124",$13.21,$13.50,$13.05
06/16/2023,$13.32,"2,026,082",$13.74,$13.74,$13.09
06/15/2023,$13.61,"256,349",$12.99,$13.67,$12.99
06/14/2023,$13.16,"359,902",$14.15,$14.23,$13.13
06/13/2023,$14.26,"242,445",$14.24,$14.67,$14.17
06/12/2023,$14.24,"270,596",$13.99,$14.33,$13.59
06/09/2023,$13.98,"240,048",$14.37,$14.39,$13.8725
06/08/2023,$14.41,"257,878",$14.50,$14.7094,$13.99
06/07/2023,$14.63,"400,658",$14.01,$14.875,$13.9044
06/06/2023,$13.96,"260,130",$12.98,$14.03,$12.98
06/05/2023,$13.04,"204,068",$12.71,$13.07,$12.52
06/02/2023,$12.89,"298,814",$12.47,$12.93,$12.44
06/01/2023,$12.25,"202,579",$12.26,$12.415,$12.0725
05/31/2023,$12.24,"257,245",$12.39,$12.395,$12.05
05/30/2023,$12.55,"142,680",$12.61,$12.61,$12.3111
05/26/2023,$12.59,"114,973",$12.37,$12.63,$12.25
05/25/2023,$12.37,"103,068",$12.70,$12.74,$12.25
05/24/2023,$12.64,"176,189",$12.77,$12.80,$12.37
05/23/2023,$12.78,"167,840",$12.66,$13.135,$12.66
05/22/2023,$12.75,"144,189",$12.66,$12.85,$12.45
05/19/2023,$12.58,"234,236",$13.03,$13.03,$12.56
05/18/2023,$12.99,"212,324",$12.67,$13.07,$12.5801
05/17/2023,$12.71,"189,463",$12.27,$12.76,$12.22
05/16/2023,$12.21,"147,137",$12.41,$12.47,$12.19
05/15/2023,$12.62,"162,114",$12.47,$12.65,$12.395
05/12/2023,$12.45,"241,686",$12.65,$12.77,$12.35
05/11/2023,$12.56,"263,907",$12.53,$12.615,$12.24
05/10/2023,$12.62,"295,737",$12.75,$12.93,$12.54
05/09/2023,$12.58,"290,501",$12.28,$12.72,$12.20
05/08/2023,$12.35,"176,186",$12.36,$12.39,$12.19
05/05/2023,$12.34,"268,252",$12.16,$12.44,$12.14
05/04/2023,$11.89,"305,437",$12.03,$12.24,$11.84
05/03/2023,$12.12,"259,224",$12.35,$12.50,$12.11
05/02/2023,$12.24,"417,857",$13.17,$13.17,$12.07
05/01/2023,$13.21,"348,556",$13.36,$13.49,$13.07
04/28/2023,$13.35,"350,750",$13.35,$13.86,$13.30
04/27/2023,$13.23,"531,113",$13.20,$13.48,$13.04
04/26/2023,$13.13,"994,184",$12.78,$13.72,$12.60
04/25/2023,$12.62,"1,198,574",$12.25,$13.28,$11.75
04/24/2023,$10.22,"299,703",$10.13,$10.36,$10.12
04/21/2023,$10.15,"340,227",$10.28,$10.36,$10.02
04/20/2023,$10.32,"316,395",$10.25,$10.44,$10.20
04/19/2023,$10.35,"238,947",$10.38,$10.42,$10.23
04/18/2023,$10.43,"270,611",$10.65,$10.695,$10.30
04/17/2023,$10.65,"194,849",$10.60,$10.715,$10.48
04/14/2023,$10.59,"195,986",$10.82,$10.98,$10.50
04/13/2023,$10.72,"254,906",$10.58,$10.86,$10.44
04/12/2023,$10.47,"317,417",$10.86,$10.935,$10.45
04/11/2023,$10.60,"363,645",$10.21,$10.78,$10.21
04/10/2023,$10.21,"854,043",$9.90,$10.485,$9.90
04/06/2023,$9.89,"439,078",$9.53,$10.005,$9.31
04/05/2023,$9.54,"232,894",$9.51,$9.68,$9.42
04/04/2023,$9.62,"333,493",$9.74,$9.75,$9.35
04/03/2023,$9.68,"378,000",$9.63,$9.79,$9.42
03/31/2023,$9.66,"496,892",$9.21,$9.705,$9.195
03/30/2023,$9.12,"623,921",$9.18,$9.38,$9.00
03/29/2023,$9.03,"723,880",$9.00,$9.19,$8.96
03/28/2023,$9.22,"278,901",$9.22,$9.43,$9.175
03/27/2023,$9.26,"263,230",$9.36,$9.40,$9.195
03/24/2023,$9.21,"439,993",$9.02,$9.25,$8.92
03/23/2023,$9.14,"439,172",$9.10,$9.31,$8.97
03/22/2023,$9.00,"523,087",$9.33,$9.59,$8.99
03/21/2023,$9.29,"661,464",$9.65,$9.76,$9.22
03/20/2023,$9.38,"436,919",$9.52,$9.70,$9.26
03/17/2023,$9.46,"657,696",$9.88,$9.94,$9.39
03/16/2023,$10.05,"327,425",$10.00,$10.3399,$9.78
03/15/2023,$10.20,"323,710",$10.25,$10.34,$9.96
03/14/2023,$10.50,"296,791",$10.83,$10.865,$10.40
03/13/2023,$10.46,"331,755",$10.85,$10.88,$10.30
03/10/2023,$11.16,"260,052",$11.47,$11.47,$10.94
03/09/2023,$11.51,"285,237",$12.06,$12.15,$11.49
03/08/2023,$12.16,"259,518",$12.28,$12.28,$11.87
03/07/2023,$12.26,"274,162",$11.99,$12.31,$11.77
03/06/2023,$12.00,"575,452",$12.79,$12.85,$11.96
03/03/2023,$12.78,"854,792",$12.36,$12.93,$12.36
03/02/2023,$12.37,"1,099,345",$12.24,$13.20,$11.51
03/01/2023,$14.40,"250,668",$14.23,$14.535,$14.15
02/28/2023,$14.35,"219,884",$14.26,$14.685,$14.26
