Date,Close,Volume,Open,High,Low
03/01/2024,$179.66,"73,563,080",$179.55,$180.53,$177.38
02/29/2024,$180.75,"136,682,600",$181.27,$182.57,$179.53
02/28/2024,$181.42,"48,953,940",$182.51,$183.12,$180.13
02/27/2024,$182.63,"54,318,850",$181.10,$183.9225,$179.56
02/26/2024,$181.16,"40,867,420",$182.24,$182.76,$180.65
02/23/2024,$182.52,"45,119,680",$185.01,$185.04,$182.23
02/22/2024,$184.37,"52,292,210",$183.48,$184.955,$182.46
02/21/2024,$182.32,"41,529,670",$181.94,$182.8888,$180.66
02/20/2024,$181.56,"53,665,550",$181.79,$182.43,$180.00
02/16/2024,$182.31,"49,752,470",$183.42,$184.85,$181.665
02/15/2024,$183.86,"65,434,500",$183.55,$184.49,$181.35
02/14/2024,$184.15,"54,630,520",$185.32,$185.53,$182.44
02/13/2024,$185.04,"56,529,530",$185.77,$186.21,$183.5128
02/12/2024,$187.15,"41,781,930",$188.415,$188.67,$186.79
02/09/2024,$188.85,"45,155,220",$188.65,$189.99,$188.00
02/08/2024,$188.32,"40,962,050",$189.385,$189.535,$187.35
02/07/2024,$189.41,"53,438,960",$190.64,$191.05,$188.61
02/06/2024,$189.30,"43,490,760",$186.86,$189.31,$186.7695
02/05/2024,$187.68,"69,668,820",$188.15,$189.25,$185.84
02/02/2024,$185.85,"102,551,700",$179.86,$187.33,$179.25
02/01/2024,$186.86,"64,885,410",$183.985,$186.95,$183.82
01/31/2024,$184.40,"55,467,800",$187.04,$187.095,$184.35
01/30/2024,$188.04,"55,859,370",$190.94,$191.80,$187.47
01/29/2024,$191.73,"47,145,620",$192.01,$192.20,$189.58
01/26/2024,$192.42,"44,594,010",$194.27,$194.76,$191.94
01/25/2024,$194.17,"54,822,130",$195.22,$196.2675,$193.1125
01/24/2024,$194.50,"53,631,320",$195.42,$196.38,$194.34
01/23/2024,$195.18,"42,355,590",$195.02,$195.75,$193.8299
01/22/2024,$193.89,"60,133,850",$192.30,$195.33,$192.26
01/19/2024,$191.56,"68,902,990",$189.33,$191.95,$188.82
01/18/2024,$188.63,"78,005,750",$186.09,$189.14,$185.83
01/17/2024,$182.68,"47,317,430",$181.27,$182.93,$180.30
01/16/2024,$183.63,"65,603,040",$182.16,$184.26,$180.934
01/12/2024,$185.92,"40,477,780",$186.06,$186.74,$185.19
01/11/2024,$185.59,"49,128,410",$186.54,$187.05,$183.62
01/10/2024,$186.19,"46,792,910",$184.35,$186.40,$183.92
01/09/2024,$185.14,"42,841,810",$183.92,$185.15,$182.73
01/08/2024,$185.56,"59,144,470",$182.085,$185.60,$181.50
01/05/2024,$181.18,"62,379,660",$181.99,$182.76,$180.17
01/04/2024,$181.91,"71,983,570",$182.15,$183.0872,$180.88
01/03/2024,$184.25,"58,414,460",$184.22,$185.88,$183.43
01/02/2024,$185.64,"82,488,670",$187.15,$188.44,$183.885
12/29/2023,$192.53,"42,672,150",$193.90,$194.40,$191.725
12/28/2023,$193.58,"34,049,900",$194.14,$194.66,$193.17
12/27/2023,$193.15,"48,087,680",$192.49,$193.50,$191.09
