Date,Close,Volume,Open,High,Low
03/01/2024,$3.17,"1,472,726",$3.17,$3.24,$2.98
02/29/2024,$3.14,"1,350,096",$3.26,$3.29,$3.115
02/28/2024,$3.23,"932,427",$3.28,$3.40,$3.22
02/27/2024,$3.31,"1,525,264",$3.26,$3.38,$3.2205
02/26/2024,$3.23,"1,303,707",$3.23,$3.39,$3.182
02/23/2024,$3.26,"1,331,030",$3.30,$3.34,$3.12
02/22/2024,$3.24,"1,494,222",$3.41,$3.41,$3.1601
02/21/2024,$3.40,"1,233,668",$3.48,$3.48,$3.26
02/20/2024,$3.47,"1,820,928",$3.65,$3.7699,$3.41
02/16/2024,$3.93,"907,302",$3.90,$3.93,$3.80
02/15/2024,$3.90,"987,865",$3.97,$3.99,$3.83
02/14/2024,$3.99,"779,115",$3.90,$3.99,$3.70
02/13/2024,$3.922,"667,475",$4.029,$4.029,$3.846
02/12/2024,$4.00,"981,141",$4.30,$4.345,$3.921
02/09/2024,$4.343,"699,882",$4.20,$4.392,$4.002
02/08/2024,$4.08,"856,551",$4.10,$4.122,$3.70
02/07/2024,$3.964,"406,680",$4.10,$4.10,$3.93
02/06/2024,$4.00,"569,753",$3.901,$4.045,$3.802
02/05/2024,$3.80,"398,165",$4.00,$4.00,$3.80
02/02/2024,$3.88,"357,019",$4.033,$4.0789,$3.875
02/01/2024,$3.989,"910,345",$3.87,$4.098,$3.77
01/31/2024,$3.801,"659,131",$3.888,$3.94,$3.80
01/30/2024,$3.96,"337,255",$4.03,$4.08,$3.95
01/29/2024,$4.088,"461,329",$4.00,$4.10,$3.888
01/26/2024,$3.991,"308,270",$4.05,$4.10,$3.931
01/25/2024,$4.05,"460,280",$3.914,$4.10,$3.8743
01/24/2024,$3.86,"1,098,809",$4.112,$4.12,$3.812
01/23/2024,$4.12,"366,760",$4.238,$4.275,$4.10
01/22/2024,$4.20,"276,175",$4.15,$4.263,$4.15
01/19/2024,$4.114,"556,474",$4.131,$4.19,$3.97
