Date,Close,Volume,Open,High,Low
03/01/2024,$11.49,"565,425",$11.22,$11.52,$11.20
02/29/2024,$11.33,"887,913",$10.99,$11.61,$10.83
02/28/2024,$10.55,"240,358",$10.40,$10.6099,$10.37
02/27/2024,$10.50,"236,573",$10.55,$10.63,$10.44
02/26/2024,$10.47,"208,561",$10.38,$10.49,$10.344
02/23/2024,$10.43,"165,260",$10.29,$10.56,$10.29
02/22/2024,$10.32,"241,686",$10.27,$10.375,$10.245
02/21/2024,$10.30,"151,933",$10.15,$10.34,$10.15
02/20/2024,$10.17,"175,640",$10.27,$10.305,$10.11
02/16/2024,$10.41,"206,966",$10.37,$10.45,$10.29
02/15/2024,$10.47,"225,881",$10.36,$10.47,$10.22
02/14/2024,$10.28,"184,246",$10.11,$10.305,$10.02
02/13/2024,$10.03,"276,925",$10.30,$10.33,$9.94
02/12/2024,$10.65,"236,241",$10.34,$10.70,$10.34
02/09/2024,$10.34,"176,722",$10.30,$10.38,$10.24
02/08/2024,$10.21,"278,077",$10.11,$10.25,$10.11
02/07/2024,$10.10,"137,299",$10.09,$10.16,$10.04
02/06/2024,$10.11,"196,748",$9.89,$10.225,$9.89
02/05/2024,$9.97,"187,223",$9.93,$10.025,$9.83
02/02/2024,$10.08,"233,842",$10.37,$10.37,$10.08
02/01/2024,$10.50,"326,955",$10.35,$10.52,$10.30
01/31/2024,$10.25,"277,934",$10.41,$10.50,$10.25
01/30/2024,$10.44,"178,601",$10.55,$10.58,$10.43
01/29/2024,$10.61,"165,649",$10.51,$10.645,$10.45
01/26/2024,$10.54,"210,395",$10.56,$10.635,$10.51
01/25/2024,$10.50,"277,286",$10.50,$10.59,$10.41
01/24/2024,$10.34,"211,467",$10.42,$10.42,$10.29
01/23/2024,$10.29,"222,635",$10.26,$10.35,$10.225
01/22/2024,$10.15,"200,353",$10.16,$10.295,$10.095
01/19/2024,$10.10,"294,212",$10.13,$10.255,$9.97
01/18/2024,$10.08,"259,051",$9.92,$10.09,$9.88
01/17/2024,$9.91,"304,790",$9.90,$10.085,$9.895
01/16/2024,$9.95,"214,775",$9.80,$9.95,$9.80
01/12/2024,$9.90,"207,253",$10.05,$10.105,$9.90
01/11/2024,$9.94,"449,893",$10.02,$10.04,$9.885
01/10/2024,$10.06,"333,248",$9.79,$10.065,$9.79
01/09/2024,$9.83,"269,581",$9.95,$9.96,$9.81
01/08/2024,$9.96,"216,530",$9.87,$9.98,$9.87
01/05/2024,$9.85,"297,038",$9.80,$9.96,$9.76
01/04/2024,$9.83,"201,109",$9.93,$9.93,$9.78
01/03/2024,$9.89,"236,084",$10.28,$10.28,$9.8738
01/02/2024,$10.34,"265,947",$10.22,$10.485,$10.1962
12/29/2023,$10.27,"225,021",$10.44,$10.44,$10.25
12/28/2023,$10.44,"164,649",$10.33,$10.476,$10.33
12/27/2023,$10.37,"176,550",$10.30,$10.38,$10.255
12/26/2023,$10.34,"161,737",$10.18,$10.395,$10.18
12/22/2023,$10.26,"155,321",$10.35,$10.39,$10.25
12/21/2023,$10.27,"225,920",$10.15,$10.28,$10.14
12/20/2023,$10.10,"311,035",$10.28,$10.395,$10.07
12/19/2023,$10.29,"228,730",$10.07,$10.31,$10.00
12/18/2023,$9.97,"261,582",$10.00,$10.02,$9.935
12/15/2023,$9.95,"546,697",$10.23,$10.23,$9.91
12/14/2023,$10.15,"493,408",$10.25,$10.40,$9.975
12/13/2023,$10.11,"342,763",$9.85,$10.12,$9.77
12/12/2023,$9.83,"242,034",$9.94,$9.95,$9.72
12/11/2023,$9.94,"294,118",$10.15,$10.22,$9.93
12/08/2023,$10.15,"266,751",$9.98,$10.15,$9.97
12/07/2023,$9.99,"239,307",$9.96,$10.00,$9.90
12/06/2023,$9.96,"201,116",$10.09,$10.22,$9.92
12/05/2023,$10.05,"289,789",$10.03,$10.165,$10.02
12/04/2023,$10.10,"338,786",$10.12,$10.24,$10.05
12/01/2023,$10.20,"370,289",$10.07,$10.25,$10.05
11/30/2023,$10.14,"424,434",$10.20,$10.27,$10.08
11/29/2023,$10.19,"354,190",$10.19,$10.49,$10.18
11/28/2023,$10.07,"1,277,799",$10.16,$10.192,$10.015
11/27/2023,$10.21,"431,472",$10.29,$10.359,$10.14
11/24/2023,$10.36,"319,121",$10.23,$10.46,$10.08
11/22/2023,$10.19,"580,117",$10.22,$10.36,$10.15
11/21/2023,$10.12,"326,375",$10.40,$10.46,$10.11
11/20/2023,$10.41,"569,570",$10.50,$10.61,$10.325
11/17/2023,$10.47,"395,789",$10.58,$10.67,$10.45
11/16/2023,$10.60,"310,356",$10.84,$10.88,$10.53
11/15/2023,$10.84,"187,258",$11.00,$11.09,$10.83
11/14/2023,$11.07,"306,579",$10.99,$11.125,$10.84
11/13/2023,$10.64,"145,819",$10.72,$10.785,$10.64
11/10/2023,$10.74,"214,650",$10.58,$10.82,$10.52
11/09/2023,$10.60,"304,375",$10.81,$11.00,$10.54
11/08/2023,$10.93,"467,340",$10.69,$11.08,$10.16
11/07/2023,$10.34,"421,864",$10.28,$10.38,$10.25
11/06/2023,$10.38,"192,265",$10.38,$10.44,$10.31
11/03/2023,$10.38,"288,570",$10.31,$10.50,$10.29
11/02/2023,$10.11,"240,015",$10.00,$10.11,$9.94
11/01/2023,$9.88,"220,243",$9.85,$9.99,$9.79
10/31/2023,$9.85,"232,006",$9.87,$9.94,$9.76
10/30/2023,$9.88,"252,659",$9.79,$9.91,$9.705
10/27/2023,$9.74,"264,552",$9.79,$9.86,$9.64
10/26/2023,$9.78,"241,954",$10.03,$10.08,$9.74
10/25/2023,$9.98,"207,202",$10.22,$10.34,$9.96
10/24/2023,$10.31,"182,059",$10.29,$10.46,$10.28
10/23/2023,$10.23,"252,635",$10.12,$10.45,$10.12
10/20/2023,$10.13,"317,952",$10.20,$10.21,$10.095
10/19/2023,$10.19,"251,857",$10.18,$10.33,$10.15
10/18/2023,$10.15,"221,529",$10.17,$10.255,$10.14
10/17/2023,$10.28,"327,738",$10.11,$10.3603,$10.10
10/16/2023,$10.16,"417,968",$10.29,$10.32,$10.12
10/13/2023,$10.22,"318,412",$10.40,$10.5452,$10.195
10/12/2023,$10.47,"280,502",$10.92,$10.92,$10.43
10/11/2023,$10.88,"176,287",$11.03,$11.05,$10.825
10/10/2023,$10.97,"281,877",$11.06,$11.17,$10.96
10/09/2023,$11.01,"221,605",$10.85,$11.155,$10.79
10/06/2023,$10.89,"223,220",$10.72,$11.065,$10.72
10/05/2023,$10.76,"262,264",$10.66,$10.815,$10.62
10/04/2023,$10.75,"229,864",$10.73,$10.83,$10.63
10/03/2023,$10.75,"230,687",$10.71,$10.805,$10.685
10/02/2023,$10.81,"387,138",$10.92,$10.96,$10.64
09/29/2023,$10.95,"320,279",$10.94,$11.06,$10.91
09/28/2023,$10.91,"232,581",$10.68,$10.925,$10.66
09/27/2023,$10.67,"288,932",$10.77,$10.925,$10.655
09/26/2023,$10.72,"333,856",$10.71,$10.835,$10.66
09/25/2023,$10.76,"247,600",$10.75,$10.90,$10.72
09/22/2023,$10.84,"223,490",$10.86,$10.94,$10.76
09/21/2023,$10.82,"252,161",$10.92,$10.98,$10.75
09/20/2023,$11.03,"453,051",$11.15,$11.24,$11.03
09/19/2023,$11.15,"272,264",$11.01,$11.1989,$11.01
09/18/2023,$11.00,"364,474",$10.77,$11.09,$10.77
09/15/2023,$10.76,"812,900",$11.09,$11.09,$10.62
09/14/2023,$11.13,"322,511",$11.04,$11.23,$11.02
09/13/2023,$10.97,"405,596",$11.24,$11.29,$10.96
09/12/2023,$11.28,"217,503",$11.37,$11.47,$11.27
09/11/2023,$11.33,"278,594",$11.50,$11.55,$11.31
09/08/2023,$11.41,"279,041",$11.59,$11.62,$11.40
09/07/2023,$11.61,"372,519",$11.69,$11.78,$11.60
09/06/2023,$11.69,"252,057",$11.56,$11.76,$11.54
09/05/2023,$11.56,"287,504",$11.87,$11.875,$11.47
09/01/2023,$11.87,"224,033",$11.93,$11.98,$11.71
08/31/2023,$11.89,"269,591",$11.72,$11.95,$11.70
08/30/2023,$11.70,"251,407",$11.64,$11.74,$11.57
08/29/2023,$11.73,"1,912,183",$11.69,$11.97,$11.37
08/28/2023,$11.69,"284,127",$11.37,$11.71,$11.37
08/25/2023,$11.37,"254,015",$11.46,$11.56,$11.30
08/24/2023,$11.40,"294,977",$11.25,$11.45,$11.19
08/23/2023,$11.30,"434,390",$10.98,$11.52,$10.98
08/22/2023,$10.93,"131,924",$10.93,$11.01,$10.92
08/21/2023,$10.89,"157,520",$10.74,$10.95,$10.65
08/18/2023,$10.75,"260,970",$10.49,$10.80,$10.30
08/17/2023,$10.58,"207,784",$10.79,$10.86,$10.56
08/16/2023,$10.80,"172,265",$11.01,$11.12,$10.80
08/15/2023,$11.03,"241,628",$11.13,$11.13,$10.94
