Date,Close,Volume,Open,High,Low
03/01/2024,$1.36,"549,598",$1.34,$1.42,$1.31
02/29/2024,$1.32,"2,377,431",$1.60,$1.76,$1.25
02/28/2024,$1.57,"1,172,846",$1.56,$1.58,$1.40
02/27/2024,$1.49,"2,125,781",$1.38,$1.5473,$1.362
02/26/2024,$1.36,"1,644,802",$1.40,$1.43,$1.30
02/23/2024,$1.36,"1,968,174",$1.35,$1.42,$1.26
02/22/2024,$1.36,"5,613,476",$1.26,$1.43,$1.16
02/21/2024,$1.23,"2,907,078",$1.11,$1.25,$1.11
02/20/2024,$1.08,"3,115,017",$1.09,$1.14,$1.022
02/16/2024,$1.06,"2,659,772",$0.96,$1.078,$0.9404
02/15/2024,$0.9598,"779,104",$0.97,$0.98,$0.935
02/14/2024,$0.9749,"282,501",$0.9714,$0.989,$0.9311
02/13/2024,$0.95,"463,296",$0.9304,$0.99,$0.9101
02/12/2024,$0.9564,"633,669",$0.94,$0.97,$0.9301
02/09/2024,$0.94,"1,844,180",$0.9418,$0.9598,$0.875
02/08/2024,$0.94,"567,490",$0.91,$0.95,$0.88
02/07/2024,$0.92,"408,033",$0.92,$0.95,$0.90
02/06/2024,$0.9177,"1,243,169",$0.9801,$1.01,$0.895
02/05/2024,$0.98,"878,423",$0.95,$1.09,$0.95
02/02/2024,$0.984,"187,417",$1.01,$1.03,$0.9622
02/01/2024,$1.00,"1,307,032",$0.93,$1.04,$0.91
01/31/2024,$0.93,"1,763,746",$0.883,$0.94,$0.85
01/30/2024,$0.89,"508,142",$0.9625,$0.9625,$0.8889
01/29/2024,$0.9501,"460,605",$0.9548,$0.96,$0.90
01/26/2024,$0.96,"356,190",$0.96,$0.9799,$0.92
01/25/2024,$0.961,"1,398,041",$0.89,$0.9745,$0.89
01/24/2024,$0.908,"142,099",$0.901,$0.929,$0.89
01/23/2024,$0.90,"525,117",$0.84,$0.9187,$0.84
01/22/2024,$0.8352,"138,578",$0.8244,$0.86,$0.82
01/19/2024,$0.8227,"52,286",$0.80,$0.8529,$0.80
01/18/2024,$0.8263,"194,805",$0.8482,$0.8799,$0.8206
01/17/2024,$0.8512,"142,330",$0.8995,$0.911,$0.8447
01/16/2024,$0.8808,"77,442",$0.9033,$0.9033,$0.8505
01/12/2024,$0.886,"129,526",$0.9003,$0.9003,$0.8821
01/11/2024,$0.9083,"157,873",$0.94,$0.94,$0.881
01/10/2024,$0.94,"248,190",$0.93,$0.95,$0.89
01/09/2024,$0.9399,"774,468",$0.8801,$0.97,$0.8801
01/08/2024,$0.8801,"271,349",$0.8417,$0.89,$0.8417
01/05/2024,$0.84,"151,468",$0.88,$0.88,$0.84
01/04/2024,$0.85,"110,380",$0.87,$0.88,$0.85
01/03/2024,$0.8505,"171,440",$0.87,$0.8799,$0.8502
01/02/2024,$0.872,"222,219",$0.88,$0.89,$0.8611
12/29/2023,$0.889,"458,633",$0.88,$0.89,$0.8588
12/28/2023,$0.87,"193,412",$0.8634,$0.8822,$0.85
12/27/2023,$0.8634,"163,387",$0.8022,$0.87,$0.8022
12/26/2023,$0.8275,"175,081",$0.79,$0.8448,$0.79
12/22/2023,$0.8203,"234,035",$0.8201,$0.8495,$0.81
12/21/2023,$0.8304,"147,528",$0.82,$0.8499,$0.8086
12/20/2023,$0.83,"146,288",$0.85,$0.859,$0.825
12/19/2023,$0.841,"235,792",$0.85,$0.86,$0.825
12/18/2023,$0.8541,"185,845",$0.8586,$0.868,$0.83
12/15/2023,$0.87,"121,670",$0.8498,$0.8769,$0.835
12/14/2023,$0.86,"795,929",$0.86,$0.9136,$0.8454
12/13/2023,$0.9639,"276,138",$0.88,$0.9677,$0.8796
12/12/2023,$0.90,"73,896",$0.8701,$0.93,$0.87
12/11/2023,$0.9135,"165,177",$0.9537,$0.9537,$0.81
12/08/2023,$0.94,"278,609",$0.91,$0.9752,$0.89
12/07/2023,$0.8925,"634,902",$0.822,$0.93,$0.814
12/06/2023,$0.84,"90,861",$0.84,$0.849,$0.82
12/05/2023,$0.845,"83,162",$0.8448,$0.845,$0.8111
12/04/2023,$0.83,"80,223",$0.82,$0.8498,$0.8101
12/01/2023,$0.821,"56,622",$0.845,$0.85,$0.81
11/30/2023,$0.826,"34,937",$0.8496,$0.85,$0.826
11/29/2023,$0.8501,"124,112",$0.86,$0.86,$0.82
11/28/2023,$0.8444,"122,371",$0.8351,$0.87,$0.8202
11/27/2023,$0.8351,"151,863",$0.82,$0.85,$0.8101
11/24/2023,$0.82,"21,188",$0.81,$0.82,$0.7925
11/22/2023,$0.798,"29,439",$0.79,$0.798,$0.75
11/21/2023,$0.805,"28,293",$0.781,$0.8099,$0.781
11/20/2023,$0.81,"44,003",$0.8259,$0.8259,$0.80
11/17/2023,$0.81,"106,079",$0.764,$0.83,$0.745
11/16/2023,$0.778,"252,250",$0.78,$0.81,$0.7402
11/15/2023,$0.801,"137,140",$0.83,$0.83,$0.76
11/14/2023,$0.81,"99,425",$0.8299,$0.8398,$0.785
11/13/2023,$0.80,"21,254",$0.80,$0.83,$0.80
11/10/2023,$0.80,"114,944",$0.8735,$0.8735,$0.774
11/09/2023,$0.835,"66,707",$0.8699,$0.87,$0.811
11/08/2023,$0.8566,"9,243",$0.9099,$0.9099,$0.85
11/07/2023,$0.8265,"86,701",$0.898,$0.9199,$0.8265
11/06/2023,$0.898,"80,858",$0.88,$0.898,$0.841
11/03/2023,$0.8633,"66,419",$0.89,$0.89,$0.843
11/02/2023,$0.851,"50,499",$0.841,$0.89,$0.832
11/01/2023,$0.84,"31,460",$0.8677,$0.8799,$0.833
10/31/2023,$0.86,"10,120",$0.884,$0.897,$0.85
10/30/2023,$0.889,"13,235",$0.8914,$0.898,$0.87
10/27/2023,$0.8897,"34,958",$0.865,$0.8979,$0.852
10/26/2023,$0.865,"86,576",$0.902,$0.9199,$0.83
10/25/2023,$0.9099,"44,338",$0.88,$0.9198,$0.8603
10/24/2023,$0.8881,"53,687",$0.89,$0.907,$0.85
10/23/2023,$0.89,"27,655",$0.90,$0.93,$0.88
10/20/2023,$0.9254,"77,837",$0.98,$0.98,$0.9254
10/19/2023,$0.95,"76,346",$0.866,$1.04,$0.866
10/18/2023,$0.875,"32,354",$0.90,$0.9005,$0.875
10/17/2023,$0.87,"50,668",$0.90,$0.90,$0.86
10/16/2023,$0.89,"35,228",$0.87,$0.9079,$0.87
10/13/2023,$0.904,"66,629",$0.87,$0.904,$0.822
10/12/2023,$0.8505,"95,662",$0.86,$0.884,$0.8156
10/11/2023,$0.8404,"34,464",$0.852,$0.8775,$0.8354
10/10/2023,$0.86,"8,283",$0.85,$0.89,$0.8401
10/09/2023,$0.8398,"29,644",$0.8645,$0.865,$0.8302
10/06/2023,$0.8476,"18,164",$0.8342,$0.86,$0.8342
10/05/2023,$0.8599,"15,617",$0.87,$0.87,$0.837
10/04/2023,$0.86,"49,337",$0.86,$0.88,$0.835
10/03/2023,$0.88,"29,437",$0.877,$0.89,$0.854
10/02/2023,$0.91,"34,140",$0.88,$0.92,$0.851
09/29/2023,$0.9099,"3,871",$0.87,$0.9099,$0.87
09/28/2023,$0.9012,"28,062",$0.9101,$0.9101,$0.88
09/27/2023,$0.9234,"141,125",$0.8554,$0.93,$0.8366
09/26/2023,$0.8798,"26,002",$0.90,$0.9197,$0.85
09/25/2023,$0.8933,"18,056",$0.8885,$0.91,$0.865
09/22/2023,$0.8886,"38,086",$0.895,$0.9197,$0.865
09/21/2023,$0.9199,"36,161",$0.8899,$0.9466,$0.886
09/20/2023,$0.8977,"31,462",$0.8719,$0.92,$0.8719
09/19/2023,$0.8641,"6,951",$0.90,$0.90,$0.8521
09/18/2023,$0.8899,"13,067",$0.857,$0.89,$0.857
09/15/2023,$0.8875,"41,752",$0.88,$0.9098,$0.86
09/14/2023,$0.861,"46,793",$0.85,$0.89,$0.85
09/13/2023,$0.85,"51,128",$0.89,$0.895,$0.825
09/12/2023,$0.87,"11,124",$0.89,$0.89,$0.8502
09/11/2023,$0.8495,"59,580",$0.88,$0.899,$0.8215
09/08/2023,$0.865,"98,883",$0.84,$0.87,$0.83
09/07/2023,$0.8351,"262,477",$0.92,$0.925,$0.8212
09/06/2023,$0.925,"32,743",$0.9564,$0.9599,$0.91
09/05/2023,$0.93,"34,759",$0.96,$0.96,$0.93
09/01/2023,$0.95,"69,652",$0.93,$0.96,$0.91
08/31/2023,$0.9302,"123,453",$0.91,$0.96,$0.91
08/30/2023,$0.9199,"32,789",$0.89,$0.9199,$0.89
08/29/2023,$0.882,"35,627",$0.90,$0.92,$0.882
08/28/2023,$0.89,"75,589",$0.90,$0.92,$0.8748
08/25/2023,$0.90,"9,886",$0.904,$0.93,$0.90
08/24/2023,$0.90,"37,114",$0.90,$0.9599,$0.90
08/23/2023,$0.9201,"40,412",$0.91,$0.96,$0.91
08/22/2023,$0.91,"21,300",$0.9215,$0.93,$0.90
08/21/2023,$0.9493,"29,830",$0.921,$0.9496,$0.90
08/18/2023,$0.9413,"22,767",$0.9011,$0.95,$0.9002
08/17/2023,$0.9195,"213,258",$0.98,$0.98,$0.90
08/16/2023,$0.941,"121,196",$0.97,$1.02,$0.941
08/15/2023,$0.97,"99,123",$0.968,$0.9913,$0.9523
08/14/2023,$0.9755,"97,192",$0.999,$0.999,$0.95
08/11/2023,$0.99,"149,074",$0.9804,$1.01,$0.95
08/10/2023,$0.9999,"103,020",$1.03,$1.03,$0.961
08/09/2023,$0.98,"84,149",$1.01,$1.01,$0.98
08/08/2023,$1.00,"22,235",$1.00,$1.00,$0.981
