Date,Close,Volume,Open,High,Low
03/01/2024,$3.85,"93,206",$3.70,$3.99,$3.70
02/29/2024,$3.62,"97,016",$3.88,$3.9894,$3.52
02/28/2024,$3.91,"159,491",$3.84,$4.0799,$3.75
02/27/2024,$3.79,"163,193",$3.86,$4.00,$3.51
02/26/2024,$3.77,"176,652",$3.48,$3.85,$3.45
02/23/2024,$3.44,"113,570",$3.23,$3.49,$3.10
02/22/2024,$3.28,"132,155",$3.29,$3.42,$3.1615
02/21/2024,$3.34,"147,356",$3.30,$3.43,$3.2416
02/20/2024,$3.33,"139,730",$3.08,$3.35,$3.06
02/16/2024,$3.06,"82,210",$3.01,$3.19,$3.01
02/15/2024,$3.01,"115,696",$2.90,$3.04,$2.8601
02/14/2024,$2.84,"80,057",$2.85,$3.06,$2.77
02/13/2024,$2.83,"56,351",$2.93,$2.94,$2.7817
02/12/2024,$2.90,"125,054",$2.67,$2.90,$2.55
02/09/2024,$2.71,"172,149",$2.85,$2.9499,$2.62
02/08/2024,$2.83,"217,527",$2.70,$2.8897,$2.67
02/07/2024,$2.66,"130,162",$2.67,$2.737,$2.65
02/06/2024,$2.72,"130,863",$2.79,$2.90,$2.70
02/05/2024,$2.81,"234,980",$3.00,$3.05,$2.702
02/02/2024,$3.08,"74,325",$3.11,$3.11,$3.01
02/01/2024,$3.18,"139,402",$3.26,$3.36,$3.00
01/31/2024,$3.21,"111,442",$3.22,$3.3999,$3.11
01/30/2024,$3.25,"166,228",$3.22,$3.42,$3.13
01/29/2024,$3.215,"270,721",$3.50,$3.50,$3.12
01/26/2024,$3.52,"214,489",$3.80,$3.80,$3.48
01/25/2024,$3.82,"112,661",$4.02,$4.03,$3.68
01/24/2024,$4.00,"43,284",$4.11,$4.11,$3.93
01/23/2024,$4.10,"44,205",$4.02,$4.1291,$4.02
01/22/2024,$4.05,"116,398",$4.15,$4.20,$4.0225
01/19/2024,$4.15,"62,302",$4.16,$4.20,$4.06
01/18/2024,$4.15,"91,882",$4.23,$4.48,$4.02
01/17/2024,$4.20,"71,993",$4.25,$4.33,$4.1601
01/16/2024,$4.30,"101,781",$4.51,$4.65,$4.2533
01/12/2024,$4.57,"70,121",$4.55,$4.7599,$4.42
01/11/2024,$4.54,"117,547",$4.50,$4.71,$4.45
01/10/2024,$4.62,"51,350",$4.65,$4.73,$4.50
01/09/2024,$4.62,"134,515",$4.87,$4.8856,$4.52
01/08/2024,$4.87,"278,096",$4.19,$4.9207,$4.0601
01/05/2024,$4.28,"138,140",$4.55,$4.55,$4.17
01/04/2024,$4.43,"64,077",$4.50,$4.55,$4.3259
01/03/2024,$4.47,"126,515",$4.65,$4.65,$4.36
