Date,Close,Volume,Open,High,Low
03/01/2024,$56.56,"2,527,668",$55.01,$56.665,$54.28
02/29/2024,$54.95,"1,741,680",$55.67,$55.96,$54.94
02/28/2024,$55.31,"926,797",$55.48,$55.955,$55.20
02/27/2024,$56.01,"1,284,242",$56.77,$56.955,$55.95
02/26/2024,$56.40,"762,168",$57.36,$57.49,$56.39
02/23/2024,$57.51,"709,509",$57.05,$57.95,$56.91
02/22/2024,$57.04,"759,809",$57.14,$57.2717,$56.46
02/21/2024,$57.11,"1,127,515",$56.60,$57.17,$56.2445
02/20/2024,$56.27,"1,202,084",$57.045,$57.31,$56.10
02/16/2024,$57.03,"948,287",$57.00,$57.63,$56.735
02/15/2024,$57.34,"1,039,202",$56.70,$57.7405,$56.39
02/14/2024,$56.20,"2,127,124",$56.68,$57.50,$55.53
02/13/2024,$57.31,"1,410,494",$57.25,$57.75,$56.48
02/12/2024,$58.15,"1,597,671",$57.67,$58.405,$57.61
02/09/2024,$57.53,"1,031,655",$58.02,$58.24,$57.28
02/08/2024,$57.97,"710,059",$57.99,$58.5099,$57.88
02/07/2024,$58.13,"690,491",$58.23,$58.52,$57.845
02/06/2024,$58.25,"669,727",$57.67,$58.40,$57.589
02/05/2024,$57.74,"788,584",$58.75,$58.75,$57.605
02/02/2024,$59.38,"949,785",$60.72,$60.76,$58.98
02/01/2024,$61.21,"914,124",$59.61,$61.26,$59.295
01/31/2024,$59.61,"815,881",$60.09,$60.605,$59.42
01/30/2024,$59.90,"554,924",$60.20,$60.36,$59.42
01/29/2024,$60.50,"1,254,065",$59.49,$60.58,$59.36
01/26/2024,$59.47,"423,112",$59.80,$59.9682,$59.20
01/25/2024,$59.67,"1,045,609",$59.61,$59.91,$59.21
01/24/2024,$59.10,"1,361,684",$61.16,$61.16,$59.02
01/23/2024,$60.53,"810,293",$61.42,$61.65,$60.16
01/22/2024,$61.16,"2,058,186",$62.00,$62.37,$60.77
01/19/2024,$61.09,"797,745",$60.93,$61.535,$60.43
01/18/2024,$60.81,"944,038",$61.20,$61.27,$60.515
01/17/2024,$61.37,"814,451",$61.60,$62.305,$60.88
01/16/2024,$62.39,"598,015",$62.59,$63.10,$62.145
01/12/2024,$62.86,"440,606",$63.17,$63.41,$62.54
01/11/2024,$62.62,"1,095,719",$62.57,$62.74,$61.7952
01/10/2024,$62.47,"941,455",$63.68,$63.74,$62.40
01/09/2024,$63.55,"1,508,480",$63.27,$63.65,$63.00
01/08/2024,$63.71,"1,016,511",$63.29,$63.9283,$63.095
01/05/2024,$63.14,"1,102,380",$62.64,$63.35,$62.32
01/04/2024,$62.96,"1,319,953",$62.47,$63.39,$62.2101
01/03/2024,$62.52,"1,659,535",$63.13,$63.205,$62.24
01/02/2024,$63.51,"987,802",$62.77,$63.74,$62.63
12/29/2023,$62.95,"749,597",$63.35,$63.48,$62.89
12/28/2023,$63.47,"612,279",$62.70,$63.48,$62.70
12/27/2023,$62.99,"955,509",$62.95,$63.15,$62.76
12/26/2023,$63.04,"585,713",$62.75,$63.24,$62.58
12/22/2023,$62.52,"658,846",$62.59,$63.0429,$62.325
12/21/2023,$62.42,"703,832",$62.36,$62.56,$61.65
12/20/2023,$61.91,"1,047,709",$61.94,$62.835,$61.91
12/19/2023,$62.06,"1,206,918",$61.35,$62.29,$61.35
12/18/2023,$61.09,"1,022,335",$61.70,$61.91,$60.88
12/15/2023,$61.23,"3,226,743",$61.74,$62.41,$61.01
12/14/2023,$62.07,"974,188",$62.99,$63.24,$61.99
12/13/2023,$61.89,"1,157,134",$59.30,$62.08,$59.18
12/12/2023,$59.36,"726,542",$59.31,$59.70,$58.91
12/11/2023,$59.30,"967,314",$58.53,$59.56,$58.28
12/08/2023,$58.89,"1,226,096",$60.36,$60.57,$58.81
12/07/2023,$60.62,"434,861",$60.73,$60.98,$60.44
12/06/2023,$60.88,"816,954",$61.23,$61.84,$60.71
12/05/2023,$60.98,"1,057,492",$61.33,$61.60,$60.78
12/04/2023,$61.50,"1,270,671",$60.01,$61.61,$60.01
