Date,Close,Volume,Open,High,Low
03/01/2024,$93.86,"101,109",$92.61,$94.125,$92.02
02/29/2024,$92.28,"118,921",$93.20,$93.20,$91.03
02/28/2024,$91.85,"171,482",$92.28,$93.115,$90.6225
02/27/2024,$92.10,"375,460",$91.41,$96.72,$90.00
02/26/2024,$87.33,"386,781",$85.94,$89.19,$85.94
02/23/2024,$89.10,"97,202",$89.83,$90.32,$88.89
02/22/2024,$90.00,"120,237",$90.92,$91.70,$89.27
02/21/2024,$91.44,"70,734",$91.12,$91.44,$89.88
02/20/2024,$91.62,"84,814",$93.22,$93.98,$91.33
02/16/2024,$94.30,"101,619",$93.96,$96.83,$93.482
02/15/2024,$93.84,"73,835",$92.38,$94.56,$92.31
02/14/2024,$92.28,"53,581",$91.41,$92.28,$90.69
02/13/2024,$90.42,"167,290",$93.66,$94.42,$89.465
02/12/2024,$95.52,"123,322",$94.45,$97.215,$93.67
02/09/2024,$94.24,"136,608",$90.91,$94.53,$90.29
02/08/2024,$90.91,"211,646",$86.70,$90.92,$86.17
02/07/2024,$86.78,"106,557",$87.96,$88.37,$86.60
02/06/2024,$87.40,"89,897",$88.85,$89.405,$87.24
02/05/2024,$89.11,"80,947",$88.01,$89.33,$87.9725
02/02/2024,$88.88,"79,521",$87.61,$89.00,$87.61
02/01/2024,$88.49,"95,943",$86.61,$88.49,$86.61
01/31/2024,$86.60,"88,496",$88.39,$89.325,$86.43
01/30/2024,$88.18,"64,846",$88.52,$90.12,$88.00
01/29/2024,$88.95,"168,924",$89.40,$90.705,$87.385
01/26/2024,$89.50,"98,464",$89.00,$89.54,$88.15
01/25/2024,$88.94,"72,031",$90.54,$90.875,$88.13
01/24/2024,$90.11,"73,739",$91.64,$91.64,$89.46
01/23/2024,$90.64,"76,215",$92.38,$92.38,$90.41
01/22/2024,$91.49,"79,425",$91.92,$92.24,$90.97
01/19/2024,$91.19,"60,006",$91.03,$91.33,$89.695
01/18/2024,$90.54,"70,011",$90.07,$90.59,$88.53
01/17/2024,$89.70,"94,295",$88.59,$90.865,$88.59
01/16/2024,$89.49,"162,148",$86.64,$89.70,$86.45
01/12/2024,$86.99,"114,231",$89.61,$90.005,$86.295
01/11/2024,$88.63,"90,008",$88.35,$89.0195,$88.005
01/10/2024,$88.62,"57,454",$88.87,$88.87,$87.89
01/09/2024,$89.24,"52,790",$89.76,$90.167,$89.03
01/08/2024,$90.76,"58,237",$88.66,$90.91,$88.66
01/05/2024,$88.26,"64,312",$89.43,$90.11,$88.22
01/04/2024,$89.91,"100,793",$91.11,$91.11,$89.28
