Date,Close,Volume,Open,High,Low
03/01/2024,$19.24,"169,346",$19.20,$19.28,$19.12
02/29/2024,$19.09,"118,783",$19.12,$19.1699,$19.00
02/28/2024,$19.05,"159,406",$19.05,$19.09,$18.99
02/27/2024,$19.05,"104,970",$19.00,$19.0798,$18.99
02/26/2024,$19.02,"179,021",$19.06,$19.11,$18.99
02/23/2024,$19.04,"130,799",$19.12,$19.12,$18.97
02/22/2024,$18.99,"190,334",$18.79,$19.02,$18.79
02/21/2024,$18.59,"113,652",$18.63,$18.66,$18.53
02/20/2024,$18.63,"177,686",$18.65,$18.66,$18.58
02/16/2024,$18.65,"190,262",$18.79,$18.79,$18.65
02/15/2024,$18.74,"282,860",$18.72,$18.78,$18.67
02/14/2024,$18.72,"231,379",$18.54,$18.73,$18.54
02/13/2024,$18.40,"254,436",$18.55,$18.575,$18.33
02/12/2024,$18.80,"190,131",$18.74,$18.91,$18.74
02/09/2024,$18.73,"333,963",$18.75,$18.75,$18.72
02/08/2024,$18.80,"165,012",$18.77,$18.80,$18.7501
02/07/2024,$18.80,"176,030",$18.71,$18.81,$18.61
02/06/2024,$18.63,"138,691",$18.64,$18.66,$18.61
02/05/2024,$18.58,"176,414",$18.54,$18.61,$18.44
02/02/2024,$18.51,"128,628",$18.39,$18.52,$18.35
02/01/2024,$18.35,"177,636",$18.18,$18.38,$18.16
01/31/2024,$18.16,"282,915",$18.28,$18.325,$18.15
01/30/2024,$18.38,"134,293",$18.40,$18.45,$18.37
01/29/2024,$18.42,"160,448",$18.25,$18.43,$18.25
01/26/2024,$18.27,"166,531",$18.23,$18.29,$18.2036
01/25/2024,$18.16,"204,251",$18.18,$18.27,$18.12
01/24/2024,$18.09,"333,571",$17.90,$18.138,$17.90
01/23/2024,$17.87,"120,042",$17.85,$17.90,$17.80
01/22/2024,$17.88,"171,281",$17.88,$17.90,$17.8304
01/19/2024,$17.85,"171,702",$17.65,$17.86,$17.585
01/18/2024,$17.57,"83,487",$17.53,$17.61,$17.505
