Date,Close,Volume,Open,High,Low
03/01/2024,$11.03,"8,976",$11.03,$11.03,$11.025
02/29/2024,$11.10,N/A,$11.10,$11.10,$11.10
02/28/2024,$11.10,N/A,$11.10,$11.10,$11.10
02/27/2024,$11.10,"2,122",$11.10,$11.10,$11.10
02/26/2024,$11.02,"50,253",$11.00,$11.02,$11.00
02/23/2024,$11.015,"6,795",$11.02,$11.02,$11.015
02/22/2024,$11.03,N/A,$11.03,$11.03,$11.03
02/21/2024,$11.03,"1,160",$11.0369,$11.0369,$11.02
02/20/2024,$11.02,"1,648",$11.10,$11.10,$11.01
02/16/2024,$11.02,N/A,$11.02,$11.02,$11.02
02/15/2024,$11.02,N/A,$11.02,$11.02,$11.02
02/14/2024,$11.02,"155,588",$11.018,$11.02,$11.01
02/13/2024,$11.01,"4,044",$11.01,$11.01,$11.01
02/12/2024,$11.08,"120,181",$11.069,$11.08,$11.00
02/09/2024,$10.98,N/A,$10.98,$10.98,$10.98
02/08/2024,$10.98,N/A,$10.98,$10.98,$10.98
02/07/2024,$10.98,N/A,$10.98,$10.98,$10.98
02/06/2024,$10.98,N/A,$10.98,$10.98,$10.98
02/05/2024,$10.98,"26,894",$10.97,$10.99,$10.96
02/02/2024,$10.97,N/A,$10.97,$10.97,$10.97
02/01/2024,$10.97,N/A,$10.97,$10.97,$10.97
01/31/2024,$10.97,"149,430",$10.99,$10.99,$10.97
01/30/2024,$10.99,334,$10.99,$10.99,$10.99
01/29/2024,$10.99,614,$10.99,$10.99,$10.99
01/26/2024,$11.04,N/A,$11.04,$11.04,$11.04
01/25/2024,$11.04,"1,220",$11.05,$11.05,$11.04
01/24/2024,$11.00,N/A,$11.00,$11.00,$11.00
01/23/2024,$11.00,N/A,$11.00,$11.00,$11.00
01/22/2024,$11.00,937,$11.00,$11.00,$10.975
01/19/2024,$10.99,"1,904",$10.98,$10.99,$10.98
01/18/2024,$10.97,N/A,$10.97,$10.97,$10.97
01/17/2024,$10.97,N/A,$10.97,$10.97,$10.97
01/16/2024,$10.97,N/A,$10.97,$10.97,$10.97
01/12/2024,$10.97,"2,342",$10.97,$10.97,$10.97
01/11/2024,$10.95,N/A,$10.95,$10.95,$10.95
01/10/2024,$10.95,N/A,$10.95,$10.95,$10.95
01/09/2024,$10.95,"3,600",$10.945,$10.95,$10.945
01/08/2024,$10.94,"3,989",$10.93,$10.94,$10.93
01/05/2024,$10.92,N/A,$10.92,$10.92,$10.92
01/04/2024,$10.92,"1,915",$10.92,$10.92,$10.91
01/03/2024,$10.87,N/A,$10.87,$10.87,$10.87
01/02/2024,$10.87,N/A,$10.87,$10.87,$10.87
12/29/2023,$10.87,"1,601",$10.86,$10.87,$10.86
12/28/2023,$10.87,N/A,$10.87,$10.87,$10.87
12/27/2023,$10.87,N/A,$10.87,$10.87,$10.87
12/26/2023,$10.87,N/A,$10.87,$10.87,$10.87
12/22/2023,$10.87,"1,550",$10.87,$10.87,$10.87
12/21/2023,$10.88,N/A,$10.88,$10.88,$10.88
12/20/2023,$10.88,427,$10.88,$10.88,$10.88
12/19/2023,$10.925,300,$10.925,$10.925,$10.925
12/18/2023,$10.86,"125,077",$10.86,$10.86,$10.86
12/15/2023,$10.86,N/A,$10.86,$10.86,$10.86
12/14/2023,$10.86,N/A,$10.86,$10.86,$10.86
12/13/2023,$10.86,"18,005",$10.85,$10.86,$10.85
12/12/2023,$10.85,"28,040",$10.85,$10.85,$10.85
