Date,Close,Volume,Open,High,Low
03/01/2024,$1.74,"1,057,057",$1.91,$1.91,$1.73
02/29/2024,$1.93,"1,413,069",$1.975,$2.0785,$1.86
02/28/2024,$1.78,"874,035",$1.73,$1.95,$1.73
02/27/2024,$1.72,"645,071",$1.60,$1.75,$1.5605
02/26/2024,$1.56,"583,866",$1.61,$1.61,$1.49
02/23/2024,$1.57,"278,931",$1.55,$1.64,$1.5387
02/22/2024,$1.56,"266,816",$1.60,$1.63,$1.54
02/21/2024,$1.58,"279,937",$1.56,$1.645,$1.55
02/20/2024,$1.59,"280,084",$1.59,$1.66,$1.53
02/16/2024,$1.62,"848,208",$1.71,$1.71,$1.53
02/15/2024,$1.70,"324,465",$1.65,$1.72,$1.63
02/14/2024,$1.67,"247,045",$1.67,$1.71,$1.60
02/13/2024,$1.61,"427,452",$1.64,$1.69,$1.47
02/12/2024,$1.71,"895,591",$1.51,$1.79,$1.51
02/09/2024,$1.52,"402,832",$1.51,$1.565,$1.4706
02/08/2024,$1.51,"281,050",$1.48,$1.54,$1.48
02/07/2024,$1.48,"401,021",$1.69,$1.73,$1.47
02/06/2024,$1.66,"189,465",$1.61,$1.68,$1.58
02/05/2024,$1.64,"463,964",$1.72,$1.72,$1.62
02/02/2024,$1.74,"591,317",$1.83,$1.83,$1.65
02/01/2024,$1.77,"920,174",$1.71,$1.815,$1.58
01/31/2024,$1.66,"6,774,679",$1.60,$1.92,$1.58
01/30/2024,$1.34,"171,851",$1.35,$1.39,$1.33
01/29/2024,$1.38,"119,482",$1.39,$1.42,$1.35
01/26/2024,$1.41,"233,209",$1.42,$1.46,$1.37
01/25/2024,$1.42,"129,402",$1.43,$1.46,$1.39
01/24/2024,$1.41,"331,398",$1.51,$1.51,$1.39
01/23/2024,$1.48,"224,857",$1.52,$1.53,$1.44
01/22/2024,$1.47,"399,298",$1.47,$1.54,$1.40
01/19/2024,$1.47,"554,724",$1.43,$1.475,$1.34
01/18/2024,$1.38,"973,427",$1.30,$1.38,$1.24
01/17/2024,$1.31,"588,229",$1.40,$1.41,$1.30
01/16/2024,$1.40,"603,682",$1.52,$1.525,$1.39
01/12/2024,$1.52,"693,553",$1.59,$1.60,$1.50
01/11/2024,$1.58,"1,047,856",$1.63,$1.63,$1.55
01/10/2024,$1.66,"1,040,718",$1.76,$1.76,$1.61
01/09/2024,$1.76,"528,794",$1.79,$1.79,$1.725
01/08/2024,$1.81,"398,086",$1.84,$1.85,$1.7699
01/05/2024,$1.82,"728,920",$1.81,$1.88,$1.76
01/04/2024,$1.80,"920,892",$1.79,$1.81,$1.75
01/03/2024,$1.80,"622,559",$1.85,$1.85,$1.75
01/02/2024,$1.86,"839,352",$1.95,$1.95,$1.825
12/29/2023,$1.94,"810,293",$2.00,$2.00,$1.90
12/28/2023,$2.00,"865,143",$1.95,$2.04,$1.94
12/27/2023,$1.95,"639,010",$1.96,$1.98,$1.90
12/26/2023,$1.97,"833,967",$1.95,$2.05,$1.90
12/22/2023,$1.93,"587,510",$1.96,$1.96,$1.87
12/21/2023,$1.91,"911,186",$1.86,$2.02,$1.84
12/20/2023,$1.86,"578,417",$1.85,$1.94,$1.80
12/19/2023,$1.86,"1,391,379",$2.02,$2.04,$1.815
12/18/2023,$2.00,"737,273",$2.02,$2.19,$1.99
12/15/2023,$2.02,"1,940,466",$2.14,$2.14,$2.00
12/14/2023,$2.12,"1,031,078",$2.23,$2.255,$2.025
12/13/2023,$2.14,"852,884",$2.14,$2.22,$2.055
12/12/2023,$2.14,"326,804",$2.23,$2.25,$2.14
12/11/2023,$2.26,"207,537",$2.27,$2.29,$2.205
12/08/2023,$2.29,"198,504",$2.28,$2.33,$2.255
12/07/2023,$2.30,"170,756",$2.31,$2.32,$2.255
12/06/2023,$2.31,"240,500",$2.35,$2.40,$2.30
12/05/2023,$2.34,"211,664",$2.38,$2.42,$2.29
12/04/2023,$2.39,"373,049",$2.37,$2.475,$2.3501
12/01/2023,$2.40,"420,756",$2.20,$2.41,$2.15
11/30/2023,$2.19,"155,653",$2.20,$2.21,$2.13
11/29/2023,$2.16,"341,405",$2.21,$2.31,$2.1325
