Date,Close,Volume,Open,High,Low
03/01/2024,$37.00,"1,946,820",$37.37,$37.43,$36.78
02/29/2024,$37.39,"2,646,904",$38.08,$38.40,$37.125
02/28/2024,$38.08,"1,256,345",$37.91,$38.54,$37.91
02/27/2024,$38.50,"1,894,404",$38.18,$38.85,$37.99
02/26/2024,$37.71,"2,447,387",$38.68,$38.97,$37.625
02/23/2024,$38.65,"1,874,965",$39.13,$39.15,$38.475
02/22/2024,$39.38,"2,091,850",$39.35,$40.4899,$39.245
02/21/2024,$39.18,"1,844,079",$38.47,$39.24,$38.31
02/20/2024,$38.92,"3,538,983",$38.13,$39.69,$38.07
02/16/2024,$37.52,"1,952,100",$37.35,$37.99,$36.75
02/15/2024,$37.75,"1,807,022",$37.59,$38.035,$37.495
02/14/2024,$37.30,"1,490,532",$37.03,$37.395,$36.765
02/13/2024,$36.57,"1,808,043",$36.47,$37.02,$36.13
02/12/2024,$37.33,"1,781,228",$36.77,$37.67,$36.695
02/09/2024,$37.19,"2,244,155",$36.47,$37.25,$36.338
02/08/2024,$36.51,"2,120,129",$35.74,$36.54,$35.32
02/07/2024,$35.60,"1,892,577",$36.01,$36.21,$35.54
02/06/2024,$35.99,"2,353,920",$35.24,$36.45,$35.15
02/05/2024,$35.28,"1,904,496",$35.54,$35.82,$35.10
02/02/2024,$36.13,"1,884,412",$36.03,$36.59,$35.97
02/01/2024,$36.26,"1,613,285",$36.11,$36.42,$35.31
01/31/2024,$35.83,"2,165,622",$36.56,$36.69,$35.72
01/30/2024,$36.69,"1,616,283",$36.74,$37.24,$36.69
01/29/2024,$37.22,"2,484,516",$36.80,$37.25,$36.125
01/26/2024,$36.77,"2,692,220",$37.13,$37.3175,$36.64
01/25/2024,$37.42,"5,021,673",$36.80,$37.96,$36.28
01/24/2024,$35.82,"2,685,730",$36.25,$36.39,$35.60
01/23/2024,$35.83,"2,775,196",$35.98,$36.66,$35.63
01/22/2024,$34.83,"2,065,402",$35.27,$35.55,$34.775
01/19/2024,$34.84,"1,861,762",$34.97,$35.00,$34.18
01/18/2024,$34.96,"2,855,381",$33.74,$34.97,$33.50
01/17/2024,$33.61,"2,471,794",$33.96,$34.35,$33.24
01/16/2024,$34.42,"4,061,252",$34.80,$34.855,$33.765
01/12/2024,$35.17,"4,431,968",$36.04,$36.24,$34.395
01/11/2024,$36.99,"2,211,145",$36.99,$37.25,$36.41
01/10/2024,$37.06,"2,913,038",$37.10,$37.27,$36.74
01/09/2024,$37.37,"4,444,874",$38.25,$38.61,$37.32
01/08/2024,$37.87,"8,180,806",$36.09,$38.095,$35.58
01/05/2024,$37.95,"2,550,220",$36.59,$38.16,$36.47
01/04/2024,$36.81,"1,919,407",$36.68,$37.25,$36.56
01/03/2024,$36.42,"2,376,400",$37.44,$37.77,$36.30
01/02/2024,$38.34,"2,130,166",$38.69,$39.20,$38.26
12/29/2023,$39.07,"2,097,906",$39.60,$39.84,$38.975
12/28/2023,$39.92,"1,914,365",$39.33,$39.9595,$39.20
12/27/2023,$39.67,"1,967,408",$40.02,$40.26,$39.64
12/26/2023,$40.16,"2,698,645",$40.50,$41.22,$40.145
