Date,Close,Volume,Open,High,Low
03/01/2024,$17.22,"6,429",$17.69,$17.7499,$17.13
02/29/2024,$17.58,"4,147",$17.6712,$17.6712,$17.22
02/28/2024,$17.51,"5,615",$17.707,$17.71,$17.275
02/27/2024,$17.44,"9,309",$17.49,$17.59,$17.355
02/26/2024,$17.50,"8,478",$17.26,$17.50,$16.80
02/23/2024,$17.49,"7,170",$17.49,$17.49,$17.18
02/22/2024,$17.31,"10,346",$17.41,$17.4799,$17.23
02/21/2024,$17.38,"1,844",$17.4599,$17.4599,$17.17
02/20/2024,$17.27,"5,835",$17.50,$17.50,$17.0101
02/16/2024,$17.50,"12,396",$17.64,$17.64,$17.31
02/15/2024,$17.65,"14,365",$17.76,$17.89,$17.45
02/14/2024,$17.76,"8,759",$17.005,$17.76,$17.005
02/13/2024,$17.34,"9,270",$17.20,$17.375,$17.01
02/12/2024,$17.39,"8,936",$17.42,$17.58,$17.20
02/09/2024,$17.58,"6,891",$17.433,$17.60,$17.32
02/08/2024,$17.49,"3,420",$17.50,$17.50,$17.2295
02/07/2024,$17.60,"9,295",$17.50,$17.60,$17.335
02/06/2024,$17.60,"23,496",$17.83,$17.84,$17.2601
02/05/2024,$17.80,"39,469",$17.95,$18.00,$17.288
02/02/2024,$18.00,"12,636",$17.7006,$18.00,$17.7006
02/01/2024,$17.88,"7,912",$17.58,$18.00,$17.58
01/31/2024,$17.63,"8,109",$17.90,$18.00,$17.57
01/30/2024,$17.6836,"1,927",$17.71,$17.94,$17.66
01/29/2024,$18.00,"10,623",$17.99,$18.07,$17.62
01/26/2024,$17.98,"2,738",$17.70,$17.98,$17.70
01/25/2024,$18.00,"6,144",$17.99,$18.00,$17.51
01/24/2024,$17.97,"14,070",$17.62,$18.19,$17.50
01/23/2024,$17.55,"11,136",$18.05,$18.05,$17.50
01/22/2024,$18.00,"21,431",$17.97,$18.83,$17.70
01/19/2024,$17.70,"12,913",$17.12,$17.99,$17.12
01/18/2024,$17.22,"44,603",$17.46,$17.80,$16.58
01/17/2024,$17.46,"7,128",$16.97,$17.47,$16.83
01/16/2024,$16.86,"23,479",$17.4583,$17.4583,$16.52
01/12/2024,$17.00,"18,927",$17.10,$17.225,$16.92
01/11/2024,$17.20,"17,537",$17.00,$17.94,$17.00
01/10/2024,$17.13,"8,162",$17.00,$18.3522,$17.00
01/09/2024,$17.18,"5,022",$16.70,$17.18,$16.54
01/08/2024,$17.02,"14,524",$16.89,$17.0744,$16.64
01/05/2024,$17.06,"7,980",$17.16,$17.16,$17.00
01/04/2024,$16.85,"11,264",$16.50,$17.30,$16.50
01/03/2024,$16.49,"13,591",$16.15,$16.50,$16.10
01/02/2024,$16.10,"4,659",$16.02,$16.28,$16.02
12/29/2023,$16.26,"3,279",$16.50,$16.50,$16.0421
12/28/2023,$16.26,"3,341",$16.20,$16.4952,$16.20
12/27/2023,$16.20,"9,725",$16.25,$16.49,$16.13
12/26/2023,$16.185,"13,321",$16.17,$16.24,$15.79
12/22/2023,$16.08,"18,638",$15.62,$16.19,$15.62
12/21/2023,$16.05,"4,130",$16.00,$16.19,$15.75
12/20/2023,$15.96,"8,741",$16.14,$16.24,$15.65
12/19/2023,$16.14,"16,487",$16.38,$16.8399,$16.05
12/18/2023,$16.00,"28,990",$15.51,$16.63,$15.1099
12/15/2023,$15.83,"10,441",$15.67,$15.83,$15.43
12/14/2023,$15.65,"22,200",$14.865,$15.83,$14.865
12/13/2023,$15.16,"21,002",$14.84,$15.38,$14.84
12/12/2023,$14.90,"7,055",$14.84,$15.24,$14.60
12/11/2023,$15.01,"24,709",$15.19,$15.42,$14.90
12/08/2023,$14.99,"13,593",$14.96,$15.19,$14.83
12/07/2023,$14.94,"38,631",$15.15,$15.61,$14.55
12/06/2023,$15.16,"40,620",$15.00,$15.7493,$14.34
12/05/2023,$14.00,"11,406",$14.38,$14.56,$14.00
12/04/2023,$14.36,"7,560",$14.413,$14.86,$14.36
12/01/2023,$14.40,"2,322",$14.20,$14.4488,$14.05
11/30/2023,$14.05,"2,914",$13.8077,$14.12,$13.8077
11/29/2023,$14.03,"3,997",$14.062,$14.10,$13.93
11/28/2023,$13.93,N/A,$13.93,$13.93,$13.93
11/27/2023,$13.93,"3,497",$14.09,$14.23,$13.92
11/24/2023,$13.94,N/A,$13.94,$13.94,$13.94
11/22/2023,$13.94,"2,067",$14.1813,$14.1813,$13.932
11/21/2023,$13.90,"3,855",$13.85,$14.50,$13.78
11/20/2023,$13.95,"6,468",$14.02,$14.0998,$13.79
11/17/2023,$13.95,"1,725",$13.878,$13.95,$13.70
11/16/2023,$13.50,"9,076",$13.50,$13.75,$13.49
11/15/2023,$13.51,726,$13.51,$13.51,$13.51
11/14/2023,$13.7317,"1,435",$13.83,$13.83,$13.7317
11/13/2023,$13.56,"1,229",$13.56,$13.56,$13.56
11/10/2023,$13.90,"2,803",$13.70,$13.90,$13.70
11/09/2023,$13.69,"8,504",$13.50,$13.69,$13.48
11/08/2023,$13.50,"2,547",$13.50,$13.52,$13.50
11/07/2023,$13.50,"3,272",$13.52,$13.8487,$13.50
11/06/2023,$13.54,"2,474",$13.60,$13.9173,$13.53
11/03/2023,$13.53,"2,037",$13.61,$13.6662,$13.50
11/02/2023,$13.50,"12,731",$13.54,$13.75,$13.37
11/01/2023,$13.62,"2,201",$13.58,$13.62,$13.5101
10/31/2023,$13.58,"1,315",$13.965,$13.965,$13.58
10/30/2023,$13.6995,"1,663",$13.32,$13.6995,$13.32
10/27/2023,$13.28,"6,135",$13.15,$13.4898,$12.945
10/26/2023,$12.86,"2,150",$12.36,$12.86,$12.36
10/25/2023,$12.33,"7,005",$12.05,$12.33,$12.05
10/24/2023,$12.25,"1,041",$12.57,$12.57,$12.25
10/23/2023,$12.46,"4,749",$12.70,$12.70,$12.46
10/20/2023,$12.58,"1,375",$12.33,$12.69,$12.22
