Date,Close,Volume,Open,High,Low
03/01/2024,$75.53,"315,936",$75.27,$76.28,$74.64
02/29/2024,$75.69,"572,030",$76.10,$77.2905,$74.8372
02/28/2024,$75.13,"206,312",$74.61,$75.785,$74.61
02/27/2024,$75.38,"366,281",$74.72,$75.515,$73.54
02/26/2024,$74.45,"334,933",$72.16,$74.62,$72.16
02/23/2024,$71.88,"812,938",$72.79,$74.72,$71.56
02/22/2024,$69.98,"388,968",$69.55,$70.01,$68.585
02/21/2024,$68.94,"295,188",$68.33,$69.16,$67.01
02/20/2024,$69.02,"212,018",$68.43,$69.455,$68.31
02/16/2024,$69.76,"280,360",$70.64,$70.64,$69.32
02/15/2024,$71.00,"272,535",$69.31,$71.55,$69.31
02/14/2024,$69.76,"348,071",$66.52,$70.045,$66.04
02/13/2024,$65.54,"543,382",$66.30,$67.34,$65.11
02/12/2024,$68.52,"331,631",$66.62,$68.62,$66.4522
02/09/2024,$66.36,"192,712",$65.00,$66.40,$64.92
02/08/2024,$64.58,"187,022",$63.26,$64.71,$62.8479
02/07/2024,$63.35,"206,375",$62.75,$64.19,$62.4375
02/06/2024,$62.66,"185,172",$61.42,$62.81,$61.42
02/05/2024,$61.57,"148,798",$61.58,$62.175,$60.96
02/02/2024,$62.35,"112,528",$61.14,$62.575,$61.13
02/01/2024,$61.87,"139,696",$61.12,$61.92,$60.705
01/31/2024,$60.82,"297,958",$62.20,$62.265,$60.75
01/30/2024,$62.37,"149,042",$62.59,$62.73,$61.71
01/29/2024,$62.90,"173,580",$61.74,$63.025,$61.34
01/26/2024,$61.87,"116,141",$62.88,$63.04,$61.57
01/25/2024,$62.39,"165,389",$63.02,$63.20,$61.86
01/24/2024,$62.24,"164,688",$63.81,$63.81,$62.15
01/23/2024,$63.02,"152,903",$63.36,$63.99,$62.39
01/22/2024,$62.53,"217,023",$61.96,$63.23,$61.68
01/19/2024,$61.58,"188,873",$60.91,$61.68,$60.00
01/18/2024,$60.49,"230,468",$61.56,$62.46,$60.185
01/17/2024,$61.15,"203,866",$61.67,$62.05,$60.96
01/16/2024,$62.41,"151,991",$62.12,$62.63,$61.745
01/12/2024,$62.71,"139,928",$62.89,$63.294,$62.14
01/11/2024,$61.94,"168,595",$61.38,$62.01,$60.778
01/10/2024,$61.30,"150,274",$60.09,$61.32,$59.69
01/09/2024,$60.36,"211,205",$61.16,$61.82,$60.30
01/08/2024,$62.00,"221,439",$61.56,$62.65,$61.48
01/05/2024,$61.19,"205,611",$61.25,$62.2399,$61.19
01/04/2024,$61.80,"399,115",$61.67,$61.94,$61.01
01/03/2024,$61.15,"260,235",$63.42,$63.675,$61.11
01/02/2024,$63.41,"309,597",$64.02,$64.28,$62.62
12/29/2023,$64.62,"516,902",$64.67,$67.02,$63.85
12/28/2023,$63.20,"128,500",$62.60,$63.336,$62.5025
12/27/2023,$62.72,"161,763",$62.66,$62.93,$62.2401
12/26/2023,$62.49,"123,789",$62.13,$62.82,$61.80
12/22/2023,$62.23,"168,498",$62.19,$62.61,$61.935
12/21/2023,$61.61,"126,535",$61.03,$61.99,$60.63
12/20/2023,$60.58,"185,129",$61.83,$62.32,$60.51
12/19/2023,$61.70,"220,246",$61.19,$61.97,$60.68
12/18/2023,$60.60,"213,213",$60.82,$61.30,$60.21
12/15/2023,$60.77,"626,286",$61.44,$61.49,$60.3926
12/14/2023,$60.96,"291,860",$60.77,$61.75,$60.73
12/13/2023,$59.89,"265,789",$57.85,$60.26,$57.60
12/12/2023,$57.93,"166,386",$58.53,$58.905,$57.89
12/11/2023,$58.47,"234,504",$57.01,$58.53,$57.01
12/08/2023,$56.97,"179,261",$56.61,$57.61,$56.61
12/07/2023,$56.95,"222,858",$56.17,$57.28,$55.71
12/06/2023,$56.12,"249,696",$57.87,$58.14,$56.08
12/05/2023,$57.505,"208,913",$57.10,$57.65,$57.00
12/04/2023,$57.46,"263,489",$56.48,$57.51,$56.295
12/01/2023,$56.48,"232,488",$54.51,$56.58,$54.01
11/30/2023,$54.48,"287,845",$55.05,$55.465,$53.85
11/29/2023,$54.76,"181,897",$55.98,$56.55,$54.56
11/28/2023,$55.21,"251,124",$55.57,$55.57,$54.79
11/27/2023,$55.50,"229,052",$56.73,$56.73,$55.37
11/24/2023,$56.75,"150,903",$56.79,$57.88,$56.20
11/22/2023,$57.09,"271,545",$58.03,$58.29,$57.0055
11/21/2023,$57.83,"248,283",$58.40,$58.51,$57.14
11/20/2023,$58.81,"228,958",$58.29,$59.24,$57.85
11/17/2023,$58.29,"291,286",$58.36,$58.74,$57.88
11/16/2023,$58.09,"275,816",$58.68,$58.765,$57.46
11/15/2023,$58.61,"272,354",$57.90,$59.62,$57.90
11/14/2023,$58.09,"409,101",$56.73,$58.19,$55.74
11/13/2023,$55.38,"380,656",$56.46,$56.46,$55.01
11/10/2023,$56.59,"589,169",$54.52,$56.87,$53.16
11/09/2023,$51.47,"268,605",$52.40,$52.40,$51.195
11/08/2023,$52.01,"187,260",$52.56,$52.78,$51.91
11/07/2023,$52.41,"438,529",$52.36,$52.50,$51.77
11/06/2023,$52.14,"240,075",$52.09,$52.54,$51.05
11/03/2023,$52.33,"274,765",$52.67,$53.50,$52.31
11/02/2023,$51.93,"369,934",$51.13,$52.83,$50.57
11/01/2023,$50.38,"313,404",$50.92,$51.45,$49.7003
10/31/2023,$51.13,"399,978",$52.90,$53.44,$50.99
10/30/2023,$53.12,"252,781",$53.85,$53.85,$52.78
