Date,Close,Volume,Open,High,Low
03/01/2024,$21.70,"38,074",$21.78,$22.11,$21.58
02/29/2024,$21.81,"49,181",$22.06,$22.06,$21.10
02/28/2024,$21.55,"20,885",$21.58,$22.03,$21.45
02/27/2024,$21.78,"31,708",$21.94,$22.035,$21.70
02/26/2024,$21.84,"28,583",$21.97,$22.55,$21.71
02/23/2024,$21.73,"12,539",$21.439,$21.955,$21.439
02/22/2024,$21.72,"32,233",$22.11,$22.45,$21.67
02/21/2024,$22.24,"17,675",$22.32,$22.32,$21.87
02/20/2024,$22.25,"13,536",$22.49,$22.68,$22.25
02/16/2024,$22.86,"35,543",$22.84,$23.46,$22.73
02/15/2024,$22.98,"64,463",$22.14,$23.01,$21.88
02/14/2024,$21.87,"33,439",$21.94,$22.27,$21.3691
02/13/2024,$21.61,"53,510",$22.30,$22.49,$21.45
02/12/2024,$23.17,"53,673",$22.91,$23.33,$22.8903
02/09/2024,$22.49,"28,189",$22.40,$22.60,$22.03
02/08/2024,$22.24,"39,301",$22.17,$22.45,$21.26
02/07/2024,$22.05,"42,883",$22.15,$22.7499,$21.51
02/06/2024,$22.23,"74,422",$22.27,$22.52,$22.00
02/05/2024,$22.25,"60,469",$22.23,$22.47,$21.90
02/02/2024,$22.51,"33,443",$23.15,$23.15,$22.27
02/01/2024,$23.28,"131,914",$23.01,$23.33,$22.28
01/31/2024,$22.71,"59,616",$24.39,$24.69,$22.68
01/30/2024,$24.50,"161,480",$23.98,$25.85,$23.85
01/29/2024,$24.00,"42,133",$23.65,$24.29,$23.43
01/26/2024,$23.42,"31,304",$23.24,$23.73,$23.13
01/25/2024,$23.01,"134,590",$21.93,$23.05,$21.93
01/24/2024,$21.74,"27,970",$21.66,$22.03,$21.4832
01/23/2024,$21.66,"32,690",$21.89,$21.89,$21.43
01/22/2024,$21.71,"33,313",$21.11,$21.72,$21.11
01/19/2024,$21.04,"27,599",$21.06,$21.24,$20.82
01/18/2024,$20.89,"22,301",$20.76,$20.97,$20.76
01/17/2024,$20.71,"36,650",$20.26,$20.95,$20.26
