Date,Close,Volume,Open,High,Low
03/01/2024,$2.22,"624,828",$2.19,$2.24,$2.14
02/29/2024,$2.20,"446,145",$2.18,$2.24,$2.12
02/28/2024,$2.16,"316,388",$2.25,$2.255,$2.15
02/27/2024,$2.26,"613,748",$2.22,$2.295,$2.195
02/26/2024,$2.19,"334,134",$2.18,$2.20,$2.15
02/23/2024,$2.19,"644,887",$2.21,$2.22,$2.12
02/22/2024,$2.21,"586,481",$2.23,$2.25,$2.17
02/21/2024,$2.22,"469,333",$2.13,$2.225,$2.105
02/20/2024,$2.17,"678,969",$2.16,$2.28,$2.14
02/16/2024,$2.20,"938,041",$2.19,$2.27,$2.1625
02/15/2024,$2.20,"1,054,652",$2.03,$2.22,$2.03
02/14/2024,$2.04,"452,678",$1.96,$2.05,$1.96
02/13/2024,$1.94,"597,290",$1.99,$1.995,$1.9031
02/12/2024,$2.02,"449,724",$1.99,$2.05,$1.985
02/09/2024,$1.97,"582,911",$1.85,$1.98,$1.84
02/08/2024,$1.85,"398,898",$1.86,$1.87,$1.805
02/07/2024,$1.85,"660,393",$1.92,$1.92,$1.84
02/06/2024,$1.87,"405,562",$1.80,$1.87,$1.79
02/05/2024,$1.80,"852,221",$1.79,$1.86,$1.72
02/02/2024,$1.80,"451,066",$1.89,$1.92,$1.80
02/01/2024,$1.89,"550,464",$1.88,$1.90,$1.835
01/31/2024,$1.84,"405,268",$1.95,$1.95,$1.84
01/30/2024,$1.93,"560,740",$1.98,$1.98,$1.905
01/29/2024,$2.00,"622,990",$1.90,$2.00,$1.87
01/26/2024,$1.91,"689,395",$1.94,$1.97,$1.89
01/25/2024,$1.91,"965,342",$1.92,$1.95,$1.85
01/24/2024,$1.91,"766,015",$2.01,$2.03,$1.90
01/23/2024,$2.03,"264,472",$2.11,$2.13,$2.03
01/22/2024,$2.08,"830,140",$2.14,$2.17,$2.04
01/19/2024,$2.07,"1,095,785",$2.02,$2.08,$1.995
01/18/2024,$2.04,"959,335",$2.09,$2.11,$1.995
01/17/2024,$2.10,"570,432",$2.11,$2.14,$2.05
01/16/2024,$2.14,"740,227",$2.15,$2.16,$2.11
01/12/2024,$2.18,"1,190,438",$2.28,$2.33,$2.155
01/11/2024,$2.28,"1,514,998",$2.31,$2.325,$2.20
01/10/2024,$2.31,"920,421",$2.35,$2.43,$2.305
01/09/2024,$2.33,"2,146,962",$2.67,$2.67,$2.30
01/08/2024,$2.70,"588,719",$2.68,$2.72,$2.61
01/05/2024,$2.70,"651,199",$2.71,$2.74,$2.65
01/04/2024,$2.74,"1,067,694",$2.65,$2.80,$2.63
01/03/2024,$2.65,"571,053",$2.65,$2.70,$2.62
01/02/2024,$2.68,"715,055",$2.66,$2.80,$2.63
12/29/2023,$2.66,"943,832",$2.75,$2.79,$2.655
12/28/2023,$2.745,"1,415,295",$2.78,$2.8183,$2.69
12/27/2023,$2.79,"1,139,977",$2.82,$2.88,$2.775
12/26/2023,$2.83,"732,261",$2.83,$2.87,$2.81
12/22/2023,$2.82,"818,744",$2.86,$2.88,$2.80
12/21/2023,$2.84,"835,155",$2.86,$2.95,$2.835
12/20/2023,$2.85,"1,145,091",$2.92,$2.9988,$2.8211
12/19/2023,$2.94,"809,864",$2.80,$2.94,$2.78
12/18/2023,$2.75,"582,022",$2.83,$2.85,$2.74
12/15/2023,$2.82,"2,120,457",$2.90,$2.93,$2.775
12/14/2023,$2.88,"1,756,636",$2.76,$2.95,$2.76
12/13/2023,$2.72,"1,157,235",$2.64,$2.74,$2.605
12/12/2023,$2.65,"633,423",$2.65,$2.67,$2.60
12/11/2023,$2.66,"790,135",$2.61,$2.70,$2.57
12/08/2023,$2.63,"612,578",$2.57,$2.655,$2.565
12/07/2023,$2.57,"504,687",$2.52,$2.57,$2.48
12/06/2023,$2.52,"840,016",$2.57,$2.68,$2.51
12/05/2023,$2.60,"1,087,614",$2.58,$2.64,$2.51
12/04/2023,$2.59,"985,188",$2.48,$2.61,$2.48
12/01/2023,$2.52,"907,602",$2.42,$2.57,$2.42
11/30/2023,$2.44,"767,199",$2.40,$2.47,$2.39
11/29/2023,$2.39,"921,933",$2.45,$2.5175,$2.39
11/28/2023,$2.40,"681,761",$2.41,$2.43,$2.36
11/27/2023,$2.44,"890,868",$2.39,$2.455,$2.36
11/24/2023,$2.40,"412,213",$2.34,$2.43,$2.339
11/22/2023,$2.37,"1,147,617",$2.30,$2.38,$2.25
11/21/2023,$2.31,"773,325",$2.33,$2.37,$2.29
11/20/2023,$2.35,"1,421,527",$2.39,$2.42,$2.33
11/17/2023,$2.35,"1,233,060",$2.30,$2.39,$2.25
11/16/2023,$2.26,"1,679,355",$2.38,$2.40,$2.245
11/15/2023,$2.40,"2,209,530",$2.40,$2.50,$2.39
11/14/2023,$2.39,"2,650,088",$2.28,$2.415,$2.23
11/13/2023,$2.20,"1,823,828",$2.05,$2.24,$2.05
11/10/2023,$2.09,"2,004,779",$2.09,$2.14,$2.00
11/09/2023,$2.09,"2,703,813",$2.07,$2.13,$2.00
11/08/2023,$2.08,"4,399,059",$1.91,$2.09,$1.82
11/07/2023,$1.93,"16,784,900",$2.19,$2.40,$1.88
