Date,Close,Volume,Open,High,Low
03/01/2024,$23.20,"171,549",$23.01,$23.33,$22.51
02/29/2024,$23.08,"186,108",$23.95,$23.99,$23.05
02/28/2024,$23.51,"81,884",$23.44,$23.64,$23.32
02/27/2024,$23.57,"102,424",$23.61,$23.90,$23.33
02/26/2024,$23.53,"98,126",$23.57,$23.90,$23.25
02/23/2024,$23.72,"113,938",$23.53,$24.02,$23.25
02/22/2024,$23.54,"151,003",$24.15,$24.22,$23.51
02/21/2024,$24.17,"141,660",$24.05,$24.20,$23.81
02/20/2024,$24.23,"223,822",$23.70,$24.70,$23.60
02/16/2024,$23.98,"247,909",$24.19,$24.51,$23.84
02/15/2024,$24.44,"282,867",$23.97,$24.905,$23.96
02/14/2024,$23.88,"142,941",$23.71,$23.99,$23.33
02/13/2024,$23.50,"198,007",$24.02,$24.23,$23.23
02/12/2024,$24.78,"419,716",$23.99,$25.00,$23.6058
02/09/2024,$23.91,"358,144",$24.28,$24.28,$23.66
02/08/2024,$24.15,"161,925",$24.31,$24.335,$23.98
02/07/2024,$24.28,"193,576",$24.57,$24.78,$23.73
02/06/2024,$24.68,"145,873",$25.20,$25.40,$24.49
02/05/2024,$25.24,"85,492",$25.20,$25.54,$25.0801
02/02/2024,$25.63,"85,555",$25.62,$26.04,$25.58
02/01/2024,$26.02,"133,721",$26.66,$26.83,$25.10
01/31/2024,$26.56,"131,136",$27.28,$27.50,$26.49
01/30/2024,$27.59,"333,821",$26.97,$27.66,$26.825
01/29/2024,$26.83,"139,605",$26.45,$27.02,$26.15
01/26/2024,$26.24,"118,033",$25.76,$26.61,$25.76
01/25/2024,$25.58,"142,607",$26.50,$26.65,$25.265
01/24/2024,$26.65,"96,142",$26.45,$26.85,$26.45
01/23/2024,$26.10,"82,906",$26.58,$26.58,$26.01
01/22/2024,$26.38,"88,936",$25.88,$26.38,$25.80
01/19/2024,$25.57,"81,098",$25.38,$25.68,$25.08
01/18/2024,$25.17,"134,169",$25.09,$25.18,$24.82
01/17/2024,$25.04,"77,232",$25.00,$25.30,$24.73
01/16/2024,$25.35,"119,448",$25.70,$25.70,$25.15
01/12/2024,$25.38,"147,436",$25.88,$25.90,$25.14
01/11/2024,$25.60,"148,956",$25.73,$25.73,$25.24
01/10/2024,$25.75,"128,739",$26.92,$26.94,$25.39
01/09/2024,$25.66,"110,427",$25.72,$25.81,$25.33
01/08/2024,$25.91,"93,890",$26.09,$26.225,$25.68
01/05/2024,$26.10,"172,608",$25.90,$26.51,$25.85
01/04/2024,$25.79,"78,888",$25.62,$26.15,$25.62
01/03/2024,$25.53,"140,309",$26.41,$26.41,$25.50
01/02/2024,$26.55,"141,575",$26.67,$26.91,$26.30
12/29/2023,$26.94,"259,971",$27.09,$27.40,$26.82
12/28/2023,$27.28,"90,356",$27.34,$27.5164,$27.09
12/27/2023,$27.41,"81,487",$27.38,$27.61,$27.2537
12/26/2023,$27.35,"182,729",$26.83,$27.59,$26.7322
12/22/2023,$26.93,"153,126",$26.93,$27.1806,$26.62
12/21/2023,$26.66,"113,794",$27.07,$27.07,$26.60
12/20/2023,$26.78,"249,664",$26.86,$27.77,$26.68
12/19/2023,$26.86,"208,767",$26.29,$26.87,$26.29
12/18/2023,$26.23,"182,311",$26.36,$26.42,$25.87
12/15/2023,$26.02,"245,242",$26.59,$26.74,$25.72
12/14/2023,$26.36,"192,192",$26.12,$26.66,$25.7119
12/13/2023,$25.59,"241,911",$24.87,$25.94,$24.80
12/12/2023,$24.69,"188,874",$23.99,$25.00,$23.68
12/11/2023,$23.28,"176,273",$23.05,$23.28,$22.83
12/08/2023,$22.97,"142,531",$22.90,$23.14,$22.86
12/07/2023,$22.95,"122,785",$22.51,$23.01,$22.30
12/06/2023,$22.43,"130,332",$22.64,$23.00,$22.31
12/05/2023,$22.43,"99,864",$22.25,$22.43,$22.00
12/04/2023,$22.24,"101,724",$21.94,$22.49,$21.94
12/01/2023,$21.98,"202,571",$21.08,$22.09,$20.98
11/30/2023,$21.00,"180,530",$20.90,$21.29,$20.615
11/29/2023,$20.71,"67,658",$20.65,$21.06,$20.65
11/28/2023,$20.47,"75,311",$20.57,$20.70,$20.39
11/27/2023,$20.56,"72,122",$20.65,$20.72,$20.48
11/24/2023,$20.68,"25,284",$20.65,$20.91,$20.56
11/22/2023,$20.68,"56,401",$20.93,$21.10,$20.55
11/21/2023,$20.69,"73,876",$21.10,$21.105,$20.59
11/20/2023,$21.16,"84,947",$21.13,$21.17,$20.76
11/17/2023,$21.04,"111,927",$21.16,$21.485,$21.015
11/16/2023,$20.80,"239,522",$21.25,$21.25,$20.64
11/15/2023,$21.28,"117,300",$21.31,$21.62,$20.05
11/14/2023,$21.36,"148,739",$20.12,$21.425,$20.12
11/13/2023,$19.64,"167,044",$19.31,$19.76,$18.90
11/10/2023,$19.51,"232,269",$19.34,$19.692,$19.22
11/09/2023,$19.28,"89,735",$19.35,$19.565,$19.21
11/08/2023,$19.34,"69,172",$19.36,$19.36,$19.06
11/07/2023,$19.37,"71,043",$19.34,$19.515,$19.13
11/06/2023,$19.40,"101,400",$19.39,$19.59,$19.04
11/03/2023,$19.47,"174,510",$18.73,$19.515,$18.5591
11/02/2023,$18.50,"110,751",$18.19,$18.52,$18.1723
11/01/2023,$18.06,"104,359",$18.23,$18.23,$17.64
10/31/2023,$18.24,"113,639",$17.75,$18.29,$17.72
10/30/2023,$17.68,"234,679",$17.96,$18.06,$17.51
10/27/2023,$17.50,"139,150",$16.17,$17.53,$16.15
10/26/2023,$16.16,"173,133",$15.73,$16.36,$15.33
