Date,Close,Volume,Open,High,Low
03/01/2024,$25.14,"58,291",$24.22,$25.265,$24.025
02/29/2024,$24.28,"55,882",$24.98,$25.25,$24.24
02/28/2024,$24.77,"73,589",$24.98,$25.68,$24.66
02/27/2024,$25.26,"154,681",$25.53,$25.66,$24.74
02/26/2024,$25.40,"176,556",$25.59,$26.30,$24.45
02/23/2024,$25.89,"74,814",$24.84,$26.3331,$24.58
02/22/2024,$24.83,"220,824",$24.54,$25.255,$24.19
02/21/2024,$24.62,"59,539",$23.90,$24.74,$23.72
02/20/2024,$24.25,"48,949",$23.95,$24.62,$23.60
02/16/2024,$24.21,"65,778",$24.54,$25.08,$24.06
02/15/2024,$24.59,"42,975",$23.81,$24.59,$23.655
02/14/2024,$23.59,"46,256",$23.63,$23.74,$23.18
02/13/2024,$23.31,"89,581",$23.49,$23.99,$23.09
02/12/2024,$24.01,"65,250",$24.03,$24.28,$23.57
02/09/2024,$24.03,"45,489",$23.79,$24.26,$23.63
02/08/2024,$23.66,"51,477",$23.39,$23.79,$23.27
02/07/2024,$23.41,"40,159",$23.87,$24.00,$23.41
02/06/2024,$23.94,"51,538",$23.46,$24.21,$22.96
02/05/2024,$23.42,"49,128",$22.82,$23.62,$22.82
02/02/2024,$23.10,"41,417",$23.11,$23.772,$22.95
02/01/2024,$23.40,"81,376",$23.58,$23.58,$22.95
01/31/2024,$23.52,"70,575",$24.55,$24.76,$23.39
01/30/2024,$24.52,"97,542",$24.93,$25.29,$24.41
01/29/2024,$25.08,"96,696",$24.39,$25.50,$22.57
01/26/2024,$24.40,"149,753",$24.22,$24.60,$23.41
01/25/2024,$24.17,"69,335",$23.45,$24.22,$23.20
01/24/2024,$23.18,"62,000",$23.17,$23.24,$22.605
01/23/2024,$22.90,"64,247",$22.59,$23.06,$22.255
01/22/2024,$22.43,"48,140",$22.41,$22.664,$22.055
01/19/2024,$22.24,"50,151",$22.60,$22.60,$22.0834
01/18/2024,$22.45,"73,349",$22.39,$22.6684,$22.01
01/17/2024,$22.44,"48,062",$21.72,$22.49,$21.72
01/16/2024,$21.95,"116,923",$22.30,$22.31,$21.66
01/12/2024,$22.38,"54,932",$23.00,$23.30,$22.317
01/11/2024,$22.90,"86,540",$22.94,$23.37,$22.80
01/10/2024,$23.16,"74,977",$22.47,$23.17,$21.93
01/09/2024,$22.45,"51,124",$22.37,$22.73,$22.15
01/08/2024,$22.62,"70,130",$22.16,$22.92,$22.16
01/05/2024,$22.07,"113,991",$22.02,$22.24,$21.92
01/04/2024,$22.20,"73,204",$22.87,$23.00,$22.17
01/03/2024,$22.63,"67,206",$22.59,$23.20,$22.28
01/02/2024,$22.66,"71,150",$22.71,$23.12,$22.58
12/29/2023,$22.66,"44,637",$22.28,$23.01,$22.28
12/28/2023,$22.64,"40,275",$22.61,$22.79,$22.415
12/27/2023,$22.69,"37,757",$22.82,$22.85,$22.465
12/26/2023,$22.80,"42,042",$23.31,$23.31,$22.69
12/22/2023,$23.30,"138,327",$22.86,$23.66,$22.86
12/21/2023,$22.65,"62,668",$22.54,$22.725,$22.44
12/20/2023,$22.27,"99,554",$22.33,$22.95,$22.15
12/19/2023,$22.47,"86,174",$22.50,$22.7594,$21.88
12/18/2023,$22.39,"54,145",$22.40,$22.69,$22.19
12/15/2023,$22.32,"141,610",$22.82,$22.90,$22.15
12/14/2023,$22.56,"106,348",$22.88,$23.17,$22.20
12/13/2023,$22.51,"80,513",$21.58,$22.52,$21.30
12/12/2023,$21.66,"28,377",$21.69,$21.87,$21.2101
12/11/2023,$21.72,"44,740",$22.43,$22.43,$21.64
12/08/2023,$22.46,"48,944",$22.36,$22.98,$22.2344
12/07/2023,$22.48,"68,760",$21.87,$22.59,$21.84
12/06/2023,$21.97,"45,589",$22.76,$22.92,$21.90
12/05/2023,$22.74,"95,208",$22.71,$22.92,$22.57
12/04/2023,$22.75,"63,534",$22.64,$22.97,$22.12
12/01/2023,$22.66,"93,541",$21.93,$22.79,$21.80
11/30/2023,$21.91,"400,450",$22.22,$22.62,$21.88
11/29/2023,$22.31,"70,303",$22.38,$23.135,$22.14
11/28/2023,$22.08,"83,837",$21.45,$22.11,$21.24
11/27/2023,$21.38,"188,544",$21.23,$21.53,$20.683
11/24/2023,$21.22,"102,596",$20.55,$21.22,$20.55
11/22/2023,$20.58,"73,057",$20.76,$20.80,$20.44
11/21/2023,$20.66,"72,790",$20.52,$20.79,$20.39
11/20/2023,$20.61,"41,005",$20.90,$21.12,$20.30
11/17/2023,$21.00,"89,944",$21.14,$21.33,$20.86
11/16/2023,$20.94,"81,096",$20.36,$21.10,$20.36
11/15/2023,$20.49,"141,377",$21.00,$21.26,$20.41
11/14/2023,$21.07,"83,371",$20.79,$21.16,$20.76
11/13/2023,$20.31,"72,901",$19.88,$20.485,$19.62
11/10/2023,$20.02,"60,951",$20.28,$20.33,$19.8782
11/09/2023,$20.39,"89,588",$20.74,$20.95,$20.005
11/08/2023,$20.74,"117,739",$21.16,$21.16,$20.35
11/07/2023,$20.99,"117,963",$21.07,$21.39,$20.05
11/06/2023,$21.20,"110,904",$21.20,$21.41,$20.84
11/03/2023,$21.12,"264,543",$24.21,$24.25,$20.29
11/02/2023,$18.99,"89,175",$19.78,$19.91,$18.83
11/01/2023,$19.67,"78,379",$19.34,$19.73,$19.21
10/31/2023,$19.50,"84,769",$19.09,$19.65,$19.07
10/30/2023,$18.99,"102,875",$18.69,$19.04,$18.58
10/27/2023,$18.53,"103,962",$18.63,$18.75,$18.4355
10/26/2023,$18.80,"71,141",$18.85,$18.90,$18.61
10/25/2023,$18.75,"71,076",$18.08,$19.06,$18.08
10/24/2023,$18.85,"68,245",$18.72,$18.93,$18.58
10/23/2023,$18.60,"104,705",$18.83,$18.935,$18.58
10/20/2023,$18.87,"84,721",$19.08,$19.23,$18.82
10/19/2023,$19.00,"106,818",$19.28,$19.28,$18.80
10/18/2023,$19.25,"79,063",$19.57,$19.79,$19.20
10/17/2023,$19.79,"145,268",$19.52,$20.03,$18.85
