Date,Close,Volume,Open,High,Low
03/01/2024,$3.51,"62,808",$3.51,$3.62,$3.49
02/29/2024,$3.50,"53,482",$3.54,$3.62,$3.489
02/28/2024,$3.51,"72,133",$3.48,$3.635,$3.47
02/27/2024,$3.55,"71,112",$3.49,$3.6247,$3.46
02/26/2024,$3.44,"118,625",$3.58,$3.67,$3.39
02/23/2024,$3.59,"75,682",$3.50,$3.6999,$3.50
02/22/2024,$3.56,"129,641",$3.67,$3.8099,$3.53
02/21/2024,$3.77,"138,949",$3.87,$3.907,$3.6399
02/20/2024,$3.86,"220,236",$4.05,$4.0937,$3.81
02/16/2024,$4.05,"132,708",$4.03,$4.30,$3.975
02/15/2024,$4.08,"179,275",$4.29,$4.35,$4.00
02/14/2024,$4.28,"255,421",$4.30,$4.46,$4.1285
02/13/2024,$4.30,"76,107",$4.48,$4.50,$4.22
02/12/2024,$4.46,"137,285",$4.51,$4.6682,$4.4169
02/09/2024,$4.51,"111,167",$4.51,$4.6553,$4.48
02/08/2024,$4.48,"102,538",$4.44,$4.54,$4.30
02/07/2024,$4.46,"81,596",$4.62,$4.65,$4.46
02/06/2024,$4.64,"48,106",$4.50,$4.65,$4.4788
02/05/2024,$4.55,"143,756",$4.59,$4.62,$4.45
02/02/2024,$4.60,"73,114",$4.59,$4.6799,$4.54
02/01/2024,$4.58,"97,870",$4.60,$4.70,$4.4881
01/31/2024,$4.54,"236,147",$4.27,$4.58,$4.25
01/30/2024,$4.29,"64,838",$4.44,$4.485,$4.25
01/29/2024,$4.44,"94,189",$4.37,$4.665,$4.37
01/26/2024,$4.38,"104,811",$4.45,$4.55,$4.32
01/25/2024,$4.53,"174,090",$4.79,$4.79,$4.25
01/24/2024,$4.78,"98,485",$4.91,$4.94,$4.74
01/23/2024,$4.90,"168,760",$4.85,$5.00,$4.78
01/22/2024,$4.85,"141,538",$4.91,$5.0299,$4.75
01/19/2024,$4.96,"158,482",$4.94,$5.09,$4.80
01/18/2024,$4.93,"471,387",$4.53,$5.13,$4.48
01/17/2024,$4.59,"338,133",$4.99,$5.00,$4.55
01/16/2024,$5.02,"613,528",$4.54,$5.025,$4.54
01/12/2024,$4.39,"103,690",$4.43,$4.50,$4.31
01/11/2024,$4.47,"160,520",$4.47,$4.50,$4.1609
01/10/2024,$4.43,"271,576",$4.05,$4.5299,$4.05
01/09/2024,$4.06,"138,364",$4.19,$4.21,$3.94
01/08/2024,$4.22,"130,818",$3.86,$4.29,$3.86
01/05/2024,$3.93,"126,414",$3.90,$4.0999,$3.80
01/04/2024,$3.93,"329,214",$3.98,$4.195,$3.8445
01/03/2024,$3.98,"226,342",$3.95,$4.00,$3.8169
01/02/2024,$3.93,"87,799",$3.90,$3.97,$3.86
12/29/2023,$3.88,"97,607",$3.89,$3.98,$3.84
12/28/2023,$3.89,"78,874",$3.91,$3.94,$3.83
12/27/2023,$3.94,"187,043",$3.84,$3.95,$3.80
12/26/2023,$3.86,"70,885",$3.86,$3.89,$3.75
12/22/2023,$3.90,"171,122",$3.81,$3.92,$3.75
12/21/2023,$3.79,"86,155",$3.80,$3.84,$3.75
12/20/2023,$3.78,"175,518",$3.92,$3.92,$3.76
12/19/2023,$3.89,"260,229",$3.73,$3.975,$3.73
12/18/2023,$3.72,"117,998",$3.71,$3.81,$3.60
12/15/2023,$3.75,"227,267",$3.80,$3.81,$3.57
12/14/2023,$3.80,"246,963",$3.93,$3.9928,$3.61
12/13/2023,$3.91,"266,032",$4.10,$4.105,$3.80
12/12/2023,$4.10,"434,355",$4.30,$4.35,$3.83
12/11/2023,$4.19,"799,576",$4.47,$4.71,$4.00
12/08/2023,$4.08,"896,890",$3.58,$4.22,$3.56
12/07/2023,$3.60,"1,138,362",$4.02,$4.2464,$3.54
12/06/2023,$3.93,"1,008,312",$3.76,$4.22,$3.76
12/05/2023,$3.75,"415,931",$3.69,$3.98,$3.50
12/04/2023,$3.69,"540,202",$3.30,$4.0872,$3.25
12/01/2023,$3.27,"45,376",$3.37,$3.43,$3.2501
11/30/2023,$3.34,"24,835",$3.31,$3.44,$3.235
11/29/2023,$3.31,"32,649",$3.30,$3.39,$3.20
11/28/2023,$3.34,"45,033",$3.15,$3.44,$3.06
11/27/2023,$3.10,"86,306",$2.95,$3.20,$2.90
11/24/2023,$2.96,"23,441",$2.82,$2.96,$2.82
11/22/2023,$2.86,"56,974",$2.95,$3.01,$2.75
11/21/2023,$2.90,"13,561",$2.95,$2.98,$2.8681
11/20/2023,$2.96,"13,304",$2.92,$3.01,$2.87
11/17/2023,$2.95,"34,218",$2.90,$3.00,$2.77
11/16/2023,$2.88,"21,046",$2.95,$2.95,$2.86
11/15/2023,$2.88,"47,227",$2.89,$2.99,$2.8734
11/14/2023,$2.86,"32,174",$3.03,$3.03,$2.85
11/13/2023,$2.97,"29,288",$2.85,$2.99,$2.8001
11/10/2023,$2.93,"43,119",$2.86,$3.01,$2.86
11/09/2023,$2.89,"49,199",$2.92,$3.0299,$2.85
11/08/2023,$2.85,"45,095",$3.06,$3.21,$2.85
11/07/2023,$3.05,"110,728",$3.25,$3.43,$3.0021
11/06/2023,$3.27,"50,978",$3.29,$3.44,$3.18
11/03/2023,$3.22,"22,490",$3.13,$3.2898,$3.13
11/02/2023,$3.20,"30,576",$3.19,$3.25,$3.1401
11/01/2023,$3.19,"19,288",$3.15,$3.22,$3.15
10/31/2023,$3.16,"20,524",$3.17,$3.25,$3.09
10/30/2023,$3.19,"26,367",$3.10,$3.21,$3.06
10/27/2023,$3.04,"57,722",$3.12,$3.2699,$3.04
10/26/2023,$3.15,"19,831",$3.22,$3.32,$3.1301
10/25/2023,$3.24,"26,008",$3.05,$3.25,$3.05
10/24/2023,$3.08,"60,986",$3.25,$3.32,$3.05
10/23/2023,$3.24,"21,693",$3.23,$3.28,$3.1201
10/20/2023,$3.13,"23,718",$3.13,$3.29,$3.13
10/19/2023,$3.19,"32,670",$3.26,$3.39,$3.1501
10/18/2023,$3.27,"42,180",$3.41,$3.5795,$3.27
10/17/2023,$3.43,"54,048",$3.44,$3.63,$3.40
10/16/2023,$3.44,"41,692",$3.35,$3.50,$3.3188
10/13/2023,$3.34,"31,551",$3.285,$3.45,$3.285
10/12/2023,$3.31,"27,320",$3.33,$3.33,$3.25
10/11/2023,$3.28,"16,854",$3.30,$3.495,$3.27
10/10/2023,$3.30,"30,293",$3.39,$3.49,$3.30
10/09/2023,$3.46,"46,202",$3.54,$3.64,$3.39
10/06/2023,$3.53,"73,424",$3.75,$3.79,$3.40
10/05/2023,$3.64,"85,036",$3.41,$3.75,$3.375
10/04/2023,$3.37,"222,632",$3.28,$3.55,$3.11
10/03/2023,$3.05,"152,915",$3.16,$3.19,$2.8404
10/02/2023,$3.02,"79,639",$3.24,$3.34,$3.02
09/29/2023,$3.27,"31,993",$3.18,$3.41,$3.16
09/28/2023,$3.21,"19,624",$3.25,$3.41,$3.20
09/27/2023,$3.25,"45,919",$3.28,$3.41,$3.25
09/26/2023,$3.26,"15,087",$3.32,$3.40,$3.25
09/25/2023,$3.34,"31,989",$3.36,$3.40,$3.2654
09/22/2023,$3.35,"36,832",$3.36,$3.46,$3.28
09/21/2023,$3.40,"24,253",$3.34,$3.42,$3.282
09/20/2023,$3.36,"59,406",$3.53,$3.675,$3.33
09/19/2023,$3.57,"42,715",$3.38,$3.60,$3.25
09/18/2023,$3.38,"89,310",$3.28,$3.54,$3.2101
09/15/2023,$3.28,"176,653",$3.57,$3.64,$3.1801
09/14/2023,$3.57,"24,383",$3.57,$3.61,$3.4895
09/13/2023,$3.57,"51,955",$3.47,$3.65,$3.40
09/12/2023,$3.46,"41,974",$3.40,$3.59,$3.36
09/11/2023,$3.37,"31,902",$3.47,$3.6099,$3.37
09/08/2023,$3.39,"45,905",$3.31,$3.56,$3.31
09/07/2023,$3.33,"73,074",$3.50,$3.66,$3.30
09/06/2023,$3.53,"26,953",$3.58,$3.64,$3.44
09/05/2023,$3.54,"49,438",$3.66,$3.66,$3.40
09/01/2023,$3.64,"25,096",$3.72,$3.7399,$3.64
08/31/2023,$3.67,"27,265",$3.67,$3.74,$3.57
08/30/2023,$3.65,"25,218",$3.64,$3.71,$3.5803
08/29/2023,$3.64,"49,853",$3.69,$3.727,$3.56
08/28/2023,$3.63,"19,455",$3.57,$3.70,$3.57
08/25/2023,$3.60,"15,305",$3.59,$3.68,$3.5301
08/24/2023,$3.60,"14,951",$3.65,$3.6699,$3.53
08/23/2023,$3.67,"45,222",$3.61,$3.79,$3.61
08/22/2023,$3.60,"12,970",$3.54,$3.60,$3.52
08/21/2023,$3.52,"15,653",$3.56,$3.61,$3.50
08/18/2023,$3.55,"14,153",$3.53,$3.61,$3.52
08/17/2023,$3.54,"29,315",$3.60,$3.65,$3.511
08/16/2023,$3.59,"63,251",$3.68,$3.84,$3.5016
08/15/2023,$3.69,"103,123",$3.65,$3.85,$3.65
08/14/2023,$3.70,"45,285",$3.78,$3.83,$3.62
08/11/2023,$3.73,"60,771",$3.64,$3.94,$3.6281
08/10/2023,$3.65,"45,447",$3.61,$3.6924,$3.53
08/09/2023,$3.58,"112,477",$3.55,$3.68,$3.2801
08/08/2023,$3.53,"80,767",$3.57,$3.69,$3.415
08/07/2023,$3.59,"53,812",$3.75,$3.8499,$3.58
08/04/2023,$3.75,"81,671",$3.85,$3.92,$3.60
08/03/2023,$3.78,"101,631",$3.50,$3.91,$3.50
