Date,Close,Volume,Open,High,Low
03/01/2024,$12.18,"451,498",$12.05,$12.32,$11.84
02/29/2024,$12.04,"766,335",$10.80,$12.19,$10.56
02/28/2024,$9.90,"296,016",$9.82,$10.17,$9.76
02/27/2024,$9.86,"209,448",$9.78,$9.95,$9.755
02/26/2024,$9.65,"238,175",$9.66,$9.7999,$9.50
02/23/2024,$9.66,"154,603",$9.49,$9.72,$9.38
02/22/2024,$9.55,"231,823",$9.79,$9.9172,$9.52
02/21/2024,$9.76,"195,114",$9.44,$9.85,$9.44
02/20/2024,$9.46,"164,677",$9.36,$9.645,$9.27
02/16/2024,$9.44,"227,345",$9.34,$9.53,$9.20
02/15/2024,$9.37,"294,021",$9.19,$9.50,$9.17
02/14/2024,$9.02,"266,353",$8.67,$9.05,$8.67
02/13/2024,$8.54,"267,102",$8.67,$8.82,$8.46
02/12/2024,$8.94,"228,095",$8.78,$9.05,$8.78
02/09/2024,$8.69,"199,276",$8.73,$8.86,$8.63
02/08/2024,$8.75,"136,137",$8.62,$8.815,$8.62
02/07/2024,$8.66,"217,999",$8.58,$8.75,$8.42
02/06/2024,$8.51,"305,134",$8.48,$8.64,$8.31
02/05/2024,$8.50,"239,444",$8.50,$8.592,$8.37
02/02/2024,$8.63,"197,534",$8.68,$8.76,$8.45
02/01/2024,$8.76,"159,206",$8.75,$8.94,$8.6375
01/31/2024,$8.70,"190,673",$8.73,$8.96,$8.65
01/30/2024,$8.80,"156,258",$8.61,$8.86,$8.61
01/29/2024,$8.77,"104,111",$8.73,$8.80,$8.53
01/26/2024,$8.71,"131,887",$8.57,$8.74,$8.52
01/25/2024,$8.51,"150,349",$8.25,$8.52,$8.205
01/24/2024,$8.14,"128,064",$8.26,$8.32,$8.08
01/23/2024,$8.12,"157,645",$8.16,$8.265,$8.01
01/22/2024,$8.06,"164,360",$8.05,$8.09,$7.87
01/19/2024,$7.99,"331,384",$8.04,$8.04,$7.74
01/18/2024,$7.99,"163,043",$7.97,$8.02,$7.81
01/17/2024,$7.94,"186,237",$7.82,$7.98,$7.755
01/16/2024,$7.88,"166,829",$8.01,$8.02,$7.86
01/12/2024,$8.07,"100,971",$8.22,$8.30,$8.06
01/11/2024,$8.07,"99,744",$8.13,$8.1383,$7.88
01/10/2024,$8.14,"192,598",$8.10,$8.14,$7.95
01/09/2024,$8.13,"154,003",$8.26,$8.26,$8.0769
01/08/2024,$8.34,"246,403",$8.30,$8.36,$8.02
01/05/2024,$8.33,"285,522",$8.30,$8.50,$8.09
01/04/2024,$8.26,"259,766",$8.76,$8.76,$8.19
01/03/2024,$8.70,"369,625",$8.61,$9.02,$8.475
01/02/2024,$8.69,"330,129",$8.36,$8.95,$8.25
12/29/2023,$8.39,"213,600",$8.67,$8.69,$8.32
12/28/2023,$8.66,"447,398",$8.52,$8.68,$8.38
12/27/2023,$8.54,"272,720",$8.52,$8.59,$8.40
12/26/2023,$8.52,"228,965",$8.49,$8.59,$8.45
12/22/2023,$8.37,"241,823",$8.48,$8.745,$8.36
12/21/2023,$8.33,"412,821",$8.30,$8.56,$8.13
12/20/2023,$8.21,"261,860",$8.31,$8.6599,$8.18
12/19/2023,$8.37,"240,597",$7.93,$8.44,$7.93
12/18/2023,$7.94,"175,976",$7.97,$8.10,$7.85
12/15/2023,$7.88,"498,361",$8.35,$8.44,$7.86
12/14/2023,$8.31,"436,052",$8.23,$8.63,$8.19
12/13/2023,$7.99,"782,781",$7.45,$7.99,$7.30
12/12/2023,$7.29,"274,933",$7.61,$7.61,$7.22
12/11/2023,$7.60,"212,803",$7.63,$7.69,$7.522
12/08/2023,$7.70,"157,359",$7.60,$7.81,$7.53
12/07/2023,$7.63,"168,355",$7.73,$7.7675,$7.53
12/06/2023,$7.71,"276,676",$7.79,$8.05,$7.64
12/05/2023,$7.79,"310,798",$8.24,$8.30,$7.74
12/04/2023,$8.26,"404,976",$8.36,$8.57,$8.05
12/01/2023,$8.40,"271,330",$8.08,$8.47,$8.05
11/30/2023,$8.08,"163,808",$8.16,$8.25,$8.045
11/29/2023,$8.14,"205,774",$8.10,$8.24,$8.02
11/28/2023,$8.05,"161,229",$8.04,$8.09,$7.90
11/27/2023,$8.06,"172,467",$8.29,$8.30,$8.00
11/24/2023,$8.32,"113,986",$8.08,$8.35,$8.07
11/22/2023,$8.04,"187,548",$7.92,$8.07,$7.80
11/21/2023,$7.92,"249,448",$8.19,$8.25,$7.90
11/20/2023,$8.16,"342,966",$8.32,$8.40,$8.14
11/17/2023,$8.27,"360,291",$8.36,$8.40,$8.14
11/16/2023,$8.23,"306,333",$8.58,$8.65,$8.15
11/15/2023,$8.57,"439,769",$8.92,$9.13,$8.50
11/14/2023,$8.90,"347,463",$8.95,$9.11,$8.69
11/13/2023,$8.66,"173,545",$8.77,$8.89,$8.61
11/10/2023,$8.87,"335,210",$8.42,$8.87,$8.40
11/09/2023,$8.42,"240,817",$8.70,$8.74,$8.3951
11/08/2023,$8.58,"262,362",$8.80,$8.835,$8.39
11/07/2023,$8.81,"306,393",$9.28,$9.32,$8.76
11/06/2023,$9.36,"268,696",$9.60,$9.60,$9.27
11/03/2023,$9.58,"530,369",$9.27,$10.00,$9.19
11/02/2023,$9.09,"674,548",$8.66,$9.23,$8.46
11/01/2023,$8.26,"273,328",$8.29,$8.47,$8.08
10/31/2023,$8.35,"186,815",$8.04,$8.51,$8.03
10/30/2023,$8.07,"277,090",$8.27,$8.295,$7.85
10/27/2023,$8.24,"245,237",$8.00,$8.30,$7.835
10/26/2023,$8.00,"291,071",$8.08,$8.24,$7.83
10/25/2023,$8.15,"212,701",$8.15,$8.30,$8.11
10/24/2023,$8.21,"354,995",$8.35,$8.42,$8.09
10/23/2023,$8.30,"480,383",$8.25,$8.62,$8.20
10/20/2023,$8.34,"784,376",$8.80,$8.88,$8.32
10/19/2023,$8.82,"351,398",$9.16,$9.38,$8.81
10/18/2023,$9.24,"348,039",$9.41,$9.51,$9.00
10/17/2023,$9.45,"232,751",$9.39,$9.68,$9.37
10/16/2023,$9.43,"372,758",$9.25,$9.465,$9.08
10/13/2023,$9.10,"851,791",$10.06,$10.16,$8.65
10/12/2023,$9.97,"214,851",$10.12,$10.12,$9.74
10/11/2023,$10.09,"152,379",$10.13,$10.35,$10.06
10/10/2023,$10.17,"237,038",$10.18,$10.37,$9.991
