Date,Close,Volume,Open,High,Low
03/01/2024,$6.50,"508,065",$6.57,$6.635,$6.49
02/29/2024,$6.53,"825,987",$6.71,$6.949,$6.405
02/28/2024,$6.705,"753,183",$7.18,$7.24,$6.265
02/27/2024,$7.99,"241,869",$8.07,$8.09,$7.98
02/26/2024,$7.95,"146,369",$7.96,$8.02,$7.80
02/23/2024,$8.00,"176,787",$7.97,$8.05,$7.932
02/22/2024,$7.98,"162,263",$8.05,$8.05,$7.93
02/21/2024,$8.09,"142,604",$8.08,$8.13,$8.005
02/20/2024,$8.11,"227,873",$7.96,$8.193,$7.96
02/16/2024,$8.04,"282,427",$8.24,$8.30,$7.9699
02/15/2024,$8.21,"224,588",$8.00,$8.22,$7.89
02/14/2024,$8.05,"183,089",$7.96,$8.07,$7.914
02/13/2024,$7.88,"309,083",$8.09,$8.15,$7.85
02/12/2024,$8.36,"226,569",$8.12,$8.39,$8.12
02/09/2024,$8.12,"192,543",$8.06,$8.14,$8.04
02/08/2024,$8.08,"167,011",$7.90,$8.08,$7.90
02/07/2024,$7.90,"147,480",$7.92,$8.01,$7.87
02/06/2024,$7.93,"137,074",$7.76,$7.93,$7.76
02/05/2024,$7.77,"180,089",$7.82,$7.94,$7.77
02/02/2024,$7.93,"204,766",$7.89,$7.99,$7.815
02/01/2024,$7.99,"205,722",$7.84,$8.045,$7.84
01/31/2024,$7.80,"264,957",$7.99,$8.025,$7.80
01/30/2024,$7.99,"116,956",$7.94,$8.005,$7.89
01/29/2024,$7.96,"147,017",$7.93,$7.96,$7.87
01/26/2024,$7.94,"132,596",$8.01,$8.04,$7.915
01/25/2024,$7.95,"234,823",$7.84,$7.955,$7.83
01/24/2024,$7.78,"157,859",$8.00,$8.00,$7.75
01/23/2024,$7.91,"189,339",$8.04,$8.10,$7.89
01/22/2024,$7.97,"238,527",$7.83,$7.98,$7.81
01/19/2024,$7.76,"261,947",$7.81,$7.81,$7.61
01/18/2024,$7.76,"171,157",$7.77,$7.79,$7.69
01/17/2024,$7.80,"156,261",$7.82,$7.89,$7.80
01/16/2024,$7.90,"148,128",$7.95,$7.9961,$7.89
01/12/2024,$8.03,"153,514",$8.19,$8.19,$8.03
01/11/2024,$8.08,"171,046",$8.07,$8.09,$7.99
01/10/2024,$8.10,"166,525",$7.99,$8.16,$7.99
01/09/2024,$8.05,"165,898",$8.08,$8.24,$8.04
01/08/2024,$8.32,"148,596",$8.26,$8.34,$8.18
01/05/2024,$8.31,"307,392",$8.27,$8.37,$8.27
01/04/2024,$8.30,"206,519",$8.27,$8.37,$8.085
01/03/2024,$8.17,"275,818",$8.38,$8.40,$8.17
01/02/2024,$8.35,"256,152",$8.23,$8.42,$7.96
12/29/2023,$8.25,"227,944",$8.22,$8.2993,$8.19
12/28/2023,$8.19,"225,274",$8.15,$8.23,$8.03
12/27/2023,$8.19,"248,399",$8.08,$8.21,$8.01
12/26/2023,$8.08,"287,559",$8.10,$8.13,$8.005
12/22/2023,$8.09,"256,156",$8.07,$8.19,$8.07
12/21/2023,$8.10,"248,026",$7.98,$8.10,$7.94
12/20/2023,$7.93,"266,465",$8.01,$8.09,$7.91
12/19/2023,$8.00,"303,076",$7.95,$8.01,$7.61
12/18/2023,$7.89,"196,129",$7.87,$7.963,$7.83
12/15/2023,$7.83,"690,695",$7.99,$7.99,$7.83
12/14/2023,$7.91,"408,994",$8.11,$8.24,$7.84
12/13/2023,$8.00,"435,976",$7.72,$8.00,$7.67
12/12/2023,$7.74,"146,970",$7.76,$7.77,$7.63
12/11/2023,$7.73,"205,620",$7.78,$7.82,$7.66
12/08/2023,$7.78,"173,246",$7.81,$7.86,$7.74
12/07/2023,$7.83,"244,312",$7.73,$7.85,$7.585
12/06/2023,$7.70,"194,466",$7.80,$7.89,$7.685
12/05/2023,$7.77,"166,835",$7.73,$7.79,$7.67
12/04/2023,$7.73,"227,155",$7.66,$7.79,$7.64
12/01/2023,$7.69,"278,107",$7.50,$7.71,$7.465
11/30/2023,$7.48,"459,159",$7.52,$7.54,$7.43
11/29/2023,$7.51,"146,482",$7.53,$7.69,$7.49
11/28/2023,$7.47,"135,226",$7.54,$7.56,$7.465
11/27/2023,$7.55,"170,145",$7.54,$7.59,$7.4856
11/24/2023,$7.54,"105,205",$7.48,$7.59,$7.48
11/22/2023,$7.50,"122,962",$7.53,$7.615,$7.49
11/21/2023,$7.50,"181,129",$7.47,$7.59,$7.39
11/20/2023,$7.52,"253,783",$7.35,$7.595,$7.35
11/17/2023,$7.35,"314,320",$7.26,$7.36,$7.195
11/16/2023,$7.20,"207,139",$7.31,$7.36,$7.145
11/15/2023,$7.34,"278,668",$7.31,$7.44,$7.255
11/14/2023,$7.25,"452,591",$7.36,$7.46,$7.0299
11/13/2023,$7.55,"208,361",$7.54,$7.68,$7.535
11/10/2023,$7.58,"280,272",$7.23,$7.62,$7.16
11/09/2023,$7.18,"311,112",$7.34,$7.41,$7.16
11/08/2023,$7.26,"346,387",$7.39,$7.52,$7.155
11/07/2023,$7.42,"597,811",$8.15,$8.15,$7.0699
11/06/2023,$7.87,"190,961",$7.88,$7.915,$7.815
11/03/2023,$7.90,"308,642",$7.81,$7.955,$7.79
11/02/2023,$7.73,"247,043",$7.63,$7.74,$7.62
11/01/2023,$7.57,"203,852",$7.53,$7.59,$7.46
10/31/2023,$7.55,"255,731",$7.70,$7.83,$7.54
10/30/2023,$7.71,"190,614",$7.65,$7.78,$7.47
10/27/2023,$7.62,"226,112",$7.69,$7.7713,$7.5725
10/26/2023,$7.64,"172,299",$7.52,$7.685,$7.505
10/25/2023,$7.52,"196,615",$7.43,$7.5719,$7.33
10/24/2023,$7.50,"233,993",$7.58,$7.70,$7.45
10/23/2023,$7.56,"188,945",$7.59,$7.69,$7.48
10/20/2023,$7.59,"230,570",$7.70,$7.74,$7.58
10/19/2023,$7.66,"183,062",$7.68,$7.84,$7.65
10/18/2023,$7.73,"178,692",$7.77,$7.80,$7.715
10/17/2023,$7.83,"287,787",$7.70,$7.945,$7.70
10/16/2023,$7.78,"212,349",$7.65,$7.83,$7.575
10/13/2023,$7.61,"187,744",$7.64,$7.73,$7.575
10/12/2023,$7.62,"259,516",$7.66,$7.67,$7.47
10/11/2023,$7.67,"189,672",$7.68,$7.72,$7.51
10/10/2023,$7.68,"280,639",$7.56,$7.70,$7.45
10/09/2023,$7.53,"231,642",$7.49,$7.55,$7.40
10/06/2023,$7.53,"217,680",$7.49,$7.60,$7.31
10/05/2023,$7.51,"344,267",$7.41,$7.57,$7.40
10/04/2023,$7.44,"268,843",$7.24,$7.46,$7.22
10/03/2023,$7.23,"259,467",$7.07,$7.255,$7.05
10/02/2023,$7.09,"293,408",$7.16,$7.20,$6.99
09/29/2023,$7.15,"286,787",$7.16,$7.18,$7.09
09/28/2023,$7.14,"344,598",$7.06,$7.18,$7.0285
09/27/2023,$7.06,"536,302",$7.12,$7.18,$7.01
09/26/2023,$7.07,"558,582",$7.11,$7.22,$7.02
09/25/2023,$7.13,"543,074",$7.29,$7.345,$7.11
09/22/2023,$7.34,"187,842",$7.44,$7.50,$7.34
09/21/2023,$7.43,"291,917",$7.34,$7.49,$7.335
09/20/2023,$7.37,"253,010",$7.54,$7.56,$7.36
09/19/2023,$7.54,"348,792",$7.53,$7.61,$7.495
09/18/2023,$7.53,"461,035",$7.38,$7.565,$7.38
09/15/2023,$7.38,"1,042,157",$7.45,$7.53,$7.35
09/14/2023,$7.47,"787,466",$7.55,$7.68,$7.44
09/13/2023,$7.51,"828,785",$7.54,$7.695,$7.41
09/12/2023,$7.51,"697,453",$7.33,$7.55,$7.30
09/11/2023,$7.32,"627,955",$7.44,$7.53,$7.305
09/08/2023,$7.42,"356,822",$7.27,$7.425,$7.205
09/07/2023,$7.25,"854,878",$7.41,$7.45,$7.215
09/06/2023,$7.40,"692,510",$7.46,$7.575,$7.18
09/05/2023,$7.50,"593,085",$7.52,$7.75,$7.34
09/01/2023,$7.57,"445,600",$7.55,$7.67,$7.47
08/31/2023,$7.53,"627,939",$7.59,$7.665,$7.5094
08/30/2023,$7.60,"396,380",$7.76,$7.8359,$7.60
08/29/2023,$7.79,"195,737",$7.54,$7.80,$7.49
08/28/2023,$7.53,"282,545",$7.63,$7.665,$7.49
08/25/2023,$7.65,"171,546",$7.42,$7.675,$7.42
08/24/2023,$7.42,"245,930",$7.39,$7.51,$7.275
08/23/2023,$7.39,"476,027",$7.63,$7.66,$7.355
08/22/2023,$7.63,"391,280",$8.09,$8.11,$7.57
08/21/2023,$8.10,"200,593",$8.10,$8.1363,$8.02
08/18/2023,$8.11,"205,531",$8.10,$8.225,$8.08
08/17/2023,$8.14,"159,948",$8.36,$8.395,$8.14
08/16/2023,$8.33,"168,978",$8.28,$8.37,$8.0861
08/15/2023,$8.28,"91,526",$8.27,$8.33,$8.26
08/14/2023,$8.30,"147,779",$8.15,$8.31,$8.03
08/11/2023,$8.24,"163,533",$8.30,$8.34,$8.18
08/10/2023,$8.32,"213,500",$8.30,$8.42,$8.20
08/09/2023,$8.20,"218,880",$7.96,$8.21,$7.88
08/08/2023,$7.98,"267,361",$7.98,$8.095,$7.63
