Date,Close,Volume,Open,High,Low
03/01/2024,$30.74,"2,070,794",$30.35,$31.04,$30.17
02/29/2024,$30.33,"2,959,426",$30.68,$30.77,$30.15
02/28/2024,$30.63,"1,500,573",$30.07,$30.785,$29.98
02/27/2024,$30.20,"1,925,276",$30.52,$30.705,$30.18
02/26/2024,$30.67,"1,616,553",$31.27,$31.325,$30.64
02/23/2024,$31.35,"1,530,124",$31.07,$31.44,$30.89
02/22/2024,$30.97,"1,678,122",$30.80,$31.14,$30.5901
02/21/2024,$30.47,"2,563,856",$30.95,$30.95,$29.78
02/20/2024,$30.86,"2,992,071",$30.77,$31.02,$30.65
02/16/2024,$30.87,"1,697,209",$30.65,$31.13,$30.65
02/15/2024,$30.83,"2,031,182",$30.79,$31.135,$30.76
02/14/2024,$30.83,"2,186,117",$30.52,$30.935,$30.21
02/13/2024,$30.25,"2,310,203",$30.81,$30.81,$30.095
02/12/2024,$31.00,"3,248,560",$30.46,$31.04,$30.46
02/09/2024,$30.51,"3,275,641",$29.37,$30.58,$29.31
02/08/2024,$29.41,"3,006,441",$28.88,$29.635,$28.515
02/07/2024,$28.88,"3,522,138",$30.46,$30.525,$28.81
02/06/2024,$29.31,"5,177,328",$31.02,$31.09,$29.225
02/05/2024,$29.42,"4,238,240",$29.43,$29.59,$28.96
02/02/2024,$29.67,"4,111,604",$29.58,$29.93,$29.185
02/01/2024,$29.71,"2,933,785",$29.14,$29.79,$28.94
01/31/2024,$29.08,"3,096,635",$29.27,$29.83,$28.92
01/30/2024,$29.24,"2,169,275",$28.91,$29.29,$28.77
01/29/2024,$28.95,"1,617,007",$28.52,$28.96,$28.39
01/26/2024,$28.58,"1,265,497",$28.73,$28.89,$28.515
01/25/2024,$28.69,"2,595,393",$28.71,$28.985,$28.445
01/24/2024,$28.42,"1,459,142",$28.90,$29.03,$28.295
01/23/2024,$28.74,"1,301,394",$28.90,$29.02,$28.485
01/22/2024,$28.63,"1,557,702",$28.75,$28.91,$28.48
01/19/2024,$28.65,"1,193,831",$28.61,$28.875,$28.49
01/18/2024,$28.67,"2,460,139",$28.98,$29.06,$28.505
01/17/2024,$28.85,"2,399,196",$28.87,$29.375,$28.63
01/16/2024,$28.96,"2,477,303",$28.49,$28.98,$28.31
01/12/2024,$28.76,"1,659,982",$29.13,$29.24,$28.74
01/11/2024,$28.88,"1,905,159",$28.87,$28.8999,$28.595
01/10/2024,$28.91,"1,691,287",$28.77,$29.04,$28.545
01/09/2024,$28.71,"1,849,960",$28.69,$28.77,$28.37
01/08/2024,$28.88,"2,729,470",$28.38,$29.015,$28.325
01/05/2024,$28.22,"2,268,781",$27.64,$28.225,$27.615
01/04/2024,$27.78,"2,411,537",$27.80,$28.11,$27.74
01/03/2024,$27.68,"1,931,359",$27.81,$28.01,$27.465
01/02/2024,$27.94,"2,682,122",$27.84,$28.24,$27.84
12/29/2023,$28.10,"1,846,068",$27.97,$28.17,$27.785
12/28/2023,$28.00,"1,498,774",$27.82,$28.10,$27.73
12/27/2023,$27.87,"1,373,094",$27.82,$27.90,$27.63
12/26/2023,$27.73,"2,000,537",$27.71,$27.83,$27.605
12/22/2023,$27.74,"1,662,997",$27.80,$28.08,$27.615
12/21/2023,$27.88,"2,208,605",$27.67,$27.975,$27.555
12/20/2023,$27.39,"3,103,708",$27.86,$28.25,$27.39
12/19/2023,$28.02,"2,850,460",$27.90,$28.04,$27.77
12/18/2023,$27.72,"6,329,027",$27.22,$27.865,$27.05
12/15/2023,$27.20,"6,803,956",$27.59,$27.59,$27.075
12/14/2023,$27.58,"3,582,337",$27.39,$27.905,$27.39
12/13/2023,$27.15,"3,985,864",$26.98,$27.25,$26.58
12/12/2023,$26.87,"2,356,993",$26.98,$27.22,$26.59
12/11/2023,$27.09,"2,691,352",$27.16,$27.35,$26.965
12/08/2023,$27.16,"2,032,846",$27.21,$27.39,$27.03
12/07/2023,$27.17,"2,979,447",$27.42,$27.51,$26.89
12/06/2023,$27.41,"2,914,569",$27.38,$27.60,$27.16
12/05/2023,$27.24,"3,242,804",$27.99,$28.12,$27.23
12/04/2023,$28.18,"3,343,858",$28.23,$28.37,$28.01
12/01/2023,$28.29,"2,484,361",$28.07,$28.42,$27.95
11/30/2023,$28.01,"17,491,350",$27.83,$28.32,$27.72
11/29/2023,$27.78,"3,713,640",$27.67,$28.04,$27.54
11/28/2023,$27.56,"5,092,304",$27.95,$28.05,$27.4975
11/27/2023,$28.05,"3,353,254",$27.85,$28.158,$27.745
11/24/2023,$28.05,"1,024,183",$27.98,$28.16,$27.88
11/22/2023,$28.13,"2,662,553",$28.02,$28.40,$27.97
11/21/2023,$27.88,"2,966,684",$27.74,$27.98,$27.53
11/20/2023,$27.86,"3,304,912",$27.65,$28.155,$27.64
11/17/2023,$27.71,"3,619,915",$27.75,$27.84,$27.52
11/16/2023,$27.65,"4,046,187",$26.99,$27.66,$26.88
11/15/2023,$27.04,"5,092,092",$26.33,$27.12,$26.27
11/14/2023,$26.19,"7,409,311",$28.20,$28.35,$25.925
11/13/2023,$28.52,"4,240,427",$28.36,$28.715,$28.22
11/10/2023,$28.52,"4,786,502",$27.92,$28.53,$27.73
11/09/2023,$27.85,"1,776,120",$28.12,$28.245,$27.715
11/08/2023,$27.91,"2,979,528",$28.08,$28.23,$27.77
11/07/2023,$28.02,"1,530,496",$27.77,$28.13,$27.645
11/06/2023,$28.00,"2,353,656",$28.30,$28.39,$27.99
11/03/2023,$28.35,"3,694,421",$28.20,$28.56,$28.12
11/02/2023,$27.87,"3,037,447",$27.55,$28.10,$27.44
11/01/2023,$27.23,"2,760,842",$27.15,$27.36,$26.635
10/31/2023,$26.93,"2,428,254",$26.80,$27.08,$26.63
10/30/2023,$26.76,"3,907,744",$26.87,$26.96,$26.435
10/27/2023,$26.67,"2,712,838",$26.81,$27.055,$26.545
10/26/2023,$26.71,"3,956,044",$26.44,$27.025,$26.44
10/25/2023,$26.31,"3,007,765",$26.35,$26.51,$26.10
10/24/2023,$26.51,"2,737,453",$26.43,$26.58,$26.17
10/23/2023,$26.35,"2,690,446",$26.11,$26.655,$26.01
10/20/2023,$26.33,"2,351,297",$26.37,$26.665,$26.28
10/19/2023,$26.42,"2,711,581",$26.71,$26.895,$26.28
10/18/2023,$26.73,"2,839,831",$26.75,$26.93,$26.555
10/17/2023,$26.94,"3,842,658",$26.62,$27.07,$26.57
10/16/2023,$26.59,"4,390,291",$25.71,$26.72,$25.71
10/13/2023,$25.35,"3,598,150",$25.59,$25.70,$25.28
10/12/2023,$25.70,"2,987,619",$26.43,$26.71,$25.565
10/11/2023,$26.32,"4,554,001",$25.70,$26.42,$25.70
10/10/2023,$25.79,"4,152,796",$25.20,$25.81,$24.94
10/09/2023,$25.01,"2,910,343",$24.66,$25.105,$24.46
10/06/2023,$24.60,"3,639,620",$24.70,$24.91,$24.13
10/05/2023,$24.76,"4,714,988",$24.58,$25.02,$24.40
10/04/2023,$24.85,"4,394,348",$24.33,$24.87,$24.16
10/03/2023,$24.32,"8,687,574",$24.79,$25.075,$23.95
10/02/2023,$25.02,"6,372,510",$25.38,$25.47,$24.45
09/29/2023,$25.38,"3,946,565",$25.7896,$25.8554,$25.2703
09/28/2023,$25.5775,"6,699,109",$25.4824,$25.9212,$25.4678
09/27/2023,$25.3873,"4,195,924",$25.5702,$25.6579,$25.2483
09/26/2023,$25.4605,"3,604,906",$25.8481,$26.1187,$25.4458
09/25/2023,$26.0017,"2,836,478",$25.9724,$26.1626,$25.7713
09/22/2023,$26.3747,"2,363,093",$26.9745,$27.0549,$26.3564
09/21/2023,$26.894,"2,906,896",$27.4499,$27.4499,$26.8794
09/20/2023,$27.6766,"3,774,911",$27.5816,$28.0533,$27.406
09/19/2023,$27.3694,"2,272,966",$27.2817,$27.4498,$26.9964
09/18/2023,$27.3109,"4,065,592",$26.6819,$27.3256,$26.6015
09/15/2023,$26.7989,"4,514,673",$27.0257,$27.0842,$26.5356
09/14/2023,$27.3036,"2,890,366",$26.9379,$27.4645,$26.9087
09/13/2023,$26.66,"2,373,577",$27.0257,$27.2414,$26.6453
09/12/2023,$26.8209,"2,542,020",$26.382,$26.9525,$26.287
09/11/2023,$26.4991,"2,533,493",$26.9525,$27.0622,$26.3089
09/08/2023,$26.7551,"3,379,979",$26.7697,$26.8977,$26.5685
09/07/2023,$26.8355,"2,327,974",$27.033,$27.1354,$26.7843
09/06/2023,$27.2305,"2,606,507",$27.3109,$27.5523,$27.1939
09/05/2023,$27.3256,"2,208,024",$27.6986,$27.907,$27.2817
09/01/2023,$27.9326,"2,798,514",$27.7717,$27.9765,$27.5962
08/31/2023,$27.1939,"4,594,742",$27.8375,$27.8741,$27.1061
08/30/2023,$27.7498,"4,256,738",$27.5011,$27.8156,$27.4353
08/29/2023,$27.5084,"2,113,550",$27.5157,$27.7059,$27.2963
08/28/2023,$27.545,"7,931,231",$27.3329,$27.6291,$27.3146
08/25/2023,$27.2524,"1,556,061",$27.3036,$27.4426,$27.1939
08/24/2023,$27.2085,"4,066,966",$27.3402,$27.5816,$27.1573
08/23/2023,$27.3914,"3,337,167",$27.0037,$27.4572,$26.9379
08/22/2023,$27.1281,"3,283,277",$27.8522,$28.1667,$27.0293
08/21/2023,$26.7039,"5,512,577",$26.8501,$27.0257,$26.4771
08/18/2023,$26.8428,"3,042,332",$26.4771,$26.8721,$26.3674
08/17/2023,$26.6819,"4,418,979",$27.0696,$27.3036,$26.5539
08/16/2023,$27.0622,"4,467,691",$27.4865,$27.6474,$27.011
08/15/2023,$27.4572,"7,217,377",$27.6693,$27.9399,$27.3987
08/14/2023,$27.8887,"6,629,094",$28.569,$28.7884,$27.8668
08/11/2023,$28.664,"5,139,447",$28.8396,$28.9347,$28.0972
08/10/2023,$28.8908,"11,994,600",$29.2126,$29.3589,$28.8323
08/09/2023,$30.2951,"4,139,977",$29.8709,$30.5218,$29.8709
08/08/2023,$29.827,"13,991,600",$28.174,$29.9989,$28.035
08/07/2023,$27.779,"5,070,419",$27.918,$28.0423,$27.7059
08/04/2023,$27.8595,"4,061,119",$28.0131,$28.2106,$27.662
08/03/2023,$27.8449,"5,210,765",$27.8083,$27.9326,$27.5523
08/02/2023,$28.0131,"3,258,988",$28.6055,$28.6055,$27.9985
08/01/2023,$29.432,"1,589,372",$29.3296,$29.4723,$29.1468
07/31/2023,$29.5271,"1,448,767",$29.5783,$29.6588,$29.4137
07/28/2023,$29.4832,"1,568,891",$29.6734,$29.7721,$29.4101
07/27/2023,$29.5271,"1,854,485",$30.1854,$30.2658,$29.3589
07/26/2023,$29.9367,"2,263,188",$30.3975,$30.5365,$29.7721
07/25/2023,$30.4853,"3,133,921",$31.085,$31.224,$30.4633
07/24/2023,$31.2094,"4,176,498",$31.2459,$31.4507,$31.1545
07/21/2023,$31.2167,"1,384,820",$31.3776,$31.4397,$31.0192
07/20/2023,$31.2606,"2,112,393",$31.4653,$31.6445,$31.2313
07/19/2023,$31.458,"6,503,800",$31.3044,$31.6628,$31.2313
07/18/2023,$31.3044,"3,122,809",$31.8164,$32.0212,$31.2276
07/17/2023,$31.8311,"3,006,658",$31.5092,$32.3577,$31.341
07/14/2023,$30.595,"1,433,949",$30.8436,$30.851,$30.2878
07/13/2023,$30.9387,"1,314,084",$31.0192,$31.0558,$30.8619
07/12/2023,$30.9168,"3,273,097",$31.3044,$31.3191,$30.8729
07/11/2023,$31.0411,"1,798,708",$31.1435,$31.2752,$30.946
07/10/2023,$31.0996,"1,905,953",$30.8729,$31.458,$30.8729
07/07/2023,$30.9972,"2,121,520",$30.1342,$31.2094,$30.072
07/06/2023,$30.1488,"3,473,493",$30.573,$30.6462,$29.8709
07/05/2023,$30.8436,"2,270,802",$30.8363,$31.1472,$30.6864
07/03/2023,$31.2167,"766,578",$31.4434,$31.5312,$31.202
06/30/2023,$31.4873,"2,942,271",$31.3995,$31.6007,$31.1655
06/29/2023,$31.224,"1,378,924",$30.5584,$31.224,$30.3317
06/28/2023,$30.5877,"2,715,601",$30.573,$30.6535,$30.3684
06/27/2023,$30.5365,"2,706,189",$29.7246,$30.7047,$29.6149
06/26/2023,$29.6807,"2,535,225",$28.7518,$29.7685,$28.7518
06/23/2023,$28.7372,"2,173,806",$28.9347,$29.1175,$28.6165
06/22/2023,$29.2492,"1,238,428",$29.4832,$29.571,$29.0188
06/21/2023,$29.5856,"2,283,402",$29.549,$29.8124,$29.3516
06/20/2023,$29.6002,"3,414,202",$29.6076,$29.7721,$29.3552
06/16/2023,$29.6441,"3,285,311",$29.549,$29.688,$29.2419
06/15/2023,$29.4174,"4,536,410",$29.2053,$29.4174,$29.059
06/14/2023,$29.3735,"3,457,532",$29.6222,$29.7904,$29.1029
06/13/2023,$29.6076,"2,762,717",$30.0098,$30.0428,$29.5966
06/12/2023,$29.9586,"2,414,091",$29.6441,$30.2293,$29.6295
06/09/2023,$29.4759,"3,793,638",$29.9806,$29.9806,$29.4412
06/08/2023,$29.7685,"2,898,634",$29.8636,$29.944,$29.5929
06/07/2023,$29.9513,"1,849,045",$30.1488,$30.4121,$29.9294
06/06/2023,$30.0025,"1,831,114",$29.2931,$30.061,$29.2931
06/05/2023,$29.3296,"1,596,992",$28.8981,$29.4649,$28.8981
06/02/2023,$29.0371,"2,861,627",$28.8469,$29.0919,$28.7152
06/01/2023,$28.5616,"2,415,890",$29.0005,$29.1102,$28.4373
05/31/2023,$28.8761,"3,547,155",$28.7738,$28.9347,$28.3715
05/30/2023,$28.8176,"2,667,136",$28.8688,$29.176,$28.686
