Date,Close,Volume,Open,High,Low
03/01/2024,$100.76,"264,526",$99.18,$100.97,$98.2795
02/29/2024,$99.32,"288,182",$98.99,$99.60,$97.95
02/28/2024,$97.89,"188,321",$97.51,$99.21,$97.45
02/27/2024,$98.33,"217,748",$96.65,$98.725,$96.48
02/26/2024,$95.94,"171,118",$95.59,$96.8999,$95.50
02/23/2024,$96.05,"183,594",$95.15,$96.64,$94.92
02/22/2024,$95.62,"228,828",$94.78,$95.64,$94.45
02/21/2024,$94.78,"184,903",$94.77,$95.17,$93.9629
02/20/2024,$95.08,"188,067",$95.61,$96.54,$94.695
02/16/2024,$96.82,"221,219",$96.62,$97.86,$96.38
02/15/2024,$97.44,"230,766",$95.63,$97.685,$95.05
02/14/2024,$95.20,"234,365",$93.32,$95.73,$93.27
02/13/2024,$92.16,"310,499",$94.18,$95.19,$91.59
02/12/2024,$97.25,"258,058",$94.68,$97.68,$94.68
02/09/2024,$94.41,"222,123",$94.98,$95.09,$93.29
02/08/2024,$95.57,"443,555",$97.49,$98.26,$90.39
02/07/2024,$94.37,"225,163",$94.51,$94.785,$93.26
02/06/2024,$94.67,"183,874",$93.52,$95.40,$93.44
02/05/2024,$93.48,"189,249",$92.52,$93.99,$91.78
02/02/2024,$93.62,"159,690",$92.86,$94.175,$92.51
02/01/2024,$94.15,"184,178",$93.18,$94.22,$92.37
01/31/2024,$92.82,"279,952",$95.29,$95.81,$92.73
01/30/2024,$95.96,"168,623",$95.13,$96.68,$94.81
01/29/2024,$96.11,"179,322",$95.67,$96.13,$95.06
01/26/2024,$95.92,"133,331",$95.44,$96.12,$94.84
01/25/2024,$94.91,"195,266",$95.21,$96.26,$94.492
01/24/2024,$93.91,"167,265",$94.98,$95.27,$93.875
01/23/2024,$94.10,"230,684",$95.82,$96.155,$93.94
01/22/2024,$94.88,"245,583",$93.96,$94.94,$93.5668
01/19/2024,$93.36,"287,675",$91.80,$93.37,$91.21
01/18/2024,$91.50,"190,731",$90.52,$91.51,$90.18
01/17/2024,$90.27,"237,660",$89.30,$90.89,$88.73
01/16/2024,$90.18,"263,342",$89.17,$90.405,$88.985
01/12/2024,$89.96,"243,644",$90.77,$91.465,$89.78
01/11/2024,$89.97,"326,130",$89.27,$90.06,$87.96
01/10/2024,$89.37,"322,062",$88.43,$89.85,$87.995
01/09/2024,$88.65,"269,356",$89.82,$89.82,$88.58
01/08/2024,$90.93,"359,734",$90.66,$91.35,$90.30
01/05/2024,$90.95,"190,295",$91.29,$92.19,$90.70
01/04/2024,$92.05,"267,868",$92.92,$93.43,$91.75
01/03/2024,$92.65,"263,884",$94.69,$95.305,$92.57
01/02/2024,$95.67,"222,497",$96.10,$96.88,$95.0104
12/29/2023,$96.17,"298,579",$96.77,$97.43,$95.57
