Date,Close,Volume,Open,High,Low
03/01/2024,$9.05,"457,870",$8.87,$9.05,$8.68
02/29/2024,$8.84,"558,714",$9.00,$9.0475,$8.75
02/28/2024,$8.77,"741,605",$8.93,$8.95,$8.60
02/27/2024,$9.00,"586,527",$9.00,$9.24,$8.93
02/26/2024,$9.09,"720,818",$9.25,$9.34,$9.03
02/23/2024,$9.26,"710,104",$9.33,$9.53,$9.24
02/22/2024,$9.33,"397,440",$9.29,$9.39,$9.14
02/21/2024,$9.29,"603,886",$9.45,$9.49,$9.25
02/20/2024,$9.48,"704,403",$9.61,$9.79,$9.45
02/16/2024,$9.75,"517,077",$9.54,$9.76,$9.43
02/15/2024,$9.60,"918,848",$9.38,$9.65,$9.295
02/14/2024,$9.30,"838,213",$9.40,$9.44,$9.05
02/13/2024,$9.25,"564,251",$9.16,$9.34,$8.98
02/12/2024,$9.60,"1,145,769",$9.25,$9.745,$9.25
02/09/2024,$9.27,"894,244",$9.16,$9.50,$9.02
02/08/2024,$9.02,"487,453",$8.74,$9.14,$8.72
02/07/2024,$8.75,"777,617",$9.02,$9.18,$8.73
02/06/2024,$9.06,"563,210",$8.56,$9.18,$8.55
02/05/2024,$8.58,"709,425",$8.80,$8.84,$8.325
02/02/2024,$8.86,"1,429,554",$9.00,$9.08,$8.62
02/01/2024,$9.17,"529,588",$9.34,$9.51,$9.17
01/31/2024,$9.30,"405,491",$9.75,$9.75,$9.29
01/30/2024,$9.76,"270,844",$10.07,$10.09,$9.75
01/29/2024,$10.13,"339,307",$10.05,$10.15,$9.83
01/26/2024,$10.03,"271,673",$9.96,$10.09,$9.8761
01/25/2024,$9.87,"288,084",$9.82,$9.90,$9.48
01/24/2024,$9.69,"471,514",$10.40,$10.46,$9.62
01/23/2024,$10.30,"237,150",$10.75,$10.85,$10.275
01/22/2024,$10.64,"467,922",$10.37,$10.81,$10.33
01/19/2024,$10.35,"295,161",$10.27,$10.37,$10.08
01/18/2024,$10.23,"499,705",$10.13,$10.25,$9.83
01/17/2024,$10.00,"910,257",$10.50,$10.50,$9.94
01/16/2024,$10.52,"599,063",$11.02,$11.03,$10.50
01/12/2024,$11.11,"301,277",$11.38,$11.54,$11.02
01/11/2024,$11.36,"673,791",$10.96,$11.48,$10.70
01/10/2024,$10.83,"549,514",$11.04,$11.11,$10.70
01/09/2024,$11.07,"634,880",$11.50,$11.53,$11.0021
01/08/2024,$11.52,"500,907",$11.10,$11.64,$10.95
01/05/2024,$11.54,"379,614",$11.64,$11.81,$11.42
01/04/2024,$11.70,"319,801",$11.95,$12.03,$11.69
01/03/2024,$11.87,"755,405",$12.22,$12.35,$11.85
01/02/2024,$12.47,"940,387",$12.67,$12.90,$12.38
12/29/2023,$12.695,"662,759",$12.82,$12.88,$12.64
12/28/2023,$12.85,"367,789",$12.75,$12.92,$12.68
12/27/2023,$12.76,"347,655",$13.13,$13.24,$12.75
12/26/2023,$13.08,"540,362",$13.04,$13.16,$12.89
12/22/2023,$13.05,"402,896",$13.22,$13.43,$12.94
12/21/2023,$13.19,"520,098",$12.75,$13.22,$12.61
12/20/2023,$12.62,"888,642",$13.19,$13.25,$12.60
12/19/2023,$13.30,"522,696",$13.00,$13.30,$12.80
12/18/2023,$12.89,"553,530",$13.61,$13.61,$12.85
12/15/2023,$13.59,"1,185,234",$13.63,$13.725,$13.30
12/14/2023,$13.52,"1,581,700",$13.767,$14.00,$13.362
12/13/2023,$14.78,"317,370",$14.47,$14.79,$14.25
12/12/2023,$14.47,"260,847",$14.87,$14.98,$14.26
12/11/2023,$14.92,"243,680",$14.82,$15.20,$14.82
12/08/2023,$14.91,"357,880",$14.95,$15.26,$14.71
12/07/2023,$14.95,"1,310,106",$16.48,$16.6899,$14.92
12/06/2023,$14.25,"266,676",$14.27,$14.80,$14.19
12/05/2023,$14.29,"216,783",$14.56,$14.56,$14.24
12/04/2023,$14.51,"203,904",$14.34,$14.59,$14.25
12/01/2023,$14.37,"267,867",$14.02,$14.38,$13.75
11/30/2023,$13.95,"317,633",$14.08,$14.875,$13.83
11/29/2023,$14.01,"226,748",$14.10,$14.28,$13.78
11/28/2023,$14.00,"312,228",$14.33,$14.33,$13.85
11/27/2023,$14.25,"330,011",$14.57,$14.63,$14.19
11/24/2023,$14.57,"129,056",$14.21,$14.63,$14.21
11/22/2023,$14.46,"271,938",$14.55,$14.578,$14.04
11/21/2023,$14.40,"313,660",$14.09,$14.45,$13.80
11/20/2023,$14.11,"355,839",$14.00,$14.165,$13.80
11/17/2023,$13.96,"492,166",$13.95,$14.45,$13.75
11/16/2023,$13.84,"405,538",$13.91,$14.21,$13.53
11/15/2023,$14.24,"565,133",$14.35,$14.93,$14.22
11/14/2023,$14.29,"492,023",$13.88,$14.46,$13.86
11/13/2023,$13.52,"460,058",$13.37,$13.67,$13.20
11/10/2023,$13.39,"566,809",$13.44,$14.01,$13.181
11/09/2023,$13.42,"1,234,736",$14.58,$14.58,$12.97
11/08/2023,$15.38,"395,157",$15.57,$16.21,$15.11
11/07/2023,$15.44,"311,690",$15.22,$15.52,$15.16
11/06/2023,$15.27,"331,817",$16.26,$16.26,$15.13
11/03/2023,$16.24,"302,050",$16.01,$16.35,$15.795
11/02/2023,$15.75,"175,150",$15.50,$15.76,$15.35
11/01/2023,$15.30,"218,496",$15.30,$15.37,$15.03
10/31/2023,$15.29,"154,939",$15.22,$15.46,$15.15
10/30/2023,$15.20,"222,085",$14.95,$15.215,$14.885
10/27/2023,$14.78,"334,314",$15.65,$15.65,$14.77
10/26/2023,$15.63,"171,024",$15.49,$15.97,$15.44
10/25/2023,$15.44,"184,443",$15.25,$15.50,$15.11
10/24/2023,$15.28,"209,431",$14.95,$15.29,$14.88
10/23/2023,$14.83,"280,726",$14.77,$14.945,$14.51
10/20/2023,$14.83,"327,088",$15.55,$15.55,$14.81
10/19/2023,$15.52,"266,170",$15.69,$15.90,$15.31
10/18/2023,$15.85,"180,212",$15.85,$15.99,$15.71
10/17/2023,$15.94,"250,779",$15.48,$16.24,$15.48
10/16/2023,$15.55,"244,591",$15.69,$15.82,$15.54
10/13/2023,$15.54,"203,626",$15.63,$15.77,$15.34
10/12/2023,$15.56,"204,291",$15.94,$15.94,$15.44
10/11/2023,$15.92,"277,249",$16.16,$16.24,$15.73
10/10/2023,$16.06,"378,816",$15.52,$16.07,$15.48
10/09/2023,$15.38,"305,287",$14.82,$15.39,$14.805
10/06/2023,$14.80,"198,029",$14.87,$15.00,$14.775
10/05/2023,$14.96,"327,534",$14.60,$14.995,$14.46
10/04/2023,$14.35,"252,115",$14.27,$14.45,$13.97
10/03/2023,$14.34,"357,869",$14.56,$14.56,$14.26
10/02/2023,$14.42,"530,096",$14.91,$14.93,$14.38
09/29/2023,$14.94,"587,605",$15.35,$15.37,$14.41
09/28/2023,$15.30,"350,908",$15.61,$15.655,$15.175
09/27/2023,$15.60,"238,679",$15.50,$15.68,$15.26
09/26/2023,$15.20,"370,143",$15.54,$15.69,$15.19
09/25/2023,$15.58,"336,993",$15.13,$15.605,$14.95
09/22/2023,$15.25,"357,146",$15.34,$15.37,$15.08
09/21/2023,$15.32,"487,035",$15.16,$15.54,$15.1203
09/20/2023,$15.32,"270,380",$15.35,$15.62,$15.245
09/19/2023,$15.34,"351,828",$15.53,$15.72,$15.305
09/18/2023,$15.53,"396,083",$15.20,$15.82,$15.05
09/15/2023,$15.25,"3,869,544",$15.50,$15.60,$15.19
09/14/2023,$15.46,"712,095",$15.74,$15.98,$15.20
09/13/2023,$15.64,"835,005",$15.97,$16.13,$15.42
09/12/2023,$16.13,"620,680",$16.17,$16.42,$16.02
09/11/2023,$16.38,"979,111",$16.05,$16.62,$16.04
09/08/2023,$15.86,"785,913",$15.55,$16.14,$15.50
09/07/2023,$15.58,"684,142",$15.49,$15.66,$15.10
09/06/2023,$15.59,"586,635",$15.41,$15.72,$15.29
09/05/2023,$15.41,"987,583",$14.66,$15.46,$14.66
09/01/2023,$14.75,"388,766",$14.85,$14.95,$14.58
08/31/2023,$14.81,"385,412",$14.71,$14.90,$14.59
08/30/2023,$14.68,"428,428",$14.39,$14.72,$14.39
08/29/2023,$14.49,"322,409",$14.25,$14.68,$14.24
08/28/2023,$14.31,"358,070",$13.64,$14.32,$13.60
08/25/2023,$13.62,"303,894",$13.80,$13.869,$13.32
08/24/2023,$13.80,"416,310",$14.30,$14.345,$13.77
08/23/2023,$14.27,"686,157",$13.91,$14.36,$13.33
08/22/2023,$13.86,"1,046,464",$14.22,$14.53,$13.471
08/21/2023,$12.64,"464,596",$12.62,$12.98,$12.41
08/18/2023,$12.61,"691,010",$12.12,$12.88,$12.12
08/17/2023,$11.85,"533,555",$11.51,$11.935,$11.42
08/16/2023,$11.45,"543,166",$11.42,$11.955,$11.39
08/15/2023,$11.46,"526,214",$11.30,$11.625,$11.21
08/14/2023,$11.01,"310,624",$10.92,$11.27,$10.91
08/11/2023,$10.98,"772,915",$10.64,$11.01,$10.59
08/10/2023,$10.73,"1,101,494",$10.93,$11.05,$10.445
08/09/2023,$10.93,"3,240,478",$12.01,$12.115,$10.39
08/08/2023,$14.60,"560,120",$14.40,$14.60,$14.20
08/07/2023,$14.47,"329,430",$14.48,$14.59,$14.27
08/04/2023,$14.43,"398,952",$14.16,$14.82,$14.16
08/03/2023,$14.10,"346,898",$13.86,$14.1999,$13.73
08/02/2023,$13.82,"667,210",$14.55,$14.62,$13.805
08/01/2023,$14.71,"317,002",$14.97,$14.99,$14.71
07/31/2023,$15.01,"232,855",$14.87,$15.12,$14.83
07/28/2023,$14.86,"497,454",$14.74,$15.055,$14.64
07/27/2023,$14.66,"507,960",$15.25,$15.37,$14.57
07/26/2023,$15.13,"351,392",$15.09,$15.44,$15.09
07/25/2023,$15.13,"532,281",$15.45,$15.475,$15.055
07/24/2023,$15.50,"1,098,984",$14.87,$15.52,$14.70
07/21/2023,$14.91,"300,970",$15.12,$15.12,$14.65
07/20/2023,$14.99,"389,114",$15.28,$15.35,$14.92
07/19/2023,$15.22,"399,807",$15.20,$15.39,$15.10
07/18/2023,$15.13,"195,739",$14.86,$15.23,$14.72
07/17/2023,$14.88,"293,694",$14.67,$14.93,$14.53
07/14/2023,$14.71,"356,459",$14.88,$14.96,$14.71
07/13/2023,$14.88,"384,397",$14.38,$14.937,$14.34
07/12/2023,$14.29,"368,073",$14.29,$14.375,$14.07
07/11/2023,$14.14,"267,522",$14.15,$14.1801,$14.07
07/10/2023,$14.12,"363,167",$13.93,$14.23,$13.93
07/07/2023,$13.96,"349,003",$14.14,$14.26,$13.92
07/06/2023,$14.13,"694,407",$14.55,$14.66,$13.925
07/05/2023,$14.74,"785,429",$14.67,$14.83,$14.48
07/03/2023,$14.70,"256,361",$14.70,$14.90,$14.70
