Date,Close,Volume,Open,High,Low
03/01/2024,$9.58,"176,684",$9.24,$9.65,$9.2181
02/29/2024,$9.32,"256,180",$9.15,$9.38,$9.02
02/28/2024,$8.97,"195,267",$8.94,$9.18,$8.80
02/27/2024,$9.02,"756,486",$9.22,$10.01,$8.8701
02/26/2024,$10.27,"308,222",$9.97,$10.30,$9.90
02/23/2024,$9.95,"342,745",$9.96,$10.02,$9.67
02/22/2024,$9.99,"189,365",$10.12,$10.27,$9.945
02/21/2024,$10.16,"231,254",$10.19,$10.19,$9.945
02/20/2024,$10.16,"176,479",$10.29,$10.40,$10.115
02/16/2024,$10.41,"233,116",$10.15,$10.43,$10.0504
02/15/2024,$10.22,"200,707",$10.21,$10.5175,$10.137
02/14/2024,$10.17,"168,585",$9.88,$10.26,$9.7812
02/13/2024,$9.71,"289,772",$9.51,$9.83,$9.475
02/12/2024,$9.80,"390,342",$9.80,$9.90,$9.6401
02/09/2024,$9.82,"202,411",$9.76,$9.92,$9.662
02/08/2024,$9.75,"260,001",$9.51,$9.91,$9.51
02/07/2024,$9.50,"224,331",$9.35,$9.521,$9.22
02/06/2024,$9.36,"126,894",$9.24,$9.44,$9.16
02/05/2024,$9.26,"239,367",$9.10,$9.33,$8.89
02/02/2024,$9.14,"130,149",$9.08,$9.19,$8.88
02/01/2024,$9.05,"121,748",$8.95,$9.14,$8.85
01/31/2024,$8.84,"141,681",$9.06,$9.13,$8.80
01/30/2024,$9.09,"122,648",$9.08,$9.125,$8.95
01/29/2024,$9.05,"102,713",$8.76,$9.07,$8.745
01/26/2024,$8.71,"133,400",$8.99,$9.105,$8.70
01/25/2024,$8.89,"115,445",$8.88,$8.95,$8.70
01/24/2024,$8.78,"212,610",$8.91,$8.955,$8.63
01/23/2024,$8.76,"167,633",$9.02,$9.0465,$8.74
01/22/2024,$8.99,"329,585",$8.37,$9.04,$8.37
01/19/2024,$8.37,"225,920",$8.48,$8.48,$8.09
01/18/2024,$8.27,"299,246",$8.29,$8.55,$8.14
01/17/2024,$8.23,"234,992",$8.18,$8.29,$8.03
01/16/2024,$8.27,"214,857",$8.41,$8.50,$8.1607
01/12/2024,$8.49,"331,903",$8.21,$8.59,$8.17
01/11/2024,$8.17,"296,342",$8.44,$8.45,$8.15
01/10/2024,$8.42,"165,468",$8.62,$8.62,$8.39
01/09/2024,$8.61,"227,216",$8.61,$8.91,$8.4101
01/08/2024,$8.71,"235,008",$8.40,$8.73,$8.26
01/05/2024,$8.38,"205,348",$8.37,$8.57,$8.302
01/04/2024,$8.44,"219,826",$8.75,$8.8412,$8.405
01/03/2024,$8.77,"325,499",$9.10,$9.10,$8.67
01/02/2024,$9.04,"267,322",$9.44,$9.51,$9.00
12/29/2023,$9.52,"459,777",$9.52,$9.99,$9.32
12/28/2023,$9.51,"194,709",$9.53,$9.5524,$9.44
12/27/2023,$9.53,"205,892",$9.45,$9.56,$9.32
12/26/2023,$9.42,"278,495",$9.17,$9.47,$9.0617
12/22/2023,$9.11,"167,601",$8.93,$9.15,$8.895
12/21/2023,$8.93,"250,897",$8.60,$8.99,$8.60
12/20/2023,$8.52,"288,894",$8.54,$8.80,$8.42
12/19/2023,$8.56,"435,847",$8.29,$8.59,$8.29
12/18/2023,$8.29,"582,931",$7.85,$8.55,$7.80
12/15/2023,$7.86,"840,372",$8.07,$8.24,$7.78
12/14/2023,$7.97,"351,621",$7.92,$8.12,$7.75
12/13/2023,$7.86,"327,244",$7.60,$7.90,$7.54
12/12/2023,$7.60,"152,063",$7.61,$7.73,$7.54
12/11/2023,$7.61,"135,983",$7.89,$7.911,$7.60
12/08/2023,$7.78,"161,523",$7.72,$7.84,$7.625
12/07/2023,$7.61,"195,899",$8.10,$8.10,$7.60
12/06/2023,$7.97,"350,914",$8.21,$8.42,$7.95
12/05/2023,$8.17,"256,647",$8.03,$8.33,$8.03
12/04/2023,$8.03,"310,712",$8.00,$8.29,$7.91
12/01/2023,$8.05,"313,128",$7.95,$8.35,$7.93
11/30/2023,$7.97,"310,188",$7.60,$8.02,$7.60
11/29/2023,$7.56,"514,938",$7.58,$7.77,$7.50
11/28/2023,$7.57,"534,947",$7.79,$7.81,$7.54
