Date,Close,Volume,Open,High,Low
03/01/2024,$2.39,"29,641",$2.37,$2.40,$2.32
02/29/2024,$2.37,"82,377",$2.38,$2.41,$2.3314
02/28/2024,$2.37,"55,116",$2.41,$2.45,$2.3115
02/27/2024,$2.43,"81,013",$2.37,$2.49,$2.3644
02/26/2024,$2.41,"216,884",$2.26,$2.45,$2.25
02/23/2024,$2.28,"74,200",$2.16,$2.30,$2.11
02/22/2024,$2.20,"68,407",$2.19,$2.2471,$2.04
02/21/2024,$2.23,"60,150",$2.28,$2.28,$2.00
02/20/2024,$2.28,"71,996",$2.35,$2.38,$2.28
02/16/2024,$2.39,"56,256",$2.50,$2.54,$2.38
02/15/2024,$2.49,"70,383",$2.40,$2.52,$2.3841
02/14/2024,$2.41,"107,151",$2.20,$2.45,$2.20
02/13/2024,$2.27,"96,640",$2.39,$2.467,$2.26
02/12/2024,$2.52,"105,415",$2.49,$2.698,$2.49
02/09/2024,$2.53,"59,998",$2.47,$2.60,$2.47
02/08/2024,$2.46,"53,200",$2.43,$2.60,$2.36
02/07/2024,$2.41,"54,447",$2.42,$2.50,$2.38
02/06/2024,$2.42,"38,141",$2.38,$2.45,$2.35
02/05/2024,$2.38,"71,462",$2.45,$2.478,$2.31
02/02/2024,$2.53,"75,807",$2.39,$2.62,$2.33
02/01/2024,$2.42,"82,090",$2.28,$2.43,$2.19
01/31/2024,$2.30,"59,759",$2.32,$2.44,$2.30
01/30/2024,$2.45,"39,712",$2.50,$2.52,$2.3901
01/29/2024,$2.515,"115,649",$2.38,$2.5215,$2.34
01/26/2024,$2.38,"72,596",$2.32,$2.42,$2.32
01/25/2024,$2.34,"39,278",$2.43,$2.49,$2.2854
01/24/2024,$2.38,"55,509",$2.45,$2.45,$2.32
01/23/2024,$2.42,"42,515",$2.56,$2.56,$2.41
01/22/2024,$2.56,"69,415",$2.30,$2.58,$2.30
01/19/2024,$2.32,"55,880",$2.25,$2.35,$2.20
01/18/2024,$2.25,"54,795",$2.29,$2.50,$2.17
01/17/2024,$2.31,"78,989",$2.18,$2.38,$2.0902
01/16/2024,$2.29,"74,547",$2.33,$2.37,$2.22
01/12/2024,$2.40,"68,794",$2.39,$2.46,$2.3301
01/11/2024,$2.39,"84,548",$2.49,$2.5042,$2.385
01/10/2024,$2.51,"148,178",$2.49,$2.54,$2.45
01/09/2024,$2.51,"85,246",$2.45,$2.6081,$2.45
01/08/2024,$2.61,"158,379",$2.38,$2.64,$2.38
01/05/2024,$2.56,"84,712",$2.52,$2.63,$2.28
01/04/2024,$2.57,"91,820",$2.63,$2.70,$2.51
01/03/2024,$2.61,"152,237",$2.76,$2.79,$2.5611
01/02/2024,$2.76,"367,082",$2.49,$2.85,$2.47
12/29/2023,$2.68,"150,034",$2.90,$2.90,$2.66
12/28/2023,$2.89,"81,505",$3.00,$3.00,$2.86
12/27/2023,$2.99,"128,540",$2.89,$3.00,$2.83
12/26/2023,$2.89,"95,101",$2.75,$2.945,$2.726
12/22/2023,$2.73,"123,691",$2.66,$2.75,$2.60
12/21/2023,$2.65,"117,480",$2.54,$2.68,$2.45
12/20/2023,$2.51,"109,433",$2.58,$2.709,$2.43
12/19/2023,$2.58,"99,107",$2.30,$2.709,$2.30
12/18/2023,$2.32,"117,143",$2.30,$2.39,$2.23
12/15/2023,$2.37,"333,977",$2.35,$2.4512,$2.31
12/14/2023,$2.30,"245,145",$2.33,$2.47,$2.23
12/13/2023,$2.30,"238,944",$2.20,$2.33,$2.18
12/12/2023,$2.34,"112,370",$2.38,$2.47,$2.26
12/11/2023,$2.43,"131,082",$2.64,$2.6756,$2.35
12/08/2023,$2.62,"96,484",$2.54,$2.68,$2.54
12/07/2023,$2.57,"130,572",$2.65,$2.68,$2.4716
12/06/2023,$2.66,"96,722",$2.70,$2.8242,$2.65
12/05/2023,$2.72,"135,626",$2.79,$2.86,$2.69
12/04/2023,$2.82,"169,220",$2.71,$2.87,$2.6915
12/01/2023,$2.72,"134,276",$2.67,$2.765,$2.6125
11/30/2023,$2.73,"392,681",$2.80,$2.80,$2.51
11/29/2023,$2.89,"425,694",$2.79,$2.9587,$2.63
11/28/2023,$2.74,"376,558",$2.54,$2.7797,$2.515
11/27/2023,$2.52,"518,102",$2.25,$2.55,$2.20
11/24/2023,$2.27,"104,443",$2.28,$2.40,$2.25
11/22/2023,$2.30,"145,222",$2.17,$2.39,$2.17
11/21/2023,$2.18,"59,470",$2.21,$2.25,$2.1401
11/20/2023,$2.20,"172,002",$2.16,$2.3761,$2.0758
11/17/2023,$2.21,"239,572",$1.91,$2.255,$1.88
11/16/2023,$1.88,"95,027",$1.85,$1.92,$1.83
11/15/2023,$1.905,"118,428",$1.88,$1.9508,$1.88
11/14/2023,$1.88,"169,723",$1.62,$1.88,$1.62
11/13/2023,$1.60,"53,351",$1.57,$1.635,$1.56
11/10/2023,$1.60,"113,175",$1.56,$1.62,$1.54
11/09/2023,$1.52,"168,509",$1.46,$1.60,$1.41
11/08/2023,$1.49,"77,098",$1.50,$1.51,$1.42
11/07/2023,$1.53,"34,736",$1.50,$1.60,$1.4506
11/06/2023,$1.48,"64,582",$1.46,$1.56,$1.38
11/03/2023,$1.47,"100,275",$1.50,$1.55,$1.41
11/02/2023,$1.48,"74,616",$1.43,$1.49,$1.43
