Date,Close,Volume,Open,High,Low
03/01/2024,$20.94,"136,934",$21.11,$22.20,$20.60
02/29/2024,$21.54,"169,140",$20.34,$22.2937,$20.34
02/28/2024,$20.45,"306,712",$19.46,$21.015,$19.12
02/27/2024,$19.54,"229,759",$18.61,$20.103,$18.61
02/26/2024,$18.94,"186,345",$19.35,$19.67,$18.63
02/23/2024,$19.32,"183,099",$19.50,$20.50,$19.18
02/22/2024,$19.67,"319,679",$19.82,$20.135,$18.37
02/21/2024,$19.88,"219,872",$20.52,$21.44,$19.66
02/20/2024,$20.63,"181,203",$22.47,$22.75,$20.31
02/16/2024,$22.47,"73,303",$21.73,$22.51,$21.25
02/15/2024,$22.07,"92,544",$21.46,$22.15,$21.20
02/14/2024,$21.48,"113,989",$21.65,$22.20,$21.16
02/13/2024,$21.90,"250,128",$21.00,$22.05,$20.00
02/12/2024,$21.03,"83,723",$21.25,$21.94,$20.68
02/09/2024,$21.01,"91,997",$21.84,$22.39,$21.00
02/08/2024,$22.00,"130,184",$22.11,$23.1266,$21.78
02/07/2024,$22.16,"155,030",$22.00,$22.74,$21.05
02/06/2024,$22.00,"182,559",$22.00,$22.80,$21.09
02/05/2024,$21.52,"92,952",$21.90,$21.98,$20.76
02/02/2024,$21.85,"55,003",$21.97,$22.15,$21.33
02/01/2024,$21.98,"251,150",$21.41,$22.68,$21.00
01/31/2024,$21.55,"109,180",$21.00,$22.00,$20.1935
01/30/2024,$22.00,"418,717",$20.89,$22.95,$19.40
01/29/2024,$19.91,"370,204",$20.00,$21.475,$19.40
01/26/2024,$20.00,"1,992,580",$24.00,$25.95,$20.00
