Date,Close,Volume,Open,High,Low
03/01/2024,$8.80,"871,784",$8.63,$8.845,$8.55
02/29/2024,$8.47,"865,132",$8.32,$8.52,$8.275
02/28/2024,$8.29,"1,101,330",$8.43,$8.53,$8.24
02/27/2024,$8.60,"603,507",$8.54,$8.74,$8.48
02/26/2024,$8.47,"918,782",$8.18,$8.49,$8.13
02/23/2024,$8.18,"989,342",$8.26,$8.295,$8.10
02/22/2024,$8.34,"2,158,812",$7.99,$8.395,$7.94
02/21/2024,$7.90,"2,092,468",$8.16,$8.24,$7.73
02/20/2024,$7.93,"1,461,636",$7.86,$7.96,$7.67
02/16/2024,$7.82,"1,593,943",$7.45,$7.975,$7.43
02/15/2024,$7.10,"848,654",$7.09,$7.23,$7.02
02/14/2024,$6.92,"643,089",$6.90,$7.00,$6.78
02/13/2024,$6.85,"784,378",$7.00,$7.07,$6.72
02/12/2024,$7.10,"1,726,145",$7.01,$7.29,$6.35
02/09/2024,$7.02,"470,122",$7.08,$7.17,$6.99
02/08/2024,$7.05,"433,833",$7.09,$7.12,$6.98
02/07/2024,$7.08,"668,619",$7.20,$7.21,$6.995
02/06/2024,$7.22,"645,422",$7.15,$7.315,$7.145
02/05/2024,$7.12,"1,208,731",$7.00,$7.15,$6.80
02/02/2024,$7.10,"840,674",$7.23,$7.27,$7.08
02/01/2024,$7.32,"831,465",$7.26,$7.375,$7.19
01/31/2024,$7.24,"725,764",$7.37,$7.515,$7.23
01/30/2024,$7.24,"1,113,688",$7.49,$7.5181,$7.19
01/29/2024,$7.69,"620,258",$7.50,$7.70,$7.395
01/26/2024,$7.62,"724,394",$7.51,$7.655,$7.4997
01/25/2024,$7.47,"855,578",$7.35,$7.525,$7.305
01/24/2024,$7.30,"656,084",$7.38,$7.38,$7.2208
01/23/2024,$7.23,"1,012,031",$7.00,$7.26,$7.00
01/22/2024,$6.95,"2,150,843",$7.08,$7.1712,$6.885
01/19/2024,$7.22,"653,032",$7.27,$7.32,$7.21
01/18/2024,$7.24,"767,499",$7.26,$7.30,$7.19
01/17/2024,$7.30,"1,415,943",$7.48,$7.49,$7.2892
01/16/2024,$7.56,"876,539",$7.71,$7.72,$7.46
01/12/2024,$7.86,"1,034,238",$7.98,$8.08,$7.77
01/11/2024,$7.67,"654,342",$7.80,$7.85,$7.67
01/10/2024,$7.85,"1,312,629",$8.00,$8.01,$7.75
01/09/2024,$8.10,"1,221,039",$8.29,$8.30,$8.07
01/08/2024,$8.48,"867,862",$8.29,$8.49,$8.2702
01/05/2024,$8.29,"944,448",$8.40,$8.6099,$8.25
01/04/2024,$8.48,"625,323",$8.40,$8.5312,$8.31
01/03/2024,$8.37,"1,141,941",$8.41,$8.45,$8.22
01/02/2024,$8.59,"917,719",$8.80,$8.82,$8.49
12/29/2023,$8.82,"708,813",$9.02,$9.02,$8.72
12/28/2023,$8.99,"443,600",$9.05,$9.1199,$8.96
12/27/2023,$9.07,"767,354",$8.97,$9.08,$8.88
12/26/2023,$9.07,"840,083",$9.02,$9.17,$8.9914
12/22/2023,$8.94,"1,444,496",$8.87,$8.94,$8.715
12/21/2023,$8.72,"2,325,119",$8.15,$8.75,$8.15
12/20/2023,$8.06,"1,932,199",$8.04,$8.37,$8.00
