Date,Close,Volume,Open,High,Low
03/01/2024,$15.75,"340,536",$15.51,$15.875,$15.51
02/29/2024,$15.55,"234,738",$15.56,$15.67,$15.51
02/28/2024,$15.51,"379,336",$15.65,$15.65,$15.46
02/27/2024,$15.68,"369,204",$15.60,$15.7399,$15.60
02/26/2024,$15.62,"213,424",$15.60,$15.68,$15.60
02/23/2024,$15.63,"193,143",$15.57,$15.66,$15.56
02/22/2024,$15.53,"457,398",$15.50,$15.59,$15.49
02/21/2024,$15.38,"303,117",$15.41,$15.4981,$15.36
02/20/2024,$15.42,"509,592",$15.51,$15.535,$15.38
02/16/2024,$15.54,"156,602",$15.58,$15.59,$15.505
02/15/2024,$15.55,"189,121",$15.57,$15.585,$15.51
02/14/2024,$15.49,"308,491",$15.51,$15.56,$15.46
02/13/2024,$15.59,"316,377",$15.62,$15.69,$15.47
02/12/2024,$15.71,"165,228",$15.58,$15.72,$15.51
02/09/2024,$15.58,"230,555",$15.56,$15.65,$15.56
02/08/2024,$15.54,"230,623",$15.60,$15.69,$15.53
02/07/2024,$15.64,"181,617",$15.50,$15.72,$15.50
02/06/2024,$15.49,"194,358",$15.35,$15.60,$15.35
02/05/2024,$15.44,"227,075",$15.45,$15.45,$15.35
02/02/2024,$15.37,"440,474",$15.50,$15.50,$15.25
02/01/2024,$15.56,"350,962",$15.36,$15.59,$15.35
01/31/2024,$15.31,"332,692",$15.50,$15.53,$15.295
01/30/2024,$15.50,"216,656",$15.45,$15.50,$15.43
01/29/2024,$15.46,"228,291",$15.34,$15.47,$15.29
01/26/2024,$15.34,"330,401",$15.40,$15.48,$15.31
01/25/2024,$15.40,"206,400",$15.39,$15.42,$15.35
01/24/2024,$15.33,"248,670",$15.28,$15.385,$15.28
01/23/2024,$15.23,"292,081",$15.20,$15.23,$15.15
01/22/2024,$15.18,"441,888",$15.11,$15.22,$15.11
01/19/2024,$15.12,"424,068",$14.99,$15.13,$14.90
01/18/2024,$15.01,"233,931",$14.96,$15.01,$14.94
01/17/2024,$14.94,"216,864",$14.92,$14.95,$14.88
01/16/2024,$14.95,"256,816",$14.91,$15.00,$14.91
01/12/2024,$14.99,"318,175",$14.92,$15.02,$14.92
01/11/2024,$14.94,"381,940",$14.90,$14.95,$14.81
01/10/2024,$15.02,"469,949",$15.10,$15.11,$14.9801
01/09/2024,$15.05,"333,206",$14.97,$15.085,$14.94
01/08/2024,$14.98,"265,866",$14.88,$14.98,$14.88
01/05/2024,$14.83,"290,356",$14.89,$14.93,$14.79
01/04/2024,$14.89,"205,700",$14.76,$14.89,$14.76
01/03/2024,$14.83,"278,683",$14.92,$14.92,$14.7908
01/02/2024,$14.90,"211,133",$14.93,$14.93,$14.83
12/29/2023,$14.95,"747,593",$14.83,$14.965,$14.815
12/28/2023,$14.88,"484,746",$15.02,$15.04,$14.83
12/27/2023,$14.96,"429,619",$14.94,$15.03,$14.9101
12/26/2023,$14.94,"432,543",$14.92,$15.025,$14.91
12/22/2023,$14.96,"329,433",$15.05,$15.07,$14.93
12/21/2023,$15.00,"574,920",$14.92,$15.02,$14.83
12/20/2023,$14.90,"437,687",$15.01,$15.0101,$14.895
12/19/2023,$14.97,"377,619",$14.93,$15.005,$14.915
12/18/2023,$14.96,"405,842",$14.82,$14.97,$14.82
12/15/2023,$14.81,"536,389",$14.83,$14.91,$14.6799
12/14/2023,$14.85,"461,293",$14.88,$14.98,$14.845
12/13/2023,$14.99,"358,585",$14.95,$15.06,$14.82
12/12/2023,$14.98,"271,910",$14.94,$15.01,$14.94
12/11/2023,$14.99,"355,126",$14.97,$15.0299,$14.925
12/08/2023,$14.97,"417,603",$14.93,$14.97,$14.885
12/07/2023,$14.90,"265,981",$14.85,$14.915,$14.83
12/06/2023,$14.80,"294,900",$14.86,$14.95,$14.80
12/05/2023,$14.85,"427,668",$14.85,$14.94,$14.83
12/04/2023,$14.92,"292,911",$14.88,$14.95,$14.85
12/01/2023,$14.98,"428,850",$14.79,$15.01,$14.71
11/30/2023,$14.79,"350,304",$14.87,$15.03,$14.75
11/29/2023,$14.77,"351,288",$14.74,$14.80,$14.72
11/28/2023,$14.69,"267,083",$14.67,$14.80,$14.65
11/27/2023,$14.68,"570,931",$14.70,$14.71,$14.60
11/24/2023,$14.67,"170,585",$14.64,$14.71,$14.61
11/22/2023,$14.68,"805,198",$14.70,$14.7801,$14.66
11/21/2023,$14.69,"226,673",$14.67,$14.78,$14.6613
11/20/2023,$14.77,"192,866",$14.70,$14.8182,$14.69
11/17/2023,$14.70,"225,791",$14.61,$14.7201,$14.6099
11/16/2023,$14.66,"263,179",$14.64,$14.71,$14.53
11/15/2023,$14.71,"557,720",$14.75,$14.7975,$14.67
11/14/2023,$14.72,"232,561",$14.65,$14.74,$14.61
11/13/2023,$14.65,"251,015",$14.625,$14.7299,$14.58
11/10/2023,$14.65,"279,840",$14.44,$14.65,$14.44
11/09/2023,$14.39,"267,532",$14.53,$14.53,$14.36
11/08/2023,$14.56,"217,780",$14.48,$14.60,$14.47
11/07/2023,$14.52,"182,194",$14.61,$14.61,$14.42
11/06/2023,$14.53,"296,581",$14.59,$14.62,$14.47
11/03/2023,$14.47,"276,184",$14.37,$14.50,$14.34
11/02/2023,$14.34,"257,958",$14.35,$14.44,$14.29
11/01/2023,$14.15,"401,634",$14.12,$14.155,$13.95
10/31/2023,$13.98,"261,865",$13.98,$14.05,$13.955
10/30/2023,$13.89,"389,275",$13.75,$13.90,$13.75
10/27/2023,$13.71,"207,989",$13.80,$13.86,$13.7001
10/26/2023,$13.79,"295,173",$13.86,$13.88,$13.72
10/25/2023,$13.80,"249,095",$14.02,$14.02,$13.76
10/24/2023,$14.01,"333,306",$13.99,$14.01,$13.88
10/23/2023,$13.82,"324,202",$13.75,$13.865,$13.67
10/20/2023,$13.74,"294,172",$13.82,$13.87,$13.725
10/19/2023,$13.87,"307,573",$14.07,$14.13,$13.86
10/18/2023,$14.07,"228,081",$14.24,$14.24,$14.04
10/17/2023,$14.30,"277,818",$14.39,$14.41,$14.27
10/16/2023,$14.42,"229,978",$14.30,$14.47,$14.30
10/13/2023,$14.25,"258,011",$14.32,$14.39,$14.24
10/12/2023,$14.44,"409,094",$14.51,$14.58,$14.38
10/11/2023,$14.49,"304,733",$14.43,$14.555,$14.43
10/10/2023,$14.43,"225,291",$14.57,$14.57,$14.40
10/09/2023,$14.47,"207,402",$14.37,$14.50,$14.315
10/06/2023,$14.39,"308,588",$14.10,$14.4384,$14.08
10/05/2023,$14.13,"304,725",$14.25,$14.25,$14.04
10/04/2023,$14.16,"260,508",$14.12,$14.16,$14.01
10/03/2023,$13.98,"679,842",$14.38,$14.41,$13.96
10/02/2023,$14.38,"310,676",$14.455,$14.49,$14.36
09/29/2023,$14.49,"341,417",$14.57,$14.60,$14.42
09/28/2023,$14.39,"333,727",$14.23,$14.43,$14.23
09/27/2023,$14.25,"319,859",$14.26,$14.33,$14.21
09/26/2023,$14.23,"386,896",$14.35,$14.38,$14.175
09/25/2023,$14.37,"208,649",$14.34,$14.40,$14.34
09/22/2023,$14.33,"284,909",$14.41,$14.50,$14.33
09/21/2023,$14.33,"270,750",$14.37,$14.455,$14.33
09/20/2023,$14.51,"762,043",$14.59,$14.59,$14.50
09/19/2023,$14.53,"334,180",$14.52,$14.55,$14.50
09/18/2023,$14.52,"266,544",$14.49,$14.55,$14.48
09/15/2023,$14.48,"276,334",$14.47,$14.5492,$14.45
09/14/2023,$14.45,"360,751",$14.56,$14.56,$14.40
09/13/2023,$14.62,"562,914",$14.70,$14.7999,$14.5502
09/12/2023,$14.68,"247,472",$14.77,$14.77,$14.63
09/11/2023,$14.74,"475,428",$14.76,$14.82,$14.74
09/08/2023,$14.72,"423,563",$14.67,$14.7799,$14.67
09/07/2023,$14.68,"256,281",$14.70,$14.765,$14.65
09/06/2023,$14.77,"183,372",$14.85,$14.919,$14.77
09/05/2023,$14.90,"193,529",$15.10,$15.20,$14.90
09/01/2023,$15.06,"273,169",$14.93,$15.08,$14.90
08/31/2023,$14.91,"252,865",$15.07,$15.08,$14.90
08/30/2023,$14.97,"218,756",$14.90,$15.00,$14.90
08/29/2023,$14.94,"163,155",$14.84,$14.94,$14.8347
08/28/2023,$14.83,"199,625",$14.88,$14.90,$14.78
08/25/2023,$14.84,"184,206",$14.77,$14.86,$14.7315
08/24/2023,$14.75,"170,619",$14.87,$14.90,$14.75
08/23/2023,$14.85,"170,716",$14.84,$14.9001,$14.83
08/22/2023,$14.81,"154,772",$14.93,$14.935,$14.80
08/21/2023,$14.90,"90,076",$14.96,$14.97,$14.8508
08/18/2023,$14.85,"94,047",$14.80,$14.915,$14.80
08/17/2023,$14.85,"188,139",$15.03,$15.03,$14.82
08/16/2023,$14.95,"137,082",$15.02,$15.04,$14.94
08/15/2023,$15.05,"183,569",$15.12,$15.12,$14.93
08/14/2023,$15.10,"180,760",$14.98,$15.10,$14.9515
08/11/2023,$15.14,"145,686",$15.13,$15.1791,$15.10
