Date,Close,Volume,Open,High,Low
03/01/2024,$23.18,"128,973",$23.14,$23.18,$22.95
02/29/2024,$23.13,"176,733",$22.64,$23.165,$22.42
02/28/2024,$22.68,"208,165",$22.63,$22.95,$22.58
02/27/2024,$22.40,"285,391",$22.14,$22.43,$21.98
02/26/2024,$21.93,"244,353",$21.87,$22.195,$21.69
02/23/2024,$22.11,"275,753",$22.65,$22.69,$22.07
02/22/2024,$22.73,"182,199",$23.47,$23.47,$22.545
02/21/2024,$23.42,"240,491",$23.80,$23.80,$23.36
02/20/2024,$23.82,"138,105",$24.05,$24.10,$23.68
02/16/2024,$23.60,"164,297",$23.20,$23.71,$23.20
02/15/2024,$23.16,"180,817",$23.23,$23.38,$22.915
02/14/2024,$23.26,"189,620",$22.70,$23.26,$22.58
02/13/2024,$22.23,"110,639",$22.30,$22.43,$22.165
02/12/2024,$22.45,"73,219",$22.40,$22.46,$22.21
02/09/2024,$22.38,"43,117",$22.16,$22.43,$22.16
02/08/2024,$22.18,"74,266",$22.65,$22.66,$22.18
02/07/2024,$22.71,"77,899",$22.96,$23.00,$22.59
02/06/2024,$22.82,"59,549",$22.93,$23.00,$22.76
02/05/2024,$22.46,"85,516",$22.35,$22.72,$22.24
02/02/2024,$22.56,"96,543",$22.85,$22.85,$22.40
02/01/2024,$22.99,"181,562",$22.33,$23.07,$22.33
01/31/2024,$22.22,"153,266",$22.22,$22.62,$22.08
01/30/2024,$22.30,"180,933",$22.14,$22.35,$21.99
01/29/2024,$22.10,"104,028",$22.26,$22.56,$22.07
01/26/2024,$22.12,"85,281",$22.22,$22.325,$22.04
01/25/2024,$22.37,"121,685",$22.22,$22.42,$22.09
01/24/2024,$22.17,"199,499",$22.21,$22.27,$21.94
01/23/2024,$21.89,"167,228",$22.00,$22.10,$21.62
01/22/2024,$21.93,"85,241",$21.85,$21.94,$21.74
01/19/2024,$21.89,"72,323",$21.65,$21.89,$21.595
01/18/2024,$21.65,"97,543",$21.65,$21.67,$21.40
01/17/2024,$21.56,"126,121",$21.33,$21.59,$21.24
01/16/2024,$21.56,"101,481",$21.72,$21.72,$21.30
01/12/2024,$22.04,"135,419",$21.96,$22.0895,$21.82
01/11/2024,$21.92,"236,162",$21.76,$21.95,$21.64
01/10/2024,$21.86,"111,796",$21.82,$21.86,$21.47
01/09/2024,$21.93,"161,401",$22.00,$22.00,$21.50
01/08/2024,$22.22,"121,157",$22.40,$22.40,$21.87
01/05/2024,$22.40,"107,607",$22.34,$22.58,$22.051
01/04/2024,$22.59,"145,815",$22.70,$22.82,$22.405
01/03/2024,$22.86,"147,200",$22.76,$22.92,$22.63
01/02/2024,$22.92,"122,337",$22.90,$22.985,$22.70
12/29/2023,$23.08,"165,561",$23.24,$23.43,$22.99
12/28/2023,$23.07,"72,824",$22.89,$23.2391,$22.87
12/27/2023,$22.83,"43,128",$22.92,$23.15,$22.81
12/26/2023,$22.86,"34,739",$22.90,$22.95,$22.73
12/22/2023,$22.80,"84,439",$22.83,$22.92,$22.68
12/21/2023,$22.86,"194,868",$22.82,$22.89,$22.58
12/20/2023,$22.49,"101,159",$22.94,$22.97,$22.47
12/19/2023,$23.01,"138,032",$22.83,$23.16,$22.74
12/18/2023,$22.81,"526,657",$23.10,$23.14,$22.62
12/15/2023,$23.26,"172,713",$23.32,$23.8045,$23.25
12/14/2023,$23.55,"166,780",$23.50,$23.72,$23.09
12/13/2023,$23.33,"157,005",$22.72,$23.35,$22.72
12/12/2023,$22.65,"123,473",$22.49,$22.72,$22.34
12/11/2023,$22.49,"166,569",$22.68,$22.99,$22.26
12/08/2023,$22.74,"76,367",$22.61,$22.89,$22.60
12/07/2023,$22.64,"80,819",$22.79,$22.79,$22.56
12/06/2023,$22.49,"137,062",$22.66,$22.82,$22.47
12/05/2023,$22.54,"186,927",$22.53,$22.59,$22.29
12/04/2023,$22.53,"132,566",$22.78,$22.90,$22.50
12/01/2023,$22.86,"80,235",$22.73,$23.00,$22.65
11/30/2023,$22.70,"165,939",$22.29,$22.75,$22.19
11/29/2023,$22.28,"106,495",$22.25,$22.43,$22.17
11/28/2023,$22.18,"41,399",$21.94,$22.18,$21.94
11/27/2023,$21.91,"33,428",$21.91,$21.98,$21.825
11/24/2023,$22.03,"27,469",$21.90,$22.13,$21.895
11/22/2023,$21.90,"90,076",$21.87,$21.92,$21.65
11/21/2023,$21.76,"52,270",$21.80,$21.91,$21.675
11/20/2023,$21.72,"74,696",$21.57,$21.80,$21.31
11/17/2023,$21.57,"81,075",$21.49,$21.58,$21.35
