Date,Close,Volume,Open,High,Low
03/01/2024,$0.025,"3,425",$0.04,$0.0454,$0.025
02/29/2024,$0.05,875,$0.05,$0.05,$0.05
02/28/2024,$0.0383,"4,703",$0.0451,$0.05,$0.025
02/27/2024,$0.041,N/A,$0.041,$0.041,$0.041
02/26/2024,$0.041,323,$0.041,$0.041,$0.041
02/23/2024,$0.0481,"16,948",$0.0398,$0.0745,$0.02
02/22/2024,$0.04,"9,228",$0.0349,$0.04,$0.0278
02/21/2024,$0.0311,"2,389",$0.03,$0.0311,$0.03
02/20/2024,$0.0308,"58,774",$0.022,$0.0308,$0.022
02/16/2024,$0.0223,400,$0.0107,$0.0223,$0.0107
02/15/2024,$0.0105,"2,765",$0.0105,$0.0225,$0.0105
02/14/2024,$0.0102,"8,201",$0.0125,$0.0125,$0.01
02/13/2024,$0.0148,"4,015",$0.0148,$0.0148,$0.0148
02/12/2024,$0.0106,"3,820",$0.025,$0.025,$0.0105
02/09/2024,$0.0103,"4,286",$0.0289,$0.029,$0.0101
02/08/2024,$0.029,"9,109",$0.0225,$0.029,$0.0101
02/07/2024,$0.0109,N/A,$0.0109,$0.0109,$0.0109
02/06/2024,$0.0109,"37,371",$0.0119,$0.0289,$0.0099
02/05/2024,$0.01,"22,471",$0.025,$0.025,$0.0093
02/02/2024,$0.0096,"3,100",$0.0113,$0.0113,$0.0096
02/01/2024,$0.0113,"14,218",$0.0113,$0.0113,$0.0113
01/31/2024,$0.0076,N/A,$0.0076,$0.0076,$0.0076
01/30/2024,$0.0076,N/A,$0.0076,$0.0076,$0.0076
01/29/2024,$0.0076,600,$0.0076,$0.0076,$0.0076
01/26/2024,$0.0076,185,$0.0076,$0.0076,$0.0076
01/25/2024,$0.0098,"2,146",$0.0076,$0.0098,$0.0076
01/24/2024,$0.0075,N/A,$0.0075,$0.0075,$0.0075
01/23/2024,$0.0075,190,$0.0075,$0.0075,$0.0075
01/22/2024,$0.0099,N/A,$0.0099,$0.0099,$0.0099
01/19/2024,$0.0099,N/A,$0.0099,$0.0099,$0.0099
01/18/2024,$0.0099,"1,000",$0.0099,$0.0099,$0.0099
01/17/2024,$0.01,"14,720",$0.0102,$0.0105,$0.0082
01/16/2024,$0.0096,300,$0.0096,$0.0096,$0.0096
01/12/2024,$0.0082,N/A,$0.0082,$0.0082,$0.0082
01/11/2024,$0.0082,N/A,$0.0082,$0.0082,$0.0082
01/10/2024,$0.0082,N/A,$0.0082,$0.0082,$0.0082
01/09/2024,$0.0082,N/A,$0.0082,$0.0082,$0.0082
01/08/2024,$0.0082,N/A,$0.0082,$0.0082,$0.0082
01/05/2024,$0.0082,"10,710",$0.0102,$0.0102,$0.0082
01/04/2024,$0.01,N/A,$0.01,$0.01,$0.01
01/03/2024,$0.01,"4,025",$0.01,$0.01,$0.01
01/02/2024,$0.01,N/A,$0.01,$0.01,$0.01
12/29/2023,$0.01,"30,406",$0.0102,$0.0102,$0.0051
