Date,Close,Volume,Open,High,Low
03/01/2024,$2.14,"307,251",$2.26,$2.28,$2.12
02/29/2024,$2.28,"218,708",$2.31,$2.35,$2.265
02/28/2024,$2.23,"153,260",$2.25,$2.30,$2.2225
02/27/2024,$2.27,"169,447",$2.31,$2.335,$2.26
02/26/2024,$2.29,"141,461",$2.34,$2.385,$2.29
02/23/2024,$2.38,"164,870",$2.30,$2.38,$2.28
02/22/2024,$2.32,"161,104",$2.32,$2.33,$2.29
02/21/2024,$2.35,"137,586",$2.25,$2.35,$2.23
02/20/2024,$2.24,"436,928",$2.33,$2.35,$2.23
02/16/2024,$2.41,"205,931",$2.41,$2.485,$2.38
02/15/2024,$2.45,"358,403",$2.18,$2.46,$2.18
02/14/2024,$2.17,"289,366",$2.15,$2.19,$2.07
02/13/2024,$2.11,"350,665",$2.14,$2.15,$2.07
02/12/2024,$2.24,"218,344",$2.18,$2.28,$2.18
02/09/2024,$2.18,"175,216",$2.15,$2.21,$2.15
02/08/2024,$2.15,"147,291",$2.14,$2.18,$2.13
02/07/2024,$2.15,"165,261",$2.27,$2.27,$2.15
02/06/2024,$2.25,"139,477",$2.19,$2.29,$2.19
02/05/2024,$2.21,"177,069",$2.25,$2.26,$2.20
02/02/2024,$2.29,"166,487",$2.29,$2.35,$2.26
02/01/2024,$2.35,"287,272",$2.29,$2.40,$2.24
01/31/2024,$2.28,"215,983",$2.41,$2.45,$2.28
01/30/2024,$2.42,"171,494",$2.40,$2.46,$2.36
01/29/2024,$2.43,"166,963",$2.41,$2.47,$2.39
01/26/2024,$2.43,"133,164",$2.43,$2.52,$2.405
01/25/2024,$2.40,"254,095",$2.35,$2.42,$2.295
01/24/2024,$2.28,"261,852",$2.44,$2.44,$2.28
01/23/2024,$2.37,"125,655",$2.46,$2.48,$2.34
01/22/2024,$2.39,"226,924",$2.33,$2.43,$2.32
01/19/2024,$2.30,"229,388",$2.19,$2.32,$2.13
01/18/2024,$2.17,"343,692",$2.18,$2.20,$2.14
01/17/2024,$2.18,"298,157",$2.23,$2.23,$2.155
01/16/2024,$2.26,"164,414",$2.28,$2.34,$2.25
01/12/2024,$2.30,"171,652",$2.38,$2.4012,$2.30
01/11/2024,$2.32,"272,357",$2.38,$2.40,$2.31
01/10/2024,$2.39,"239,799",$2.38,$2.42,$2.355
01/09/2024,$2.40,"355,501",$2.43,$2.46,$2.37
01/08/2024,$2.49,"142,134",$2.48,$2.53,$2.44
01/05/2024,$2.50,"537,419",$2.48,$2.55,$2.46
01/04/2024,$2.49,"204,201",$2.46,$2.51,$2.435
01/03/2024,$2.44,"445,056",$2.47,$2.47,$2.35
01/02/2024,$2.49,"501,503",$2.52,$2.625,$2.48
12/29/2023,$2.50,"339,310",$2.55,$2.58,$2.47
12/28/2023,$2.57,"121,704",$2.55,$2.58,$2.54
12/27/2023,$2.62,"223,298",$2.64,$2.66,$2.59
12/26/2023,$2.67,"186,688",$2.65,$2.69,$2.615
12/22/2023,$2.66,"357,512",$2.57,$2.67,$2.52
12/21/2023,$2.53,"317,108",$2.50,$2.57,$2.47
12/20/2023,$2.46,"410,121",$2.34,$2.55,$2.34
12/19/2023,$2.35,"399,265",$2.33,$2.45,$2.32
12/18/2023,$2.40,"224,935",$2.43,$2.43,$2.30
12/15/2023,$2.39,"547,136",$2.53,$2.53,$2.325
12/14/2023,$2.49,"490,443",$2.58,$2.6101,$2.45
12/13/2023,$2.50,"539,646",$2.30,$2.51,$2.245
12/12/2023,$2.31,"140,069",$2.25,$2.32,$2.22
12/11/2023,$2.25,"128,057",$2.27,$2.2913,$2.2411
12/08/2023,$2.29,"110,998",$2.25,$2.31,$2.25
12/07/2023,$2.26,"113,658",$2.21,$2.27,$2.15
12/06/2023,$2.25,"130,672",$2.24,$2.295,$2.22
12/05/2023,$2.21,"161,305",$2.34,$2.3488,$2.20
12/04/2023,$2.34,"302,622",$2.33,$2.42,$2.27
12/01/2023,$2.34,"917,209",$2.10,$2.34,$2.05
11/30/2023,$2.10,"324,223",$2.15,$2.20,$2.07
11/29/2023,$2.17,"167,813",$2.12,$2.195,$2.11
11/28/2023,$2.09,"268,916",$2.10,$2.11,$2.07
11/27/2023,$2.11,"387,597",$2.07,$2.17,$2.07
11/24/2023,$2.14,"87,971",$2.13,$2.16,$2.11
11/22/2023,$2.12,"229,574",$2.18,$2.18,$2.07
