Date,Close,Volume,Open,High,Low
03/01/2024,$2.10,"60,056",$2.34,$2.3899,$2.10
02/29/2024,$2.32,"71,622",$2.19,$2.49,$2.08
02/28/2024,$2.15,"49,824",$2.0986,$2.18,$2.0803
02/27/2024,$2.06,"45,191",$1.96,$2.07,$1.90
02/26/2024,$1.8204,"40,938",$1.80,$1.89,$1.6163
02/23/2024,$1.7999,"316,323",$1.42,$2.15,$1.42
02/22/2024,$1.42,"15,317",$1.5196,$1.5399,$1.41
02/21/2024,$1.47,"3,553",$1.4999,$1.4999,$1.47
02/20/2024,$1.50,"10,437",$1.49,$1.54,$1.49
02/16/2024,$1.52,"8,885",$1.5399,$1.5399,$1.52
02/15/2024,$1.51,"7,456",$1.52,$1.535,$1.51
02/14/2024,$1.54,"6,261",$1.53,$1.54,$1.52
02/13/2024,$1.52,"4,795",$1.52,$1.583,$1.52
02/12/2024,$1.52,"56,319",$1.58,$1.58,$1.51
02/09/2024,$1.58,"3,202",$1.556,$1.63,$1.55
02/08/2024,$1.57,"9,166",$1.6299,$1.63,$1.57
02/07/2024,$1.5709,"11,331",$1.55,$1.5709,$1.54
02/06/2024,$1.56,"12,959",$1.57,$1.58,$1.54
02/05/2024,$1.576,652,$1.5406,$1.576,$1.5406
02/02/2024,$1.58,"3,774",$1.55,$1.60,$1.54
02/01/2024,$1.54,"10,826",$1.57,$1.61,$1.54
01/31/2024,$1.57,"1,966",$1.58,$1.61,$1.57
01/30/2024,$1.60,"3,934",$1.64,$1.6484,$1.5541
01/29/2024,$1.60,"17,533",$1.60,$1.65,$1.5501
01/26/2024,$1.64,"8,109",$1.60,$1.64,$1.59
01/25/2024,$1.585,"47,804",$1.551,$1.64,$1.55
01/24/2024,$1.55,"12,954",$1.55,$1.62,$1.545
01/23/2024,$1.55,"7,511",$1.59,$1.59,$1.55
01/22/2024,$1.51,"4,627",$1.51,$1.54,$1.49
01/19/2024,$1.54,"9,260",$1.54,$1.60,$1.4801
01/18/2024,$1.535,"10,113",$1.58,$1.59,$1.49
01/17/2024,$1.51,"17,817",$1.50,$1.5882,$1.50
01/16/2024,$1.57,"5,015",$1.5885,$1.5885,$1.49
01/12/2024,$1.49,"13,522",$1.60,$1.60,$1.49
01/11/2024,$1.5955,"8,568",$1.48,$1.62,$1.48
01/10/2024,$1.54,"5,726",$1.65,$1.65,$1.50
01/09/2024,$1.55,"4,615",$1.61,$1.629,$1.43
01/08/2024,$1.56,"7,376",$1.64,$1.64,$1.5098
01/05/2024,$1.5295,"2,802",$1.59,$1.59,$1.4101
01/04/2024,$1.46,"9,114",$1.56,$1.64,$1.46
01/03/2024,$1.52,"9,090",$1.70,$1.70,$1.52
01/02/2024,$1.69,"8,336",$1.56,$1.69,$1.4825
12/29/2023,$1.4705,"13,670",$1.60,$1.60,$1.4705
12/28/2023,$1.67,"9,497",$1.65,$1.67,$1.5668
12/27/2023,$1.63,"5,201",$1.615,$1.63,$1.561
12/26/2023,$1.67,"46,171",$1.62,$1.71,$1.53
12/22/2023,$1.52,"2,336",$1.515,$1.56,$1.4875
12/21/2023,$1.46,"13,299",$1.53,$1.53,$1.3937
12/20/2023,$1.59,"38,577",$1.74,$1.74,$1.38
12/19/2023,$1.45,"36,133",$1.47,$1.75,$1.415
12/18/2023,$1.40,"18,052",$1.33,$1.45,$1.33
12/15/2023,$1.54,"62,282",$1.56,$1.56,$1.40
12/14/2023,$1.44,"30,003",$1.44,$1.60,$1.36
12/13/2023,$1.36,"22,657",$1.6866,$1.6866,$1.36
12/12/2023,$1.40,"8,629",$1.4019,$1.4559,$1.40
12/11/2023,$1.39,"15,000",$1.40,$1.49,$1.39
12/08/2023,$1.41,"37,210",$1.45,$1.4895,$1.39
12/07/2023,$1.52,"2,118",$1.46,$1.53,$1.46
12/06/2023,$1.50,"35,069",$1.55,$1.55,$1.46
12/05/2023,$1.555,"19,115",$1.521,$1.67,$1.52
12/04/2023,$1.60,"21,569",$1.65,$1.65,$1.58
12/01/2023,$1.69,"29,574",$1.59,$1.69,$1.4801
11/30/2023,$1.66,"181,509",$1.50,$1.75,$1.46
11/29/2023,$1.35,"10,545",$1.42,$1.4735,$1.35
11/28/2023,$1.405,"3,296",$1.41,$1.45,$1.38
11/27/2023,$1.41,"9,567",$1.39,$1.49,$1.38
11/24/2023,$1.40,"19,448",$1.39,$1.48,$1.38
11/22/2023,$1.38,"5,093",$1.40,$1.45,$1.38
11/21/2023,$1.41,"4,822",$1.38,$1.43,$1.38
11/20/2023,$1.44,"5,559",$1.38,$1.45,$1.38
11/17/2023,$1.39,"3,005",$1.4275,$1.4275,$1.38
11/16/2023,$1.43,"16,307",$1.38,$1.43,$1.38
