Date,Close,Volume,Open,High,Low
03/01/2024,$0.82,"43,909",$0.779,$0.8208,$0.75
02/29/2024,$0.789,"26,015",$0.756,$0.79,$0.755
02/28/2024,$0.7402,"39,185",$0.75,$0.7898,$0.7355
02/27/2024,$0.7543,"37,752",$0.77,$0.80,$0.746
02/26/2024,$0.735,"39,115",$0.739,$0.79,$0.73
02/23/2024,$0.75,"60,670",$0.771,$0.7901,$0.7315
02/22/2024,$0.771,"33,883",$0.7858,$0.8253,$0.77
02/21/2024,$0.7677,"21,979",$0.7999,$0.811,$0.76
02/20/2024,$0.8086,"28,269",$0.77,$0.8258,$0.77
02/16/2024,$0.791,"8,758",$0.82,$0.82,$0.7711
02/15/2024,$0.79,"20,747",$0.82,$0.8326,$0.76
02/14/2024,$0.76,"20,418",$0.788,$0.804,$0.76
02/13/2024,$0.7602,"24,330",$0.82,$0.8256,$0.7602
02/12/2024,$0.8026,"33,450",$0.8153,$0.852,$0.80
02/09/2024,$0.8118,"23,831",$0.81,$0.835,$0.7991
02/08/2024,$0.771,"44,028",$0.819,$0.819,$0.77
02/07/2024,$0.78,"23,930",$0.7755,$0.83,$0.7696
02/06/2024,$0.791,"13,208",$0.782,$0.8099,$0.78
02/05/2024,$0.782,"47,144",$0.78,$0.83,$0.765
02/02/2024,$0.78,"46,739",$0.801,$0.83,$0.77
02/01/2024,$0.80,"65,358",$0.80,$0.85,$0.78
01/31/2024,$0.8005,"14,413",$0.80,$0.8499,$0.79
01/30/2024,$0.814,"39,753",$0.763,$0.815,$0.7627
01/29/2024,$0.7627,"50,586",$0.7593,$0.84,$0.7593
01/26/2024,$0.7701,"44,112",$0.755,$0.8399,$0.755
01/25/2024,$0.772,"121,577",$0.811,$0.83,$0.755
01/24/2024,$0.84,"56,747",$0.85,$0.85,$0.8052
01/23/2024,$0.8438,"46,372",$0.87,$0.90,$0.8284
01/22/2024,$0.8755,"23,052",$0.8752,$0.93,$0.86
01/19/2024,$0.8874,"32,257",$0.93,$0.97,$0.8874
01/18/2024,$0.92,"25,492",$0.9294,$0.96,$0.90
01/17/2024,$0.9293,"42,461",$0.95,$0.9862,$0.9293
01/16/2024,$1.01,"61,884",$1.02,$1.0491,$0.95
01/12/2024,$1.02,"78,528",$1.08,$1.0801,$1.00
01/11/2024,$1.08,"70,270",$1.10,$1.10,$1.03
01/10/2024,$1.07,"101,527",$1.11,$1.1164,$1.0022
01/09/2024,$1.09,"67,496",$1.1799,$1.1799,$1.08
01/08/2024,$1.16,"55,761",$1.17,$1.1899,$1.145
01/05/2024,$1.1999,"89,013",$1.19,$1.2199,$1.16
01/04/2024,$1.19,"140,385",$1.21,$1.22,$1.12
01/03/2024,$1.15,"96,331",$1.19,$1.20,$1.15
