Date,Close,Volume,Open,High,Low
03/01/2024,$35.48,"243,473",$34.97,$35.65,$34.33
02/29/2024,$35.02,"318,909",$35.10,$35.29,$34.17
02/28/2024,$34.47,"354,779",$34.31,$35.09,$33.94
02/27/2024,$34.10,"253,476",$35.11,$35.24,$33.86
02/26/2024,$34.70,"244,803",$34.07,$35.15,$34.07
02/23/2024,$34.17,"199,099",$33.60,$34.59,$33.46
02/22/2024,$33.68,"423,751",$33.64,$34.63,$33.56
02/21/2024,$33.31,"474,812",$34.45,$34.995,$32.98
02/20/2024,$34.66,"781,454",$35.78,$35.97,$34.03
02/16/2024,$36.46,"1,313,316",$35.69,$37.51,$33.00
02/15/2024,$35.47,"618,798",$34.75,$36.29,$34.75
02/14/2024,$34.72,"559,709",$35.62,$35.62,$34.13
02/13/2024,$35.09,"455,252",$35.00,$35.64,$34.66
02/12/2024,$36.59,"331,365",$36.23,$37.19,$36.23
02/09/2024,$36.04,"173,394",$36.33,$36.33,$35.58
02/08/2024,$36.34,"212,386",$35.68,$36.39,$35.58
02/07/2024,$35.45,"325,786",$35.68,$35.91,$34.97
02/06/2024,$35.55,"279,944",$34.75,$35.60,$34.51
02/05/2024,$34.83,"185,794",$35.19,$35.41,$34.4701
02/02/2024,$35.76,"246,255",$35.46,$36.09,$35.20
02/01/2024,$36.07,"354,123",$34.92,$36.14,$34.72
01/31/2024,$34.61,"462,789",$34.75,$36.33,$34.61
01/30/2024,$34.93,"320,649",$35.52,$35.65,$34.88
01/29/2024,$35.79,"342,719",$34.19,$35.925,$34.04
01/26/2024,$34.26,"268,712",$34.98,$35.05,$34.23
01/25/2024,$34.76,"271,151",$35.34,$35.70,$34.32
01/24/2024,$34.64,"300,940",$35.43,$35.43,$34.26
01/23/2024,$34.70,"306,629",$35.70,$35.86,$34.65
01/22/2024,$35.39,"642,077",$34.14,$35.62,$34.035
01/19/2024,$33.97,"609,819",$31.99,$34.23,$31.74
01/18/2024,$31.68,"388,153",$30.85,$31.71,$30.40
01/17/2024,$30.47,"448,555",$30.60,$31.395,$30.41
01/16/2024,$31.31,"275,873",$31.36,$31.76,$31.00
01/12/2024,$31.86,"244,665",$32.59,$33.14,$31.60
01/11/2024,$32.32,"361,868",$32.93,$32.93,$31.61
01/10/2024,$32.87,"287,368",$33.03,$33.18,$32.58
