Date,Close,Volume,Open,High,Low
03/01/2024,$0.19,"2,320",$0.18,$0.1975,$0.18
02/29/2024,$0.1772,N/A,$0.1772,$0.1772,$0.1772
02/28/2024,$0.1772,"3,656",$0.16,$0.1775,$0.1584
02/27/2024,$0.15,"1,200",$0.18,$0.2055,$0.15
02/26/2024,$0.1325,N/A,$0.1325,$0.1325,$0.1325
02/23/2024,$0.1325,441,$0.1334,$0.16,$0.1325
02/22/2024,$0.1601,N/A,$0.1601,$0.1601,$0.1601
02/21/2024,$0.1601,"5,028",$0.1975,$0.1975,$0.16
02/20/2024,$0.2037,454,$0.2037,$0.2037,$0.2037
02/16/2024,$0.17,500,$0.17,$0.17,$0.17
02/15/2024,$0.15,721,$0.15,$0.15,$0.15
02/14/2024,$0.15,519,$0.2233,$0.2233,$0.15
02/13/2024,$0.16,"2,200",$0.1601,$0.1601,$0.16
02/12/2024,$0.1501,"159,327",$0.12,$0.161,$0.12
02/09/2024,$0.11,"18,922",$0.0889,$0.11,$0.0889
02/08/2024,$0.073,"83,246",$0.086,$0.091,$0.073
02/07/2024,$0.09,"40,334",$0.10,$0.11,$0.085
02/06/2024,$0.10,"54,079",$0.14,$0.14,$0.10
02/05/2024,$0.1074,"29,693",$0.1303,$0.1303,$0.1065
02/02/2024,$0.1424,"13,329",$0.1414,$0.1424,$0.13
02/01/2024,$0.14,"8,860",$0.14,$0.16,$0.13
01/31/2024,$0.15,"20,061",$0.15,$0.16,$0.15
01/30/2024,$0.15,"10,653",$0.17,$0.17,$0.15
01/29/2024,$0.16,"31,935",$0.173,$0.20,$0.16
01/26/2024,$0.175,"51,849",$0.20,$0.2112,$0.175
01/25/2024,$0.21,"82,900",$0.2161,$0.2299,$0.195
01/24/2024,$0.22,"4,214",$0.248,$0.25,$0.22
01/23/2024,$0.23,"3,635",$0.1975,$0.23,$0.1975
01/22/2024,$0.1801,"4,200",$0.17,$0.1907,$0.17
01/19/2024,$0.17,"20,127",$0.1801,$0.2097,$0.17
01/18/2024,$0.1871,"11,001",$0.19,$0.19,$0.18
01/17/2024,$0.1888,"8,582",$0.18,$0.19,$0.1725
01/16/2024,$0.18,"28,299",$0.1875,$0.19,$0.18
01/12/2024,$0.1991,"3,000",$0.20,$0.20,$0.1825
01/11/2024,$0.19,"16,348",$0.20,$0.20,$0.1899
01/10/2024,$0.21,"3,911",$0.23,$0.23,$0.21
01/09/2024,$0.225,"18,340",$0.23,$0.24,$0.225
01/08/2024,$0.25,118,$0.25,$0.25,$0.25
01/05/2024,$0.24,"120,989",$0.26,$0.3499,$0.23
01/04/2024,$0.25,"28,714",$0.2625,$0.2625,$0.25
01/03/2024,$0.30,775,$0.30,$0.30,$0.30
01/02/2024,$0.30,512,$0.30,$0.30,$0.30
12/29/2023,$0.35,561,$0.38,$0.3801,$0.35
12/28/2023,$0.37,"1,957",$0.37,$0.38,$0.37
12/27/2023,$0.3999,"40,150",$0.4238,$0.4238,$0.396
12/26/2023,$0.3301,"5,093",$0.37,$0.4251,$0.3301
12/22/2023,$0.36,"4,384",$0.35,$0.4875,$0.35
12/21/2023,$0.3438,"2,622",$0.36,$0.36,$0.3438
12/20/2023,$0.4124,"22,847",$0.2929,$0.4125,$0.29
12/19/2023,$0.2635,"7,800",$0.3088,$0.315,$0.2635
12/18/2023,$0.3125,"7,278",$0.30,$0.3125,$0.29
12/15/2023,$0.2975,"1,900",$0.30,$0.30,$0.2975
12/14/2023,$0.315,"22,568",$0.3298,$0.3425,$0.29
12/13/2023,$0.32,"15,180",$0.30,$0.33,$0.2601
12/12/2023,$0.30,277,$0.30,$0.30,$0.30
12/11/2023,$0.31,750,$0.34,$0.34,$0.31
12/08/2023,$0.33,"2,113",$0.37,$0.3938,$0.33
12/07/2023,$0.35,300,$0.37,$0.3701,$0.35
12/06/2023,$0.33,N/A,$0.33,$0.33,$0.33
12/05/2023,$0.33,"1,400",$0.37,$0.3799,$0.33
12/04/2023,$0.38,"5,340",$0.35,$0.4188,$0.35
12/01/2023,$0.36,N/A,$0.36,$0.36,$0.36
11/30/2023,$0.36,"1,550",$0.38,$0.38,$0.36
11/29/2023,$0.38,650,$0.4018,$0.4018,$0.38
11/28/2023,$0.34,500,$0.34,$0.34,$0.34
11/27/2023,$0.36,265,$0.36,$0.36,$0.36
11/24/2023,$0.35,337,$0.37,$0.37,$0.35
11/22/2023,$0.32,699,$0.33,$0.34,$0.32
11/21/2023,$0.31,"11,991",$0.3434,$0.36,$0.3001
11/20/2023,$0.34,"10,678",$0.36,$0.42,$0.34
11/17/2023,$0.38,"1,300",$0.38,$0.38,$0.37
11/16/2023,$0.36,105,$0.36,$0.36,$0.36
11/15/2023,$0.37,"9,805",$0.42,$0.4625,$0.3663
11/14/2023,$0.34,"4,874",$0.35,$0.415,$0.34
11/13/2023,$0.30,220,$0.32,$0.32,$0.30
11/10/2023,$0.3001,"7,200",$0.335,$0.335,$0.2901
11/09/2023,$0.31,"6,101",$0.32,$0.33,$0.31
11/08/2023,$0.30,"10,881",$0.27,$0.33,$0.2673
11/07/2023,$0.25,"3,942",$0.24,$0.25,$0.20
11/06/2023,$0.2675,"57,461",$0.26,$0.2675,$0.2085
11/03/2023,$0.25,"61,912",$0.24,$0.26,$0.19
11/02/2023,$0.22,"92,302",$0.1798,$0.25,$0.1775
11/01/2023,$0.17,"6,444",$0.18,$0.18,$0.17
10/31/2023,$0.1758,"1,150",$0.1758,$0.1758,$0.1758
10/30/2023,$0.1725,"4,311",$0.17,$0.1825,$0.17
10/27/2023,$0.21,N/A,$0.21,$0.21,$0.21
10/26/2023,$0.21,"1,011",$0.21,$0.21,$0.21
10/25/2023,$0.20,100,$0.20,$0.20,$0.20
10/24/2023,$0.1775,N/A,$0.1775,$0.1775,$0.1775
10/23/2023,$0.1775,"8,744",$0.2599,$0.263,$0.1775
10/20/2023,$0.19,"5,000",$0.19,$0.19,$0.19
10/19/2023,$0.185,"104,486",$0.21,$0.2238,$0.17
10/18/2023,$0.1919,"6,501",$0.2121,$0.2121,$0.18
10/17/2023,$0.20,"19,042",$0.20,$0.20,$0.1725
10/16/2023,$0.1877,"14,869",$0.23,$0.27,$0.1725
10/13/2023,$0.20,"4,510",$0.21,$0.21,$0.20
10/12/2023,$0.21,388,$0.22,$0.22,$0.21
10/11/2023,$0.24,719,$0.25,$0.2567,$0.24
10/10/2023,$0.25,766,$0.2475,$0.25,$0.2475
10/09/2023,$0.20,601,$0.21,$0.21,$0.20
10/06/2023,$0.20,"8,032",$0.2005,$0.2198,$0.1975
10/05/2023,$0.21,660,$0.22,$0.22,$0.21
10/04/2023,$0.23,"1,968",$0.24,$0.25,$0.23
10/03/2023,$0.27,447,$0.2673,$0.27,$0.23
10/02/2023,$0.2301,N/A,$0.2301,$0.2301,$0.2301
09/29/2023,$0.2301,918,$0.2324,$0.2324,$0.23
09/28/2023,$0.25,"43,135",$0.2705,$0.2705,$0.23
09/27/2023,$0.27,146,$0.27,$0.27,$0.27
09/26/2023,$0.27,"4,793",$0.28,$0.28,$0.2678
09/25/2023,$0.2725,"29,976",$0.30,$0.30,$0.2725
09/22/2023,$0.29,"7,373",$0.31,$0.3349,$0.29
09/21/2023,$0.3375,"1,666",$0.30,$0.3375,$0.30
09/20/2023,$0.30,"1,749",$0.30,$0.3001,$0.30
09/19/2023,$0.33,105,$0.33,$0.33,$0.33
09/18/2023,$0.32,"4,438",$0.30,$0.3875,$0.29
09/15/2023,$0.30,751,$0.3006,$0.3006,$0.30
09/14/2023,$0.31,"2,225",$0.3463,$0.35,$0.31
09/13/2023,$0.31,"256,540",$0.34,$0.34,$0.30
09/12/2023,$0.3578,206,$0.3578,$0.3578,$0.3578
09/11/2023,$0.35,"7,766",$0.3949,$0.40,$0.3279
