Date,Close,Volume,Open,High,Low
03/01/2024,$10.85,"107,648",$10.83,$10.8673,$10.77
02/29/2024,$10.81,"70,463",$10.77,$10.82,$10.75
02/28/2024,$10.75,"104,272",$10.75,$10.79,$10.73
02/27/2024,$10.73,"112,299",$10.76,$10.76,$10.72
02/26/2024,$10.75,"136,900",$10.77,$10.795,$10.7213
02/23/2024,$10.79,"42,326",$10.77,$10.79,$10.76
02/22/2024,$10.74,"83,829",$10.75,$10.78,$10.715
02/21/2024,$10.71,"136,765",$10.77,$10.79,$10.71
02/20/2024,$10.73,"125,368",$10.72,$10.765,$10.72
02/16/2024,$10.77,"80,776",$10.76,$10.78,$10.72
02/15/2024,$10.78,"58,582",$10.79,$10.805,$10.77
02/14/2024,$10.72,"90,144",$10.64,$10.73,$10.62
02/13/2024,$10.69,"149,172",$10.73,$10.73,$10.63
02/12/2024,$10.81,"106,748",$10.77,$10.83,$10.74
02/09/2024,$10.74,"139,236",$10.73,$10.77,$10.725
02/08/2024,$10.71,"95,045",$10.71,$10.73,$10.661
02/07/2024,$10.71,"76,008",$10.74,$10.78,$10.70
02/06/2024,$10.75,"93,533",$10.70,$10.75,$10.67
02/05/2024,$10.67,"122,745",$10.67,$10.68,$10.64
02/02/2024,$10.72,"155,064",$10.75,$10.81,$10.72
02/01/2024,$10.81,"93,331",$10.78,$10.835,$10.76
01/31/2024,$10.66,"84,223",$10.62,$10.685,$10.61
01/30/2024,$10.58,"61,949",$10.61,$10.62,$10.56
01/29/2024,$10.58,"104,954",$10.49,$10.58,$10.49
01/26/2024,$10.47,"193,506",$10.53,$10.53,$10.455
01/25/2024,$10.53,"46,116",$10.48,$10.53,$10.48
01/24/2024,$10.44,"119,236",$10.50,$10.50,$10.41
01/23/2024,$10.41,"120,963",$10.44,$10.46,$10.40
01/22/2024,$10.46,"191,071",$10.45,$10.485,$10.435
01/19/2024,$10.40,"114,568",$10.40,$10.40,$10.27
01/18/2024,$10.37,"96,720",$10.44,$10.44,$10.35
01/17/2024,$10.41,"297,376",$10.48,$10.49,$10.38
01/16/2024,$10.53,"97,501",$10.64,$10.655,$10.53
01/12/2024,$10.65,"135,346",$10.65,$10.71,$10.65
01/11/2024,$10.67,"66,668",$10.66,$10.71,$10.65
01/10/2024,$10.71,"121,772",$10.85,$10.85,$10.70
01/09/2024,$10.78,"66,468",$10.92,$10.94,$10.78
01/08/2024,$10.89,"116,389",$10.80,$10.945,$10.76
01/05/2024,$10.76,"97,073",$10.79,$10.79,$10.75
01/04/2024,$10.79,"92,922",$10.79,$10.81,$10.75
01/03/2024,$10.80,"146,824",$10.80,$10.805,$10.75
01/02/2024,$10.79,"137,723",$10.69,$10.80,$10.6825
12/29/2023,$10.68,"206,991",$10.65,$10.7199,$10.64
12/28/2023,$10.64,"150,020",$10.74,$10.74,$10.61
12/27/2023,$10.74,"167,050",$10.76,$10.78,$10.685
12/26/2023,$10.71,"104,790",$10.72,$10.75,$10.70
12/22/2023,$10.71,"218,637",$10.76,$10.775,$10.64
12/21/2023,$10.70,"229,367",$10.74,$10.77,$10.645
12/20/2023,$10.67,"206,309",$10.78,$10.79,$10.62
12/19/2023,$10.75,"157,037",$10.75,$10.76,$10.6865
12/18/2023,$10.69,"185,530",$10.80,$10.80,$10.67
12/15/2023,$10.79,"186,135",$10.69,$10.795,$10.68
12/14/2023,$10.69,"98,070",$10.50,$10.705,$10.48
12/13/2023,$10.55,"125,449",$10.47,$10.58,$10.41
12/12/2023,$10.48,"178,799",$10.48,$10.52,$10.445
12/11/2023,$10.46,"110,973",$10.40,$10.49,$10.3965
12/08/2023,$10.46,"104,839",$10.48,$10.535,$10.45
12/07/2023,$10.50,"130,694",$10.44,$10.50,$10.43
12/06/2023,$10.43,"70,615",$10.46,$10.485,$10.415
12/05/2023,$10.42,"76,151",$10.44,$10.46,$10.40
12/04/2023,$10.41,"132,460",$10.43,$10.49,$10.34
12/01/2023,$10.44,"133,363",$10.27,$10.45,$10.24
11/30/2023,$10.22,"200,883",$10.28,$10.285,$10.205
11/29/2023,$10.25,"101,012",$10.20,$10.269,$10.15
11/28/2023,$10.14,"98,913",$10.09,$10.17,$10.09
11/27/2023,$10.09,"209,191",$10.12,$10.205,$10.04
11/24/2023,$10.12,"193,919",$10.10,$10.19,$10.07
11/22/2023,$10.11,"94,334",$10.17,$10.17,$10.105
11/21/2023,$10.11,"213,582",$10.05,$10.135,$10.04
11/20/2023,$10.10,"122,155",$10.00,$10.11,$9.9998
11/17/2023,$10.00,"199,373",$10.04,$10.04,$9.98
11/16/2023,$9.97,"196,803",$9.90,$10.02,$9.85
11/15/2023,$9.76,"133,778",$9.71,$9.82,$9.70
11/14/2023,$9.68,"74,750",$9.61,$9.715,$9.61
11/13/2023,$9.56,"233,663",$9.55,$9.565,$9.52
11/10/2023,$9.56,"83,927",$9.60,$9.64,$9.53
11/09/2023,$9.58,"236,863",$9.58,$9.62,$9.44
11/08/2023,$9.58,"180,418",$9.55,$9.62,$9.52
11/07/2023,$9.50,"116,455",$9.38,$9.52,$9.38
11/06/2023,$9.35,"347,496",$9.35,$9.40,$9.30
11/03/2023,$9.40,"171,327",$9.31,$9.45,$9.31
11/02/2023,$9.23,"165,169",$9.16,$9.24,$9.16
11/01/2023,$9.08,"168,878",$8.92,$9.09,$8.92
10/31/2023,$8.91,"121,178",$8.89,$8.945,$8.89
10/30/2023,$8.89,"121,266",$8.84,$8.91,$8.84
10/27/2023,$8.83,"173,321",$8.78,$8.91,$8.78
10/26/2023,$8.84,"73,413",$8.77,$8.8701,$8.77
10/25/2023,$8.81,"147,071",$8.88,$8.91,$8.80
10/24/2023,$8.96,"83,234",$8.90,$8.96,$8.90
10/23/2023,$8.88,"168,844",$8.86,$8.96,$8.8492
10/20/2023,$8.96,"126,334",$8.96,$9.00,$8.94
10/19/2023,$8.95,"158,211",$9.03,$9.0499,$8.95
10/18/2023,$9.03,"83,684",$9.02,$9.096,$9.02
10/17/2023,$9.08,"226,680",$9.04,$9.135,$9.04
10/16/2023,$9.22,"73,610",$9.31,$9.31,$9.18
10/13/2023,$9.31,"60,899",$9.34,$9.38,$9.2892
10/12/2023,$9.31,"79,964",$9.38,$9.38,$9.28
10/11/2023,$9.34,"86,989",$9.32,$9.3614,$9.31
10/10/2023,$9.25,"78,612",$9.19,$9.26,$9.16
10/09/2023,$9.20,"88,390",$9.22,$9.22,$9.16
10/06/2023,$9.17,"121,384",$9.18,$9.215,$9.11
10/05/2023,$9.22,"80,166",$9.28,$9.28,$9.14
10/04/2023,$9.24,"122,044",$9.29,$9.3301,$9.21
10/03/2023,$9.22,"144,198",$9.24,$9.265,$9.16
10/02/2023,$9.24,"228,636",$9.20,$9.29,$9.17
09/29/2023,$9.14,"219,849",$9.25,$9.295,$9.14
09/28/2023,$9.14,"194,033",$9.23,$9.241,$9.13
09/27/2023,$9.23,"203,630",$9.38,$9.38,$9.20
09/26/2023,$9.34,"152,269",$9.45,$9.4593,$9.34
09/25/2023,$9.49,"95,257",$9.65,$9.65,$9.45
09/22/2023,$9.65,"124,669",$9.65,$9.74,$9.65
09/21/2023,$9.67,"102,423",$9.75,$9.75,$9.67
09/20/2023,$9.76,"96,915",$9.77,$9.82,$9.75
09/19/2023,$9.77,"96,064",$9.74,$9.77,$9.71
09/18/2023,$9.74,"182,677",$9.74,$9.7816,$9.705
09/15/2023,$9.76,"151,835",$9.80,$9.80,$9.735
09/14/2023,$9.77,"201,867",$9.79,$9.81,$9.7152
09/13/2023,$9.82,"73,889",$9.80,$9.865,$9.80
09/12/2023,$9.83,"171,022",$9.87,$9.895,$9.79
09/11/2023,$9.86,"69,568",$9.89,$9.90,$9.835
09/08/2023,$9.88,"515,362",$9.90,$9.925,$9.86
09/07/2023,$9.91,"103,948",$9.99,$9.99,$9.87
09/06/2023,$9.94,"54,059",$9.99,$10.01,$9.94
09/05/2023,$9.97,"94,686",$10.00,$10.0101,$9.96
09/01/2023,$10.01,"68,018",$10.09,$10.09,$9.98
08/31/2023,$10.03,"91,507",$10.06,$10.07,$9.98
08/30/2023,$10.03,"78,845",$9.96,$10.035,$9.95
08/29/2023,$9.95,"64,803",$9.92,$9.97,$9.88
08/28/2023,$9.88,"90,876",$9.96,$9.96,$9.86
08/25/2023,$9.90,"68,630",$9.95,$9.95,$9.87
08/24/2023,$9.95,"72,721",$9.97,$9.97,$9.90
08/23/2023,$9.99,"61,397",$9.95,$10.01,$9.95
08/22/2023,$9.92,"122,684",$9.99,$10.00,$9.91
08/21/2023,$9.95,"102,036",$9.95,$10.02,$9.91
08/18/2023,$9.96,"120,714",$10.00,$10.02,$9.96
08/17/2023,$10.01,"97,782",$10.05,$10.07,$10.00
08/16/2023,$10.05,"122,141",$10.12,$10.12,$10.05
08/15/2023,$10.11,"90,512",$10.15,$10.16,$10.09
08/14/2023,$10.13,"94,423",$10.16,$10.16,$10.10
08/11/2023,$10.18,"79,751",$10.20,$10.23,$10.105
08/10/2023,$10.17,"79,647",$10.18,$10.23,$10.16
08/09/2023,$10.15,"71,451",$10.12,$10.18,$10.12
08/08/2023,$10.15,"92,662",$10.11,$10.155,$10.09
08/07/2023,$10.12,"72,923",$10.20,$10.23,$10.089
08/04/2023,$10.17,"123,244",$10.24,$10.26,$10.12
08/03/2023,$10.16,"163,285",$10.29,$10.29,$10.16
08/02/2023,$10.35,"171,202",$10.42,$10.42,$10.35
08/01/2023,$10.44,"175,407",$10.45,$10.46,$10.405
07/31/2023,$10.45,"125,465",$10.48,$10.48,$10.44
07/28/2023,$10.45,"101,060",$10.48,$10.535,$10.44
07/27/2023,$10.41,"127,991",$10.50,$10.535,$10.41
07/26/2023,$10.54,"59,214",$10.52,$10.55,$10.485
07/25/2023,$10.49,"50,945",$10.49,$10.53,$10.475
07/24/2023,$10.52,"127,431",$10.52,$10.54,$10.48
07/21/2023,$10.48,"74,678",$10.48,$10.5133,$10.45
07/20/2023,$10.45,"82,292",$10.45,$10.50,$10.45
07/19/2023,$10.48,"68,210",$10.46,$10.53,$10.46
07/18/2023,$10.43,"50,357",$10.39,$10.4614,$10.39
07/17/2023,$10.39,"131,244",$10.35,$10.4299,$10.35
07/14/2023,$10.38,"156,258",$10.41,$10.43,$10.365
07/13/2023,$10.41,"90,057",$10.39,$10.45,$10.38
07/12/2023,$10.42,"95,281",$10.40,$10.44,$10.38
07/11/2023,$10.36,"61,115",$10.33,$10.385,$10.32
07/10/2023,$10.33,"109,306",$10.36,$10.36,$10.29
07/07/2023,$10.30,"116,571",$10.26,$10.38,$10.26
07/06/2023,$10.30,"73,651",$10.34,$10.34,$10.24
07/05/2023,$10.40,"59,433",$10.47,$10.47,$10.39
07/03/2023,$10.46,"88,291",$10.47,$10.47,$10.37
06/30/2023,$10.41,"170,666",$10.42,$10.47,$10.355
06/29/2023,$10.36,"98,165",$10.40,$10.42,$10.36
06/28/2023,$10.44,"86,393",$10.42,$10.44,$10.41
06/27/2023,$10.35,"128,787",$10.33,$10.40,$10.33
06/26/2023,$10.32,"76,185",$10.31,$10.3775,$10.31
06/23/2023,$10.31,"148,773",$10.28,$10.37,$10.26
06/22/2023,$10.28,"78,218",$10.30,$10.31,$10.27
06/21/2023,$10.30,"53,113",$10.24,$10.33,$10.24
06/20/2023,$10.27,"72,182",$10.24,$10.305,$10.23
06/16/2023,$10.24,"68,073",$10.26,$10.26,$10.23
06/15/2023,$10.27,"70,088",$10.24,$10.27,$10.21
06/14/2023,$10.21,"105,266",$10.27,$10.27,$10.1893
06/13/2023,$10.28,"87,536",$10.28,$10.32,$10.27
06/12/2023,$10.26,"90,371",$10.26,$10.29,$10.25
06/09/2023,$10.29,"91,228",$10.26,$10.29,$10.235
06/08/2023,$10.23,"73,919",$10.22,$10.28,$10.21
06/07/2023,$10.18,"161,979",$10.25,$10.25,$10.147
06/06/2023,$10.18,"159,713",$10.12,$10.21,$10.12
06/05/2023,$10.15,"70,444",$10.12,$10.15,$10.08
06/02/2023,$10.07,"107,846",$10.18,$10.19,$10.07
06/01/2023,$10.14,"92,835",$10.14,$10.195,$10.125
05/31/2023,$10.11,"62,733",$10.09,$10.128,$10.075
05/30/2023,$10.04,"72,790",$10.02,$10.12,$10.00
05/26/2023,$10.00,"61,249",$10.03,$10.03,$9.97
05/25/2023,$10.01,"61,908",$9.92,$10.01,$9.92
05/24/2023,$9.96,"68,115",$10.05,$10.05,$9.96
05/23/2023,$10.06,"124,559",$10.11,$10.12,$10.04
05/22/2023,$10.08,"75,657",$10.15,$10.15,$10.06
05/19/2023,$10.12,"139,376",$10.19,$10.21,$10.07
05/18/2023,$10.20,"100,477",$10.30,$10.30,$10.20
05/17/2023,$10.30,"131,212",$10.28,$10.31,$10.21
05/16/2023,$10.28,"128,916",$10.27,$10.29,$10.25
05/15/2023,$10.26,"107,438",$10.25,$10.28,$10.25
05/12/2023,$10.26,"90,974",$10.35,$10.35,$10.2452
05/11/2023,$10.34,"77,794",$10.37,$10.39,$10.34
05/10/2023,$10.35,"157,074",$10.37,$10.45,$10.32
05/09/2023,$10.31,"113,357",$10.40,$10.40,$10.30
05/08/2023,$10.31,"143,229",$10.43,$10.43,$10.31
