Date,Close,Volume,Open,High,Low
03/01/2024,$8.99,"33,675",$9.14,$9.19,$8.9388
02/29/2024,$9.42,"34,663",$9.42,$9.58,$9.31
02/28/2024,$9.27,"59,504",$9.13,$9.43,$9.10
02/27/2024,$9.01,"33,198",$9.14,$9.22,$9.00
02/26/2024,$9.14,"20,230",$9.11,$9.27,$9.11
02/23/2024,$9.18,"19,762",$9.16,$9.325,$9.16
02/22/2024,$9.18,"34,451",$9.33,$9.33,$9.14
02/21/2024,$9.39,"31,220",$9.285,$9.42,$9.19
02/20/2024,$9.30,"40,418",$9.26,$9.51,$9.26
02/16/2024,$9.40,"48,022",$9.47,$9.58,$9.2425
02/15/2024,$9.57,"47,413",$9.15,$9.63,$9.15
02/14/2024,$9.05,"46,565",$9.07,$9.1057,$8.90
02/13/2024,$8.94,"66,906",$9.26,$9.405,$8.89
02/12/2024,$9.54,"79,396",$8.94,$9.66,$8.94
02/09/2024,$8.99,"125,879",$8.873,$9.09,$8.77
02/08/2024,$8.83,"70,846",$9.041,$9.0574,$8.82
02/07/2024,$8.97,"81,988",$9.14,$9.15,$8.69
02/06/2024,$9.14,"49,893",$9.04,$9.27,$8.99
02/05/2024,$9.09,"50,754",$9.30,$9.38,$9.09
02/02/2024,$9.41,"46,927",$9.31,$9.51,$9.31
02/01/2024,$9.49,"88,174",$9.54,$9.63,$9.22
01/31/2024,$9.54,"72,017",$9.94,$10.04,$9.54
01/30/2024,$10.07,"36,939",$10.19,$10.20,$10.05
01/29/2024,$10.20,"114,207",$10.10,$10.20,$10.02
01/26/2024,$10.08,"85,183",$10.06,$10.20,$10.01
01/25/2024,$10.05,"91,092",$10.03,$10.12,$9.8565
01/24/2024,$10.04,"178,989",$9.82,$10.12,$9.6601
01/23/2024,$9.67,"129,150",$10.00,$10.00,$9.58
01/22/2024,$10.00,"59,958",$9.90,$10.00,$9.485
01/19/2024,$9.84,"48,511",$9.70,$9.85,$9.593
01/18/2024,$9.66,"51,127",$9.66,$9.67,$9.59
01/17/2024,$9.65,"31,571",$9.57,$9.695,$9.57
01/16/2024,$9.71,"35,022",$9.75,$9.85,$9.535
01/12/2024,$9.85,"33,164",$9.91,$9.91,$9.76
01/11/2024,$9.84,"38,799",$9.80,$9.90,$9.72
01/10/2024,$9.89,"41,854",$9.80,$9.93,$9.66
01/09/2024,$9.82,"47,083",$9.76,$9.89,$9.68
01/08/2024,$9.88,"35,806",$10.01,$10.0505,$9.84
01/05/2024,$9.97,"79,882",$9.76,$10.06,$9.76
01/04/2024,$9.83,"43,561",$9.82,$10.03,$9.78
01/03/2024,$9.79,"50,098",$9.95,$10.06,$9.78
01/02/2024,$9.95,"79,858",$9.72,$10.045,$9.64
12/29/2023,$9.67,"86,753",$9.86,$9.88,$9.61
12/28/2023,$9.92,"52,303",$10.00,$10.00,$9.84
12/27/2023,$9.99,"72,569",$10.00,$10.00,$9.84
12/26/2023,$10.00,"55,416",$9.94,$10.10,$9.87
12/22/2023,$9.97,"58,202",$10.00,$10.17,$9.90
12/21/2023,$9.95,"42,923",$9.84,$10.02,$9.84
12/20/2023,$9.80,"97,002",$10.01,$10.23,$9.77
12/19/2023,$9.98,"68,740",$9.93,$10.03,$9.89
12/18/2023,$9.90,"74,861",$10.05,$10.05,$9.82
12/15/2023,$10.00,"165,436",$10.03,$10.03,$9.77
12/14/2023,$9.99,"114,598",$9.98,$10.12,$9.80
12/13/2023,$9.92,"92,668",$9.42,$9.939,$9.37
12/12/2023,$9.37,"35,976",$9.45,$9.49,$9.345
12/11/2023,$9.40,"64,354",$9.39,$9.46,$9.28
12/08/2023,$9.34,"35,917",$9.23,$9.43,$9.23
12/07/2023,$9.19,"41,274",$9.18,$9.23,$9.075
12/06/2023,$9.18,"64,063",$9.00,$9.21,$9.00
12/05/2023,$8.99,"40,011",$9.00,$9.09,$8.91
12/04/2023,$9.07,"73,481",$9.05,$9.28,$9.05
12/01/2023,$9.06,"77,333",$8.68,$9.075,$8.5975
11/30/2023,$8.70,"41,225",$8.72,$8.75,$8.50
11/29/2023,$8.66,"32,940",$8.43,$8.74,$8.43
11/28/2023,$8.42,"39,218",$8.60,$8.60,$8.39
11/27/2023,$8.58,"50,512",$8.633,$8.66,$8.575
11/24/2023,$8.71,"30,276",$8.50,$8.82,$8.50
11/22/2023,$8.62,"29,848",$8.72,$8.7801,$8.60
11/21/2023,$8.64,"22,611",$8.719,$8.74,$8.64
11/20/2023,$8.78,"37,356",$8.82,$8.87,$8.75
11/17/2023,$8.85,"66,316",$8.71,$8.88,$8.70
11/16/2023,$8.65,"37,842",$8.81,$8.81,$8.645
11/15/2023,$8.81,"85,160",$8.71,$8.90,$8.71
11/14/2023,$8.75,"133,300",$8.49,$8.75,$8.29
11/13/2023,$8.22,"51,952",$8.09,$8.25,$8.09
11/10/2023,$8.16,"54,764",$8.12,$8.19,$8.05
11/09/2023,$8.10,"78,191",$8.14,$8.24,$8.08
11/08/2023,$8.12,"69,550",$8.03,$8.16,$7.98
11/07/2023,$8.05,"132,376",$7.86,$8.09,$7.85
11/06/2023,$7.89,"76,241",$8.09,$8.14,$7.87
11/03/2023,$8.09,"114,229",$7.85,$8.27,$7.84
11/02/2023,$7.83,"82,923",$7.48,$7.85,$7.48
11/01/2023,$7.47,"113,432",$7.50,$7.51,$7.38
10/31/2023,$7.55,"119,216",$7.71,$7.74,$7.465
10/30/2023,$7.44,"110,528",$7.68,$7.75,$7.40
10/27/2023,$7.65,"69,393",$7.66,$7.83,$7.49
10/26/2023,$7.71,"74,695",$7.28,$7.82,$7.23
10/25/2023,$7.29,"123,326",$7.32,$7.50,$7.08
10/24/2023,$7.56,"77,134",$7.67,$7.74,$7.52
10/23/2023,$7.59,"61,086",$7.77,$8.14,$7.56
10/20/2023,$7.83,"43,491",$7.95,$7.97,$7.82
10/19/2023,$7.93,"42,933",$7.9155,$8.155,$7.9155
10/18/2023,$8.00,"31,982",$8.09,$8.12,$7.98
10/17/2023,$8.12,"55,489",$8.02,$8.185,$7.9601
10/16/2023,$7.98,"47,439",$7.93,$8.065,$7.93
10/13/2023,$7.89,"35,261",$8.03,$8.03,$7.86
10/12/2023,$8.01,"58,900",$8.10,$8.1008,$7.93
10/11/2023,$8.13,"30,497",$8.20,$8.286,$8.07
10/10/2023,$8.17,"47,633",$8.06,$8.275,$8.0308
10/09/2023,$8.05,"45,725",$7.91,$8.125,$7.91
10/06/2023,$7.98,"42,754",$8.05,$8.05,$7.92
10/05/2023,$8.13,"54,029",$8.00,$8.20,$8.00
10/04/2023,$8.00,"52,463",$7.89,$8.06,$7.8435
10/03/2023,$7.90,"76,551",$8.00,$8.04,$7.87
10/02/2023,$8.05,"53,461",$8.35,$8.35,$8.012
09/29/2023,$8.37,"65,238",$8.45,$8.49,$8.34
09/28/2023,$8.43,"52,317",$8.34,$8.45,$8.3132
09/27/2023,$8.30,"47,899",$8.34,$8.39,$8.2548
09/26/2023,$8.35,"43,093",$8.42,$8.61,$8.30
09/25/2023,$8.43,"51,855",$8.43,$8.45,$8.37
09/22/2023,$8.40,"71,474",$8.44,$8.495,$8.335
09/21/2023,$8.46,"38,857",$8.48,$8.55,$8.45
09/20/2023,$8.53,"44,009",$8.63,$8.68,$8.51
09/19/2023,$8.56,"67,191",$8.65,$8.66,$8.38
09/18/2023,$8.64,"52,504",$8.94,$8.94,$8.62
09/15/2023,$8.91,"254,481",$8.99,$9.0311,$8.86
09/14/2023,$9.00,"63,820",$8.96,$9.06,$8.84
09/13/2023,$8.90,"97,619",$8.96,$8.96,$8.71
09/12/2023,$8.91,"58,590",$9.10,$9.10,$8.89
09/11/2023,$9.06,"56,585",$9.07,$9.15,$9.00
09/08/2023,$9.01,"49,186",$9.19,$9.25,$8.98
09/07/2023,$9.21,"81,682",$9.26,$9.29,$9.18
09/06/2023,$9.26,"42,328",$9.28,$9.38,$9.24
09/05/2023,$9.33,"59,833",$9.42,$9.4599,$9.29
09/01/2023,$9.47,"74,370",$9.25,$9.56,$9.25
08/31/2023,$9.25,"43,037",$9.415,$9.42,$9.25
08/30/2023,$9.40,"36,878",$9.43,$9.51,$9.36
