Date,Close,Volume,Open,High,Low
03/01/2024,$18.11,"21,820",$18.09,$18.1794,$17.985
02/29/2024,$18.14,"70,112",$17.64,$18.24,$17.54
02/28/2024,$17.47,"5,306",$17.50,$17.50,$17.30
02/27/2024,$17.34,"15,793",$17.61,$17.61,$17.24
02/26/2024,$17.57,"8,363",$17.50,$17.57,$17.45
02/23/2024,$17.4184,"18,568",$17.02,$17.49,$17.02
02/22/2024,$17.02,"11,293",$17.10,$17.1858,$16.8874
02/21/2024,$17.1052,"18,490",$17.12,$17.1289,$16.91
02/20/2024,$17.0439,"16,894",$17.31,$17.6562,$16.99
02/16/2024,$17.22,"43,885",$17.75,$17.83,$16.71
02/15/2024,$17.71,"10,208",$17.75,$17.87,$17.54
02/14/2024,$17.69,"7,709",$17.69,$17.888,$17.67
02/13/2024,$17.61,"7,888",$17.92,$17.92,$17.56
02/12/2024,$17.99,"16,643",$18.17,$18.17,$17.93
02/09/2024,$18.11,"15,385",$17.96,$18.13,$17.8404
02/08/2024,$17.86,"14,011",$17.89,$17.89,$17.6502
02/07/2024,$17.93,"11,554",$17.97,$17.98,$17.65
02/06/2024,$17.90,"7,620",$17.79,$17.92,$17.76
02/05/2024,$17.68,"6,100",$17.80,$17.80,$17.62
02/02/2024,$17.86,"12,164",$17.80,$17.86,$17.6118
02/01/2024,$17.84,"17,490",$17.65,$17.855,$17.47
01/31/2024,$17.61,"14,875",$17.64,$17.75,$17.56
01/30/2024,$17.64,"29,109",$17.58,$17.81,$17.58
01/29/2024,$17.65,"19,108",$17.72,$17.82,$17.63
01/26/2024,$17.65,"11,061",$17.62,$17.72,$17.53
01/25/2024,$17.56,"21,604",$17.25,$17.59,$17.21
01/24/2024,$17.12,"8,601",$17.02,$17.14,$17.02
01/23/2024,$17.00,"125,055",$17.33,$17.33,$16.94
01/22/2024,$17.21,"19,009",$16.95,$17.28,$16.88
01/19/2024,$16.80,"15,076",$16.86,$16.86,$16.53
01/18/2024,$16.78,"12,914",$17.27,$17.4199,$16.78
01/17/2024,$17.27,"51,884",$17.61,$17.61,$17.07
01/16/2024,$17.59,"29,218",$17.82,$17.82,$17.59
01/12/2024,$17.754,"5,538",$17.76,$17.7884,$17.61
01/11/2024,$17.61,"18,444",$17.62,$17.76,$17.55
01/10/2024,$17.55,"15,987",$17.59,$17.65,$17.45
01/09/2024,$17.51,"16,503",$17.47,$17.54,$17.25
01/08/2024,$17.42,"14,035",$17.27,$17.42,$16.95
01/05/2024,$17.27,"17,563",$17.26,$17.28,$17.20
01/04/2024,$17.20,"9,037",$17.16,$17.26,$17.07
01/03/2024,$17.07,"20,908",$17.21,$17.39,$17.00
01/02/2024,$17.14,"9,382",$16.67,$17.14,$16.67
12/29/2023,$16.87,"22,821",$17.08,$17.14,$16.87
12/28/2023,$17.36,"28,749",$17.51,$17.51,$17.09
12/27/2023,$17.41,"44,126",$17.56,$17.64,$17.165
12/26/2023,$17.545,"12,791",$17.59,$17.64,$17.51
12/22/2023,$17.53,"29,575",$17.40,$17.59,$17.3437
12/21/2023,$17.40,"27,320",$17.24,$17.43,$17.24
12/20/2023,$17.1806,"25,409",$17.16,$17.26,$17.135
12/19/2023,$17.09,"24,800",$16.81,$17.11,$16.69
12/18/2023,$16.68,"14,482",$16.58,$16.82,$16.52
12/15/2023,$16.58,"20,558",$16.70,$16.79,$16.49
12/14/2023,$16.82,"40,385",$16.41,$16.873,$16.33
12/13/2023,$16.29,"43,565",$15.69,$16.40,$15.65
12/12/2023,$15.69,"89,470",$15.60,$15.79,$15.5602
12/11/2023,$15.68,"57,983",$15.65,$15.76,$15.47
12/08/2023,$15.59,"12,734",$15.56,$15.70,$15.4246
12/07/2023,$15.53,"31,008",$15.45,$15.75,$15.36
12/06/2023,$15.35,"23,659",$15.53,$15.68,$15.25
12/05/2023,$15.5311,"19,695",$15.55,$15.77,$15.51
12/04/2023,$15.65,"11,705",$15.73,$15.7931,$15.54
12/01/2023,$15.76,"20,263",$15.56,$15.81,$15.56
11/30/2023,$15.68,"45,083",$15.54,$15.74,$15.3786
11/29/2023,$15.42,"13,329",$15.35,$15.50,$15.35
11/28/2023,$15.26,"12,641",$15.28,$15.3499,$15.0526
11/27/2023,$15.18,"13,070",$15.00,$15.3076,$15.00
11/24/2023,$15.00,"5,653",$15.00,$15.2623,$15.00
11/22/2023,$14.94,"37,177",$15.32,$15.35,$14.93
11/21/2023,$15.18,"9,575",$15.40,$15.4187,$15.12
11/20/2023,$15.33,"25,559",$15.30,$15.48,$15.2207
11/17/2023,$15.30,"36,958",$15.28,$15.4899,$15.15
11/16/2023,$15.208,"19,343",$15.10,$15.3299,$15.10
11/15/2023,$15.15,"28,774",$15.24,$15.3694,$15.15
11/14/2023,$15.13,"17,425",$15.27,$15.60,$15.0601
11/13/2023,$14.90,"17,185",$14.85,$15.00,$14.74
11/10/2023,$14.78,"36,185",$15.07,$15.07,$14.61
11/09/2023,$14.61,"50,461",$15.27,$15.365,$14.56
11/08/2023,$15.27,"45,178",$15.33,$15.6394,$15.18
11/07/2023,$15.47,"9,366",$15.55,$15.55,$15.1739
11/06/2023,$15.55,"30,323",$15.74,$15.74,$15.5107
11/03/2023,$15.73,"18,822",$15.73,$15.75,$15.415
11/02/2023,$15.64,"12,517",$15.21,$15.75,$15.21
11/01/2023,$15.01,"17,345",$14.91,$15.25,$14.88
10/31/2023,$14.81,"49,649",$14.76,$14.81,$14.51
10/30/2023,$14.76,"10,243",$14.72,$14.9432,$14.68
10/27/2023,$14.72,"4,836",$14.92,$14.92,$14.6612
10/26/2023,$14.87,"19,026",$14.78,$15.21,$14.7688
10/25/2023,$14.78,"30,805",$14.95,$15.2092,$14.73
10/24/2023,$15.19,"17,471",$15.00,$15.31,$15.00
10/23/2023,$14.945,"10,956",$14.88,$15.0341,$14.84
10/20/2023,$14.87,"12,504",$14.76,$14.94,$14.6611
10/19/2023,$14.69,"24,722",$14.73,$14.77,$14.6201
10/18/2023,$14.84,"13,340",$14.88,$14.9292,$14.82
10/17/2023,$14.955,"10,068",$15.08,$15.08,$14.8248
10/16/2023,$15.11,"13,465",$15.02,$15.26,$14.87
10/13/2023,$14.91,"12,707",$15.01,$15.37,$14.88
10/12/2023,$15.10,"10,983",$15.40,$15.40,$14.95
10/11/2023,$15.42,"14,523",$15.16,$15.42,$15.02
10/10/2023,$15.08,"14,686",$14.83,$15.23,$14.83
10/09/2023,$14.9227,"8,523",$14.9193,$15.08,$14.7846
10/06/2023,$14.85,"12,631",$14.56,$14.96,$14.56
10/05/2023,$14.72,"24,739",$15.12,$15.12,$14.65
10/04/2023,$15.02,"23,487",$15.13,$15.20,$14.93
10/03/2023,$15.03,"34,710",$15.42,$15.42,$14.92
10/02/2023,$15.36,"9,669",$15.59,$15.59,$15.31
09/29/2023,$15.49,"48,548",$15.55,$15.90,$15.49
09/28/2023,$15.65,"15,675",$15.58,$15.75,$15.54
09/27/2023,$15.61,"13,071",$15.84,$16.065,$15.43
09/26/2023,$15.79,"14,496",$15.80,$15.87,$15.5901
09/25/2023,$15.77,"14,305",$15.89,$16.01,$15.69
09/22/2023,$15.85,"23,986",$15.86,$16.04,$15.8385
09/21/2023,$15.88,"11,217",$16.17,$16.17,$15.85
09/20/2023,$16.22,"14,937",$16.39,$16.55,$16.22
09/19/2023,$16.28,"26,845",$16.36,$16.62,$16.28
09/18/2023,$16.36,"11,447",$16.30,$16.365,$16.15
09/15/2023,$16.49,"10,721",$16.38,$16.49,$16.18
09/14/2023,$16.4878,"17,103",$16.59,$16.59,$16.22
09/13/2023,$16.32,"15,456",$16.51,$16.71,$16.32
09/12/2023,$16.41,"10,138",$16.38,$16.415,$16.2201
09/11/2023,$16.31,"11,918",$16.34,$16.565,$16.305
09/08/2023,$16.26,"7,589",$16.106,$16.3845,$16.106
09/07/2023,$16.26,"4,691",$16.21,$16.34,$16.01
09/06/2023,$16.10,"6,940",$16.28,$16.46,$16.10
09/05/2023,$16.20,"39,530",$16.60,$16.60,$16.01
09/01/2023,$16.65,"6,993",$16.61,$16.70,$16.525
08/31/2023,$16.71,"54,627",$16.00,$16.71,$16.00
08/30/2023,$16.0513,"14,719",$16.19,$16.19,$15.92
08/29/2023,$16.18,"5,572",$15.99,$16.18,$15.8377
08/28/2023,$15.89,"8,714",$16.11,$16.11,$15.7314
08/25/2023,$16.00,"16,272",$16.10,$16.10,$15.74
08/24/2023,$15.94,"18,083",$16.17,$16.17,$15.81
08/23/2023,$16.13,"8,508",$15.97,$16.25,$15.97
08/22/2023,$15.84,"17,266",$16.16,$16.165,$15.84
08/21/2023,$15.92,"9,721",$16.19,$16.19,$15.77
08/18/2023,$16.07,"13,911",$16.21,$16.258,$16.0475
08/17/2023,$16.06,"14,952",$16.20,$16.24,$16.02
08/16/2023,$16.20,"11,504",$16.45,$16.4501,$16.17
08/15/2023,$16.45,"8,779",$16.77,$16.77,$16.45
08/14/2023,$16.68,"7,898",$16.79,$16.83,$16.66
08/11/2023,$16.72,"7,465",$16.96,$16.96,$16.64
08/10/2023,$16.96,"25,371",$16.55,$17.00,$16.51
08/09/2023,$16.55,"9,471",$16.69,$16.69,$16.55
08/08/2023,$16.61,"3,874",$16.67,$16.67,$16.54
08/07/2023,$16.6705,"4,688",$16.66,$16.7484,$16.5908
08/04/2023,$16.58,"13,489",$16.50,$16.8592,$16.50
08/03/2023,$16.55,"9,992",$16.82,$16.82,$16.55
08/02/2023,$16.76,"12,115",$17.00,$17.00,$16.60
08/01/2023,$17.00,"48,922",$17.03,$17.03,$16.95
07/31/2023,$16.97,"22,861",$17.00,$17.20,$16.905
07/28/2023,$16.92,"19,134",$16.86,$16.9979,$16.755
07/27/2023,$16.83,"18,771",$16.77,$16.87,$16.66
07/26/2023,$16.64,"32,229",$16.57,$16.78,$16.50
07/25/2023,$16.56,"5,776",$16.55,$16.56,$16.48
07/24/2023,$16.5699,"11,645",$16.57,$16.735,$16.3901
07/21/2023,$16.57,"9,011",$16.65,$16.73,$16.51
07/20/2023,$16.55,"28,597",$16.92,$16.92,$16.55
07/19/2023,$16.85,"18,521",$16.59,$16.86,$16.59
07/18/2023,$16.80,"9,426",$16.56,$16.82,$16.50
07/17/2023,$16.48,"13,262",$16.54,$16.675,$16.3575
07/14/2023,$16.54,"10,616",$16.78,$16.78,$16.48
07/13/2023,$16.70,"12,660",$16.70,$16.74,$16.48
07/12/2023,$16.45,"64,041",$17.00,$17.06,$16.45
07/11/2023,$16.80,"82,600",$16.76,$16.84,$16.69
07/10/2023,$16.64,"38,549",$16.61,$16.7125,$16.4699
07/07/2023,$16.57,"56,535",$16.58,$16.63,$16.41
07/06/2023,$16.49,"49,216",$16.40,$16.54,$16.315
07/05/2023,$16.58,"69,428",$16.59,$16.6241,$16.2562
07/03/2023,$16.4672,"4,669",$16.43,$16.53,$16.43
06/30/2023,$16.40,"622,031",$16.09,$16.51,$16.09
06/29/2023,$16.07,"274,002",$16.10,$16.115,$16.00
06/28/2023,$16.18,"98,824",$15.92,$16.18,$15.92
06/27/2023,$15.90,"19,968",$16.07,$16.17,$15.86
06/26/2023,$16.01,"31,008",$16.02,$16.19,$15.943
06/23/2023,$15.85,"10,342",$15.31,$15.94,$15.31
06/22/2023,$15.30,"49,991",$15.71,$15.80,$15.17
06/21/2023,$15.66,"38,607",$15.86,$15.86,$15.62
06/20/2023,$15.77,"117,375",$15.85,$15.89,$15.75
06/16/2023,$15.85,"63,186",$15.77,$16.015,$15.67
06/15/2023,$15.93,"81,242",$15.90,$16.30,$15.64
06/14/2023,$15.93,"46,795",$16.25,$16.26,$15.88
06/13/2023,$16.20,"61,078",$16.45,$16.50,$16.14
06/12/2023,$16.45,"37,493",$16.87,$16.9589,$16.38
06/09/2023,$16.96,"345,090",$17.07,$17.1699,$16.80
06/08/2023,$17.05,"63,151",$17.26,$17.26,$17.02
06/07/2023,$17.22,"59,868",$17.48,$17.69,$17.22
06/06/2023,$17.62,"33,468",$17.79,$17.79,$17.48
06/05/2023,$17.58,"43,341",$17.53,$17.92,$17.36
06/02/2023,$17.50,"60,256",$16.97,$17.60,$16.97
06/01/2023,$16.72,"66,372",$16.53,$17.13,$16.53
05/31/2023,$16.53,"82,398",$16.20,$16.77,$16.1936
05/30/2023,$16.13,"49,566",$16.76,$16.77,$15.95
05/26/2023,$16.41,"38,238",$16.35,$16.70,$16.285
05/25/2023,$16.35,"83,708",$16.10,$16.47,$16.00
05/24/2023,$16.06,"88,135",$16.02,$16.35,$15.87
05/23/2023,$16.02,"66,575",$15.60,$16.09,$15.50
05/22/2023,$15.68,"17,623",$15.53,$15.68,$15.4964
05/19/2023,$15.53,"11,382",$15.36,$15.75,$15.36
05/18/2023,$15.42,"6,099",$15.27,$15.53,$15.2009
05/17/2023,$15.27,"14,780",$14.84,$15.3876,$14.84
05/16/2023,$14.84,"22,419",$14.94,$15.26,$14.84
05/15/2023,$14.96,"38,113",$15.74,$15.74,$14.89
05/12/2023,$15.36,"71,134",$15.59,$15.69,$15.36
05/11/2023,$15.44,"79,377",$15.24,$15.54,$15.24
05/10/2023,$15.1838,"18,848",$14.99,$15.60,$14.99
05/09/2023,$14.8923,"23,434",$15.08,$15.08,$14.72
05/08/2023,$15.08,"12,473",$15.25,$15.25,$14.91
05/05/2023,$15.14,"10,474",$14.99,$15.26,$14.85
05/04/2023,$14.8901,"33,244",$15.25,$15.25,$14.81
05/03/2023,$15.33,"53,181",$15.60,$15.62,$15.26
05/02/2023,$15.61,"18,299",$16.01,$16.1293,$15.55
05/01/2023,$16.29,"22,660",$16.05,$16.29,$15.98
04/28/2023,$16.29,"74,443",$16.13,$16.3679,$16.00
04/27/2023,$16.32,"29,748",$16.08,$16.3351,$15.9192
04/26/2023,$16.07,"11,604",$16.12,$16.35,$16.05
04/25/2023,$16.0866,"18,642",$16.50,$16.54,$16.00
