Date,Close,Volume,Open,High,Low
03/01/2024,$16.20,"9,767",$16.09,$16.22,$16.04
02/29/2024,$16.04,"42,286",$15.77,$16.21,$15.68
02/28/2024,$15.74,"12,239",$15.62,$15.7992,$15.5956
02/27/2024,$15.62,"13,027",$15.75,$15.7871,$15.56
02/26/2024,$15.71,"25,428",$15.76,$15.7845,$15.56
02/23/2024,$15.69,"61,043",$15.67,$15.8079,$15.48
02/22/2024,$15.50,"22,298",$15.59,$15.7394,$15.4301
02/21/2024,$15.46,"23,371",$15.60,$15.6234,$15.4453
02/20/2024,$15.45,"20,792",$15.59,$15.9671,$15.41
02/16/2024,$15.5926,"22,514",$16.03,$16.15,$15.55
02/15/2024,$16.00,"21,416",$16.02,$16.14,$15.66
02/14/2024,$15.91,"16,284",$16.04,$16.2335,$15.91
02/13/2024,$15.94,"13,555",$16.19,$16.19,$15.93
02/12/2024,$16.27,"16,073",$16.36,$16.50,$16.06
02/09/2024,$16.3048,"7,830",$16.13,$16.3851,$16.13
02/08/2024,$16.13,"10,811",$16.37,$16.37,$16.03
02/07/2024,$16.44,"7,409",$16.49,$16.5137,$16.25
02/06/2024,$16.41,"4,685",$16.29,$16.43,$16.28
02/05/2024,$16.23,"16,449",$16.20,$16.27,$16.10
02/02/2024,$16.15,"10,846",$16.18,$16.30,$16.07
02/01/2024,$16.24,"42,606",$16.12,$16.40,$16.10
01/31/2024,$16.10,"20,904",$16.33,$16.33,$15.97
01/30/2024,$16.2499,"16,085",$16.35,$16.47,$16.20
01/29/2024,$16.35,"16,538",$16.15,$16.43,$16.15
01/26/2024,$16.15,"13,595",$16.09,$16.26,$16.04
01/25/2024,$16.09,"8,373",$15.92,$16.11,$15.72
01/24/2024,$15.75,"13,260",$15.83,$15.85,$15.71
01/23/2024,$15.7234,"22,219",$15.86,$15.86,$15.64
01/22/2024,$15.78,"18,580",$15.51,$15.94,$15.51
01/19/2024,$15.45,"34,777",$15.54,$15.55,$15.3725
01/18/2024,$15.39,"27,930",$15.98,$15.98,$15.29
01/17/2024,$15.84,"13,315",$16.07,$16.2494,$15.84
01/16/2024,$16.07,"28,483",$16.13,$16.35,$16.07
01/12/2024,$16.30,"18,483",$16.25,$16.30,$16.06
01/11/2024,$16.08,"25,632",$16.29,$16.33,$16.06
01/10/2024,$16.29,"26,618",$16.09,$16.29,$15.93
01/09/2024,$15.98,"14,920",$16.16,$16.24,$15.91
01/08/2024,$16.16,"9,979",$16.06,$16.19,$15.82
01/05/2024,$15.95,"11,867",$16.10,$16.10,$15.817
01/04/2024,$16.07,"8,463",$15.65,$16.07,$15.65
01/03/2024,$15.72,"15,905",$15.85,$15.9884,$15.72
01/02/2024,$15.83,"4,995",$15.96,$15.96,$15.77
12/29/2023,$15.96,"21,731",$15.58,$15.96,$15.51
12/28/2023,$15.65,"16,762",$15.75,$15.8172,$15.60
12/27/2023,$15.75,"27,125",$16.00,$16.051,$15.75
12/26/2023,$16.00,"21,180",$16.00,$16.1167,$16.00
12/22/2023,$15.96,"14,612",$15.94,$16.16,$15.86
12/21/2023,$15.86,"43,576",$15.73,$15.9299,$15.70
12/20/2023,$15.76,"22,661",$15.66,$15.9197,$15.66
12/19/2023,$15.66,"20,601",$15.40,$15.76,$15.40
12/18/2023,$15.48,"10,795",$15.45,$15.69,$15.30
12/15/2023,$15.47,"10,324",$15.40,$15.635,$15.40
12/14/2023,$15.68,"21,399",$15.25,$15.7509,$15.25
12/13/2023,$15.16,"17,597",$14.86,$15.23,$14.86
12/12/2023,$14.8528,"28,626",$14.92,$14.92,$14.81
12/11/2023,$14.85,"21,244",$14.96,$15.03,$14.81
12/08/2023,$14.96,"8,469",$15.01,$15.01,$14.90
12/07/2023,$15.01,"34,424",$14.90,$15.0538,$14.82
12/06/2023,$14.8444,"21,891",$14.88,$15.0606,$14.81
12/05/2023,$14.88,"40,409",$14.99,$15.2013,$14.87
12/04/2023,$14.99,"8,476",$15.20,$15.20,$14.94
12/01/2023,$15.18,"12,722",$15.05,$15.23,$14.9601
11/30/2023,$15.23,"29,739",$14.77,$15.23,$14.68
11/29/2023,$14.77,"8,861",$14.60,$14.90,$14.60
11/28/2023,$14.52,"18,018",$14.72,$14.8775,$14.51
11/27/2023,$14.65,"7,475",$14.624,$14.83,$14.62
11/24/2023,$14.65,"5,378",$14.74,$14.7626,$14.47
11/22/2023,$14.4683,"7,886",$14.70,$14.9378,$14.45
11/21/2023,$14.70,"8,841",$14.70,$14.9174,$14.70
11/20/2023,$14.7122,"9,974",$14.85,$14.87,$14.70
11/17/2023,$14.78,"10,137",$14.84,$14.84,$14.75
11/16/2023,$14.65,"10,614",$14.79,$14.83,$14.65
11/15/2023,$14.71,"18,742",$14.63,$14.7592,$14.50
11/14/2023,$14.76,"16,312",$14.43,$14.94,$14.43
11/13/2023,$14.26,"13,695",$14.25,$14.34,$14.1173
11/10/2023,$14.24,"15,152",$13.96,$14.25,$13.96
11/09/2023,$13.84,"62,950",$14.72,$14.80,$13.81
11/08/2023,$14.57,"26,155",$14.77,$14.85,$14.5001
11/07/2023,$14.95,"9,356",$15.05,$15.05,$14.705
11/06/2023,$15.17,"23,832",$14.87,$15.2599,$14.87
11/03/2023,$15.00,"6,880",$14.74,$15.0999,$14.74
11/02/2023,$14.71,"9,543",$14.34,$14.84,$14.34
11/01/2023,$14.23,"8,742",$14.03,$14.38,$14.03
10/31/2023,$14.00,"21,416",$13.97,$14.11,$13.96
