Date,Close,Volume,Open,High,Low
03/01/2024,$48.66,"1,854,245",$48.70,$49.01,$48.445
02/29/2024,$48.47,"2,520,697",$48.22,$48.56,$47.97
02/28/2024,$47.98,"1,749,233",$48.35,$48.58,$47.81
02/27/2024,$48.69,"3,556,918",$47.90,$49.30,$47.84
02/26/2024,$47.29,"1,237,076",$47.49,$47.71,$47.005
02/23/2024,$47.59,"1,876,200",$47.50,$47.77,$47.49
02/22/2024,$47.38,"1,545,271",$47.52,$47.76,$47.33
02/21/2024,$47.34,"1,224,235",$47.29,$47.50,$47.14
02/20/2024,$47.43,"3,899,446",$47.34,$47.61,$47.20
02/16/2024,$47.36,"1,471,802",$47.23,$47.595,$47.04
02/15/2024,$47.25,"2,059,154",$46.99,$47.48,$46.82
02/14/2024,$46.79,"3,237,246",$46.82,$46.985,$46.525
02/13/2024,$46.30,"2,695,729",$46.69,$46.87,$45.85
02/12/2024,$47.39,"1,782,641",$46.95,$47.58,$46.94
02/09/2024,$47.00,"1,700,628",$45.89,$47.01,$45.88
02/08/2024,$45.86,"1,898,557",$46.35,$46.42,$45.72
02/07/2024,$46.46,"2,274,614",$46.91,$46.91,$46.39
02/06/2024,$46.69,"1,702,469",$46.26,$46.78,$46.17
02/05/2024,$46.22,"2,432,034",$46.55,$46.64,$46.025
02/02/2024,$46.89,"1,673,393",$47.02,$47.02,$46.555
02/01/2024,$47.39,"2,571,558",$46.82,$47.445,$46.38
01/31/2024,$46.75,"2,830,734",$46.77,$47.18,$46.585
01/30/2024,$46.94,"1,833,929",$46.84,$47.1888,$46.49
01/29/2024,$46.79,"1,502,290",$46.35,$46.80,$46.00
01/26/2024,$46.39,"1,272,299",$46.10,$46.44,$45.99
01/25/2024,$45.92,"1,085,867",$45.63,$45.96,$45.37
01/24/2024,$45.58,"1,244,401",$45.81,$45.97,$45.40
01/23/2024,$45.41,"1,516,801",$45.87,$46.02,$45.105
01/22/2024,$45.85,"3,059,954",$46.19,$46.33,$45.51
01/19/2024,$46.18,"3,039,485",$45.58,$46.25,$45.35
01/18/2024,$45.44,"2,181,394",$46.08,$46.08,$45.26
01/17/2024,$45.86,"3,441,582",$45.89,$46.17,$45.65
01/16/2024,$46.40,"2,993,572",$46.46,$46.52,$46.13
01/12/2024,$46.91,"2,872,051",$47.03,$47.49,$46.755
01/11/2024,$46.82,"3,194,799",$47.44,$47.54,$46.34
01/10/2024,$47.58,"1,252,789",$47.49,$47.70,$47.43
01/09/2024,$47.48,"1,839,165",$47.88,$47.93,$47.14
