Date,Close,Volume,Open,High,Low
03/01/2024,$6.19,"1,479,936",$6.06,$6.26,$6.06
02/29/2024,$6.02,"1,140,249",$5.99,$6.08,$5.96
02/28/2024,$5.95,"1,676,122",$6.16,$6.19,$5.91
02/27/2024,$6.17,"1,702,666",$6.35,$6.395,$6.16
02/26/2024,$6.30,"1,182,713",$6.33,$6.4464,$6.25
02/23/2024,$6.21,"1,636,191",$6.33,$6.33,$6.19
02/22/2024,$6.48,"1,975,305",$6.50,$6.545,$6.22
02/21/2024,$6.45,"1,329,954",$6.38,$6.57,$6.38
02/20/2024,$6.30,"1,651,074",$6.40,$6.41,$6.23
02/16/2024,$6.51,"1,200,649",$6.45,$6.625,$6.40
02/15/2024,$6.56,"1,682,287",$6.32,$6.59,$6.32
02/14/2024,$6.47,"1,076,359",$6.50,$6.58,$6.40
02/13/2024,$6.44,"2,003,622",$6.48,$6.56,$6.345
02/12/2024,$6.51,"1,263,991",$6.47,$6.55,$6.44
02/09/2024,$6.32,"2,139,590",$6.42,$6.425,$6.225
02/08/2024,$6.29,"1,295,108",$6.09,$6.30,$6.07
02/07/2024,$6.12,"1,357,294",$6.10,$6.20,$6.045
02/06/2024,$6.05,"1,814,974",$5.84,$6.06,$5.83
02/05/2024,$5.75,"1,316,189",$5.93,$5.93,$5.70
02/02/2024,$5.89,"1,842,800",$5.96,$6.03,$5.83
02/01/2024,$6.04,"2,730,823",$6.18,$6.215,$5.9813
01/31/2024,$6.15,"3,771,044",$6.48,$6.51,$6.14
01/30/2024,$6.60,"4,998,555",$6.55,$6.7091,$6.43
01/29/2024,$7.38,"1,563,913",$7.41,$7.42,$7.26
01/26/2024,$7.26,"931,495",$7.25,$7.30,$7.105
01/25/2024,$7.12,"964,527",$7.09,$7.14,$6.975
01/24/2024,$7.03,"1,153,334",$6.99,$7.07,$6.91
01/23/2024,$6.80,"958,890",$6.81,$6.945,$6.75
01/22/2024,$6.77,"1,036,383",$6.67,$6.795,$6.61
01/19/2024,$6.68,"1,345,247",$6.67,$6.695,$6.54
01/18/2024,$6.70,"1,661,827",$6.52,$6.72,$6.44
01/17/2024,$6.48,"2,005,453",$6.41,$6.545,$6.3498
01/16/2024,$6.53,"1,618,177",$6.63,$6.69,$6.47
01/12/2024,$6.55,"1,688,558",$6.70,$6.78,$6.47
01/11/2024,$6.54,"1,972,722",$6.46,$6.58,$6.32
01/10/2024,$6.43,"1,776,781",$6.61,$6.61,$6.41
01/09/2024,$6.50,"2,221,349",$6.73,$6.73,$6.49
01/08/2024,$6.76,"2,293,423",$6.90,$6.91,$6.66
01/05/2024,$7.17,"2,464,244",$7.10,$7.18,$7.03
01/04/2024,$7.18,"1,210,108",$7.36,$7.40,$7.14
01/03/2024,$7.30,"2,114,267",$7.28,$7.465,$7.22
01/02/2024,$7.32,"1,046,729",$7.33,$7.445,$7.285
