Date,Close,Volume,Open,High,Low
03/01/2024,$13.19,"1,226,228",$12.63,$13.625,$12.445
02/29/2024,$12.45,"1,097,158",$12.81,$12.85,$12.23
02/28/2024,$12.72,"646,142",$12.48,$13.06,$12.332
02/27/2024,$12.45,"771,274",$12.30,$12.76,$12.29
02/26/2024,$12.45,"785,392",$12.40,$12.82,$12.25
02/23/2024,$12.25,"967,609",$12.44,$12.55,$11.96
02/22/2024,$12.63,"935,992",$12.78,$12.95,$12.46
02/21/2024,$12.82,"748,908",$12.82,$12.83,$12.43
02/20/2024,$12.83,"698,164",$12.85,$13.0482,$12.61
02/16/2024,$12.92,"1,105,649",$13.15,$13.515,$12.91
02/15/2024,$13.21,"1,069,074",$13.96,$14.06,$13.07
02/14/2024,$13.94,"1,024,494",$14.33,$14.382,$13.715
02/13/2024,$14.07,"1,628,720",$14.18,$14.28,$13.615
02/12/2024,$14.86,"1,529,555",$15.10,$15.47,$14.715
02/09/2024,$14.99,"2,125,454",$14.89,$15.44,$14.49
02/08/2024,$14.82,"1,988,323",$13.65,$14.87,$13.5525
02/07/2024,$13.60,"1,398,842",$13.52,$14.11,$13.255
02/06/2024,$13.47,"2,173,273",$13.49,$13.96,$13.09
02/05/2024,$13.43,"5,121,510",$12.98,$13.85,$12.05
02/02/2024,$11.60,"5,343,524",$11.01,$11.87,$10.73
02/01/2024,$11.12,"1,062,091",$10.87,$11.175,$10.83
01/31/2024,$10.81,"1,522,533",$11.63,$11.63,$10.78
01/30/2024,$11.67,"921,154",$11.76,$11.80,$11.455
01/29/2024,$11.73,"1,562,324",$11.65,$11.83,$11.355
01/26/2024,$11.69,"803,036",$12.33,$12.44,$11.69
01/25/2024,$12.23,"943,460",$12.025,$12.25,$11.74
01/24/2024,$11.68,"789,897",$11.88,$12.00,$11.49
01/23/2024,$11.73,"924,778",$12.12,$12.585,$11.68
01/22/2024,$11.90,"1,046,610",$12.23,$12.61,$11.705
01/19/2024,$12.23,"699,912",$12.14,$12.30,$11.855
01/18/2024,$12.14,"617,952",$11.87,$12.15,$11.83
01/17/2024,$11.79,"1,065,424",$12.10,$12.2499,$11.48
01/16/2024,$12.29,"1,127,215",$11.73,$12.425,$11.71
01/12/2024,$11.88,"1,339,569",$12.30,$12.42,$11.545
01/11/2024,$12.17,"1,207,473",$12.33,$12.44,$11.885
01/10/2024,$12.41,"1,781,127",$12.68,$13.075,$12.085
01/09/2024,$12.83,"2,563,690",$13.54,$13.59,$12.38
01/08/2024,$13.66,"1,174,026",$13.74,$14.02,$13.58
01/05/2024,$13.88,"880,842",$13.30,$13.9899,$13.25
01/04/2024,$13.45,"1,103,507",$13.93,$13.93,$13.29
01/03/2024,$13.83,"1,488,040",$14.51,$15.02,$13.675
01/02/2024,$14.63,"2,515,638",$14.26,$15.39,$14.09
12/29/2023,$14.16,"1,672,920",$14.31,$14.355,$13.92
12/28/2023,$14.05,"1,566,702",$14.10,$14.47,$13.79
12/27/2023,$13.84,"1,647,743",$13.57,$13.93,$13.36
12/26/2023,$13.42,"955,573",$12.95,$13.50,$12.8492
12/22/2023,$12.82,"1,334,810",$12.30,$13.22,$12.30
12/21/2023,$12.29,"906,468",$11.73,$12.30,$11.55
12/20/2023,$11.51,"596,810",$11.63,$11.875,$11.51
12/19/2023,$11.63,"1,787,101",$11.62,$11.84,$11.46
12/18/2023,$11.32,"3,218,888",$11.41,$11.48,$11.04
12/15/2023,$11.48,"2,943,926",$11.92,$11.95,$11.425
12/14/2023,$11.86,"1,539,775",$12.05,$12.335,$11.71
12/13/2023,$11.77,"1,103,449",$11.33,$11.78,$11.155
12/12/2023,$11.36,"765,104",$11.36,$11.43,$11.15
12/11/2023,$11.26,"796,024",$10.96,$11.31,$10.85
12/08/2023,$11.02,"721,676",$10.90,$11.12,$10.86
12/07/2023,$10.84,"799,478",$10.49,$10.885,$10.49
12/06/2023,$10.57,"513,659",$10.80,$11.01,$10.52
12/05/2023,$10.66,"639,271",$10.74,$10.80,$10.56
12/04/2023,$10.81,"749,129",$10.61,$10.865,$10.60
12/01/2023,$10.79,"582,352",$10.28,$10.80,$10.15
11/30/2023,$10.28,"776,307",$10.51,$10.51,$10.23
11/29/2023,$10.57,"736,930",$10.80,$10.96,$10.54
11/28/2023,$10.63,"473,482",$10.67,$10.75,$10.49
11/27/2023,$10.71,"435,126",$10.57,$10.85,$10.54
11/24/2023,$10.64,"314,337",$10.81,$10.85,$10.585
11/22/2023,$10.81,"535,476",$10.64,$10.94,$10.62
11/21/2023,$10.57,"594,310",$10.64,$10.77,$10.39
11/20/2023,$10.63,"872,033",$10.73,$10.84,$10.495
11/17/2023,$10.70,"968,031",$10.42,$10.815,$10.28
11/16/2023,$10.35,"668,985",$10.53,$10.56,$10.31
11/15/2023,$10.65,"915,548",$10.90,$11.13,$10.60
11/14/2023,$10.90,"1,037,008",$10.46,$10.945,$10.41
11/13/2023,$10.26,"1,000,263",$10.23,$10.455,$10.165
11/10/2023,$10.22,"1,082,605",$10.20,$10.405,$10.08
11/09/2023,$10.24,"1,161,672",$10.37,$10.57,$10.22
11/08/2023,$10.50,"1,239,473",$10.95,$10.95,$10.45
11/07/2023,$10.72,"2,354,833",$9.40,$10.76,$8.8501
11/06/2023,$9.30,"1,670,734",$9.64,$9.72,$9.29
11/03/2023,$9.78,"1,985,425",$10.03,$10.295,$9.72
11/02/2023,$9.90,"1,392,308",$9.71,$10.045,$9.68
11/01/2023,$9.63,"1,382,879",$10.09,$10.19,$9.56
10/31/2023,$10.09,"1,035,851",$10.44,$10.5583,$10.04
10/30/2023,$10.50,"960,627",$10.51,$10.565,$10.31
10/27/2023,$10.34,"1,563,455",$10.84,$10.84,$10.34
10/26/2023,$10.80,"2,658,793",$10.87,$10.96,$10.24
10/25/2023,$10.78,"1,805,428",$10.91,$11.0803,$10.735
10/24/2023,$10.97,"1,392,461",$11.03,$11.13,$10.725
10/23/2023,$10.98,"2,719,279",$10.99,$11.20,$10.72
10/20/2023,$11.19,"4,052,253",$11.53,$12.04,$11.14
10/19/2023,$10.90,"994,504",$10.96,$11.04,$10.70
10/18/2023,$10.96,"1,383,033",$10.96,$11.10,$10.85
10/17/2023,$10.95,"1,461,829",$11.05,$11.23,$10.87
10/16/2023,$11.28,"1,926,009",$10.60,$11.51,$10.56
10/13/2023,$10.52,"1,379,134",$10.07,$10.545,$10.06
10/12/2023,$9.99,"3,644,477",$11.11,$11.11,$9.80
10/11/2023,$11.09,"1,622,943",$11.50,$11.6299,$10.82
10/10/2023,$11.49,"1,608,451",$11.50,$11.655,$11.23
10/09/2023,$11.28,"1,187,784",$11.38,$11.535,$11.21
10/06/2023,$11.38,"2,494,865",$10.85,$11.42,$10.83
10/05/2023,$11.02,"3,527,878",$10.24,$11.07,$10.23
10/04/2023,$10.28,"2,455,826",$9.78,$10.28,$9.7327
10/03/2023,$9.75,"2,386,115",$9.82,$9.84,$9.57
10/02/2023,$9.88,"2,500,410",$9.73,$9.93,$9.57
09/29/2023,$9.62,"2,131,502",$9.63,$9.76,$9.555
09/28/2023,$9.52,"1,948,667",$9.24,$9.645,$9.24
09/27/2023,$9.24,"2,250,298",$9.15,$9.345,$9.11
09/26/2023,$9.10,"3,269,795",$9.61,$9.65,$9.09
09/25/2023,$9.66,"2,470,703",$9.71,$9.81,$9.53
09/22/2023,$9.81,"3,386,321",$10.55,$10.71,$9.81
09/21/2023,$10.52,"2,205,582",$10.57,$10.79,$10.495
09/20/2023,$10.67,"1,828,302",$10.36,$10.90,$10.2624
09/19/2023,$10.27,"1,885,556",$10.58,$10.69,$10.215
09/18/2023,$10.64,"1,819,605",$10.63,$11.025,$10.61
09/15/2023,$10.71,"3,220,145",$10.55,$10.95,$10.55
09/14/2023,$10.46,"2,150,789",$10.47,$10.53,$10.165
09/13/2023,$10.38,"2,873,880",$10.38,$10.84,$10.29
09/12/2023,$10.47,"4,998,026",$10.42,$10.53,$9.709
09/11/2023,$10.63,"5,462,447",$10.76,$11.59,$10.28
09/08/2023,$10.13,"3,901,986",$10.54,$10.55,$10.03
09/07/2023,$10.49,"2,497,668",$10.69,$10.69,$10.335
09/06/2023,$10.67,"1,585,782",$10.74,$10.86,$10.55
09/05/2023,$10.82,"1,717,443",$11.06,$11.11,$10.73
09/01/2023,$11.06,"996,783",$11.03,$11.08,$11.00
08/31/2023,$11.00,"961,606",$11.28,$11.28,$10.99
08/30/2023,$11.19,"685,483",$11.06,$11.32,$11.05
08/29/2023,$11.02,"686,238",$11.08,$11.20,$11.01
08/28/2023,$11.06,"1,102,922",$10.88,$11.205,$10.80
08/25/2023,$10.89,"2,432,793",$10.47,$11.01,$10.43
08/24/2023,$10.45,"941,863",$10.41,$10.555,$10.34
08/23/2023,$10.56,"1,086,818",$10.51,$10.648,$10.2171
08/22/2023,$10.60,"1,144,962",$10.65,$10.73,$10.5325
08/21/2023,$10.47,"1,501,289",$10.84,$10.9799,$10.27
08/18/2023,$10.75,"2,379,847",$10.61,$10.77,$10.29
08/17/2023,$10.71,"710,663",$11.05,$11.09,$10.70
08/16/2023,$11.03,"1,111,324",$11.20,$11.285,$11.03
08/15/2023,$11.28,"876,714",$11.56,$11.605,$11.25
08/14/2023,$11.64,"765,049",$11.73,$11.845,$11.545
08/11/2023,$11.74,"1,217,355",$11.44,$11.75,$11.285
08/10/2023,$11.47,"1,123,324",$12.11,$12.22,$11.385
08/09/2023,$12.09,"1,053,627",$12.26,$12.29,$12.07
