Date,Close,Volume,Open,High,Low
03/01/2024,$1.68,"166,390",$1.68,$1.7607,$1.62
02/29/2024,$1.69,"208,230",$1.77,$1.79,$1.62
02/28/2024,$1.73,"386,777",$1.82,$1.89,$1.69
02/27/2024,$1.74,"325,160",$1.84,$1.84,$1.68
02/26/2024,$1.74,"357,704",$1.62,$1.78,$1.62
02/23/2024,$1.59,"170,681",$1.62,$1.66,$1.55
02/22/2024,$1.62,"86,105",$1.66,$1.6938,$1.61
02/21/2024,$1.65,"50,246",$1.59,$1.66,$1.5601
02/20/2024,$1.65,"270,741",$1.73,$1.7433,$1.50
02/16/2024,$1.74,"243,752",$1.77,$1.84,$1.66
02/15/2024,$1.76,"163,749",$1.82,$1.86,$1.67
02/14/2024,$1.80,"318,759",$1.84,$1.8799,$1.71
02/13/2024,$1.69,"291,345",$1.78,$1.84,$1.66
02/12/2024,$1.83,"311,800",$1.76,$1.92,$1.70
02/09/2024,$1.75,"320,769",$1.73,$1.82,$1.63
02/08/2024,$1.64,"240,625",$1.65,$1.7439,$1.5801
02/07/2024,$1.56,"71,870",$1.60,$1.6037,$1.46
02/06/2024,$1.53,"167,196",$1.50,$1.57,$1.45
02/05/2024,$1.56,"92,720",$1.66,$1.68,$1.51
02/02/2024,$1.65,"28,735",$1.60,$1.68,$1.60
02/01/2024,$1.64,"56,682",$1.60,$1.6887,$1.5625
01/31/2024,$1.60,"119,301",$1.66,$1.73,$1.58
01/30/2024,$1.73,"201,536",$1.87,$1.87,$1.68
01/29/2024,$1.83,"255,258",$1.75,$1.89,$1.7105
01/26/2024,$1.69,"212,093",$1.57,$1.73,$1.49
01/25/2024,$1.44,"111,378",$1.44,$1.4699,$1.38
01/24/2024,$1.35,"189,115",$1.43,$1.4896,$1.35
01/23/2024,$1.45,"140,245",$1.46,$1.50,$1.45
01/22/2024,$1.50,"270,270",$1.55,$1.58,$1.46
01/19/2024,$1.58,"193,397",$1.62,$1.62,$1.48
01/18/2024,$1.55,"125,784",$1.69,$1.6973,$1.53
01/17/2024,$1.65,"161,081",$1.70,$1.75,$1.55
01/16/2024,$1.75,"172,753",$1.86,$1.88,$1.70
01/12/2024,$1.86,"367,338",$1.95,$1.96,$1.76
01/11/2024,$1.98,"650,321",$2.15,$2.288,$1.9106
01/10/2024,$2.02,"339,435",$1.97,$2.08,$1.85
01/09/2024,$1.97,"452,766",$2.14,$2.22,$1.90
01/08/2024,$2.18,"750,307",$2.22,$2.24,$1.80
01/05/2024,$2.20,"671,124",$2.37,$2.3901,$2.06
01/04/2024,$2.18,"607,912",$1.95,$2.22,$1.90
01/03/2024,$1.87,"370,497",$1.70,$2.00,$1.66
01/02/2024,$1.85,"694,657",$1.83,$1.99,$1.75
12/29/2023,$1.63,"1,013,281",$2.32,$2.49,$1.59
12/28/2023,$2.32,"1,535,299",$2.22,$2.50,$2.02
12/27/2023,$2.24,"3,147,674",$1.55,$2.3899,$1.55
12/26/2023,$1.52,"216,393",$1.62,$1.63,$1.50
12/22/2023,$1.56,"419,854",$1.51,$1.65,$1.46
12/21/2023,$1.47,"347,817",$1.58,$1.68,$1.45
12/20/2023,$1.63,"631,266",$1.74,$1.74,$1.53
12/19/2023,$1.60,"396,984",$1.58,$1.749,$1.5599
12/18/2023,$1.52,"146,961",$1.51,$1.6226,$1.49
12/15/2023,$1.535,"195,185",$1.47,$1.60,$1.47
12/14/2023,$1.47,"319,596",$1.62,$1.72,$1.45
12/13/2023,$1.64,"260,880",$1.51,$1.6687,$1.4401
12/12/2023,$1.43,"57,029",$1.44,$1.52,$1.40
12/11/2023,$1.42,"169,137",$1.60,$1.62,$1.42
12/08/2023,$1.65,"297,757",$1.56,$1.67,$1.52
