Date,Close,Volume,Open,High,Low
03/01/2024,$10.44,600,$10.44,$10.44,$10.44
02/29/2024,$10.41,"2,092",$10.41,$10.4103,$10.41
02/28/2024,$10.44,"1,554",$10.44,$10.44,$10.44
02/27/2024,$10.44,"1,246",$10.44,$10.44,$10.44
02/26/2024,$10.44,"5,361",$10.45,$10.4501,$10.44
02/23/2024,$10.45,"1,038",$10.45,$10.45,$10.45
02/22/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/21/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/20/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/16/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/15/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/14/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/13/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/12/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/09/2024,$10.47,"1,760",$10.46,$10.47,$10.4504
02/08/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/07/2024,$10.47,690,$10.451,$10.47,$10.451
02/06/2024,$10.4501,N/A,$10.4501,$10.4501,$10.4501
02/05/2024,$10.4501,"1,720",$10.451,$10.451,$10.45
02/02/2024,$10.47,N/A,$10.47,$10.47,$10.47
02/01/2024,$10.47,"367,820",$10.46,$10.47,$10.46
01/31/2024,$10.45,"1,404",$10.45,$10.45,$10.45
01/30/2024,$10.45,"25,249",$10.46,$10.46,$10.45
01/29/2024,$10.46,"91,450",$10.451,$10.46,$10.45
01/26/2024,$10.46,"2,700",$10.46,$10.46,$10.46
01/25/2024,$10.44,"150,182",$10.44,$10.4425,$10.43
01/24/2024,$10.43,N/A,$10.43,$10.43,$10.43
01/23/2024,$10.43,N/A,$10.43,$10.43,$10.43
01/22/2024,$10.43,"16,588",$10.425,$10.43,$10.425
01/19/2024,$10.42,N/A,$10.42,$10.42,$10.42
01/18/2024,$10.42,"4,473",$10.42,$10.42,$10.42
01/17/2024,$10.41,N/A,$10.41,$10.41,$10.41
01/16/2024,$10.41,"4,180",$10.41,$10.41,$10.41
01/12/2024,$10.41,"1,304",$10.41,$10.41,$10.41
01/11/2024,$10.42,N/A,$10.42,$10.42,$10.42
01/10/2024,$10.42,N/A,$10.42,$10.42,$10.42
01/09/2024,$10.42,N/A,$10.42,$10.42,$10.42
01/08/2024,$10.42,598,$10.42,$10.42,$10.42
01/05/2024,$10.40,N/A,$10.40,$10.40,$10.40
01/04/2024,$10.40,N/A,$10.40,$10.40,$10.40
01/03/2024,$10.40,N/A,$10.40,$10.40,$10.40
01/02/2024,$10.40,"49,000",$10.40,$10.40,$10.40
12/29/2023,$10.39,N/A,$10.39,$10.39,$10.39
12/28/2023,$10.39,N/A,$10.39,$10.39,$10.39
12/27/2023,$10.39,681,$10.39,$10.39,$10.39
12/26/2023,$10.38,N/A,$10.38,$10.38,$10.38
12/22/2023,$10.38,"11,203",$10.37,$10.38,$10.37
12/21/2023,$10.37,"6,679",$10.37,$10.375,$10.37
12/20/2023,$10.37,N/A,$10.37,$10.37,$10.37
12/19/2023,$10.37,878,$10.37,$10.37,$10.37
12/18/2023,$10.4236,138,$10.4236,$10.4236,$10.4236
12/15/2023,$10.37,"24,029",$10.37,$10.37,$10.37
12/14/2023,$10.37,"10,506",$10.37,$10.37,$10.37
12/13/2023,$10.3799,"5,233",$10.36,$10.38,$10.36
12/12/2023,$10.37,"7,841",$10.36,$10.37,$10.36
12/11/2023,$10.36,"5,013",$10.36,$10.36,$10.36
12/08/2023,$10.35,N/A,$10.35,$10.35,$10.35
12/07/2023,$10.35,"38,239",$10.34,$10.35,$10.34
12/06/2023,$10.3454,N/A,$10.3454,$10.3454,$10.3454
12/05/2023,$10.3454,"4,170",$10.3454,$10.3454,$10.3454
12/04/2023,$10.35,N/A,$10.35,$10.35,$10.35
12/01/2023,$10.35,"23,210",$10.345,$10.35,$10.345
11/30/2023,$10.34,"1,423",$10.34,$10.34,$10.34
11/29/2023,$10.33,"423,032",$10.33,$10.33,$10.33
11/28/2023,$10.32,"126,039",$10.32,$10.35,$10.32
11/27/2023,$10.3269,210,$10.3269,$10.3269,$10.3269
11/24/2023,$10.33,N/A,$10.33,$10.33,$10.33
11/22/2023,$10.33,"1,041",$10.335,$10.335,$10.33
11/21/2023,$10.32,"116,301",$10.34,$10.34,$10.32
11/20/2023,$10.33,"1,009",$10.34,$10.34,$10.33
11/17/2023,$10.32,"2,000",$10.32,$10.32,$10.32
11/16/2023,$10.32,"1,140",$10.32,$10.33,$10.32
11/15/2023,$10.33,689,$10.33,$10.33,$10.33
11/14/2023,$10.33,N/A,$10.33,$10.33,$10.33
11/13/2023,$10.33,680,$10.32,$10.33,$10.32
11/10/2023,$10.32,N/A,$10.32,$10.32,$10.32
11/09/2023,$10.32,N/A,$10.32,$10.32,$10.32
11/08/2023,$10.32,"3,801",$10.38,$10.38,$10.31
11/07/2023,$10.31,"2,575",$10.31,$10.31,$10.31
11/06/2023,$10.31,210,$10.31,$10.31,$10.31
11/03/2023,$10.30,N/A,$10.30,$10.30,$10.30
11/02/2023,$10.30,N/A,$10.30,$10.30,$10.30
11/01/2023,$10.30,"1,895",$10.31,$10.31,$10.30
10/31/2023,$10.31,"10,343",$10.30,$10.31,$10.30
10/30/2023,$10.30,147,$10.30,$10.30,$10.30
10/27/2023,$10.302,N/A,$10.302,$10.302,$10.302
10/26/2023,$10.302,N/A,$10.302,$10.302,$10.302
10/25/2023,$10.302,N/A,$10.302,$10.302,$10.302
10/24/2023,$10.302,"3,422",$10.30,$10.34,$10.30
10/23/2023,$10.30,"3,240",$10.30,$10.30,$10.30
10/20/2023,$10.29,N/A,$10.29,$10.29,$10.29
10/19/2023,$10.29,N/A,$10.29,$10.29,$10.29
