Date,Close,Volume,Open,High,Low
03/01/2024,$15.08,"580,051",$15.18,$15.20,$14.98
02/29/2024,$15.13,"448,719",$14.99,$15.245,$14.93
02/28/2024,$14.97,"638,083",$15.15,$15.28,$14.85
02/27/2024,$15.61,"475,479",$15.56,$15.6499,$15.30
02/26/2024,$15.60,"451,900",$15.55,$15.635,$15.37
02/23/2024,$15.62,"559,499",$15.37,$15.75,$15.22
02/22/2024,$15.32,"742,035",$15.03,$15.36,$14.97
02/21/2024,$14.94,"1,231,596",$15.37,$15.37,$14.79
02/20/2024,$15.34,"1,245,019",$15.38,$15.93,$15.23
02/16/2024,$15.30,"372,685",$15.19,$15.48,$15.16
02/15/2024,$15.16,"1,020,976",$14.80,$15.185,$14.52
02/14/2024,$14.58,"456,438",$14.72,$14.74,$14.50
02/13/2024,$14.53,"494,828",$14.65,$14.66,$14.37
02/12/2024,$14.93,"749,473",$14.56,$14.975,$14.56
02/09/2024,$14.36,"409,388",$14.43,$14.47,$14.1801
02/08/2024,$14.36,"679,523",$14.36,$14.405,$14.01
02/07/2024,$14.37,"403,176",$14.34,$14.48,$14.299
02/06/2024,$14.45,"408,874",$14.70,$14.71,$14.38
02/05/2024,$14.74,"442,769",$14.86,$14.88,$14.65
02/02/2024,$14.89,"294,660",$14.97,$14.995,$14.82
02/01/2024,$15.15,"382,723",$15.21,$15.32,$15.01
01/31/2024,$15.04,"471,547",$15.46,$15.58,$15.04
01/30/2024,$15.32,"612,087",$15.52,$15.73,$15.21
01/29/2024,$15.40,"523,381",$15.06,$15.41,$14.99
01/26/2024,$15.15,"529,591",$15.16,$15.41,$15.03
01/25/2024,$15.16,"1,035,815",$14.97,$15.18,$14.90
01/24/2024,$14.88,"512,133",$14.77,$15.04,$14.71
01/23/2024,$14.91,"640,565",$14.66,$14.94,$14.56
01/22/2024,$14.60,"574,785",$14.60,$14.61,$14.43
01/19/2024,$14.67,"590,280",$14.40,$14.68,$14.315
01/18/2024,$14.45,"527,769",$14.44,$14.55,$14.26
01/17/2024,$14.34,"644,427",$14.21,$14.50,$14.15
01/16/2024,$14.54,"745,538",$14.84,$14.93,$14.47
01/12/2024,$15.17,"1,143,190",$14.88,$15.288,$14.85
01/11/2024,$14.90,"1,683,747",$14.91,$15.77,$14.70
01/10/2024,$14.91,"512,289",$15.07,$15.11,$14.87
01/09/2024,$14.90,"1,057,473",$14.55,$14.92,$14.51
01/08/2024,$14.79,"578,094",$14.71,$14.8075,$14.67
01/05/2024,$14.76,"651,765",$14.80,$14.90,$14.53
01/04/2024,$14.86,"801,682",$14.90,$15.32,$14.86
01/03/2024,$14.86,"880,814",$14.85,$14.99,$14.685
01/02/2024,$15.10,"1,150,342",$15.22,$15.36,$14.995
12/29/2023,$15.60,"721,395",$15.61,$15.83,$15.4805
12/28/2023,$15.85,"1,493,205",$15.53,$16.00,$15.485
12/27/2023,$15.99,"5,618,123",$14.88,$16.25,$14.66
12/26/2023,$13.51,"520,250",$13.57,$13.79,$13.50
12/22/2023,$13.53,"656,461",$13.11,$13.71,$13.11
12/21/2023,$13.10,"1,159,579",$13.21,$13.24,$13.03
12/20/2023,$13.16,"770,125",$13.54,$13.60,$13.16
12/19/2023,$13.59,"949,769",$13.49,$13.86,$13.47
12/18/2023,$13.41,"1,204,243",$13.25,$13.46,$13.13
12/15/2023,$13.18,"1,218,694",$13.43,$13.54,$13.12
12/14/2023,$13.56,"1,159,874",$13.90,$14.09,$13.545
12/13/2023,$13.92,"1,160,784",$13.92,$14.0798,$13.67
12/12/2023,$13.71,"583,154",$13.47,$13.74,$13.29
12/11/2023,$13.60,"1,469,846",$13.31,$13.67,$13.27
12/08/2023,$13.40,"353,832",$13.45,$13.55,$13.30
12/07/2023,$13.45,"315,815",$13.36,$13.48,$13.28
12/06/2023,$13.38,"476,762",$13.57,$13.61,$13.36
12/05/2023,$13.54,"558,384",$13.73,$13.76,$13.515
12/04/2023,$13.81,"596,252",$13.67,$13.87,$13.62
12/01/2023,$13.88,"532,726",$13.84,$14.03,$13.78
11/30/2023,$13.89,"583,012",$13.67,$13.90,$13.45
11/29/2023,$13.62,"769,012",$13.50,$13.90,$13.48
11/28/2023,$13.60,"743,288",$13.75,$13.81,$13.525
11/27/2023,$13.90,"561,490",$14.23,$14.26,$13.86
11/24/2023,$14.30,"374,468",$14.39,$14.54,$14.26
11/22/2023,$14.42,"519,939",$14.11,$14.44,$13.92
11/21/2023,$13.91,"766,575",$13.76,$14.025,$13.55
11/20/2023,$14.23,"1,946,459",$13.91,$14.42,$13.85
