Date,Close,Volume,Open,High,Low
03/01/2024,$11.75,"99,078",$11.77,$11.875,$11.66
02/29/2024,$11.85,"30,409",$11.98,$12.1018,$11.77
02/28/2024,$11.81,"24,592",$11.79,$11.97,$11.79
02/27/2024,$11.92,"35,822",$11.99,$12.145,$11.845
02/26/2024,$11.97,"34,994",$12.09,$12.22,$11.85
02/23/2024,$11.98,"23,151",$11.80,$12.08,$11.80
02/22/2024,$11.89,"40,598",$11.97,$12.13,$11.82
02/21/2024,$12.01,"40,820",$11.925,$12.05,$11.845
02/20/2024,$12.02,"49,993",$11.85,$12.28,$11.85
02/16/2024,$12.03,"34,539",$12.09,$12.26,$12.02
02/15/2024,$12.21,"102,222",$12.06,$12.32,$11.91
02/14/2024,$11.92,"59,669",$11.89,$11.95,$11.66
02/13/2024,$11.74,"129,469",$12.16,$12.31,$11.61
02/12/2024,$12.55,"66,250",$12.25,$12.64,$12.25
02/09/2024,$12.27,"98,972",$11.88,$12.36,$11.775
02/08/2024,$11.82,"42,735",$11.70,$11.88,$11.65
02/07/2024,$11.67,"96,463",$11.75,$11.84,$11.09
02/06/2024,$11.78,"110,908",$11.97,$12.10,$11.64
02/05/2024,$11.97,"73,391",$11.89,$12.08,$11.84
02/02/2024,$11.89,"97,817",$12.06,$12.285,$11.78
02/01/2024,$12.30,"115,429",$12.44,$12.695,$11.89
01/31/2024,$12.51,"144,832",$12.76,$13.05,$12.49
01/30/2024,$12.92,"81,636",$13.35,$13.365,$12.87
01/29/2024,$13.44,"71,106",$13.68,$13.78,$13.355
01/26/2024,$13.67,"64,393",$14.43,$14.43,$13.5029
01/25/2024,$13.86,"74,268",$14.03,$14.03,$13.3501
01/24/2024,$13.74,"59,151",$13.76,$13.80,$13.39
01/23/2024,$13.56,"44,038",$13.75,$13.75,$13.415
01/22/2024,$13.63,"53,182",$13.38,$13.63,$13.26
01/19/2024,$13.21,"42,079",$13.03,$13.26,$12.85
01/18/2024,$12.94,"45,777",$12.75,$12.95,$12.69
01/17/2024,$12.73,"49,865",$12.40,$12.77,$12.30
01/16/2024,$12.40,"44,381",$12.38,$12.45,$12.24
01/12/2024,$12.55,"35,510",$12.83,$12.9105,$12.40
01/11/2024,$12.75,"66,893",$12.66,$12.825,$12.50
01/10/2024,$12.80,"212,439",$12.44,$12.82,$12.315
01/09/2024,$12.48,"73,535",$12.47,$12.60,$12.21
01/08/2024,$12.65,"57,227",$12.70,$12.70,$12.48
01/05/2024,$12.72,"163,120",$12.49,$12.85,$12.49
01/04/2024,$12.61,"69,203",$12.68,$12.88,$12.58
01/03/2024,$12.62,"99,182",$13.14,$13.14,$12.61
01/02/2024,$13.13,"162,924",$13.49,$13.71,$13.03
