Date,Close,Volume,Open,High,Low
03/01/2024,$19.39,"22,311",$19.18,$19.42,$19.11
02/29/2024,$19.15,"22,657",$19.0256,$19.23,$19.0256
02/28/2024,$19.10,"20,915",$18.65,$19.70,$18.65
02/27/2024,$18.66,"35,866",$18.77,$18.78,$18.5579
02/26/2024,$18.99,"30,282",$19.30,$19.33,$18.90
02/23/2024,$19.29,"13,338",$19.27,$19.40,$19.25
02/22/2024,$19.35,"12,951",$19.45,$19.696,$19.29
02/21/2024,$19.40,"42,333",$19.56,$19.72,$19.35
02/20/2024,$19.66,"47,852",$19.80,$20.00,$19.25
02/16/2024,$19.65,"21,075",$19.61,$19.65,$19.44
02/15/2024,$19.63,"16,002",$19.80,$19.96,$19.60
02/14/2024,$19.54,"5,991",$19.86,$20.00,$19.54
02/13/2024,$19.63,"13,741",$19.47,$20.00,$19.47
02/12/2024,$19.76,"13,590",$19.90,$19.93,$19.72
02/09/2024,$19.74,"19,177",$19.76,$19.97,$19.69
02/08/2024,$19.82,"9,695",$19.7419,$19.98,$19.7419
02/07/2024,$19.99,"24,515",$20.18,$20.1991,$19.7201
02/06/2024,$20.17,"11,847",$19.90,$20.20,$19.78
02/05/2024,$19.85,"11,521",$20.00,$20.00,$19.72
02/02/2024,$19.87,"10,730",$20.20,$20.20,$19.87
02/01/2024,$20.15,"8,836",$20.11,$20.16,$20.00
01/31/2024,$19.95,"14,554",$20.20,$20.20,$19.95
01/30/2024,$19.99,"18,821",$20.19,$20.20,$19.97
01/29/2024,$20.11,"12,538",$20.15,$20.15,$19.76
01/26/2024,$20.07,"8,590",$20.10,$20.10,$19.97
01/25/2024,$20.00,"14,685",$20.16,$20.16,$19.99
01/24/2024,$20.08,"8,303",$20.18,$20.18,$19.95
01/23/2024,$20.05,"16,363",$20.03,$20.17,$20.00
01/22/2024,$19.95,"18,878",$20.09,$20.15,$19.80
01/19/2024,$19.96,"18,186",$19.85,$20.00,$19.65
01/18/2024,$19.95,"17,011",$20.30,$20.30,$19.94
01/17/2024,$20.30,"17,389",$20.00,$20.30,$19.95
01/16/2024,$20.15,"17,615",$20.00,$20.15,$20.00
01/12/2024,$20.00,"9,114",$20.11,$20.30,$20.00
01/11/2024,$19.89,"17,165",$19.94,$20.29,$19.87
01/10/2024,$20.115,"24,461",$20.14,$20.2733,$20.076
01/09/2024,$20.095,"17,102",$20.10,$20.2036,$20.06
01/08/2024,$20.12,"31,070",$20.03,$20.22,$20.03
01/05/2024,$19.98,"21,324",$19.99,$20.2999,$19.9619
01/04/2024,$19.95,"21,035",$20.28,$20.28,$19.95
01/03/2024,$19.90,"16,099",$19.66,$20.10,$19.66
01/02/2024,$19.80,"33,779",$19.65,$20.00,$19.65
12/29/2023,$19.56,"57,060",$20.00,$20.20,$19.56
12/28/2023,$20.26,"26,513",$20.15,$20.29,$19.8501
12/27/2023,$20.07,"30,685",$20.33,$20.43,$19.92
12/26/2023,$20.16,"20,703",$20.13,$20.45,$19.80
12/22/2023,$20.01,"38,698",$20.30,$20.34,$20.00
12/21/2023,$20.30,"32,075",$20.81,$20.81,$20.30
12/20/2023,$20.50,"24,188",$20.60,$20.90,$20.50
12/19/2023,$20.67,"16,184",$20.79,$20.80,$20.60
12/18/2023,$20.75,"24,305",$20.97,$21.1435,$20.65
12/15/2023,$20.89,"11,697",$20.99,$21.00,$20.6454
12/14/2023,$20.80,"26,004",$20.94,$21.15,$20.75
12/13/2023,$21.10,"18,201",$20.33,$21.10,$20.33
12/12/2023,$20.23,"23,503",$20.20,$20.35,$20.01
12/11/2023,$20.20,"28,585",$20.27,$20.33,$20.07
12/08/2023,$20.57,"24,057",$20.30,$20.7025,$19.90
12/07/2023,$20.35,"9,210",$20.00,$20.8255,$20.00
12/06/2023,$20.00,"25,014",$20.59,$20.59,$20.00
12/05/2023,$20.50,"20,840",$20.77,$20.98,$20.25
12/04/2023,$20.74,"17,575",$20.95,$21.00,$20.65
12/01/2023,$20.95,"24,618",$21.23,$21.25,$20.70
11/30/2023,$21.23,"23,633",$20.90,$21.25,$20.55
11/29/2023,$20.64,"34,641",$21.04,$21.4304,$20.35
11/28/2023,$21.15,"36,325",$21.57,$21.58,$21.00
11/27/2023,$21.60,"27,227",$21.519,$21.60,$21.0101
11/24/2023,$21.70,"2,049",$21.032,$21.70,$21.03
11/22/2023,$21.50,"12,600",$21.62,$21.70,$21.00
11/21/2023,$21.50,"36,947",$21.20,$21.85,$20.81
11/20/2023,$21.13,"11,984",$20.57,$21.19,$20.57
11/17/2023,$20.53,"15,839",$19.84,$20.92,$19.79
11/16/2023,$19.84,"23,996",$18.98,$20.21,$18.60
11/15/2023,$18.90,"62,457",$18.87,$19.40,$18.65
11/14/2023,$18.65,"95,521",$18.62,$19.395,$18.45
11/13/2023,$18.51,"161,171",$18.50,$19.12,$18.4151
11/10/2023,$17.70,"306,628",$19.45,$19.45,$17.50
11/09/2023,$19.68,"16,595",$19.50,$20.00,$19.50
11/08/2023,$19.54,"80,630",$19.60,$20.1499,$19.40
11/07/2023,$19.58,"72,612",$20.24,$20.3349,$19.35
11/06/2023,$20.11,"49,258",$20.59,$20.9095,$19.7799
11/03/2023,$20.39,"31,978",$20.50,$20.9999,$20.25
11/02/2023,$20.50,"55,954",$19.95,$20.62,$19.75
11/01/2023,$19.85,"86,532",$20.99,$20.99,$19.70
10/31/2023,$20.77,"44,139",$20.35,$21.15,$20.11
10/30/2023,$20.24,"22,755",$20.26,$20.55,$20.06
10/27/2023,$20.00,"50,766",$20.47,$20.63,$19.9706
10/26/2023,$20.38,"36,147",$20.67,$20.69,$20.2101
10/25/2023,$20.67,"10,682",$20.74,$20.77,$20.2007
10/24/2023,$20.74,"6,366",$20.48,$20.80,$20.37
10/23/2023,$20.24,"26,768",$20.45,$20.45,$20.14
10/20/2023,$20.47,"64,269",$20.36,$20.67,$19.85
10/19/2023,$20.50,"27,430",$20.94,$20.94,$20.45
10/18/2023,$20.74,"36,209",$20.62,$20.78,$20.33
10/17/2023,$20.65,"103,467",$20.88,$20.88,$20.33
10/16/2023,$20.80,"33,706",$20.96,$20.96,$20.55
10/13/2023,$20.94,"14,180",$20.96,$21.0926,$20.6001
10/12/2023,$20.89,"24,946",$21.01,$21.209,$20.50
10/11/2023,$21.25,"37,648",$21.50,$21.9743,$21.15
10/10/2023,$21.40,"45,687",$21.61,$22.0826,$21.03
10/09/2023,$21.48,"53,425",$22.00,$22.00,$21.25
10/06/2023,$22.00,"48,628",$22.55,$22.55,$21.94
10/05/2023,$22.55,"51,606",$23.19,$23.19,$22.38
10/04/2023,$23.11,"15,820",$23.24,$23.27,$23.01
10/03/2023,$23.20,"20,938",$23.50,$23.7899,$23.0501
10/02/2023,$23.65,"17,342",$23.45,$23.80,$23.40
09/29/2023,$23.75,"29,151",$23.69,$23.77,$23.52
09/28/2023,$23.50,"7,004",$23.50,$23.78,$23.50
09/27/2023,$23.6495,"4,031",$23.83,$23.9999,$23.5899
09/26/2023,$23.74,"10,753",$23.82,$23.96,$23.61
09/25/2023,$23.85,"14,047",$23.75,$23.93,$23.75
09/22/2023,$24.00,"8,853",$24.00,$24.00,$23.7651
09/21/2023,$23.98,"4,877",$24.06,$24.13,$23.85
09/20/2023,$24.21,"5,262",$24.2717,$24.3001,$24.21
