Date,Close,Volume,Open,High,Low
03/01/2024,$9.77,"9,587,810",$10.85,$11.19,$9.75
02/29/2024,$10.69,"15,793,740",$9.50,$11.70,$9.31
02/28/2024,$9.83,"44,768,190",$11.30,$12.1199,$9.62
02/27/2024,$7.52,"15,710,140",$7.385,$7.835,$7.22
02/26/2024,$7.45,"3,586,528",$7.79,$8.1388,$7.22
02/23/2024,$7.81,"2,191,439",$7.70,$7.81,$7.375
02/22/2024,$7.58,"3,365,800",$7.44,$7.77,$7.07
02/21/2024,$7.33,"3,511,936",$7.30,$7.57,$6.99
02/20/2024,$7.18,"2,260,063",$7.00,$7.18,$6.7201
02/16/2024,$7.07,"2,101,782",$7.23,$7.31,$6.94
02/15/2024,$7.26,"2,889,108",$6.71,$7.28,$6.69
02/14/2024,$6.66,"1,752,326",$6.53,$6.80,$6.49
02/13/2024,$6.50,"2,284,984",$6.74,$6.74,$6.38
02/12/2024,$6.93,"2,888,419",$7.20,$7.35,$6.84
02/09/2024,$7.13,"3,485,485",$6.55,$7.445,$6.55
02/08/2024,$6.57,"1,869,558",$6.34,$6.60,$6.23
02/07/2024,$6.21,"2,213,713",$6.14,$6.35,$5.98
02/06/2024,$6.12,"2,231,925",$6.07,$6.325,$6.00
02/05/2024,$6.13,"1,598,070",$6.39,$6.39,$6.08
02/02/2024,$6.43,"1,787,757",$6.60,$6.60,$6.36
02/01/2024,$6.69,"1,224,269",$6.64,$6.89,$6.60
01/31/2024,$6.62,"2,254,286",$6.90,$7.20,$6.605
01/30/2024,$6.82,"1,842,703",$7.05,$7.06,$6.82
01/29/2024,$7.09,"1,709,262",$7.14,$7.14,$6.91
01/26/2024,$7.15,"1,727,561",$7.05,$7.64,$7.05
01/25/2024,$7.05,"1,834,076",$7.05,$7.22,$6.91
01/24/2024,$6.85,"1,769,071",$6.93,$7.0401,$6.795
01/23/2024,$6.82,"3,596,457",$7.34,$7.57,$6.75
01/22/2024,$7.235,"2,262,233",$7.30,$7.62,$7.04
01/19/2024,$7.32,"2,073,096",$7.35,$7.485,$7.29
01/18/2024,$7.39,"1,886,656",$7.20,$7.48,$7.08
01/17/2024,$7.28,"1,622,087",$7.06,$7.29,$6.99
01/16/2024,$7.29,"2,080,820",$7.46,$7.48,$7.125
01/12/2024,$7.57,"1,712,812",$7.70,$8.01,$7.46
01/11/2024,$7.74,"2,554,357",$8.05,$8.181,$7.52
01/10/2024,$8.24,"1,673,840",$8.23,$8.56,$8.07
01/09/2024,$8.13,"3,158,711",$8.45,$8.45,$8.06
01/08/2024,$8.55,"2,497,242",$8.42,$8.68,$8.315
01/05/2024,$8.44,"1,537,604",$8.20,$8.50,$8.15
01/04/2024,$8.35,"2,380,463",$8.26,$8.775,$8.06
01/03/2024,$8.26,"1,591,315",$8.01,$8.3801,$7.8707
01/02/2024,$8.19,"3,185,878",$8.90,$8.91,$8.00
12/29/2023,$8.90,"3,697,593",$8.66,$9.47,$8.65
12/28/2023,$8.72,"1,905,516",$8.80,$8.83,$8.49
12/27/2023,$8.70,"2,148,080",$8.80,$8.96,$8.6019
12/26/2023,$8.81,"1,734,219",$8.86,$8.985,$8.715
12/22/2023,$8.95,"2,971,180",$9.25,$9.46,$8.869
12/21/2023,$9.38,"2,047,039",$9.40,$9.49,$9.175
12/20/2023,$9.21,"3,463,587",$10.06,$10.06,$9.109
12/19/2023,$10.04,"2,829,720",$9.82,$10.3688,$9.82
12/18/2023,$9.90,"2,795,397",$9.81,$10.255,$9.55
12/15/2023,$9.99,"4,416,961",$10.62,$10.8398,$9.98
12/14/2023,$10.54,"4,920,105",$10.50,$11.09,$10.45
12/13/2023,$10.43,"5,235,417",$10.30,$10.60,$9.47
12/12/2023,$10.55,"9,442,990",$10.30,$10.81,$9.90
12/11/2023,$9.94,"4,720,236",$9.00,$10.03,$8.735
