Date,Close,Volume,Open,High,Low
03/01/2024,$23.97,"930,240",$23.09,$24.67,$22.92
02/29/2024,$22.88,"685,390",$23.56,$24.04,$22.56
02/28/2024,$23.05,"669,326",$24.06,$24.85,$23.01
02/27/2024,$24.32,"1,195,975",$23.62,$24.4897,$23.55
02/26/2024,$23.54,"521,703",$22.51,$23.775,$22.458
02/23/2024,$22.39,"414,734",$22.00,$22.7121,$21.8115
02/22/2024,$22.19,"427,995",$22.14,$22.9612,$21.83
02/21/2024,$22.05,"421,922",$22.59,$22.81,$21.77
02/20/2024,$22.70,"536,503",$22.56,$23.11,$22.30
02/16/2024,$22.86,"685,350",$23.57,$23.855,$22.69
02/15/2024,$23.90,"711,881",$24.19,$25.05,$23.69
02/14/2024,$23.85,"631,738",$23.98,$24.56,$23.59
02/13/2024,$23.42,"904,419",$24.15,$24.665,$22.72
02/12/2024,$25.00,"1,406,102",$24.89,$26.10,$24.89
02/09/2024,$25.00,"750,340",$25.78,$25.89,$24.85
02/08/2024,$25.38,"2,490,613",$23.58,$26.35,$23.35
02/07/2024,$23.59,"926,344",$22.65,$23.99,$22.4218
02/06/2024,$22.65,"702,944",$22.50,$22.9999,$22.0001
02/05/2024,$22.57,"1,163,382",$22.91,$24.24,$22.10
02/02/2024,$22.03,"1,510,517",$20.15,$22.60,$20.145
02/01/2024,$20.58,"644,871",$20.70,$21.06,$20.18
01/31/2024,$20.48,"935,054",$21.03,$21.6609,$20.37
01/30/2024,$21.16,"878,422",$22.78,$22.78,$20.46
01/29/2024,$23.15,"600,372",$22.26,$23.65,$22.15
01/26/2024,$22.28,"481,913",$22.35,$23.1391,$21.86
01/25/2024,$22.28,"808,773",$20.83,$22.34,$20.54
01/24/2024,$20.50,"505,938",$20.50,$20.8499,$20.05
01/23/2024,$20.22,"608,668",$20.36,$20.62,$19.93
01/22/2024,$20.47,"765,683",$19.47,$20.50,$19.47
01/19/2024,$19.48,"1,156,361",$20.84,$20.84,$19.11
01/18/2024,$20.48,"895,598",$20.79,$21.6402,$19.69
01/17/2024,$20.70,"803,554",$21.01,$21.38,$20.23
01/16/2024,$21.40,"1,184,492",$20.98,$21.71,$20.11
01/12/2024,$21.20,"582,969",$21.79,$21.845,$20.96
01/11/2024,$21.51,"1,038,462",$22.02,$22.095,$21.155
01/10/2024,$22.44,"866,313",$23.86,$24.07,$21.89
01/09/2024,$23.94,"597,216",$24.24,$24.62,$23.798
01/08/2024,$24.24,"1,081,616",$22.48,$24.47,$22.2939
01/05/2024,$22.30,"955,215",$21.88,$22.4903,$21.18
01/04/2024,$22.15,"572,604",$22.02,$22.62,$21.66
01/03/2024,$21.82,"632,291",$21.98,$23.33,$21.51
01/02/2024,$22.16,"972,911",$22.53,$23.04,$21.69
12/29/2023,$22.70,"729,394",$23.37,$23.50,$22.44
12/28/2023,$23.33,"485,971",$23.30,$23.725,$22.92
12/27/2023,$23.36,"600,316",$23.27,$23.77,$23.23
12/26/2023,$23.30,"912,921",$22.50,$23.45,$22.0696
12/22/2023,$22.14,"635,132",$22.14,$22.72,$21.995
12/21/2023,$22.14,"671,553",$21.60,$22.20,$21.0204
12/20/2023,$21.27,"2,578,118",$22.08,$22.59,$21.22
12/19/2023,$22.35,"848,737",$21.00,$22.41,$20.76
12/18/2023,$20.86,"732,355",$20.41,$20.9975,$19.64
12/15/2023,$20.55,"4,693,475",$20.91,$21.89,$20.08
12/14/2023,$20.54,"1,840,720",$19.05,$20.65,$18.60
12/13/2023,$18.80,"1,674,054",$18.33,$19.12,$18.235
12/12/2023,$18.13,"1,849,051",$17.08,$18.37,$17.04
12/11/2023,$17.08,"1,764,290",$16.38,$17.22,$16.13
12/08/2023,$16.23,"983,158",$15.91,$16.555,$15.35
12/07/2023,$15.99,"1,047,190",$14.74,$16.33,$14.74
12/06/2023,$14.74,"1,784,200",$15.74,$16.08,$14.651
12/05/2023,$15.63,"673,595",$15.87,$16.385,$15.48
12/04/2023,$16.06,"814,958",$16.00,$16.06,$15.18
12/01/2023,$16.02,"1,269,362",$15.55,$16.08,$15.171
11/30/2023,$16.05,"2,414,781",$14.50,$16.22,$14.145
11/29/2023,$13.88,"3,693,293",$13.60,$15.71,$13.31
11/28/2023,$13.69,"15,381,930",$18.51,$18.90,$9.55
11/27/2023,$18.70,"544,085",$18.67,$19.22,$18.40
11/24/2023,$18.67,"290,977",$18.32,$19.14,$18.32
11/22/2023,$18.44,"691,930",$17.45,$18.75,$17.20
11/21/2023,$17.62,"365,869",$17.71,$18.31,$17.5101
11/20/2023,$17.95,"1,702,563",$18.02,$18.46,$16.90
11/17/2023,$17.96,"699,832",$17.545,$18.08,$17.07
11/16/2023,$17.44,"550,157",$17.35,$17.51,$16.78
11/15/2023,$17.37,"909,556",$18.02,$18.46,$17.25
11/14/2023,$17.47,"735,800",$18.15,$18.45,$17.1454
11/13/2023,$17.42,"384,242",$17.51,$17.85,$16.80
11/10/2023,$17.88,"604,047",$18.25,$18.98,$17.15
11/09/2023,$17.52,"1,135,202",$17.31,$18.61,$17.10
11/08/2023,$17.19,"985,874",$16.47,$18.2399,$16.30
11/07/2023,$16.09,"443,123",$15.41,$16.35,$15.00
11/06/2023,$15.32,"373,292",$16.01,$16.27,$15.01
11/03/2023,$16.00,"696,392",$16.20,$16.48,$15.81
11/02/2023,$15.54,"358,701",$15.00,$15.59,$14.72
11/01/2023,$14.75,"595,158",$14.43,$15.01,$14.0901
10/31/2023,$14.26,"415,067",$13.63,$14.46,$13.28
10/30/2023,$13.76,"522,352",$12.83,$14.00,$12.71
10/27/2023,$12.80,"669,684",$12.89,$12.935,$12.455
10/26/2023,$12.80,"454,272",$12.73,$13.11,$12.61
10/25/2023,$12.81,"409,309",$12.58,$13.25,$12.27
10/24/2023,$12.74,"750,586",$12.67,$13.57,$12.54
