Date,Close,Volume,Open,High,Low
03/01/2024,$18.89,"370,994",$18.68,$19.00,$18.51
02/29/2024,$18.64,"996,804",$18.51,$18.79,$18.415
02/28/2024,$18.45,"455,338",$18.60,$18.64,$18.33
02/27/2024,$18.70,"471,501",$18.59,$18.77,$18.54
02/26/2024,$18.57,"934,266",$19.20,$19.20,$18.425
02/23/2024,$19.13,"1,250,687",$19.35,$19.36,$19.055
02/22/2024,$19.35,"559,003",$19.23,$19.415,$19.07
02/21/2024,$19.22,"473,275",$19.23,$19.28,$19.03
02/20/2024,$19.27,"694,947",$19.04,$19.46,$19.04
02/16/2024,$19.01,"1,598,636",$19.40,$19.42,$18.95
02/15/2024,$19.36,"1,015,513",$19.01,$19.545,$18.71
02/14/2024,$18.91,"2,094,821",$20.64,$21.1399,$18.26
02/13/2024,$20.92,"818,929",$21.12,$21.18,$20.80
02/12/2024,$21.46,"620,925",$21.10,$21.77,$21.10
02/09/2024,$21.08,"754,681",$20.71,$21.34,$20.64
02/08/2024,$20.65,"445,821",$20.30,$20.665,$20.12
02/07/2024,$20.37,"244,824",$20.27,$20.415,$20.21
02/06/2024,$20.25,"456,133",$19.62,$20.28,$19.50
02/05/2024,$19.55,"591,824",$19.59,$19.64,$19.26
02/02/2024,$19.68,"416,987",$19.84,$19.84,$19.54
02/01/2024,$20.01,"694,283",$20.15,$20.15,$19.87
01/31/2024,$20.02,"341,589",$20.21,$20.33,$19.96
01/30/2024,$20.08,"203,343",$20.14,$20.23,$19.97
01/29/2024,$20.31,"301,290",$19.90,$20.31,$19.76
01/26/2024,$19.93,"418,703",$20.15,$20.16,$19.83
01/25/2024,$20.00,"191,818",$20.47,$20.47,$19.98
01/24/2024,$20.29,"247,870",$20.62,$20.77,$20.28
01/23/2024,$20.46,"323,610",$20.23,$20.505,$20.13
01/22/2024,$20.22,"405,566",$20.51,$20.51,$19.97
01/19/2024,$20.79,"191,578",$20.89,$20.89,$20.49
01/18/2024,$20.86,"250,652",$20.68,$20.90,$20.66
01/17/2024,$20.49,"281,325",$20.54,$20.54,$20.15
01/16/2024,$20.77,"266,191",$20.91,$21.00,$20.50
01/12/2024,$21.00,"254,379",$21.28,$21.54,$20.90
01/11/2024,$21.13,"323,805",$21.15,$21.16,$20.79
01/10/2024,$21.13,"136,172",$21.11,$21.25,$21.0724
01/09/2024,$21.05,"175,595",$21.28,$21.28,$20.95
01/08/2024,$21.39,"319,414",$21.08,$21.39,$21.08
01/05/2024,$21.33,"369,926",$21.34,$21.41,$21.04
01/04/2024,$21.39,"573,830",$20.88,$21.42,$20.75
01/03/2024,$20.85,"256,076",$20.98,$21.03,$20.63
01/02/2024,$21.25,"329,445",$21.31,$21.54,$21.17
12/29/2023,$21.59,"143,859",$21.68,$21.83,$21.545
12/28/2023,$21.62,"194,385",$21.68,$21.75,$21.59
12/27/2023,$21.67,"152,491",$21.56,$21.80,$21.56
12/26/2023,$21.64,"108,250",$21.51,$21.81,$21.49
12/22/2023,$21.51,"153,895",$21.56,$21.72,$21.40
12/21/2023,$21.50,"244,783",$21.14,$21.52,$21.14
12/20/2023,$20.95,"400,310",$21.45,$21.60,$20.93
12/19/2023,$21.43,"326,321",$20.90,$21.46,$20.90
12/18/2023,$20.89,"208,529",$20.85,$20.945,$20.68
12/15/2023,$20.81,"507,246",$21.02,$21.20,$20.61
12/14/2023,$21.13,"847,817",$20.77,$21.385,$20.58
12/13/2023,$20.60,"517,645",$20.19,$20.645,$20.065
12/12/2023,$20.28,"248,701",$20.34,$20.37,$20.16
12/11/2023,$20.31,"286,202",$20.50,$20.63,$20.28
12/08/2023,$20.58,"195,470",$20.43,$20.67,$20.43
12/07/2023,$20.50,"298,044",$20.44,$20.62,$20.41
12/06/2023,$20.42,"492,477",$20.24,$20.68,$20.24
12/05/2023,$20.15,"313,472",$20.29,$20.61,$20.14
12/04/2023,$20.46,"240,965",$20.23,$20.58,$20.21
12/01/2023,$20.43,"431,252",$19.80,$20.45,$19.80
11/30/2023,$19.88,"608,556",$19.49,$19.95,$19.36
11/29/2023,$19.46,"1,501,671",$19.99,$20.015,$18.8922
11/28/2023,$20.53,"411,225",$20.71,$20.79,$20.48
11/27/2023,$20.81,"272,787",$20.95,$20.95,$20.68
11/24/2023,$21.06,"187,542",$20.96,$21.17,$20.9416
11/22/2023,$20.92,"206,571",$21.00,$21.00,$20.78
11/21/2023,$20.95,"221,861",$20.84,$21.115,$20.84
11/20/2023,$21.02,"354,764",$20.98,$21.10,$20.43
11/17/2023,$21.01,"354,763",$20.95,$21.1908,$20.89
