Date,Close,Volume,Open,High,Low
03/01/2024,$1.63,"16,100,470",$1.60,$1.67,$1.53
02/29/2024,$1.57,"26,754,240",$1.85,$1.90,$1.54
02/28/2024,$1.85,"31,786,310",$1.90,$1.98,$1.80
02/27/2024,$1.75,"56,073,290",$2.095,$2.17,$1.72
02/26/2024,$1.97,"36,298,280",$1.84,$2.08,$1.83
02/23/2024,$1.79,"16,931,520",$1.96,$2.01,$1.78
02/22/2024,$2.03,"13,367,530",$1.90,$2.04,$1.90
02/21/2024,$1.89,"14,164,630",$1.98,$2.03,$1.86
02/20/2024,$2.15,"32,214,830",$2.31,$2.43,$1.9716
02/16/2024,$2.30,"22,857,250",$2.35,$2.54,$2.21
02/15/2024,$2.31,"38,642,700",$2.39,$2.415,$2.09
02/14/2024,$2.28,"48,658,480",$1.96,$2.35,$1.935
02/13/2024,$1.73,"25,234,590",$1.70,$1.8275,$1.66
02/12/2024,$1.87,"41,347,980",$1.59,$2.01,$1.58
02/09/2024,$1.60,"30,025,710",$1.73,$1.80,$1.5345
02/08/2024,$1.54,"25,032,640",$1.40,$1.56,$1.35
02/07/2024,$1.28,"9,015,305",$1.29,$1.30,$1.23
02/06/2024,$1.27,"10,743,690",$1.23,$1.31,$1.2012
02/05/2024,$1.20,"14,400,140",$1.31,$1.34,$1.19
02/02/2024,$1.33,"8,745,232",$1.36,$1.38,$1.28
02/01/2024,$1.38,"18,170,630",$1.46,$1.46,$1.32
01/31/2024,$1.435,"7,734,231",$1.46,$1.54,$1.43
01/30/2024,$1.49,"18,952,650",$1.65,$1.70,$1.47
01/29/2024,$1.64,"17,882,720",$1.69,$1.77,$1.56
01/26/2024,$1.62,"23,028,820",$1.55,$1.70,$1.51
01/25/2024,$1.45,"14,304,540",$1.53,$1.54,$1.4201
01/24/2024,$1.55,"9,259,510",$1.62,$1.67,$1.54
01/23/2024,$1.56,"20,340,930",$1.68,$1.71,$1.52
01/22/2024,$1.73,"8,609,354",$1.73,$1.8097,$1.70
01/19/2024,$1.80,"15,778,250",$1.82,$1.84,$1.65
01/18/2024,$1.84,"13,202,090",$2.00,$2.06,$1.83
01/17/2024,$1.93,"11,083,320",$1.98,$1.99,$1.86
01/16/2024,$2.10,"15,885,390",$1.94,$2.17,$1.85
01/12/2024,$1.94,"20,648,340",$2.06,$2.12,$1.91
01/11/2024,$2.13,"50,671,020",$2.44,$2.63,$2.0602
01/10/2024,$2.14,"13,771,750",$2.09,$2.265,$2.005
01/09/2024,$2.13,"15,365,250",$2.31,$2.34,$2.08
01/08/2024,$2.28,"21,181,840",$2.12,$2.33,$1.945
01/05/2024,$2.11,"15,001,240",$2.17,$2.19,$2.02
01/04/2024,$2.18,"22,007,820",$2.07,$2.3686,$1.9801
01/03/2024,$2.04,"31,420,560",$1.88,$2.16,$1.86
01/02/2024,$2.16,"31,624,330",$2.525,$2.525,$2.12
12/29/2023,$2.31,"41,864,790",$2.92,$2.96,$2.20
12/28/2023,$2.81,"24,103,670",$2.965,$3.04,$2.75
12/27/2023,$3.19,"36,305,290",$3.23,$3.50,$3.03
12/26/2023,$3.03,"26,197,940",$3.13,$3.20,$2.78
12/22/2023,$3.17,"46,307,070",$2.62,$3.36,$2.62
12/21/2023,$2.58,"40,701,280",$2.91,$2.91,$2.42
12/20/2023,$2.57,"50,981,750",$2.34,$3.18,$2.30
12/19/2023,$2.23,"31,305,930",$2.35,$2.37,$2.06
12/18/2023,$2.20,"28,891,240",$1.87,$2.25,$1.85
12/15/2023,$1.92,"29,119,460",$1.80,$1.9599,$1.71
12/14/2023,$1.74,"24,528,630",$1.39,$1.755,$1.39
12/13/2023,$1.32,"9,101,670",$1.23,$1.32,$1.13
12/12/2023,$1.22,"5,456,275",$1.28,$1.32,$1.1801
12/11/2023,$1.27,"8,415,770",$1.37,$1.38,$1.25
12/08/2023,$1.42,"5,517,343",$1.47,$1.51,$1.41
12/07/2023,$1.46,"6,805,896",$1.57,$1.58,$1.45
12/06/2023,$1.56,"15,019,910",$1.60,$1.68,$1.55
12/05/2023,$1.55,"11,301,040",$1.72,$1.73,$1.55
12/04/2023,$1.70,"18,451,850",$1.765,$1.80,$1.62
12/01/2023,$1.59,"10,602,280",$1.55,$1.60,$1.435
11/30/2023,$1.51,"7,027,567",$1.63,$1.64,$1.50
11/29/2023,$1.60,"6,454,397",$1.73,$1.84,$1.58
11/28/2023,$1.72,"5,077,911",$1.66,$1.76,$1.59
11/27/2023,$1.69,"3,926,425",$1.69,$1.75,$1.6314
11/24/2023,$1.73,"1,796,252",$1.63,$1.73,$1.6214
11/22/2023,$1.61,"1,543,270",$1.63,$1.65,$1.58
11/21/2023,$1.63,"1,640,285",$1.66,$1.67,$1.6101
11/20/2023,$1.69,"2,367,553",$1.72,$1.75,$1.67
11/17/2023,$1.71,"909,160",$1.67,$1.72,$1.64
11/16/2023,$1.67,"1,873,248",$1.68,$1.705,$1.65
11/15/2023,$1.76,"2,313,100",$1.68,$1.78,$1.64
11/14/2023,$1.65,"2,583,365",$1.59,$1.675,$1.56
11/13/2023,$1.61,"1,857,940",$1.67,$1.67,$1.59
11/10/2023,$1.66,"3,057,582",$1.62,$1.66,$1.53
11/09/2023,$1.57,"9,648,172",$1.79,$1.9699,$1.5201
11/08/2023,$1.74,"1,372,688",$1.85,$1.855,$1.74
11/07/2023,$1.85,"2,040,572",$1.87,$1.87,$1.77
11/06/2023,$1.87,"1,543,690",$1.88,$1.99,$1.855
11/03/2023,$1.87,"1,527,342",$1.88,$1.94,$1.85
11/02/2023,$1.91,"1,279,813",$1.90,$1.95,$1.86
11/01/2023,$1.80,"3,675,959",$1.96,$1.98,$1.72
10/31/2023,$1.92,"7,187,914",$2.03,$2.05,$1.885
10/30/2023,$2.02,"3,160,579",$1.94,$2.05,$1.9113
10/27/2023,$1.91,"1,896,661",$1.93,$2.01,$1.90
10/26/2023,$1.92,"2,692,641",$1.96,$2.09,$1.91
10/25/2023,$1.98,"2,492,228",$1.97,$2.0202,$1.9139
10/24/2023,$1.93,"4,444,977",$1.87,$2.025,$1.815
10/23/2023,$1.71,"2,068,228",$1.79,$1.79,$1.69
10/20/2023,$1.69,"1,239,306",$1.71,$1.775,$1.68
10/19/2023,$1.71,"1,875,594",$1.76,$1.76,$1.65
10/18/2023,$1.75,"1,013,381",$1.90,$1.91,$1.75
10/17/2023,$1.92,"1,368,458",$1.93,$1.96,$1.885
10/16/2023,$1.95,"2,111,232",$1.83,$1.95,$1.82
10/13/2023,$1.80,"996,376",$1.78,$1.81,$1.765
10/12/2023,$1.78,"952,832",$1.84,$1.84,$1.75
10/11/2023,$1.83,"800,591",$1.87,$1.895,$1.81
10/10/2023,$1.88,"1,140,550",$1.87,$1.93,$1.87
10/09/2023,$1.89,"866,765",$1.85,$1.925,$1.83
10/06/2023,$1.88,"1,209,246",$1.84,$1.89,$1.82
10/05/2023,$1.86,"643,971",$1.88,$1.90,$1.845
10/04/2023,$1.88,"1,417,228",$1.81,$1.895,$1.77
10/03/2023,$1.81,"1,973,115",$1.81,$1.825,$1.75
10/02/2023,$1.84,"1,868,512",$1.85,$1.91,$1.81
09/29/2023,$1.82,"1,607,091",$1.78,$1.835,$1.765
09/28/2023,$1.74,"2,173,925",$1.68,$1.81,$1.655
09/27/2023,$1.68,"1,122,180",$1.72,$1.745,$1.64
09/26/2023,$1.68,"2,377,302",$1.74,$1.77,$1.67
09/25/2023,$1.75,"959,408",$1.78,$1.805,$1.735
09/22/2023,$1.80,"1,013,837",$1.82,$1.8664,$1.78
09/21/2023,$1.79,"2,116,609",$1.78,$1.81,$1.73
09/20/2023,$1.81,"1,644,788",$1.84,$1.875,$1.79
09/19/2023,$1.86,"1,492,180",$1.88,$1.90,$1.81
09/18/2023,$1.86,"1,158,619",$1.90,$1.925,$1.83
09/15/2023,$1.88,"2,251,732",$1.87,$1.90,$1.82
09/14/2023,$1.87,"1,239,674",$1.83,$1.91,$1.82
09/13/2023,$1.80,"2,346,253",$1.86,$1.92,$1.79
09/12/2023,$1.85,"2,411,484",$1.90,$1.97,$1.84
09/11/2023,$1.88,"949,795",$1.92,$1.94,$1.85
09/08/2023,$1.89,"754,211",$1.92,$1.9301,$1.86
