Date,Close,Volume,Open,High,Low
03/01/2024,$50.15,"163,658",$50.72,$50.72,$49.50
02/29/2024,$50.84,"276,175",$51.36,$51.85,$50.61
02/28/2024,$50.55,"78,753",$51.20,$51.43,$50.55
02/27/2024,$51.54,"74,477",$51.49,$51.67,$51.30
02/26/2024,$51.42,"108,398",$50.92,$51.50,$50.92
02/23/2024,$51.10,"153,270",$51.29,$51.59,$50.87
02/22/2024,$51.19,"99,192",$51.30,$51.65,$50.90
02/21/2024,$51.13,"149,608",$51.31,$51.5975,$50.995
02/20/2024,$51.50,"133,871",$51.07,$52.08,$51.07
02/16/2024,$51.57,"132,847",$51.34,$51.93,$50.68
02/15/2024,$51.49,"160,517",$51.21,$52.05,$50.91
02/14/2024,$51.15,"164,830",$51.05,$51.96,$50.50
02/13/2024,$51.05,"194,687",$51.28,$51.46,$50.14
02/12/2024,$52.64,"198,980",$51.31,$53.23,$51.31
02/09/2024,$51.53,"169,011",$50.29,$51.68,$49.76
02/08/2024,$50.25,"163,120",$49.70,$50.48,$49.52
02/07/2024,$49.75,"170,918",$49.21,$49.76,$48.85
02/06/2024,$49.32,"147,674",$49.20,$49.73,$48.85
02/05/2024,$49.25,"188,169",$49.55,$49.65,$48.97
02/02/2024,$49.93,"189,088",$49.57,$50.23,$49.50
02/01/2024,$50.45,"221,908",$52.08,$52.70,$49.37
01/31/2024,$51.78,"169,821",$53.71,$53.78,$51.75
01/30/2024,$53.99,"230,113",$53.78,$54.29,$53.27
01/29/2024,$54.00,"202,046",$53.37,$54.00,$52.30
01/26/2024,$53.45,"257,984",$53.49,$53.95,$52.73
01/25/2024,$53.015,"382,644",$49.75,$53.40,$49.74
01/24/2024,$51.90,"284,213",$52.59,$53.32,$51.67
01/23/2024,$52.43,"254,698",$53.23,$53.35,$52.19
01/22/2024,$52.90,"287,177",$51.67,$52.98,$51.67
01/19/2024,$51.37,"145,695",$50.93,$51.44,$50.42
01/18/2024,$50.70,"104,802",$50.38,$50.87,$50.14
01/17/2024,$50.35,"151,594",$49.80,$50.57,$49.80
01/16/2024,$50.51,"156,359",$50.77,$51.10,$50.31
01/12/2024,$51.26,"162,484",$52.19,$52.61,$51.05
01/11/2024,$51.84,"224,798",$50.91,$51.85,$50.25
01/10/2024,$51.01,"146,648",$50.28,$51.02,$49.91
01/09/2024,$50.37,"121,398",$50.12,$50.45,$49.72
01/08/2024,$50.70,"165,081",$50.53,$51.03,$50.01
01/05/2024,$50.59,"217,482",$50.49,$51.78,$47.821
01/04/2024,$50.79,"217,674",$50.74,$51.46,$50.67
01/03/2024,$50.58,"192,213",$52.37,$52.525,$50.57
01/02/2024,$52.54,"216,715",$52.61,$53.27,$52.28
12/29/2023,$52.93,"212,884",$54.05,$54.74,$52.67
12/28/2023,$53.93,"121,345",$53.84,$54.23,$53.84
12/27/2023,$53.84,"102,037",$53.75,$54.14,$52.835
12/26/2023,$53.87,"81,886",$53.43,$54.225,$53.14
12/22/2023,$53.36,"93,866",$53.28,$53.98,$53.16
12/21/2023,$53.10,"157,145",$53.41,$53.435,$52.6965
12/20/2023,$52.51,"264,025",$53.46,$54.29,$52.47
12/19/2023,$53.45,"124,439",$52.87,$53.79,$52.672
12/18/2023,$52.67,"154,887",$52.95,$53.34,$52.49
12/15/2023,$52.49,"612,887",$52.97,$52.97,$51.53
12/14/2023,$52.61,"276,043",$53.56,$54.96,$52.535
12/13/2023,$52.54,"244,486",$52.40,$52.88,$50.67
12/12/2023,$52.22,"130,385",$52.79,$52.79,$52.04
12/11/2023,$52.69,"104,613",$52.59,$52.73,$52.15
12/08/2023,$52.41,"126,068",$52.61,$53.125,$52.18
12/07/2023,$52.48,"189,437",$52.17,$52.49,$50.946
12/06/2023,$51.86,"280,952",$51.67,$53.03,$51.67
12/05/2023,$51.42,"101,880",$51.76,$51.76,$50.574
12/04/2023,$51.73,"209,778",$50.36,$51.805,$50.33
12/01/2023,$51.16,"262,866",$49.59,$51.41,$49.07
11/30/2023,$49.59,"227,492",$49.57,$50.36,$49.11
11/29/2023,$49.40,"189,154",$49.77,$50.50,$49.38
11/28/2023,$49.67,"150,403",$49.50,$49.68,$48.51
