Date,Close,Volume,Open,High,Low
03/01/2024,$16.00,"22,562,790",$15.90,$16.11,$15.65
02/29/2024,$15.86,"34,166,760",$15.52,$15.94,$15.44
02/28/2024,$15.47,"28,772,640",$15.72,$16.12,$15.43
02/27/2024,$15.91,"56,116,030",$16.01,$16.21,$15.49
02/26/2024,$14.78,"25,467,280",$15.15,$15.25,$14.77
02/23/2024,$15.23,"26,825,190",$15.04,$15.46,$14.95
02/22/2024,$15.21,"39,773,450",$15.55,$15.6088,$15.095
02/21/2024,$14.71,"18,644,550",$14.62,$14.75,$14.54
02/20/2024,$14.76,"24,917,130",$14.75,$14.83,$14.44
02/16/2024,$14.80,"24,237,570",$15.02,$15.12,$14.77
02/15/2024,$15.22,"26,700,110",$15.36,$15.61,$15.135
02/14/2024,$15.27,"25,927,060",$15.26,$15.36,$14.84
02/13/2024,$15.12,"26,733,650",$15.03,$15.24,$14.90
02/12/2024,$15.49,"28,026,380",$15.33,$15.635,$15.275
02/09/2024,$15.31,"45,686,610",$15.68,$15.74,$14.96
02/08/2024,$15.69,"25,544,970",$15.64,$15.79,$15.4246
02/07/2024,$15.72,"27,082,350",$16.00,$16.03,$15.61
02/06/2024,$15.97,"22,673,050",$15.76,$16.13,$15.555
02/05/2024,$15.83,"32,575,510",$16.21,$16.25,$15.64
02/02/2024,$16.44,"32,332,120",$16.63,$16.66,$16.14
02/01/2024,$16.80,"41,876,580",$17.09,$17.24,$16.22
01/31/2024,$16.58,"37,512,810",$16.40,$17.18,$16.35
01/30/2024,$16.47,"42,567,930",$16.805,$17.20,$16.39
01/29/2024,$16.55,"37,138,350",$15.70,$16.55,$15.69
01/26/2024,$15.83,"39,896,550",$16.50,$16.51,$15.81
01/25/2024,$16.47,"40,046,690",$16.28,$16.50,$16.21
01/24/2024,$16.08,"35,602,630",$16.50,$16.75,$16.0601
01/23/2024,$16.25,"40,097,230",$16.51,$16.78,$16.21
01/22/2024,$16.64,"54,154,950",$17.50,$17.55,$16.385
01/19/2024,$17.33,"21,539,360",$17.22,$17.35,$16.82
01/18/2024,$17.28,"31,558,380",$17.12,$17.65,$16.84
01/17/2024,$16.86,"15,919,010",$16.57,$16.98,$16.57
01/16/2024,$17.03,"24,477,240",$16.65,$17.10,$16.53
01/12/2024,$16.96,"24,801,370",$17.53,$17.53,$16.74
01/11/2024,$17.53,"23,338,930",$17.74,$17.78,$17.155
01/10/2024,$17.78,"24,717,360",$17.26,$17.83,$17.1906
01/09/2024,$17.38,"21,012,980",$17.05,$17.56,$17.05
01/08/2024,$17.35,"26,151,640",$17.41,$17.575,$17.04
01/05/2024,$17.33,"34,785,400",$16.90,$17.56,$16.85
01/04/2024,$16.85,"33,978,610",$16.35,$17.095,$16.30
01/03/2024,$16.35,"43,978,500",$16.76,$16.90,$16.26
01/02/2024,$17.29,"36,400,240",$18.31,$18.34,$17.21
12/29/2023,$18.54,"25,436,670",$18.64,$18.88,$18.53
12/28/2023,$18.67,"17,540,740",$18.62,$18.76,$18.54
12/27/2023,$18.54,"25,594,220",$18.40,$18.61,$18.20
12/26/2023,$18.61,"26,668,600",$18.79,$18.86,$18.36
12/22/2023,$18.93,"38,240,400",$19.14,$19.74,$18.70
12/21/2023,$19.19,"63,822,540",$18.50,$19.495,$18.33
12/20/2023,$18.07,"34,109,660",$18.64,$18.80,$18.06
12/19/2023,$18.71,"27,102,180",$18.45,$18.86,$18.395
12/18/2023,$18.36,"26,063,310",$18.53,$18.715,$18.21
12/15/2023,$18.61,"36,118,110",$18.68,$18.95,$18.55
12/14/2023,$18.78,"41,074,520",$18.50,$19.225,$18.48
12/13/2023,$18.27,"38,465,370",$17.75,$18.30,$17.62
12/12/2023,$17.82,"22,240,590",$17.64,$18.05,$17.61
12/11/2023,$17.63,"34,179,170",$18.01,$18.06,$17.46
12/08/2023,$18.11,"32,726,960",$17.92,$18.14,$17.84
12/07/2023,$17.93,"33,502,930",$17.55,$18.0399,$17.425
12/06/2023,$17.48,"43,374,510",$16.82,$17.82,$16.80
12/05/2023,$16.50,"27,681,690",$16.20,$16.62,$16.15
12/04/2023,$16.35,"36,854,500",$15.75,$16.405,$15.75
12/01/2023,$15.76,"31,943,610",$15.12,$15.77,$15.03
11/30/2023,$15.06,"30,451,050",$15.09,$15.19,$14.83
11/29/2023,$14.91,"27,451,420",$14.81,$15.30,$14.76
11/28/2023,$14.63,"18,419,180",$14.68,$14.78,$14.48
11/27/2023,$14.62,"21,496,810",$14.38,$14.74,$14.355
11/24/2023,$14.41,"8,927,286",$14.27,$14.46,$14.12
11/22/2023,$14.47,"26,078,070",$14.50,$14.84,$14.41
11/21/2023,$14.20,"26,656,000",$14.32,$14.36,$13.88
11/20/2023,$14.57,"23,898,610",$14.75,$14.9999,$14.55
11/17/2023,$14.79,"25,676,520",$14.92,$15.0101,$14.64
11/16/2023,$14.81,"31,253,670",$14.49,$14.825,$14.41
11/15/2023,$14.57,"45,858,280",$14.19,$14.65,$14.15
11/14/2023,$13.89,"46,888,760",$13.578,$14.12,$13.33
11/13/2023,$12.78,"19,364,740",$12.63,$12.83,$12.45
11/10/2023,$12.76,"21,992,410",$12.30,$12.805,$12.23
11/09/2023,$12.31,"22,164,820",$12.80,$12.92,$12.25
11/08/2023,$12.79,"30,333,400",$12.61,$12.97,$12.51
11/07/2023,$12.56,"22,553,020",$12.25,$12.57,$12.16
11/06/2023,$12.26,"30,580,910",$12.65,$12.7407,$12.02
11/03/2023,$12.55,"43,517,850",$12.19,$12.82,$12.16
11/02/2023,$11.90,"30,172,100",$11.62,$12.035,$11.61
11/01/2023,$11.30,"26,672,020",$11.45,$11.57,$11.115
10/31/2023,$11.46,"25,679,050",$11.43,$11.48,$11.10
10/30/2023,$11.40,"28,263,930",$11.36,$11.50,$11.191
10/27/2023,$11.13,"25,950,990",$11.56,$11.58,$11.01
10/26/2023,$11.37,"38,025,160",$11.64,$11.74,$10.95
10/25/2023,$11.27,"22,471,310",$11.32,$11.47,$11.24
10/24/2023,$11.45,"23,219,130",$11.51,$11.73,$11.395
10/23/2023,$11.38,"41,028,440",$10.98,$11.64,$10.84
10/20/2023,$11.03,"33,490,690",$11.24,$11.39,$11.02
10/19/2023,$11.39,"36,476,130",$11.59,$11.72,$11.3414
10/18/2023,$11.69,"37,759,490",$12.30,$12.34,$11.67
10/17/2023,$12.50,"22,430,860",$12.27,$12.66,$12.225
10/16/2023,$12.36,"28,778,270",$12.47,$12.53,$12.24
10/13/2023,$12.26,"25,978,350",$12.38,$12.52,$12.15
10/12/2023,$12.60,"28,842,140",$12.69,$12.915,$12.34
10/11/2023,$12.65,"25,157,690",$12.92,$13.01,$12.49
10/10/2023,$12.90,"26,502,370",$12.82,$13.29,$12.80
10/09/2023,$12.69,"37,982,260",$12.66,$12.76,$12.28
10/06/2023,$13.26,"26,188,700",$13.07,$13.47,$12.99
10/05/2023,$13.30,"24,169,120",$13.27,$13.65,$13.10
10/04/2023,$13.09,"35,704,570",$12.84,$13.23,$12.82
10/03/2023,$12.74,"53,693,580",$13.37,$13.51,$12.65
10/02/2023,$13.64,"38,918,640",$13.50,$14.1742,$13.4203
09/29/2023,$13.72,"91,954,910",$14.65,$15.24,$13.24
09/28/2023,$14.44,"45,202,150",$13.66,$14.64,$13.64
09/27/2023,$13.98,"25,160,180",$13.89,$14.18,$13.721
09/26/2023,$13.76,"26,210,660",$13.67,$13.97,$13.65
09/25/2023,$13.90,"29,506,450",$13.55,$14.05,$13.38
09/22/2023,$14.05,"21,300,560",$14.66,$14.67,$14.01
09/21/2023,$14.45,"22,663,700",$14.45,$14.69,$14.27
09/20/2023,$14.65,"22,637,100",$15.24,$15.295,$14.635
09/19/2023,$15.09,"23,552,320",$15.06,$15.58,$15.00
09/18/2023,$15.04,"19,251,100",$15.14,$15.21,$14.98
09/15/2023,$15.19,"24,302,490",$15.54,$15.62,$15.11
09/14/2023,$15.63,"24,656,690",$15.35,$15.78,$15.26
09/13/2023,$15.02,"23,991,230",$15.16,$15.27,$14.92
09/12/2023,$15.46,"15,494,980",$15.32,$15.635,$15.225
09/11/2023,$15.48,"18,092,780",$15.56,$15.60,$14.95
09/08/2023,$15.30,"13,704,360",$15.21,$15.52,$15.09
09/07/2023,$15.30,"18,761,360",$15.25,$15.3575,$14.985
09/06/2023,$15.43,"19,238,580",$15.11,$15.49,$15.035
09/05/2023,$15.37,"31,023,170",$15.57,$15.57,$14.92
09/01/2023,$15.73,"16,767,250",$15.83,$16.06,$15.58
08/31/2023,$15.82,"21,797,560",$15.85,$16.04,$15.69
08/30/2023,$15.87,"18,121,720",$16.17,$16.24,$15.83
08/29/2023,$16.04,"17,645,010",$15.59,$16.12,$15.425
08/28/2023,$15.71,"19,018,070",$15.92,$16.09,$15.68
08/25/2023,$15.90,"19,060,520",$15.72,$15.99,$15.545
08/24/2023,$15.71,"21,392,510",$16.17,$16.33,$15.70
08/23/2023,$16.25,"29,806,790",$15.70,$16.385,$15.49
08/22/2023,$15.66,"20,261,110",$15.79,$15.86,$15.43
08/21/2023,$15.71,"18,829,040",$15.77,$15.85,$15.50
08/18/2023,$15.59,"25,707,670",$15.44,$15.84,$15.39
08/17/2023,$15.80,"27,220,480",$16.26,$16.29,$15.80
08/16/2023,$16.18,"22,550,580",$16.48,$16.61,$16.16
08/15/2023,$16.61,"17,912,190",$16.65,$16.825,$16.49
08/14/2023,$16.83,"20,464,030",$16.60,$16.85,$16.475
08/11/2023,$16.79,"26,491,300",$17.12,$17.15,$16.68
08/10/2023,$17.36,"22,120,830",$17.46,$17.71,$17.18
08/09/2023,$17.27,"24,718,720",$17.99,$18.13,$17.26
08/08/2023,$17.92,"21,033,750",$17.755,$17.95,$17.51
08/07/2023,$18.04,"29,955,240",$17.39,$18.05,$17.39
08/04/2023,$17.16,"26,799,300",$17.62,$17.65,$17.08
08/03/2023,$17.56,"22,136,890",$17.57,$17.90,$17.39
08/02/2023,$17.72,"25,360,460",$17.62,$17.94,$17.55
08/01/2023,$17.99,"42,662,820",$18.16,$18.41,$17.48
07/31/2023,$18.84,"27,014,230",$18.76,$18.86,$18.50
07/28/2023,$18.49,"24,508,410",$18.365,$18.72,$18.36
07/27/2023,$18.22,"50,553,850",$18.62,$18.81,$18.085
07/26/2023,$17.65,"23,856,640",$17.50,$17.7399,$17.33
07/25/2023,$17.45,"26,368,830",$17.71,$17.7784,$17.34
07/24/2023,$17.85,"28,805,280",$17.88,$18.0099,$17.22
07/21/2023,$17.88,"27,228,260",$17.60,$17.90,$17.57
07/20/2023,$17.65,"32,239,350",$18.00,$18.1576,$17.61
07/19/2023,$18.15,"35,920,010",$18.49,$18.50,$17.89
07/18/2023,$18.25,"39,202,650",$17.89,$18.58,$17.85
07/17/2023,$17.71,"35,689,420",$17.35,$17.98,$17.34
07/14/2023,$17.23,"41,398,140",$17.74,$17.94,$17.10
07/13/2023,$17.75,"49,645,380",$18.30,$18.48,$17.72
07/12/2023,$18.22,"55,581,840",$19.16,$19.16,$18.19
07/11/2023,$18.90,"43,404,860",$19.31,$19.38,$18.66
07/10/2023,$19.30,"39,739,690",$19.03,$19.39,$18.9708
07/07/2023,$19.04,"44,380,200",$18.82,$19.46,$18.82
07/06/2023,$18.86,"56,593,480",$18.83,$19.04,$18.15
07/05/2023,$19.21,"55,764,780",$18.93,$19.55,$18.80
07/03/2023,$18.96,"44,829,020",$18.55,$19.19,$18.432
06/30/2023,$18.83,"115,111,200",$17.80,$18.88,$17.62
06/29/2023,$17.16,"60,301,630",$17.25,$17.75,$16.88
06/28/2023,$17.29,"96,976,950",$15.94,$17.485,$15.88
06/27/2023,$15.89,"62,431,680",$14.75,$15.91,$14.70
06/26/2023,$14.60,"107,033,000",$14.98,$15.04,$13.90
06/23/2023,$15.80,"39,855,030",$15.49,$15.995,$15.43
06/22/2023,$15.76,"23,564,130",$15.74,$15.96,$15.59
06/21/2023,$15.89,"37,155,590",$15.88,$16.18,$15.45
06/20/2023,$15.90,"37,891,020",$15.99,$16.06,$15.70
06/16/2023,$15.80,"51,111,890",$16.30,$16.40,$15.69
06/15/2023,$16.12,"64,037,420",$15.45,$16.16,$15.41
06/14/2023,$15.60,"59,729,300",$15.51,$15.78,$15.19
06/13/2023,$15.34,"68,046,050",$15.06,$15.37,$14.735
06/12/2023,$14.72,"126,899,500",$13.94,$15.10,$13.84
06/09/2023,$13.09,"34,064,560",$12.88,$13.39,$12.85
06/08/2023,$12.75,"31,998,400",$12.85,$12.9658,$12.70
06/07/2023,$13.03,"38,518,720",$12.87,$13.18,$12.81
06/06/2023,$12.77,"32,243,390",$12.23,$12.84,$12.195
06/05/2023,$12.30,"26,125,530",$12.17,$12.38,$12.08
06/02/2023,$12.18,"36,332,330",$12.04,$12.28,$11.90
06/01/2023,$11.85,"39,965,880",$11.32,$11.93,$11.20
05/31/2023,$11.23,"32,724,150",$11.40,$11.45,$10.935
05/30/2023,$11.38,"32,709,140",$11.50,$11.84,$11.20
05/26/2023,$11.28,"30,569,810",$11.15,$11.37,$11.15
05/25/2023,$11.00,"40,944,720",$11.00,$11.22,$10.87
05/24/2023,$10.67,"34,266,790",$10.84,$10.86,$10.38
05/23/2023,$11.04,"31,999,090",$11.12,$11.53,$11.02
05/22/2023,$11.22,"24,221,090",$11.07,$11.28,$10.83
05/19/2023,$10.94,"28,822,700",$11.17,$11.22,$10.8101
05/18/2023,$11.28,"33,834,990",$10.97,$11.32,$10.97
05/17/2023,$11.04,"53,763,710",$10.41,$11.18,$10.40
05/16/2023,$10.36,"30,040,360",$10.26,$10.64,$10.07
05/15/2023,$10.31,"27,705,860",$9.86,$10.38,$9.82
05/12/2023,$9.83,"29,797,350",$10.25,$10.26,$9.68
05/11/2023,$10.24,"25,870,000",$10.37,$10.49,$10.16
05/10/2023,$10.49,"29,654,970",$10.80,$10.89,$10.34
05/09/2023,$10.65,"26,601,960",$10.49,$10.71,$10.38
05/08/2023,$10.61,"44,199,760",$10.15,$10.6599,$10.04
05/05/2023,$10.01,"52,156,060",$9.54,$10.09,$9.525
05/04/2023,$9.39,"51,862,250",$9.78,$9.84,$9.21
05/03/2023,$9.43,"28,997,770",$9.46,$9.70,$9.41
05/02/2023,$9.45,"33,396,180",$9.38,$9.54,$9.17
05/01/2023,$9.49,"43,945,150",$9.27,$9.63,$9.205
04/28/2023,$9.21,"34,200,520",$8.84,$9.30,$8.83
04/27/2023,$8.90,"25,196,280",$8.91,$8.96,$8.72
04/26/2023,$8.76,"33,804,650",$9.03,$9.08,$8.70
04/25/2023,$8.96,"27,625,260",$9.27,$9.27,$8.91
04/24/2023,$9.28,"23,084,810",$9.32,$9.435,$9.14
04/21/2023,$9.38,"28,720,330",$9.30,$9.38,$9.065
04/20/2023,$9.33,"38,877,300",$9.63,$9.66,$9.30
04/19/2023,$9.80,"25,981,010",$9.70,$9.85,$9.52
04/18/2023,$9.84,"22,055,230",$9.76,$9.86,$9.66
04/17/2023,$9.75,"24,539,020",$9.62,$9.7999,$9.51
04/14/2023,$9.60,"21,640,190",$9.82,$9.87,$9.55
04/13/2023,$9.77,"21,807,880",$9.72,$9.85,$9.70
04/12/2023,$9.62,"34,149,920",$10.19,$10.225,$9.60
04/11/2023,$10.04,"26,263,520",$9.91,$10.14,$9.79
04/10/2023,$9.87,"24,047,350",$9.60,$9.89,$9.56
04/06/2023,$9.73,"28,095,380",$9.72,$9.88,$9.54
04/05/2023,$9.66,"25,510,570",$9.78,$9.885,$9.61
04/04/2023,$9.85,"38,016,260",$10.07,$10.12,$9.55
04/03/2023,$9.97,"39,031,870",$9.98,$10.07,$9.82
03/31/2023,$10.15,"37,314,350",$10.275,$10.345,$10.06
03/30/2023,$10.16,"46,584,180",$10.12,$10.30,$10.06
