Date,Close,Volume,Open,High,Low
03/01/2024,$107.55,"408,123",$107.81,$108.18,$105.26
02/29/2024,$108.51,"416,327",$108.25,$109.35,$107.47
02/28/2024,$106.67,"323,290",$107.95,$108.545,$106.57
02/27/2024,$109.26,"307,485",$108.00,$109.476,$107.76
02/26/2024,$107.48,"315,030",$106.91,$108.54,$106.51
02/23/2024,$107.35,"321,650",$107.75,$108.615,$106.53
02/22/2024,$107.52,"314,816",$107.46,$108.46,$106.78
02/21/2024,$107.62,"282,641",$107.36,$107.685,$106.13
02/20/2024,$107.85,"303,170",$107.50,$108.935,$107.50
02/16/2024,$108.57,"452,678",$107.88,$110.58,$107.755
02/15/2024,$109.25,"389,820",$107.04,$109.86,$106.49
02/14/2024,$106.31,"691,328",$105.71,$106.39,$104.22
02/13/2024,$104.88,"1,114,955",$103.40,$105.15,$102.56
02/12/2024,$106.10,"452,655",$103.18,$107.06,$102.45
02/09/2024,$103.18,"366,135",$101.75,$103.755,$101.32
02/08/2024,$101.76,"235,169",$100.66,$101.90,$100.285
02/07/2024,$101.21,"376,825",$101.91,$102.92,$99.66
02/06/2024,$101.50,"429,305",$102.20,$103.85,$100.96
02/05/2024,$102.61,"393,494",$103.26,$103.73,$101.9911
02/02/2024,$104.19,"572,715",$101.99,$104.87,$101.88
02/01/2024,$103.50,"681,632",$106.41,$107.30,$99.67
01/31/2024,$106.12,"958,237",$106.50,$108.55,$105.44
01/30/2024,$109.19,"401,310",$108.51,$109.63,$107.665
01/29/2024,$108.59,"545,862",$108.21,$108.669,$106.62
01/26/2024,$107.35,"519,683",$109.30,$110.00,$106.62
01/25/2024,$109.32,"997,444",$110.00,$112.99,$107.18
01/24/2024,$108.77,"556,173",$108.41,$109.87,$107.56
01/23/2024,$107.56,"488,645",$108.62,$109.00,$106.4701
01/22/2024,$108.20,"524,521",$106.95,$108.33,$106.665
01/19/2024,$106.10,"280,276",$103.79,$106.11,$103.275
01/18/2024,$103.88,"335,327",$102.52,$104.04,$101.89
01/17/2024,$101.94,"335,251",$101.12,$103.16,$100.50
01/16/2024,$102.69,"276,202",$103.19,$103.65,$102.375
01/12/2024,$104.83,"222,365",$106.28,$107.01,$103.41
01/11/2024,$105.50,"306,735",$105.94,$106.955,$104.42
01/10/2024,$106.94,"365,264",$105.93,$106.99,$105.40
01/09/2024,$106.07,"341,210",$106.90,$106.995,$105.50
01/08/2024,$108.36,"308,743",$106.56,$108.56,$106.49
01/05/2024,$107.56,"428,947",$105.15,$108.35,$105.15
