Date,Close,Volume,Open,High,Low
03/01/2024,$66.14,N/A,$66.14,$66.14,$66.14
02/29/2024,$66.14,"1,537",$65.61,$66.14,$64.83
02/28/2024,$64.78,N/A,$64.78,$64.78,$64.78
02/27/2024,$64.78,N/A,$64.78,$64.78,$64.78
02/26/2024,$64.78,N/A,$64.78,$64.78,$64.78
02/23/2024,$64.78,270,$64.78,$64.78,$64.78
02/22/2024,$63.55,197,$63.55,$63.55,$63.55
02/21/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/20/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/16/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/15/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/14/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/13/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/12/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/09/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/08/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/07/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/06/2024,$57.20,N/A,$57.20,$57.20,$57.20
02/05/2024,$57.20,"1,242",$57.19,$57.20,$57.19
02/02/2024,$60.8674,N/A,$60.8674,$60.8674,$60.8674
02/01/2024,$60.8674,N/A,$60.8674,$60.8674,$60.8674
01/31/2024,$60.8674,857,$60.8674,$60.8674,$60.8674
01/30/2024,$59.36,N/A,$59.36,$59.36,$59.36
01/29/2024,$59.36,133,$59.36,$59.36,$59.36
01/26/2024,$58.53,239,$58.53,$58.53,$58.53
01/25/2024,$57.32,N/A,$57.32,$57.32,$57.32
01/24/2024,$57.32,N/A,$57.32,$57.32,$57.32
01/23/2024,$57.32,N/A,$57.32,$57.32,$57.32
01/22/2024,$57.32,N/A,$57.32,$57.32,$57.32
01/19/2024,$57.32,"10,510",$57.00,$57.83,$57.00
01/18/2024,$58.00,"2,939",$57.33,$58.08,$57.33
01/17/2024,$61.81,N/A,$61.81,$61.81,$61.81
01/16/2024,$61.81,217,$61.81,$61.81,$61.81
01/12/2024,$64.70,255,$64.70,$64.70,$64.70
01/11/2024,$60.52,N/A,$60.52,$60.52,$60.52
01/10/2024,$60.52,N/A,$60.52,$60.52,$60.52
01/09/2024,$60.52,N/A,$60.52,$60.52,$60.52
01/08/2024,$60.52,"1,298",$59.30,$60.52,$59.30
01/05/2024,$58.4401,"2,509",$58.9081,$58.9081,$58.44
01/04/2024,$59.31,N/A,$59.31,$59.31,$59.31
01/03/2024,$59.31,119,$59.31,$59.31,$59.31
01/02/2024,$59.16,N/A,$59.16,$59.16,$59.16
12/29/2023,$59.16,N/A,$59.16,$59.16,$59.16
12/28/2023,$59.16,N/A,$59.16,$59.16,$59.16
