Date,Close,Volume,Open,High,Low
03/01/2024,$2.23,"617,745",$2.15,$2.33,$2.10
02/29/2024,$2.09,"245,552",$2.10,$2.15,$2.065
02/28/2024,$2.05,"468,114",$2.11,$2.14,$2.02
02/27/2024,$2.14,"771,714",$2.06,$2.185,$2.02
02/26/2024,$2.04,"395,602",$1.95,$2.05,$1.92
02/23/2024,$1.96,"693,897",$1.87,$2.025,$1.87
02/22/2024,$1.88,"477,008",$1.93,$1.95,$1.8711
02/21/2024,$1.92,"376,615",$1.98,$2.005,$1.90
02/20/2024,$1.98,"421,092",$2.00,$2.0501,$1.94
02/16/2024,$2.01,"455,035",$1.97,$2.06,$1.97
02/15/2024,$2.01,"505,196",$2.05,$2.06,$1.97
02/14/2024,$1.99,"438,861",$1.97,$2.03,$1.91
02/13/2024,$1.90,"623,367",$1.95,$1.965,$1.88
02/12/2024,$1.99,"806,915",$2.03,$2.0829,$1.95
02/09/2024,$2.00,"359,815",$1.99,$2.02,$1.94
02/08/2024,$1.99,"361,580",$1.97,$2.02,$1.9104
02/07/2024,$1.93,"361,893",$2.03,$2.03,$1.91
02/06/2024,$2.00,"609,029",$1.85,$2.06,$1.84
02/05/2024,$1.85,"509,312",$1.92,$1.93,$1.80
02/02/2024,$1.92,"800,247",$1.99,$1.99,$1.86
02/01/2024,$1.96,"565,100",$2.05,$2.08,$1.94
01/31/2024,$2.04,"647,580",$1.88,$2.10,$1.862
01/30/2024,$1.90,"849,072",$2.01,$2.07,$1.86
01/29/2024,$1.99,"2,983,534",$1.69,$2.10,$1.68
01/26/2024,$1.68,"453,336",$1.75,$1.75,$1.65
01/25/2024,$1.71,"435,196",$1.70,$1.73,$1.65
01/24/2024,$1.68,"571,295",$1.75,$1.76,$1.65
01/23/2024,$1.75,"791,998",$1.88,$1.88,$1.72
01/22/2024,$1.84,"1,313,657",$1.86,$1.90,$1.80
01/19/2024,$1.84,"667,987",$1.84,$1.89,$1.79
01/18/2024,$1.82,"519,394",$1.84,$1.88,$1.79
01/17/2024,$1.86,"901,958",$1.93,$1.93,$1.83
01/16/2024,$1.88,"508,635",$1.96,$1.965,$1.86
01/12/2024,$1.94,"536,832",$1.93,$1.97,$1.85
01/11/2024,$1.89,"619,739",$1.94,$1.97,$1.82
01/10/2024,$1.91,"1,059,841",$2.07,$2.08,$1.89
01/09/2024,$2.10,"538,295",$2.15,$2.22,$2.085
01/08/2024,$2.19,"1,078,652",$2.35,$2.37,$2.10
01/05/2024,$2.39,"604,525",$2.49,$2.52,$2.33
01/04/2024,$2.44,"1,229,047",$2.24,$2.585,$2.24
01/03/2024,$2.24,"704,262",$2.20,$2.31,$2.13
01/02/2024,$2.19,"946,077",$2.30,$2.38,$2.14
12/29/2023,$2.29,"1,032,913",$2.35,$2.40,$2.12
12/28/2023,$2.26,"1,280,472",$2.20,$2.4198,$2.20
12/27/2023,$2.18,"1,576,755",$2.12,$2.29,$2.10
12/26/2023,$2.08,"1,202,986",$2.05,$2.15,$2.00
12/22/2023,$1.87,"953,184",$1.86,$2.00,$1.8271
12/21/2023,$1.84,"1,143,439",$1.83,$1.9088,$1.75
12/20/2023,$1.76,"1,215,523",$1.83,$1.90,$1.69
12/19/2023,$1.75,"2,589,419",$1.98,$2.16,$1.74
12/18/2023,$1.83,"7,885,664",$1.54,$1.9698,$1.36
12/15/2023,$3.32,"958,120",$3.21,$3.44,$3.19
12/14/2023,$3.26,"635,386",$3.29,$3.304,$3.13
12/13/2023,$3.20,"999,973",$3.32,$3.42,$3.07
12/12/2023,$3.21,"978,761",$3.16,$3.50,$3.10
12/11/2023,$3.13,"867,147",$3.33,$3.33,$2.92
12/08/2023,$3.29,"782,677",$3.26,$3.34,$3.06
12/07/2023,$3.23,"1,255,658",$3.35,$3.62,$3.15
12/06/2023,$3.25,"1,866,532",$2.94,$3.48,$2.89
12/05/2023,$2.90,"774,552",$2.88,$2.95,$2.75
12/04/2023,$2.89,"953,949",$2.80,$2.95,$2.75
12/01/2023,$2.74,"656,612",$2.66,$2.81,$2.53
11/30/2023,$2.66,"1,003,755",$2.55,$2.88,$2.55
11/29/2023,$2.555,"1,055,899",$2.48,$2.67,$2.46
11/28/2023,$2.41,"638,437",$2.31,$2.48,$2.21
11/27/2023,$2.27,"638,694",$2.20,$2.3699,$2.15
11/24/2023,$2.19,"216,305",$2.06,$2.21,$2.06
11/22/2023,$2.09,"501,124",$2.09,$2.15,$1.98
11/21/2023,$2.15,"399,863",$2.08,$2.17,$1.96
11/20/2023,$2.08,"649,710",$1.96,$2.14,$1.92
11/17/2023,$1.92,"281,457",$1.82,$1.96,$1.77
11/16/2023,$1.81,"184,878",$1.89,$1.95,$1.76
11/15/2023,$1.88,"341,606",$2.00,$2.05,$1.88
11/14/2023,$1.93,"404,371",$1.85,$2.07,$1.85
11/13/2023,$1.81,"146,781",$1.82,$1.84,$1.72
11/10/2023,$1.78,"254,223",$1.87,$1.87,$1.68
11/09/2023,$1.82,"221,995",$1.90,$1.93,$1.80
11/08/2023,$1.86,"284,802",$2.00,$2.00,$1.805
11/07/2023,$1.99,"440,427",$1.99,$2.085,$1.9573
11/06/2023,$1.94,"140,393",$1.99,$2.00,$1.91
11/03/2023,$1.97,"400,496",$1.98,$2.0285,$1.90
