Date,Close,Volume,Open,High,Low
03/01/2024,$48.51,"4,219,637",$47.83,$48.705,$47.76
02/29/2024,$47.32,"2,516,660",$47.25,$47.72,$46.58
02/28/2024,$46.29,"1,243,247",$46.34,$46.45,$46.11
02/27/2024,$46.47,"2,158,172",$46.61,$46.75,$46.24
02/26/2024,$46.51,"1,075,479",$46.76,$47.11,$46.31
02/23/2024,$46.95,"5,861,089",$46.86,$47.10,$46.63
02/22/2024,$46.77,"2,995,602",$46.60,$46.94,$46.49
02/21/2024,$46.32,"2,588,273",$46.17,$46.421,$46.02
02/20/2024,$46.44,"2,183,537",$45.98,$46.65,$45.84
02/16/2024,$45.88,"1,887,897",$45.60,$45.99,$45.49
02/15/2024,$45.71,"1,640,958",$45.13,$45.89,$45.13
02/14/2024,$44.92,"1,294,935",$44.70,$45.02,$44.66
02/13/2024,$44.29,"1,935,724",$44.91,$44.91,$43.86
02/12/2024,$45.56,"1,435,793",$45.10,$45.655,$45.04
02/09/2024,$45.10,"1,666,168",$44.79,$45.135,$44.57
02/08/2024,$44.66,"2,289,935",$44.54,$44.70,$44.20
02/07/2024,$44.77,"2,776,400",$44.82,$44.99,$44.55
02/06/2024,$44.86,"1,314,241",$44.83,$45.09,$44.62
02/05/2024,$44.86,"1,049,004",$45.09,$45.125,$44.53
02/02/2024,$45.40,"2,079,129",$45.39,$45.53,$45.04
02/01/2024,$45.60,"2,609,469",$45.16,$45.66,$44.75
01/31/2024,$45.18,"1,973,582",$45.73,$46.08,$45.13
01/30/2024,$45.95,"1,291,726",$46.26,$46.31,$45.785
01/29/2024,$46.25,"714,451",$45.68,$46.27,$45.44
01/26/2024,$45.77,"667,302",$45.85,$46.05,$45.63
01/25/2024,$45.92,"955,628",$45.71,$45.94,$45.40
01/24/2024,$45.45,"1,407,033",$45.63,$45.85,$45.29
01/23/2024,$45.24,"1,349,034",$45.65,$45.73,$44.97
01/22/2024,$45.50,"1,163,086",$46.10,$46.15,$45.23
01/19/2024,$45.92,"2,194,470",$45.36,$46.015,$45.20
01/18/2024,$45.20,"1,358,852",$45.90,$45.95,$45.07
01/17/2024,$45.66,"1,979,376",$45.38,$45.85,$45.19
01/16/2024,$45.94,"1,745,522",$45.53,$45.985,$45.23
01/12/2024,$46.02,"1,941,692",$46.63,$46.90,$45.925
01/11/2024,$46.31,"3,306,809",$46.97,$47.09,$45.95
01/10/2024,$47.16,"1,125,766",$47.56,$47.71,$47.04
01/09/2024,$47.56,"1,072,144",$47.60,$47.74,$47.25
01/08/2024,$47.97,"1,038,412",$47.67,$47.99,$47.585
01/05/2024,$47.68,"1,214,550",$47.50,$48.11,$47.29
01/04/2024,$47.44,"934,251",$47.28,$47.77,$47.16
01/03/2024,$47.26,"1,459,509",$47.36,$47.60,$47.16
01/02/2024,$47.84,"1,153,544",$47.63,$48.06,$47.53
12/29/2023,$48.14,"972,091",$47.83,$48.36,$47.81
12/28/2023,$48.01,"1,531,536",$48.16,$48.45,$47.785
12/27/2023,$48.20,"1,412,360",$48.13,$48.425,$48.01
12/26/2023,$48.81,"8,801,188",$48.53,$48.915,$48.34
12/22/2023,$48.39,"1,352,193",$47.84,$48.585,$47.84
12/21/2023,$47.69,"1,759,651",$47.17,$47.84,$47.11
12/20/2023,$46.75,"3,114,225",$46.75,$47.475,$46.68
12/19/2023,$46.59,"1,383,638",$45.85,$46.65,$45.77
12/18/2023,$45.48,"838,335",$45.52,$45.83,$45.37
12/15/2023,$45.49,"1,282,059",$45.64,$45.93,$45.39
12/14/2023,$45.45,"2,384,257",$45.00,$45.75,$45.00
12/13/2023,$44.49,"1,989,482",$43.17,$44.55,$42.97
12/12/2023,$43.12,"824,601",$42.76,$43.135,$42.59
12/11/2023,$42.89,"1,171,186",$43.01,$43.095,$42.72
12/08/2023,$43.02,"1,153,264",$42.60,$43.21,$42.60
12/07/2023,$42.65,"1,172,410",$42.54,$42.73,$42.28
12/06/2023,$42.46,"1,686,941",$42.62,$42.81,$42.31
12/05/2023,$42.30,"1,236,309",$41.80,$42.315,$41.77
12/04/2023,$42.05,"1,190,421",$41.48,$42.135,$41.44
12/01/2023,$41.90,"2,139,865",$41.27,$42.05,$41.09
11/30/2023,$41.30,"2,830,142",$39.90,$41.41,$39.90
11/29/2023,$39.26,"1,332,145",$38.73,$39.39,$38.62
11/28/2023,$38.61,"1,544,813",$38.43,$38.81,$37.97
11/27/2023,$38.83,"1,573,025",$39.05,$39.36,$38.705
11/24/2023,$39.43,"532,560",$39.32,$39.55,$39.20
11/22/2023,$39.20,"1,282,572",$38.85,$39.305,$38.70
11/21/2023,$38.97,"2,161,223",$39.38,$39.74,$38.91
11/20/2023,$39.56,"880,141",$39.54,$39.62,$39.24
11/17/2023,$39.53,"1,249,641",$39.37,$39.55,$39.22
11/16/2023,$38.95,"913,196",$38.90,$39.10,$38.83
11/15/2023,$39.10,"1,913,033",$39.05,$39.37,$38.78
11/14/2023,$38.92,"1,751,380",$38.53,$39.06,$38.52
11/13/2023,$37.78,"867,711",$37.60,$37.9798,$37.46
11/10/2023,$37.68,"663,253",$37.66,$37.79,$37.2892
11/09/2023,$37.52,"1,163,779",$37.76,$37.99,$37.47
11/08/2023,$37.44,"739,340",$37.49,$37.68,$37.25
11/07/2023,$37.56,"756,412",$37.63,$37.775,$37.39
11/06/2023,$37.90,"1,043,291",$38.06,$38.23,$37.70
11/03/2023,$37.91,"1,631,534",$37.99,$38.22,$37.76
11/02/2023,$37.38,"2,416,458",$36.04,$37.43,$35.96
11/01/2023,$35.50,"1,747,646",$35.35,$35.5501,$35.09
10/31/2023,$35.27,"1,074,405",$35.31,$35.33,$34.845
10/30/2023,$35.32,"1,310,257",$35.19,$35.46,$34.96
10/27/2023,$34.73,"1,573,168",$35.02,$35.20,$34.45
10/26/2023,$35.02,"1,213,494",$34.92,$35.28,$34.74
10/25/2023,$34.94,"1,843,130",$34.80,$34.96,$34.35
10/24/2023,$35.12,"1,530,119",$35.49,$35.56,$34.825
10/23/2023,$35.62,"2,260,294",$35.38,$35.89,$35.19
10/20/2023,$35.48,"1,934,291",$36.55,$36.71,$35.445
10/19/2023,$36.68,"2,004,986",$37.03,$37.32,$36.675
10/18/2023,$37.13,"1,199,423",$37.93,$38.06,$37.08
10/17/2023,$38.23,"1,104,604",$37.72,$38.43,$37.72
10/16/2023,$38.11,"1,535,953",$37.74,$38.14,$37.48
10/13/2023,$37.36,"1,281,806",$37.86,$38.05,$37.26
10/12/2023,$37.64,"1,301,988",$38.22,$38.22,$37.355
10/11/2023,$38.17,"979,336",$38.10,$38.34,$37.74
10/10/2023,$38.07,"1,168,249",$37.60,$38.155,$37.57
10/09/2023,$37.43,"692,978",$37.08,$37.50,$36.99
10/06/2023,$37.37,"1,843,488",$37.16,$37.49,$36.51
10/05/2023,$37.30,"1,758,604",$37.00,$37.38,$36.81
10/04/2023,$37.06,"1,301,460",$36.77,$37.10,$36.31
10/03/2023,$36.71,"1,747,633",$37.42,$37.51,$36.6259
10/02/2023,$37.64,"3,489,119",$38.40,$38.59,$37.55
09/29/2023,$38.61,"1,679,432",$39.45,$39.45,$38.57
09/28/2023,$39.08,"1,265,653",$38.53,$39.20,$38.53
09/27/2023,$38.49,"1,664,476",$39.29,$39.30,$38.24
09/26/2023,$39.81,"4,826,969",$39.85,$40.21,$39.80
09/25/2023,$40.16,"1,302,453",$40.00,$40.34,$39.86
09/22/2023,$40.08,"5,423,940",$40.555,$40.67,$40.065
09/21/2023,$40.38,"1,463,813",$40.59,$40.79,$40.38
09/20/2023,$40.96,"675,385",$41.11,$41.39,$40.91
09/19/2023,$40.91,"795,490",$41.08,$41.15,$40.81
09/18/2023,$40.93,"755,666",$41.12,$41.17,$40.605
09/15/2023,$40.99,"2,098,612",$40.62,$41.05,$40.57
09/14/2023,$40.72,"978,014",$40.68,$40.7599,$40.43
09/13/2023,$40.27,"1,082,672",$40.07,$40.53,$40.04
09/12/2023,$39.91,"1,017,785",$39.77,$40.085,$39.65
09/11/2023,$39.67,"818,148",$39.23,$39.73,$39.045
09/08/2023,$38.97,"972,818",$39.05,$39.25,$38.88
09/07/2023,$39.10,"984,539",$39.43,$39.61,$39.08
09/06/2023,$39.43,"734,603",$39.50,$39.71,$39.1543
09/05/2023,$39.70,"1,813,669",$39.78,$39.98,$39.59
09/01/2023,$39.82,"2,055,760",$39.85,$39.915,$39.63
08/31/2023,$39.61,"3,192,629",$39.86,$40.05,$39.305
