Date,Close,Volume,Open,High,Low
03/01/2024,$1.325,"145,934",$1.36,$1.36,$1.26
02/29/2024,$1.35,"97,639",$1.41,$1.42,$1.32
02/28/2024,$1.42,"79,943",$1.46,$1.50,$1.41
02/27/2024,$1.47,"177,508",$1.42,$1.53,$1.38
02/26/2024,$1.44,"133,663",$1.43,$1.54,$1.43
02/23/2024,$1.49,"241,511",$1.46,$1.55,$1.41
02/22/2024,$1.58,"451,178",$1.45,$1.60,$1.42
02/21/2024,$1.60,"16,234,230",$1.53,$1.78,$1.36
02/20/2024,$1.33,"116,153",$1.38,$1.39,$1.3201
02/16/2024,$1.401,"326,843",$1.40,$1.50,$1.3201
02/15/2024,$1.55,"554,295",$1.27,$1.55,$1.27
02/14/2024,$1.33,"5,377,530",$1.53,$1.72,$1.28
02/13/2024,$1.37,"125,668",$1.2607,$1.4701,$1.2607
02/12/2024,$1.245,"160,993",$1.34,$1.37,$1.21
02/09/2024,$1.26,"49,564",$1.33,$1.3865,$1.25
02/08/2024,$1.37,"103,712",$1.51,$1.51,$1.33
02/07/2024,$1.36,"37,732",$1.4297,$1.45,$1.3318
02/06/2024,$1.41,"75,376",$1.47,$1.52,$1.41
02/05/2024,$1.43,"19,374",$1.37,$1.458,$1.3601
02/02/2024,$1.41,"136,764",$1.50,$1.56,$1.35
02/01/2024,$1.46,"30,275",$1.421,$1.50,$1.34
01/31/2024,$1.40,"35,658",$1.33,$1.57,$1.33
01/30/2024,$1.34,"30,867",$1.41,$1.41,$1.33
01/29/2024,$1.42,"53,605",$1.37,$1.5053,$1.36
01/26/2024,$1.40,"38,448",$1.43,$1.472,$1.331
01/25/2024,$1.45,"32,823",$1.50,$1.50,$1.44
01/24/2024,$1.50,"163,005",$1.63,$1.68,$1.47
01/23/2024,$1.60,"251,219",$1.79,$1.98,$1.5863
01/22/2024,$1.83,"166,112",$1.60,$1.8899,$1.58
01/19/2024,$1.60,"327,682",$1.47,$1.60,$1.2501
01/18/2024,$1.5572,"175,772",$1.7702,$1.7762,$1.5092
01/17/2024,$1.6502,"227,334",$2.0402,$2.0402,$1.5662
01/16/2024,$1.5602,"79,581",$1.6442,$1.6472,$1.5572
01/12/2024,$1.6382,"69,983",$1.6052,$1.7192,$1.5062
01/11/2024,$1.5182,"52,572",$1.5902,$1.6472,$1.5002
