Date,Close,Volume,Open,High,Low
03/01/2024,$1.15,"11,261",$1.12,$1.18,$1.12
02/29/2024,$1.14,"23,315",$1.17,$1.21,$1.10
02/28/2024,$1.19,"33,101",$1.19,$1.19,$1.1118
02/27/2024,$1.19,"44,082",$1.11,$1.20,$1.11
02/26/2024,$1.1301,"7,982",$1.14,$1.18,$1.10
02/23/2024,$1.16,"8,061",$1.14,$1.17,$1.0909
02/22/2024,$1.17,"115,014",$1.20,$1.28,$1.16
02/21/2024,$1.20,"53,587",$1.08,$1.20,$1.08
02/20/2024,$1.146,"149,417",$1.10,$1.17,$1.10
02/16/2024,$1.0399,"14,575",$1.02,$1.08,$1.02
02/15/2024,$1.02,"27,598",$1.12,$1.14,$0.99
02/14/2024,$1.06,"30,728",$1.12,$1.12,$1.055
02/13/2024,$1.16,"4,609",$1.05,$1.165,$1.05
02/12/2024,$1.14,"34,550",$1.03,$1.1571,$1.00
02/09/2024,$1.05,"17,086",$0.986,$1.05,$0.986
02/08/2024,$0.99,"7,962",$1.01,$1.03,$0.99
02/07/2024,$1.02,"5,989",$1.05,$1.05,$0.986
02/06/2024,$1.02,"7,359",$1.005,$1.03,$0.986
02/05/2024,$1.03,"5,466",$1.00,$1.03,$0.98
02/02/2024,$1.03,"8,184",$0.9551,$1.03,$0.9551
02/01/2024,$1.03,"13,732",$0.97,$1.04,$0.97
01/31/2024,$1.02,"14,884",$1.06,$1.06,$0.995
01/30/2024,$1.06,"10,745",$1.00,$1.06,$0.964
01/29/2024,$1.03,"31,411",$0.9989,$1.04,$0.9225
01/26/2024,$0.9701,"9,504",$0.9202,$0.9798,$0.9202
01/25/2024,$0.9203,"69,016",$0.95,$0.975,$0.89
01/24/2024,$0.95,"36,098",$1.02,$1.05,$0.95
01/23/2024,$1.02,"28,277",$1.06,$1.06,$1.01
01/22/2024,$1.045,"15,923",$1.09,$1.11,$1.0406
01/19/2024,$1.12,"7,964",$1.08,$1.15,$1.07
01/18/2024,$1.10,"22,089",$1.05,$1.10,$1.05
01/17/2024,$1.075,"1,666",$1.14,$1.14,$1.07
01/16/2024,$1.14,"13,052",$1.19,$1.19,$1.07
01/12/2024,$1.19,"33,832",$1.19,$1.24,$1.10
01/11/2024,$1.17,"10,885",$1.19,$1.20,$1.112
01/10/2024,$1.21,"29,512",$1.25,$1.25,$1.1512
01/09/2024,$1.22,"29,651",$1.18,$1.23,$1.1686
01/08/2024,$1.14,"43,361",$1.19,$1.19,$1.12
01/05/2024,$1.1926,"70,317",$1.23,$1.26,$1.17
01/04/2024,$1.25,"59,762",$1.151,$1.26,$1.14
01/03/2024,$1.22,"29,908",$1.20,$1.24,$1.19
01/02/2024,$1.24,"130,898",$1.15,$1.25,$1.15
12/29/2023,$1.13,"55,848",$1.11,$1.18,$1.11
12/28/2023,$1.15,"148,492",$1.14,$1.19,$1.07
12/27/2023,$1.14,"108,498",$1.17,$1.2299,$1.10
12/26/2023,$1.155,"548,171",$1.08,$1.22,$1.00
12/22/2023,$1.10,"70,557",$1.10,$1.18,$0.98
12/21/2023,$1.12,"180,072",$1.01,$1.12,$0.985
12/20/2023,$1.01,"38,437",$1.009,$1.04,$0.91
12/19/2023,$1.01,"31,767",$1.02,$1.07,$1.00
12/18/2023,$1.03,"77,110",$1.08,$1.1288,$1.02
12/15/2023,$0.98,"101,169",$0.8463,$1.0781,$0.8463
12/14/2023,$0.8404,"53,686",$0.95,$0.95,$0.835
12/13/2023,$0.82,"49,660",$0.80,$0.9558,$0.7901
12/12/2023,$0.802,"18,938",$0.87,$0.891,$0.802
12/11/2023,$0.87,"14,368",$0.83,$0.90,$0.8001
12/08/2023,$0.8515,"19,375",$0.8875,$0.95,$0.79
12/07/2023,$0.855,"27,874",$0.854,$0.918,$0.807
12/06/2023,$0.885,"5,703",$0.87,$0.90,$0.8091
12/05/2023,$0.895,"4,926",$0.87,$0.92,$0.87
12/04/2023,$0.9212,"13,420",$0.975,$1.00,$0.8895
12/01/2023,$0.943,"2,129",$0.888,$0.943,$0.85
11/30/2023,$0.85,"21,094",$0.85,$0.95,$0.8201
11/29/2023,$0.8546,"16,777",$0.842,$0.92,$0.82
11/28/2023,$0.791,"19,318",$0.80,$0.85,$0.77
11/27/2023,$0.8247,"10,417",$0.862,$0.9297,$0.8247
11/24/2023,$0.8661,"3,540",$0.8207,$0.9388,$0.8207
11/22/2023,$0.8506,"10,081",$0.9567,$0.9567,$0.8299
11/21/2023,$0.81,"28,237",$0.90,$0.9299,$0.81
11/20/2023,$0.9399,"38,281",$1.05,$1.05,$0.90
11/17/2023,$1.00,"12,922",$1.05,$1.06,$1.00
11/16/2023,$1.01,"14,795",$1.06,$1.06,$1.00
11/15/2023,$1.015,"11,235",$1.0109,$1.0474,$1.00
11/14/2023,$1.01,"12,484",$1.0542,$1.0542,$1.01
11/13/2023,$1.05,"7,135",$1.03,$1.07,$1.03
11/10/2023,$1.0631,"5,548",$1.0897,$1.0898,$1.06
11/09/2023,$1.085,"22,321",$1.10,$1.10,$1.05
11/08/2023,$1.06,"12,004",$1.10,$1.225,$1.06
11/07/2023,$1.17,"21,145",$1.22,$1.2284,$1.17
11/06/2023,$1.23,"17,645",$1.25,$1.3099,$1.20
11/03/2023,$1.25,"39,027",$1.2182,$1.3056,$1.20
11/02/2023,$1.26,"24,795",$1.11,$1.26,$1.11
11/01/2023,$1.11,"50,796",$1.14,$1.2462,$1.11
10/31/2023,$1.06,"23,150",$1.04,$1.11,$1.00
10/30/2023,$1.03,"8,489",$1.06,$1.1189,$1.03
10/27/2023,$1.01,"5,792",$1.07,$1.07,$1.00
10/26/2023,$1.09,"50,946",$1.08,$1.12,$1.01
10/25/2023,$1.06,"106,621",$1.22,$1.22,$0.90
10/24/2023,$1.25,"87,039",$1.07,$1.33,$1.06
10/23/2023,$1.10,"7,650",$1.11,$1.18,$1.10
10/20/2023,$1.13,"23,747",$1.31,$1.31,$1.13
