Date,Close,Volume,Open,High,Low
03/01/2024,$3.83,"89,934",$4.01,$4.01,$3.75
02/29/2024,$4.02,"41,494",$4.23,$4.27,$4.01
02/28/2024,$4.12,"57,388",$4.19,$4.27,$4.11
02/27/2024,$4.08,"45,547",$4.13,$4.1762,$4.00
02/26/2024,$4.07,"88,365",$4.05,$4.19,$4.05
02/23/2024,$4.07,"60,726",$4.16,$4.17,$3.995
02/22/2024,$4.10,"100,433",$4.40,$4.4599,$4.05
02/21/2024,$4.34,"50,648",$4.86,$4.88,$4.34
02/20/2024,$4.88,"188,072",$5.02,$5.06,$4.88
02/16/2024,$5.07,"83,780",$5.06,$5.19,$4.99
02/15/2024,$5.07,"142,191",$4.96,$5.19,$4.9323
02/14/2024,$5.03,"90,226",$4.92,$5.12,$4.92
02/13/2024,$4.95,"104,726",$4.91,$4.96,$4.61
02/12/2024,$5.02,"61,184",$4.93,$5.05,$4.86
02/09/2024,$4.96,"79,013",$4.87,$5.06,$4.81
02/08/2024,$4.81,"83,325",$4.67,$4.89,$4.525
02/07/2024,$4.70,"102,986",$4.80,$4.83,$4.50
02/06/2024,$4.83,"91,656",$4.84,$4.92,$4.70
02/05/2024,$4.91,"64,886",$4.94,$5.0898,$4.86
02/02/2024,$4.92,"43,942",$4.72,$4.93,$4.7069
02/01/2024,$4.81,"96,217",$4.59,$4.83,$4.47
01/31/2024,$4.55,"94,569",$4.62,$4.66,$4.40
01/30/2024,$4.64,"66,088",$4.75,$4.78,$4.55
01/29/2024,$4.75,"106,216",$4.70,$4.80,$4.51
01/26/2024,$4.91,"44,039",$4.90,$5.01,$4.88
01/25/2024,$4.90,"58,600",$5.02,$5.02,$4.7875
01/24/2024,$4.96,"88,786",$4.88,$5.00,$4.87
01/23/2024,$4.90,"117,923",$5.03,$5.18,$4.77
01/22/2024,$4.98,"130,706",$4.75,$5.05,$4.75
01/19/2024,$4.75,"109,389",$4.70,$4.77,$4.60
01/18/2024,$4.83,"91,929",$4.83,$4.9899,$4.60
01/17/2024,$4.82,"100,132",$4.64,$4.84,$4.64
01/16/2024,$4.76,"83,913",$4.71,$4.82,$4.61
01/12/2024,$4.83,"92,942",$5.02,$5.115,$4.7801
01/11/2024,$5.03,"137,417",$4.98,$5.09,$4.85
01/10/2024,$5.07,"94,041",$5.04,$5.1456,$4.89
01/09/2024,$5.01,"106,798",$4.80,$5.01,$4.77
01/08/2024,$4.92,"259,923",$4.74,$5.06,$4.71
01/05/2024,$4.71,"260,478",$4.44,$4.75,$4.3596
01/04/2024,$4.48,"128,875",$4.17,$4.5362,$4.15
01/03/2024,$4.20,"202,517",$4.39,$4.39,$4.01
01/02/2024,$4.48,"143,195",$4.49,$4.72,$4.36
12/29/2023,$4.44,"164,231",$4.65,$4.79,$4.26
12/28/2023,$4.61,"203,871",$4.50,$4.7337,$4.3545
12/27/2023,$4.35,"192,320",$4.36,$4.53,$4.20
12/26/2023,$4.27,"288,137",$3.98,$4.48,$3.91
12/22/2023,$3.90,"122,211",$3.78,$3.94,$3.685
12/21/2023,$3.78,"142,281",$3.60,$3.80,$3.57
12/20/2023,$3.57,"253,540",$3.86,$3.8601,$3.53
12/19/2023,$3.81,"1,545,715",$2.99,$3.88,$2.84
12/18/2023,$2.85,"146,607",$2.98,$3.00,$2.758
12/15/2023,$3.04,"475,594",$2.67,$3.12,$2.61
12/14/2023,$2.64,"163,247",$2.73,$3.00,$2.64
12/13/2023,$2.73,"133,799",$2.66,$3.00,$2.62
12/12/2023,$2.67,"125,038",$2.85,$2.85,$2.66
12/11/2023,$2.89,"242,819",$2.86,$3.05,$2.675
12/08/2023,$2.84,"152,795",$2.59,$2.93,$2.56
12/07/2023,$2.58,"326,317",$3.04,$3.04,$2.55
12/06/2023,$3.00,"334,689",$3.24,$3.34,$2.93
12/05/2023,$3.25,"59,302",$3.34,$3.405,$3.20
12/04/2023,$3.33,"59,456",$3.45,$3.558,$3.32
12/01/2023,$3.49,"50,783",$3.31,$3.56,$3.31
11/30/2023,$3.30,"80,552",$3.35,$3.44,$3.25
11/29/2023,$3.35,"47,178",$3.33,$3.45,$3.26
11/28/2023,$3.33,"49,359",$3.27,$3.38,$3.15
11/27/2023,$3.28,"19,822",$3.35,$3.35,$3.2701
11/24/2023,$3.35,"36,594",$3.24,$3.39,$3.175
11/22/2023,$3.21,"31,628",$3.24,$3.2881,$3.1219
11/21/2023,$3.23,"29,908",$3.26,$3.2945,$3.2101
11/20/2023,$3.30,"45,306",$3.14,$3.37,$3.14
11/17/2023,$3.13,"57,185",$3.10,$3.19,$3.05
11/16/2023,$3.09,"23,130",$3.19,$3.225,$3.05
11/15/2023,$3.17,"100,589",$3.07,$3.27,$3.00
11/14/2023,$3.03,"125,508",$3.11,$3.14,$2.99
11/13/2023,$3.00,"80,463",$3.12,$3.12,$2.99
11/10/2023,$3.14,"108,428",$3.15,$3.15,$2.95
11/09/2023,$3.09,"42,996",$3.19,$3.28,$3.01
11/08/2023,$3.20,"17,491",$3.20,$3.30,$3.15
11/07/2023,$3.20,"62,458",$3.39,$3.39,$3.16
11/06/2023,$3.385,"36,180",$3.42,$3.47,$3.27
11/03/2023,$3.42,"76,981",$3.24,$3.51,$3.24
11/02/2023,$3.21,"64,657",$3.03,$3.28,$3.03
11/01/2023,$3.00,"58,051",$2.95,$3.015,$2.91
10/31/2023,$2.95,"44,911",$3.00,$3.04,$2.93
10/30/2023,$3.00,"87,573",$3.10,$3.15,$2.97
10/27/2023,$3.09,"24,119",$3.10,$3.14,$3.04
10/26/2023,$3.08,"56,576",$3.04,$3.15,$3.04
10/25/2023,$3.05,"48,568",$3.12,$3.13,$3.03
10/24/2023,$3.07,"53,477",$3.05,$3.14,$3.04
10/23/2023,$3.03,"55,434",$3.22,$3.26,$3.03
10/20/2023,$3.19,"69,494",$3.15,$3.20,$3.06
10/19/2023,$3.17,"58,537",$3.33,$3.33,$3.13
10/18/2023,$3.30,"31,075",$3.23,$3.30,$3.18
10/17/2023,$3.22,"111,394",$3.15,$3.2738,$3.13
10/16/2023,$3.18,"74,717",$3.32,$3.32,$3.16
10/13/2023,$3.27,"59,661",$3.34,$3.34,$3.21
10/12/2023,$3.31,"135,318",$3.26,$3.4199,$3.18
10/11/2023,$3.39,"46,603",$3.46,$3.53,$3.35
10/10/2023,$3.48,"35,339",$3.50,$3.60,$3.45
10/09/2023,$3.51,"34,972",$3.50,$3.55,$3.44
10/06/2023,$3.52,"47,937",$3.55,$3.605,$3.44
10/05/2023,$3.50,"92,395",$3.59,$3.59,$3.42
10/04/2023,$3.52,"42,109",$3.61,$3.635,$3.485
10/03/2023,$3.56,"81,876",$3.78,$3.95,$3.51
10/02/2023,$3.81,"64,443",$3.93,$3.97,$3.72
09/29/2023,$3.95,"36,213",$3.92,$3.98,$3.86
09/28/2023,$3.89,"19,430",$3.7962,$3.89,$3.7901
09/27/2023,$3.80,"44,135",$3.89,$3.92,$3.78
09/26/2023,$3.86,"40,876",$3.93,$3.9599,$3.8325
09/25/2023,$3.89,"65,261",$3.92,$3.92,$3.775
09/22/2023,$3.92,"45,761",$3.98,$4.02,$3.89
09/21/2023,$4.00,"90,385",$4.02,$4.02,$3.90
09/20/2023,$3.97,"54,425",$4.08,$4.18,$3.95
09/19/2023,$4.04,"60,635",$3.95,$4.08,$3.87
09/18/2023,$3.95,"121,565",$3.99,$3.99,$3.71
09/15/2023,$4.00,"422,693",$3.83,$4.10,$3.78
09/14/2023,$3.84,"43,573",$3.86,$3.9496,$3.81
09/13/2023,$3.82,"36,402",$3.94,$3.94,$3.8078
09/12/2023,$3.94,"34,134",$3.96,$4.02,$3.89
09/11/2023,$3.94,"111,203",$3.92,$4.177,$3.8901
09/08/2023,$3.85,"48,707",$3.80,$3.85,$3.72
09/07/2023,$3.80,"89,902",$3.91,$3.93,$3.73
09/06/2023,$3.95,"111,453",$4.03,$4.03,$3.82
09/05/2023,$4.03,"157,100",$4.11,$4.23,$3.95
09/01/2023,$4.12,"171,966",$4.23,$4.29,$3.97
08/31/2023,$4.18,"182,018",$4.08,$4.48,$4.08
08/30/2023,$4.12,"1,204,937",$4.13,$4.50,$3.70
08/29/2023,$3.47,"294,442",$3.45,$3.67,$3.40
08/28/2023,$3.44,"206,257",$3.72,$3.87,$3.37
08/25/2023,$3.64,"171,443",$3.62,$3.69,$3.4201
08/24/2023,$3.62,"197,186",$4.05,$4.05,$3.5701
08/23/2023,$4.00,"155,539",$4.07,$4.13,$3.95
08/22/2023,$4.05,"81,438",$4.15,$4.15,$3.90
08/21/2023,$4.12,"84,720",$4.21,$4.23,$4.01
08/18/2023,$4.24,"42,991",$4.18,$4.28,$4.18
08/17/2023,$4.21,"79,615",$4.18,$4.368,$4.13
08/16/2023,$4.18,"61,701",$4.23,$4.23,$4.1001
08/15/2023,$4.29,"69,132",$4.25,$4.33,$4.22
08/14/2023,$4.31,"138,881",$4.31,$4.34,$4.03
08/11/2023,$4.23,"70,535",$4.30,$4.37,$4.20
08/10/2023,$4.30,"96,731",$4.30,$4.38,$4.255
08/09/2023,$4.27,"118,341",$4.37,$4.37,$4.15
08/08/2023,$4.39,"63,153",$4.38,$4.45,$4.28
08/07/2023,$4.47,"89,429",$4.53,$4.53,$4.335
08/04/2023,$4.52,"69,450",$4.57,$4.70,$4.48
08/03/2023,$4.52,"46,726",$4.45,$4.60,$4.4079
08/02/2023,$4.53,"139,724",$4.40,$4.57,$4.26
08/01/2023,$4.44,"115,331",$4.87,$4.87,$4.42
07/31/2023,$4.92,"134,647",$4.75,$4.9549,$4.69
07/28/2023,$4.64,"73,541",$4.77,$4.77,$4.58
07/27/2023,$4.62,"120,223",$4.76,$5.26,$4.60
07/26/2023,$4.70,"80,132",$4.58,$4.72,$4.57
07/25/2023,$4.50,"67,731",$4.63,$4.70,$4.50
07/24/2023,$4.61,"116,808",$4.50,$4.68,$4.50
07/21/2023,$4.35,"88,005",$4.47,$4.47,$4.27
07/20/2023,$4.45,"137,557",$4.88,$4.955,$4.42
07/19/2023,$4.89,"222,489",$4.69,$5.08,$4.69
07/18/2023,$4.69,"120,969",$4.47,$4.8699,$4.47
07/17/2023,$4.49,"161,382",$4.33,$4.56,$4.21
07/14/2023,$4.32,"143,745",$4.43,$4.43,$4.14
07/13/2023,$4.45,"147,969",$4.48,$4.60,$4.29
07/12/2023,$4.45,"255,337",$4.38,$4.53,$4.25
07/11/2023,$4.27,"249,124",$3.95,$4.30,$3.95
07/10/2023,$3.95,"104,112",$3.79,$3.97,$3.7701
07/07/2023,$3.79,"79,476",$3.74,$3.92,$3.74
07/06/2023,$3.76,"168,603",$3.73,$3.83,$3.66
07/05/2023,$3.81,"133,033",$3.79,$3.91,$3.74
07/03/2023,$3.77,"45,213",$3.71,$3.83,$3.705
06/30/2023,$3.70,"112,562",$3.83,$3.855,$3.671
06/29/2023,$3.75,"258,299",$3.74,$3.82,$3.60
06/28/2023,$3.70,"142,935",$3.98,$4.03,$3.70
06/27/2023,$3.98,"129,034",$3.98,$4.0686,$3.905
06/26/2023,$3.98,"154,885",$3.98,$4.18,$3.92
06/23/2023,$3.96,"1,894,305",$3.84,$4.24,$3.84
06/22/2023,$3.93,"165,201",$3.97,$3.97,$3.76
06/21/2023,$3.97,"186,309",$3.96,$4.03,$3.86
06/20/2023,$3.96,"242,127",$4.04,$4.08,$3.83
06/16/2023,$4.07,"372,693",$4.23,$4.27,$3.9786
06/15/2023,$4.22,"168,443",$4.17,$4.26,$4.13
06/14/2023,$4.20,"208,478",$4.47,$4.58,$4.18
06/13/2023,$4.41,"162,095",$4.37,$4.68,$4.37
06/12/2023,$4.40,"161,350",$4.30,$4.49,$4.22
06/09/2023,$4.27,"194,762",$4.47,$4.5447,$4.16
06/08/2023,$4.50,"158,733",$4.85,$4.86,$4.4962
06/07/2023,$4.90,"228,899",$4.52,$4.93,$4.429
06/06/2023,$4.44,"210,785",$4.10,$4.47,$4.10
06/05/2023,$4.13,"213,595",$4.38,$4.52,$4.13
06/02/2023,$4.45,"342,898",$4.23,$4.48,$3.9603
06/01/2023,$4.13,"1,012,694",$3.90,$4.24,$3.07
05/31/2023,$4.06,"416,328",$4.47,$4.47,$4.03
05/30/2023,$4.51,"184,376",$4.21,$4.53,$4.195
05/26/2023,$4.19,"157,072",$3.97,$4.24,$3.9189
05/25/2023,$3.93,"281,660",$4.33,$4.33,$3.90
05/24/2023,$4.32,"103,453",$4.35,$4.4971,$4.24
05/23/2023,$4.35,"164,065",$4.24,$4.4498,$4.23
05/22/2023,$4.27,"147,507",$4.29,$4.41,$4.20
05/19/2023,$4.29,"111,358",$4.54,$4.54,$4.28
05/18/2023,$4.48,"133,894",$4.30,$4.55,$4.28
05/17/2023,$4.29,"227,398",$4.01,$4.32,$4.01
05/16/2023,$4.00,"184,385",$4.25,$4.25,$4.00
05/15/2023,$4.33,"170,538",$4.30,$4.345,$4.17
05/12/2023,$4.29,"136,775",$4.60,$4.68,$4.27
05/11/2023,$4.64,"99,234",$4.62,$4.89,$4.515
05/10/2023,$4.62,"128,230",$4.98,$4.98,$4.56
05/09/2023,$4.86,"100,106",$4.68,$4.90,$4.665
05/08/2023,$4.74,"128,247",$4.77,$4.86,$4.7275
05/05/2023,$4.71,"134,779",$4.42,$4.82,$4.42
05/04/2023,$4.34,"206,608",$4.39,$4.60,$4.2891
05/03/2023,$4.46,"277,189",$4.50,$4.65,$4.285
05/02/2023,$4.48,"643,824",$4.33,$4.53,$3.90
05/01/2023,$4.38,"229,209",$4.77,$4.8337,$4.35
04/28/2023,$4.78,"114,705",$4.72,$4.93,$4.68
04/27/2023,$4.75,"210,792",$4.52,$4.83,$4.52
04/26/2023,$4.45,"168,377",$4.54,$4.62,$4.43
04/25/2023,$4.53,"241,592",$4.82,$4.83,$4.50
04/24/2023,$4.85,"154,659",$4.77,$4.88,$4.72
04/21/2023,$4.76,"252,848",$4.98,$5.11,$4.665
04/20/2023,$4.97,"146,099",$5.01,$5.11,$4.93
04/19/2023,$5.07,"185,556",$5.15,$5.27,$5.03
04/18/2023,$5.20,"165,853",$5.38,$5.38,$5.18
04/17/2023,$5.34,"177,661",$5.25,$5.39,$5.25
04/14/2023,$5.26,"163,888",$5.29,$5.37,$5.21
04/13/2023,$5.25,"177,469",$5.37,$5.3899,$5.23
04/12/2023,$5.37,"117,331",$5.67,$5.79,$5.30
04/11/2023,$5.62,"282,395",$5.42,$6.00,$5.37
04/10/2023,$5.36,"217,464",$5.20,$5.4699,$5.20
04/06/2023,$5.26,"191,658",$5.27,$5.34,$5.22
04/05/2023,$5.29,"167,966",$5.37,$5.40,$5.22
04/04/2023,$5.45,"218,679",$5.66,$5.66,$5.31
04/03/2023,$5.72,"265,428",$6.04,$6.25,$5.58
03/31/2023,$6.06,"249,577",$6.00,$6.095,$5.70
03/30/2023,$6.01,"402,642",$6.00,$6.25,$5.80
03/29/2023,$6.26,"1,393,785",$4.77,$6.47,$4.73
03/28/2023,$5.41,"435,833",$5.71,$5.99,$5.33
03/27/2023,$5.76,"322,300",$5.95,$6.00,$5.63
03/24/2023,$5.91,"464,642",$6.31,$6.31,$5.82
03/23/2023,$6.41,"245,083",$6.49,$6.663,$6.25
03/22/2023,$6.43,"157,644",$6.60,$6.708,$6.415
03/21/2023,$6.48,"124,253",$6.46,$6.81,$6.45
03/20/2023,$6.26,"145,120",$6.51,$6.58,$6.23
03/17/2023,$6.40,"429,625",$6.86,$6.87,$6.36
03/16/2023,$7.00,"234,756",$6.42,$7.09,$6.335
03/15/2023,$6.53,"314,865",$6.48,$6.53,$5.97
03/14/2023,$6.66,"231,274",$7.05,$7.14,$6.56
03/13/2023,$6.71,"177,522",$7.45,$7.6186,$6.70
03/10/2023,$7.64,"102,841",$7.72,$7.90,$7.49
03/09/2023,$7.83,"166,421",$8.07,$8.11,$7.75
03/08/2023,$8.09,"109,473",$8.12,$8.15,$7.91
03/07/2023,$8.12,"112,424",$8.25,$8.5016,$8.07
03/06/2023,$8.27,"158,887",$8.92,$8.92,$8.21
03/03/2023,$8.92,"131,635",$8.59,$9.04,$8.495
03/02/2023,$8.52,"103,759",$8.30,$8.65,$8.17
03/01/2023,$8.47,"168,906",$8.52,$8.6999,$8.40
02/28/2023,$8.57,"108,577",$8.57,$8.84,$8.57
02/27/2023,$8.59,"131,948",$8.58,$8.8253,$8.3925
02/24/2023,$8.40,"230,676",$8.18,$8.495,$8.05
02/23/2023,$8.45,"122,356",$8.32,$8.65,$8.25
02/22/2023,$8.23,"224,226",$8.16,$8.40,$8.13
02/21/2023,$8.14,"160,106",$8.90,$8.9647,$8.14
02/17/2023,$9.03,"179,505",$9.32,$9.38,$8.91
02/16/2023,$9.32,"230,250",$9.53,$10.25,$9.29
02/15/2023,$9.72,"169,828",$9.25,$9.74,$9.23
02/14/2023,$9.40,"93,736",$9.77,$9.93,$9.40
02/13/2023,$9.86,"118,962",$9.63,$9.92,$9.42
02/10/2023,$9.64,"111,101",$9.47,$9.67,$9.305
02/09/2023,$9.59,"111,083",$9.99,$10.20,$9.56
02/08/2023,$9.83,"146,242",$10.22,$10.25,$9.70
02/07/2023,$10.28,"156,197",$10.55,$10.7549,$9.95
02/06/2023,$10.56,"130,596",$11.00,$11.00,$10.48
02/03/2023,$11.09,"212,415",$11.28,$11.69,$11.02
02/02/2023,$11.54,"610,440",$9.25,$11.55,$9.0401
02/01/2023,$9.37,"174,621",$9.43,$9.51,$8.99
01/31/2023,$9.41,"152,625",$8.94,$9.55,$8.94
01/30/2023,$8.94,"151,229",$8.88,$9.17,$8.76
01/27/2023,$8.88,"309,266",$8.76,$9.03,$8.50
01/26/2023,$8.73,"289,304",$9.34,$9.42,$8.59
01/25/2023,$9.18,"829,997",$9.68,$9.905,$8.95
01/24/2023,$9.80,"240,166",$10.04,$10.19,$9.615
01/23/2023,$10.12,"361,433",$10.26,$10.5301,$10.055
01/20/2023,$10.14,"243,668",$9.94,$10.22,$9.75
01/19/2023,$9.86,"378,912",$10.49,$10.5514,$9.55
01/18/2023,$10.57,"373,087",$10.38,$10.71,$10.25
01/17/2023,$10.30,"297,408",$10.10,$10.385,$9.74
01/13/2023,$10.12,"538,142",$9.93,$10.465,$9.9201
01/12/2023,$10.12,"389,530",$10.06,$10.479,$9.84
01/11/2023,$10.06,"824,538",$9.77,$10.24,$9.73
01/10/2023,$10.02,"971,181",$8.74,$10.02,$8.55
01/09/2023,$8.72,"260,067",$8.94,$9.03,$8.5007
01/06/2023,$8.94,"360,447",$8.80,$8.97,$8.50
01/05/2023,$8.70,"541,592",$8.30,$8.80,$8.30
01/04/2023,$8.22,"428,992",$7.16,$8.24,$7.13
01/03/2023,$7.13,"241,945",$6.98,$7.20,$6.91
12/30/2022,$6.88,"293,569",$6.83,$7.00,$6.74
12/29/2022,$6.99,"254,769",$6.77,$7.02,$6.73
12/28/2022,$6.63,"395,379",$6.43,$6.84,$6.43
12/27/2022,$6.34,"219,623",$6.48,$6.57,$6.30
12/23/2022,$6.55,"192,379",$6.52,$6.66,$6.37
12/22/2022,$6.56,"366,165",$6.35,$6.61,$6.175
12/21/2022,$6.38,"494,149",$5.97,$6.47,$5.97
12/20/2022,$5.81,"596,237",$5.70,$6.04,$5.69
12/19/2022,$5.76,"695,082",$6.10,$6.21,$5.75
12/16/2022,$6.04,"6,127,356",$6.14,$6.31,$5.78
12/15/2022,$6.295,"893,021",$6.52,$6.54,$6.145
12/14/2022,$6.72,"826,711",$6.85,$6.94,$6.54
12/13/2022,$6.78,"1,551,998",$6.89,$7.19,$6.69
12/12/2022,$7.34,"422,978",$7.33,$7.58,$7.20
12/09/2022,$7.34,"333,748",$7.16,$7.37,$6.85
12/08/2022,$7.31,"395,298",$7.93,$7.9443,$7.25
12/07/2022,$7.87,"375,559",$8.82,$8.9458,$7.84
12/06/2022,$9.10,"510,789",$8.80,$9.82,$8.80
12/05/2022,$8.63,"291,225",$9.80,$9.88,$8.54
12/02/2022,$9.86,"142,984",$9.67,$10.06,$9.67
12/01/2022,$9.97,"155,705",$9.96,$10.27,$9.90
11/30/2022,$9.96,"254,231",$9.45,$10.03,$9.27
11/29/2022,$9.52,"108,877",$9.59,$9.78,$9.48
11/28/2022,$9.55,"121,316",$9.43,$9.65,$9.42
11/25/2022,$9.63,"64,277",$9.48,$9.78,$9.26
11/23/2022,$9.44,"88,062",$9.25,$9.54,$9.04
11/22/2022,$9.35,"121,620",$8.73,$9.44,$8.73
11/21/2022,$8.68,"88,785",$8.62,$8.70,$8.50
11/18/2022,$8.64,"111,442",$9.05,$9.05,$8.44
11/17/2022,$8.81,"71,778",$8.65,$8.82,$8.46
11/16/2022,$8.78,"75,926",$9.05,$9.05,$8.645
11/15/2022,$9.22,"95,198",$9.12,$9.48,$9.06
11/14/2022,$8.79,"147,422",$9.14,$9.21,$8.76
11/11/2022,$9.24,"241,152",$9.46,$9.465,$9.00
11/10/2022,$9.50,"488,161",$8.92,$9.858,$8.87
11/09/2022,$8.47,"141,174",$8.51,$8.7805,$8.41
11/08/2022,$8.65,"265,535",$8.64,$9.00,$8.38
11/07/2022,$8.55,"193,309",$8.15,$8.60,$8.0301
11/04/2022,$8.07,"115,472",$7.82,$8.09,$7.695
11/03/2022,$7.61,"134,214",$7.41,$7.72,$7.40
11/02/2022,$7.60,"209,627",$8.33,$8.37,$7.59
11/01/2022,$8.27,"143,125",$8.40,$8.50,$8.17
10/31/2022,$8.21,"162,695",$7.98,$8.38,$7.98
10/28/2022,$8.00,"434,109",$7.83,$8.39,$7.83
10/27/2022,$7.74,"199,380",$7.86,$8.205,$7.72
10/26/2022,$7.77,"175,735",$8.15,$8.21,$7.76
10/25/2022,$8.08,"246,539",$7.82,$8.38,$7.82
10/24/2022,$7.74,"198,819",$7.16,$7.77,$7.10
10/21/2022,$7.16,"208,387",$6.93,$7.20,$6.71
10/20/2022,$6.85,"318,511",$6.72,$7.11,$6.59
10/19/2022,$6.76,"587,031",$6.91,$7.05,$6.74
10/18/2022,$6.91,"1,476,743",$6.305,$7.32,$6.22
10/17/2022,$8.11,"132,931",$8.03,$8.27,$7.96
10/14/2022,$7.71,"96,242",$8.00,$8.14,$7.63
10/13/2022,$7.97,"153,934",$7.51,$8.09,$7.36
10/12/2022,$7.79,"90,823",$7.76,$7.93,$7.59
