Date,Close,Volume,Open,High,Low
03/01/2024,$10.6599,N/A,$10.6599,$10.6599,$10.6599
02/29/2024,$10.6599,"1,965",$10.60,$10.66,$10.60
02/28/2024,$10.60,321,$10.60,$10.60,$10.60
02/27/2024,$10.60,N/A,$10.60,$10.60,$10.60
02/26/2024,$10.60,585,$10.60,$10.60,$10.60
02/23/2024,$10.6001,122,$10.6001,$10.6001,$10.6001
02/22/2024,$10.675,N/A,$10.675,$10.675,$10.675
02/21/2024,$10.675,734,$10.60,$10.675,$10.60
02/20/2024,$10.60,N/A,$10.60,$10.60,$10.60
02/16/2024,$10.60,N/A,$10.60,$10.60,$10.60
02/15/2024,$10.60,N/A,$10.60,$10.60,$10.60
02/14/2024,$10.60,N/A,$10.60,$10.60,$10.60
02/13/2024,$10.60,N/A,$10.60,$10.60,$10.60
02/12/2024,$10.60,N/A,$10.60,$10.60,$10.60
02/09/2024,$10.60,627,$10.60,$10.60,$10.60
02/08/2024,$10.60,N/A,$10.60,$10.60,$10.60
02/07/2024,$10.60,404,$10.60,$10.60,$10.60
02/06/2024,$10.6115,N/A,$10.6115,$10.6115,$10.6115
02/05/2024,$10.6115,N/A,$10.6115,$10.6115,$10.6115
02/02/2024,$10.6115,"1,011",$10.6115,$10.6115,$10.6115
02/01/2024,$10.70,"1,299",$10.70,$10.70,$10.70
01/31/2024,$10.6001,N/A,$10.6001,$10.6001,$10.6001
01/30/2024,$10.6001,501,$10.70,$10.7113,$10.60
01/29/2024,$10.60,260,$10.60,$10.60,$10.60
01/26/2024,$10.6835,N/A,$10.6835,$10.6835,$10.6835
01/25/2024,$10.6835,N/A,$10.6835,$10.6835,$10.6835
01/24/2024,$10.6835,N/A,$10.6835,$10.6835,$10.6835
01/23/2024,$10.6835,N/A,$10.6835,$10.6835,$10.6835
01/22/2024,$10.6835,N/A,$10.6835,$10.6835,$10.6835
01/19/2024,$10.6835,N/A,$10.6835,$10.6835,$10.6835
01/18/2024,$10.6835,N/A,$10.6835,$10.6835,$10.6835
01/17/2024,$10.6835,N/A,$10.6835,$10.6835,$10.6835
01/16/2024,$10.6835,"2,597",$10.65,$10.6835,$10.65
01/12/2024,$10.70,N/A,$10.70,$10.70,$10.70
