Date,Close,Volume,Open,High,Low
03/01/2024,$0.30,"148,612",$0.28,$0.309,$0.27
02/29/2024,$0.2916,"134,161",$0.285,$0.2999,$0.2799
02/28/2024,$0.29,"205,255",$0.284,$0.3035,$0.28
02/27/2024,$0.2944,"205,323",$0.30,$0.315,$0.28
02/26/2024,$0.309,"288,859",$0.315,$0.315,$0.28
02/23/2024,$0.3025,"289,221",$0.335,$0.335,$0.285
02/22/2024,$0.301,"333,813",$0.3083,$0.33,$0.2899
02/21/2024,$0.295,"89,524",$0.2991,$0.31,$0.28
02/20/2024,$0.3051,"61,920",$0.2947,$0.31,$0.29
02/16/2024,$0.31,"81,726",$0.32,$0.32,$0.297
02/15/2024,$0.30,"127,779",$0.3255,$0.3301,$0.2996
02/14/2024,$0.318,"138,403",$0.2951,$0.318,$0.28
02/13/2024,$0.2914,"48,325",$0.3116,$0.3116,$0.28
02/12/2024,$0.302,"149,418",$0.309,$0.32,$0.29
02/09/2024,$0.309,"68,784",$0.294,$0.31,$0.2902
02/08/2024,$0.285,"119,330",$0.30,$0.3075,$0.28
02/07/2024,$0.30,"97,158",$0.301,$0.31,$0.28
02/06/2024,$0.294,"27,051",$0.288,$0.304,$0.288
02/05/2024,$0.2959,"41,521",$0.304,$0.304,$0.287
02/02/2024,$0.303,"58,141",$0.2964,$0.303,$0.275
02/01/2024,$0.2928,"111,149",$0.2996,$0.3065,$0.29
01/31/2024,$0.296,"92,301",$0.3005,$0.32,$0.29
01/30/2024,$0.3098,"198,025",$0.32,$0.3248,$0.286
01/29/2024,$0.299,"144,824",$0.3123,$0.3177,$0.28
01/26/2024,$0.2975,"191,289",$0.2941,$0.33,$0.29
01/25/2024,$0.28,"703,763",$0.31,$0.3518,$0.265
01/24/2024,$0.3291,"485,415",$0.3569,$0.3569,$0.3009
01/23/2024,$0.3477,"426,966",$0.3585,$0.3722,$0.3137
01/22/2024,$0.3696,"634,459",$0.3903,$0.40,$0.3551
01/19/2024,$0.389,"677,962",$0.3445,$0.40,$0.338
01/18/2024,$0.3374,"323,131",$0.3002,$0.3383,$0.3002
01/17/2024,$0.3019,"261,904",$0.297,$0.315,$0.2605
01/16/2024,$0.2896,"115,584",$0.30,$0.30,$0.2768
01/12/2024,$0.2825,"57,055",$0.298,$0.298,$0.2605
01/11/2024,$0.2818,"153,933",$0.29,$0.317,$0.275
01/10/2024,$0.2976,"359,409",$0.30,$0.3169,$0.27
01/09/2024,$0.2959,"25,991",$0.287,$0.296,$0.2833
01/08/2024,$0.2831,"54,675",$0.28,$0.297,$0.2638
01/05/2024,$0.2866,"101,693",$0.2852,$0.2905,$0.2605
01/04/2024,$0.285,"143,606",$0.283,$0.2894,$0.2524
01/03/2024,$0.2819,"54,956",$0.298,$0.298,$0.271
01/02/2024,$0.291,"111,597",$0.29,$0.298,$0.285
12/29/2023,$0.298,"176,616",$0.312,$0.317,$0.2818
