Date,Close,Volume,Open,High,Low
03/01/2024,$22.80,"1,195,748",$22.55,$22.985,$22.48
02/29/2024,$22.56,"3,234,059",$23.10,$23.10,$22.46
02/28/2024,$22.68,"1,327,745",$22.83,$22.975,$22.61
02/27/2024,$22.96,"727,995",$23.01,$23.27,$22.91
02/26/2024,$23.01,"1,464,880",$23.06,$23.245,$22.9528
02/23/2024,$23.09,"1,892,279",$23.13,$23.19,$22.935
02/22/2024,$23.07,"2,573,887",$23.00,$23.18,$22.92
02/21/2024,$22.98,"2,942,990",$23.07,$23.30,$22.79
02/20/2024,$23.04,"2,439,621",$22.50,$23.09,$22.50
02/16/2024,$22.67,"1,319,643",$22.54,$22.88,$22.425
02/15/2024,$22.70,"1,541,975",$23.08,$23.17,$22.67
02/14/2024,$22.94,"1,295,999",$22.51,$23.15,$22.51
02/13/2024,$22.55,"1,958,993",$22.50,$22.91,$22.30
02/12/2024,$22.94,"2,007,569",$22.29,$23.03,$22.27
02/09/2024,$22.50,"2,794,564",$21.07,$22.58,$20.90
02/08/2024,$21.00,"1,463,390",$20.64,$21.115,$20.57
02/07/2024,$20.64,"1,351,820",$20.49,$20.72,$20.33
02/06/2024,$20.45,"1,705,130",$20.62,$20.745,$20.37
02/05/2024,$20.44,"2,198,195",$20.295,$20.54,$20.10
02/02/2024,$20.41,"1,051,403",$20.80,$20.82,$20.375
02/01/2024,$20.98,"1,834,944",$20.86,$21.01,$20.73
01/31/2024,$20.92,"1,203,003",$21.27,$21.43,$20.92
01/30/2024,$21.27,"746,542",$21.31,$21.4299,$21.16
01/29/2024,$21.52,"629,832",$21.55,$21.655,$21.36
01/26/2024,$21.53,"577,621",$21.56,$21.61,$21.351
01/25/2024,$21.44,"1,018,126",$21.54,$21.68,$21.33
01/24/2024,$21.35,"1,260,879",$22.26,$22.26,$21.305
01/23/2024,$22.01,"820,071",$22.22,$22.22,$21.80
01/22/2024,$22.04,"845,828",$21.92,$22.19,$21.92
01/19/2024,$21.85,"817,566",$21.59,$21.855,$21.51
01/18/2024,$21.60,"871,471",$21.80,$21.80,$21.50
01/17/2024,$21.76,"1,544,761",$22.07,$22.44,$21.6209
01/16/2024,$22.32,"1,412,343",$22.30,$22.52,$22.21
01/12/2024,$22.44,"1,235,319",$22.20,$22.44,$22.10
01/11/2024,$22.01,"1,145,926",$21.91,$22.075,$21.81
01/10/2024,$22.02,"691,965",$21.86,$22.07,$21.79
01/09/2024,$21.83,"902,930",$21.75,$21.95,$21.57
01/08/2024,$21.87,"747,581",$21.82,$21.97,$21.70
01/05/2024,$21.79,"777,027",$21.99,$22.00,$21.78
